,S1
1104537600000,0.479
1104541200000,0.555
1104544800000,0.612
1104548400000,0.635
1104552000000,0.629
1104555600000,0.62
1104559200000,0.61
1104562800000,0.562
1104566400000,0.547
1104570000000,0.562
1104573600000,0.6
1104577200000,0.644
1104580800000,0.674
1104584400000,0.693
1104588000000,0.697
1104591600000,0.697
1104595200000,0.695
1104598800000,0.697
1104602400000,0.704
1104606000000,0.763
1104609600000,0.782
1104613200000,0.779
1104616800000,0.786
1104620400000,0.812
1104624000000,0.862
1104627600000,0.907
1104631200000,0.914
1104634800000,0.905
1104638400000,0.888
1104642000000,0.865
1104645600000,0.835
1104649200000,0.792
1104652800000,0.745
1104656400000,0.697
1104660000000,0.678
1104663600000,0.697
1104667200000,0.731
1104670800000,0.759
1104674400000,0.797
1104678000000,0.821
1104681600000,0.835
1104685200000,0.831
1104688800000,0.819
1104692400000,0.819
1104696000000,0.816
1104699600000,0.811
1104703200000,0.791
1104706800000,0.8
1104710400000,0.859
1104714000000,0.9
1104717600000,0.897
1104721200000,0.883
1104724800000,0.854
1104728400000,0.83
1104732000000,0.786
1104735600000,0.715
1104739200000,0.64
1104742800000,0.621
1104746400000,0.618
1104750000000,0.623
1104753600000,0.624
1104757200000,0.613
1104760800000,0.586
1104764400000,0.552
1104768000000,0.523
1104771600000,0.522
1104775200000,0.523
1104778800000,0.533
1104782400000,0.549
1104786000000,0.594
1104789600000,0.617
1104793200000,0.635
1104796800000,0.743
1104800400000,0.824
1104804000000,0.836
1104807600000,0.832
1104811200000,0.817
1104814800000,0.797
1104818400000,0.77
1104822000000,0.722
1104825600000,0.679
1104829200000,0.639
1104832800000,0.657
1104836400000,0.7
1104840000000,0.673
1104843600000,0.658
1104847200000,0.665
1104850800000,0.69
1104854400000,0.694
1104858000000,0.707
1104861600000,0.76
1104865200000,0.772
1104868800000,0.77
1104872400000,0.765
1104876000000,0.765
1104879600000,0.73
1104883200000,0.774
1104886800000,0.829
1104890400000,0.831
1104894000000,0.827
1104897600000,0.82
1104901200000,0.809
1104904800000,0.789
1104908400000,0.746
1104912000000,0.695
1104915600000,0.701
1104919200000,0.719
1104922800000,0.703
1104926400000,0.692
1104930000000,0.697
1104933600000,0.705
1104937200000,0.695
1104940800000,0.692
1104944400000,0.682
1104948000000,0.689
1104951600000,0.655
1104955200000,0.67
1104958800000,0.677
1104962400000,0.629
1104966000000,0.566
1104969600000,0.671
1104973200000,0.714
1104976800000,0.697
1104980400000,0.649
1104984000000,0.605
1104987600000,0.587
1104991200000,0.576
1104994800000,0.541
1104998400000,0.538
1105002000000,0.578
1105005600000,0.606
1105009200000,0.635
1105012800000,0.636
1105016400000,0.633
1105020000000,0.633
1105023600000,0.626
1105027200000,0.61
1105030800000,0.594
1105034400000,0.586
1105038000000,0.589
1105041600000,0.604
1105045200000,0.621
1105048800000,0.625
1105052400000,0.618
1105056000000,0.714
1105059600000,0.775
1105063200000,0.783
1105066800000,0.771
1105070400000,0.752
1105074000000,0.737
1105077600000,0.734
1105081200000,0.723
1105084800000,0.712
1105088400000,0.724
1105092000000,0.733
1105095600000,0.751
1105099200000,0.748
1105102800000,0.752
1105106400000,0.77
1105110000000,0.787
1105113600000,0.8
1105117200000,0.808
