,V1
1640995200000,0.929
1640998800000,0.95
1641002400000,0.958
1641006000000,0.961
1641009600000,0.957
1641013200000,0.948
1641016800000,0.932
1641020400000,0.889
1641024000000,0.85
1641027600000,0.833
1641031200000,0.832
1641034800000,0.848
1641038400000,0.86
1641042000000,0.86
1641045600000,0.845
1641049200000,0.836
1641052800000,0.827
1641056400000,0.817
1641060000000,0.816
1641063600000,0.814
1641067200000,0.812
1641070800000,0.822
1641074400000,0.849
1641078000000,0.866
1641081600000,0.909
1641085200000,0.923
1641088800000,0.917
1641092400000,0.901
1641096000000,0.876
1641099600000,0.847
1641103200000,0.8
1641106800000,0.718
1641110400000,0.666
1641114000000,0.706
1641117600000,0.74
1641121200000,0.772
1641124800000,0.791
1641128400000,0.796
1641132000000,0.797
1641135600000,0.794
1641139200000,0.796
1641142800000,0.808
1641146400000,0.812
1641150000000,0.814
1641153600000,0.809
1641157200000,0.815
1641160800000,0.827
1641164400000,0.851
1641168000000,0.909
1641171600000,0.922
1641175200000,0.917
1641178800000,0.896
1641182400000,0.863
1641186000000,0.828
1641189600000,0.789
1641193200000,0.706
1641196800000,0.609
1641200400000,0.605
1641204000000,0.63
1641207600000,0.685
1641211200000,0.728
1641214800000,0.742
1641218400000,0.759
1641222000000,0.762
1641225600000,0.753
1641229200000,0.75
1641232800000,0.74
1641236400000,0.744
1641240000000,0.718
1641243600000,0.685
1641247200000,0.651
1641250800000,0.639
1641254400000,0.74
1641258000000,0.794
1641261600000,0.811
1641265200000,0.806
1641268800000,0.772
1641272400000,0.728
1641276000000,0.691
1641279600000,0.617
1641283200000,0.466
1641286800000,0.428
1641290400000,0.485
1641294000000,0.574
1641297600000,0.642
1641301200000,0.658
1641304800000,0.654
1641308400000,0.651
1641312000000,0.619
1641315600000,0.593
1641319200000,0.568
1641322800000,0.552
1641326400000,0.535
1641330000000,0.532
1641333600000,0.522
1641337200000,0.495
1641340800000,0.578
1641344400000,0.604
1641348000000,0.602
1641351600000,0.583
1641355200000,0.55
1641358800000,0.513
1641362400000,0.487
1641366000000,0.454
1641369600000,0.36
1641373200000,0.356
1641376800000,0.418
1641380400000,0.484
1641384000000,0.498
1641387600000,0.49
1641391200000,0.481
1641394800000,0.466
1641398400000,0.437
1641402000000,0.423
1641405600000,0.422
1641409200000,0.456
1641412800000,0.506
1641416400000,0.506
1641420000000,0.483
1641423600000,0.424
1641427200000,0.505
1641430800000,0.455
1641434400000,0.358
1641438000000,0.294
1641441600000,0.272
1641445200000,0.265
1641448800000,0.261
1641452400000,0.253
1641456000000,0.219
1641459600000,0.181
1641463200000,0.167
1641466800000,0.181
1641470400000,0.219
1641474000000,0.274
1641477600000,0.314
1641481200000,0.352
1641484800000,0.369
1641488400000,0.403
1641492000000,0.413
1641495600000,0.414
1641499200000,0.431
1641502800000,0.413
1641506400000,0.38
1641510000000,0.388
1641513600000,0.489
1641517200000,0.51
1641520800000,0.488
1641524400000,0.444
1641528000000,0.38
1641531600000,0.325
1641535200000,0.308
1641538800000,0.302
1641542400000,0.238
1641546000000,0.215
1641549600000,0.241
1641553200000,0.285
1641556800000,0.376
1641560400000,0.477
1641564000000,0.519
1641567600000,0.459
1641571200000,0.422
1641574800000,0.442
1641578400000,0.449
1641582000000,0.467
1641585600000,0.451
1641589200000,0.386
1641592800000,0.308
1641596400000,0.341
1641600000000,0.379
1641603600000,0.341
1641607200000,0.274
1641610800000,0.225
1641614400000,0.182
1641618000000,0.149
1641621600000,0.127
1641625200000,0.115
1641628800000,0.103
1641632400000,0.096
1641636000000,0.093
1641639600000,0.093
1641643200000,0.103
1641646800000,0.126
1641650400000,0.156
1641654000000,0.181
1641657600000,0.206
1641661200000,0.204
1641664800000,0.204
1641668400000,0.22
1641672000000,0.233
1641675600000,0.253
1641679200000,0.26
1641682800000,0.283
1641686400000,0.316
1641690000000,0.3
1641693600000,0.265
1641697200000,0.225
1641700800000,0.185
1641704400000,0.149
1641708000000,0.126
1641711600000,0.115
1641715200000,0.107
1641718800000,0.102
1641722400000,0.105
1641726000000,0.113
1641729600000,0.118
1641733200000,0.118
1641736800000,0.116
1641740400000,0.112
1641744000000,0.117
1641747600000,0.14
1641751200000,0.166
1641754800000,0.178
1641758400000,0.177
1641762000000,0.179
1641765600000,0.17
1641769200000,0.156
1641772800000,0.161
1641776400000,0.147
1641780000000,0.126
1641783600000,0.104
1641787200000,0.083
1641790800000,0.062
1641794400000,0.054
1641798000000,0.052
1641801600000,0.052
1641805200000,0.055
1641808800000,0.052
1641812400000,0.048
1641816000000,0.048
1641819600000,0.051
1641823200000,0.059
1641826800000,0.07
1641830400000,0.079
1641834000000,0.087
1641837600000,0.098
1641841200000,0.112
1641844800000,0.133
1641848400000,0.146
1641852000000,0.144
1641855600000,0.139
1641859200000,0.145
1641862800000,0.134
1641866400000,0.12
1641870000000,0.106
1641873600000,0.095
1641877200000,0.089
1641880800000,0.092
1641884400000,0.107
1641888000000,0.128
1641891600000,0.157
1641895200000,0.177
1641898800000,0.183
1641902400000,0.199
1641906000000,0.218
1641909600000,0.257
1641913200000,0.294
1641916800000,0.32
1641920400000,0.336
1641924000000,0.369
1641927600000,0.417
1641931200000,0.436
1641934800000,0.444
1641938400000,0.437
1641942000000,0.481
1641945600000,0.56
1641949200000,0.557
1641952800000,0.527
1641956400000,0.474
1641960000000,0.413
1641963600000,0.358
1641967200000,0.32
1641970800000,0.302
1641974400000,0.267
1641978000000,0.251
1641981600000,0.278
1641985200000,0.312
1641988800000,0.34
1641992400000,0.377
1641996000000,0.446
1641999600000,0.488
1642003200000,0.51
1642006800000,0.518
1642010400000,0.515
1642014000000,0.52
1642017600000,0.516
1642021200000,0.493
1642024800000,0.449
1642028400000,0.523
1642032000000,0.647
1642035600000,0.67
1642039200000,0.668
1642042800000,0.656
1642046400000,0.63
1642050000000,0.59
1642053600000,0.562
1642057200000,0.556
1642060800000,0.494
1642064400000,0.457
1642068000000,0.479
1642071600000,0.568
1642075200000,0.666
1642078800000,0.764
1642082400000,0.799
1642086000000,0.785
1642089600000,0.733
1642093200000,0.702
1642096800000,0.703
1642100400000,0.725
1642104000000,0.754
1642107600000,0.755
1642111200000,0.763
1642114800000,0.806
1642118400000,0.869
1642122000000,0.863
1642125600000,0.838
1642129200000,0.8
1642132800000,0.759
1642136400000,0.722
1642140000000,0.697
1642143600000,0.69
1642147200000,0.662
1642150800000,0.636
1642154400000,0.658
1642158000000,0.694
1642161600000,0.714
1642165200000,0.718
