,Mn7
820454400000,0.538
820458000000,0.544
820461600000,0.484
820465200000,0.42
820468800000,0.376
820472400000,0.343
820476000000,0.334
820479600000,0.308
820483200000,0.231
820486800000,0.18
820490400000,0.188
820494000000,0.181
820497600000,0.227
820501200000,0.225
820504800000,0.227
820508400000,0.218
820512000000,0.202
820515600000,0.185
820519200000,0.183
820522800000,0.185
820526400000,0.193
820530000000,0.181
820533600000,0.146
820537200000,0.227
820540800000,0.421
820544400000,0.467
820548000000,0.464
820551600000,0.445
820555200000,0.413
820558800000,0.382
820562400000,0.352
820566000000,0.281
820569600000,0.176
820573200000,0.146
820576800000,0.157
820580400000,0.174
820584000000,0.199
820587600000,0.205
820591200000,0.208
820594800000,0.202
820598400000,0.201
820602000000,0.201
820605600000,0.187
820609200000,0.174
820612800000,0.163
820616400000,0.165
820620000000,0.15
820623600000,0.13
820627200000,0.275
820630800000,0.347
820634400000,0.341
820638000000,0.32
820641600000,0.279
820645200000,0.249
820648800000,0.212
820652400000,0.134
820656000000,0.068
820659600000,0.061
820663200000,0.079
820666800000,0.105
820670400000,0.108
820674000000,0.122
820677600000,0.136
820681200000,0.132
820684800000,0.143
820688400000,0.155
820692000000,0.197
820695600000,0.231
820699200000,0.249
820702800000,0.308
820706400000,0.265
820710000000,0.264
820713600000,0.358
820717200000,0.449
820720800000,0.471
820724400000,0.495
820728000000,0.502
820731600000,0.484
820735200000,0.455
820738800000,0.381
820742400000,0.283
820746000000,0.255
820749600000,0.266
820753200000,0.274
820756800000,0.259
820760400000,0.255
820764000000,0.242
820767600000,0.236
820771200000,0.225
820774800000,0.201
820778400000,0.196
820782000000,0.208
820785600000,0.215
820789200000,0.235
820792800000,0.226
820796400000,0.192
820800000000,0.31
820803600000,0.345
820807200000,0.357
820810800000,0.352
820814400000,0.311
820818000000,0.261
820821600000,0.219
820825200000,0.164
820828800000,0.121
820832400000,0.17
820836000000,0.22
820839600000,0.268
820843200000,0.281
820846800000,0.33
820850400000,0.345
820854000000,0.311
820857600000,0.286
820861200000,0.261
820864800000,0.227
820868400000,0.238
820872000000,0.231
820875600000,0.217
820879200000,0.22
820882800000,0.238
820886400000,0.398
820890000000,0.47
820893600000,0.484
820897200000,0.463
820900800000,0.447
820904400000,0.425
820908000000,0.407
820911600000,0.363
820915200000,0.236
820918800000,0.171
820922400000,0.186
820926000000,0.196
820929600000,0.185
820933200000,0.208
820936800000,0.279
820940400000,0.308
820944000000,0.311
820947600000,0.311
820951200000,0.306
820954800000,0.325
820958400000,0.332
820962000000,0.315
820965600000,0.251
820969200000,0.35
820972800000,0.562
820976400000,0.614
820980000000,0.615
820983600000,0.618
820987200000,0.56
820990800000,0.459
820994400000,0.36
820998000000,0.243
821001600000,0.122
821005200000,0.084
821008800000,0.104
821012400000,0.107
821016000000,0.086
821019600000,0.081
821023200000,0.088
821026800000,0.099
821030400000,0.103
821034000000,0.103
821037600000,0.11
821041200000,0.12
821044800000,0.126
821048400000,0.133
821052000000,0.155
821055600000,0.192
821059200000,0.306
821062800000,0.396
821066400000,0.438
821070000000,0.447
821073600000,0.412
821077200000,0.343
821080800000,0.265
821084400000,0.166
821088000000,0.108
821091600000,0.132
821095200000,0.219
821098800000,0.337
821102400000,0.332
821106000000,0.325
821109600000,0.332
821113200000,0.309
821116800000,0.256
821120400000,0.167
821124000000,0.071
821127600000,0.011
821131200000,0.008
821134800000,0.027
821138400000,0.033
821142000000,0.031
821145600000,0.102
821149200000,0.3
821152800000,0.484
821156400000,0.56
821160000000,0.613
821163600000,0.662
821167200000,0.627
821170800000,0.557
821174400000,0.432
821178000000,0.402
821181600000,0.44
821185200000,0.424
821188800000,0.386
821192400000,0.386
821196000000,0.392
821199600000,0.371
821203200000,0.352
821206800000,0.332
821210400000,0.295
821214000000,0.25
821217600000,0.234
821221200000,0.223
821224800000,0.194
821228400000,0.201
821232000000,0.304
821235600000,0.355
821239200000,0.357
821242800000,0.322
821246400000,0.278
821250000000,0.26
821253600000,0.227
821257200000,0.17
821260800000,0.126
821264400000,0.148
821268000000,0.156
821271600000,0.166
821275200000,0.181
821278800000,0.215
821282400000,0.227
821286000000,0.235
821289600000,0.258
821293200000,0.232
821296800000,0.195
821300400000,0.153
821304000000,0.103
821307600000,0.083
821311200000,0.093
821314800000,0.113
821318400000,0.245
821322000000,0.362
821325600000,0.402
821329200000,0.447
821332800000,0.459
821336400000,0.425
821340000000,0.369
821343600000,0.291
821347200000,0.202
821350800000,0.238
821354400000,0.303
821358000000,0.309
821361600000,0.308
821365200000,0.316
821368800000,0.289
821372400000,0.265
821376000000,0.251
821379600000,0.251
821383200000,0.231
821386800000,0.201
821390400000,0.189
821394000000,0.181
821397600000,0.168
821401200000,0.136
821404800000,0.179
821408400000,0.253
821412000000,0.297
821415600000,0.3
821419200000,0.258
821422800000,0.213
821426400000,0.167
821430000000,0.181
821433600000,0.185
821437200000,0.178
821440800000,0.261
821444400000,0.28
821448000000,0.302
821451600000,0.272
821455200000,0.243
821458800000,0.355
821462400000,0.294
821466000000,0.22
821469600000,0.168
821473200000,0.146
821476800000,0.155
821480400000,0.168
821484000000,0.171
821487600000,0.145
821491200000,0.196
821494800000,0.225
821498400000,0.207
821502000000,0.176
821505600000,0.132
821509200000,0.108
821512800000,0.098
821516400000,0.097
821520000000,0.079
821523600000,0.078
821527200000,0.057
821530800000,0.038
821534400000,0.061
821538000000,0.118
