,B1
978307200000,0.422
978310800000,0.534
978314400000,0.578
978318000000,0.556
978321600000,0.501
978325200000,0.461
978328800000,0.44
978332400000,0.398
978336000000,0.364
978339600000,0.388
978343200000,0.447
978346800000,0.52
978350400000,0.6
978354000000,0.644
978357600000,0.645
978361200000,0.607
978364800000,0.566
978368400000,0.528
978372000000,0.501
978375600000,0.472
978379200000,0.447
978382800000,0.446
978386400000,0.441
978390000000,0.392
978393600000,0.364
978397200000,0.328
978400800000,0.278
978404400000,0.212
978408000000,0.158
978411600000,0.13
978415200000,0.119
978418800000,0.122
978422400000,0.138
978426000000,0.188
978429600000,0.262
978433200000,0.325
978436800000,0.358
978440400000,0.372
978444000000,0.386
978447600000,0.383
978451200000,0.357
978454800000,0.326
978458400000,0.306
978462000000,0.316
978465600000,0.343
978469200000,0.367
978472800000,0.381
978476400000,0.362
978480000000,0.374
978483600000,0.373
978487200000,0.352
978490800000,0.295
978494400000,0.237
978498000000,0.199
978501600000,0.164
978505200000,0.139
978508800000,0.126
978512400000,0.144
978516000000,0.183
978519600000,0.232
978523200000,0.284
978526800000,0.349
978530400000,0.416
978534000000,0.451
978537600000,0.454
978541200000,0.437
978544800000,0.421
978548400000,0.395
978552000000,0.363
978555600000,0.335
978559200000,0.315
978562800000,0.285
978566400000,0.333
978570000000,0.414
978573600000,0.455
978577200000,0.438
978580800000,0.398
978584400000,0.348
978588000000,0.305
978591600000,0.259
978595200000,0.227
978598800000,0.233
978602400000,0.27
978606000000,0.318
978609600000,0.367
978613200000,0.4
978616800000,0.414
978620400000,0.425
978624000000,0.442
978627600000,0.448
978631200000,0.457
978634800000,0.466
978638400000,0.471
978642000000,0.481
978645600000,0.488
978649200000,0.485
978652800000,0.538
978656400000,0.608
978660000000,0.647
978663600000,0.651
978667200000,0.648
978670800000,0.655
978674400000,0.671
978678000000,0.671
978681600000,0.648
978685200000,0.621
978688800000,0.603
978692400000,0.586
978696000000,0.556
978699600000,0.513
978703200000,0.458
978706800000,0.416
978710400000,0.395
978714000000,0.391
978717600000,0.398
978721200000,0.403
978724800000,0.395
978728400000,0.386
978732000000,0.363
978735600000,0.336
978739200000,0.339
978742800000,0.352
978746400000,0.367
978750000000,0.347
978753600000,0.297
978757200000,0.241
978760800000,0.206
978764400000,0.186
978768000000,0.165
978771600000,0.151
978775200000,0.151
978778800000,0.169
978782400000,0.177
978786000000,0.175
978789600000,0.168
978793200000,0.195
978796800000,0.227
978800400000,0.246
978804000000,0.254
978807600000,0.249
978811200000,0.236
978814800000,0.209
978818400000,0.175
978822000000,0.144
978825600000,0.133
978829200000,0.13
978832800000,0.13
978836400000,0.126
978840000000,0.133
978843600000,0.142
978847200000,0.158
978850800000,0.17
978854400000,0.167
978858000000,0.192
978861600000,0.274
978865200000,0.323
978868800000,0.33
978872400000,0.264
978876000000,0.188
978879600000,0.144
978883200000,0.155
978886800000,0.201
978890400000,0.245
978894000000,0.261
978897600000,0.264
978901200000,0.231
978904800000,0.258
978908400000,0.27
978912000000,0.279
978915600000,0.261
978919200000,0.233
978922800000,0.223
978926400000,0.214
978930000000,0.204
978933600000,0.181
978937200000,0.152
978940800000,0.132
978944400000,0.145
978948000000,0.195
978951600000,0.243
978955200000,0.263
978958800000,0.234
978962400000,0.213
978966000000,0.225
978969600000,0.258
978973200000,0.305
978976800000,0.376
978980400000,0.428
978984000000,0.472
978987600000,0.476
978991200000,0.448
978994800000,0.444
978998400000,0.454
979002000000,0.414
979005600000,0.37
979009200000,0.344
979012800000,0.332
979016400000,0.328
979020000000,0.338
979023600000,0.354
979027200000,0.352
979030800000,0.347
979034400000,0.355
979038000000,0.36
979041600000,0.36
979045200000,0.334
979048800000,0.305
979052400000,0.266
979056000000,0.238
979059600000,0.227
979063200000,0.231
979066800000,0.249
979070400000,0.274
979074000000,0.3
979077600000,0.324
979081200000,0.316
979084800000,0.358
979088400000,0.424
979092000000,0.465
979095600000,0.454
979099200000,0.401
979102800000,0.31
979106400000,0.214
979110000000,0.157
979113600000,0.148
979117200000,0.164
979120800000,0.187
979124400000,0.22
979128000000,0.234
979131600000,0.225
979135200000,0.207
979138800000,0.18
979142400000,0.163
979146000000,0.153
979149600000,0.155
979153200000,0.166
979156800000,0.187
979160400000,0.201
979164000000,0.2
979167600000,0.168
979171200000,0.147
979174800000,0.124
979178400000,0.096
979182000000,0.065
979185600000,0.041
979189200000,0.026
979192800000,0.017
979196400000,0.012
979200000000,0.009
979203600000,0.009
979207200000,0.014
979210800000,0.028
979214400000,0.052
979218000000,0.076
979221600000,0.101
979225200000,0.12
979228800000,0.147
979232400000,0.154
979236000000,0.138
979239600000,0.13
979243200000,0.133
979246800000,0.139
979250400000,0.144
979254000000,0.13
979257600000,0.115
979261200000,0.103
979264800000,0.097
979268400000,0.089
979272000000,0.084
979275600000,0.069
979279200000,0.054
979282800000,0.041
979286400000,0.038
979290000000,0.045
979293600000,0.046
979297200000,0.042
979300800000,0.038
979304400000,0.051
979308000000,0.084
979311600000,0.115
979315200000,0.136
979318800000,0.145
979322400000,0.149
979326000000,0.157
979329600000,0.167
979333200000,0.171
979336800000,0.169
979340400000,0.148
979344000000,0.135
979347600000,0.119
979351200000,0.096
979354800000,0.079
979358400000,0.068
979362000000,0.076
979365600000,0.101
979369200000,0.103
979372800000,0.093
979376400000,0.09
979380000000,0.072
979383600000,0.065
979387200000,0.075
979390800000,0.084
979394400000,0.079
979398000000,0.067
979401600000,0.06
979405200000,0.066
979408800000,0.079
979412400000,0.096
979416000000,0.112
979419600000,0.145
979423200000,0.185
979426800000,0.203
979430400000,0.251
979434000000,0.314
979437600000,0.358
979441200000,0.367
979444800000,0.367
979448400000,0.374
979452000000,0.367
979455600000,0.361
979459200000,0.391
979462800000,0.459
979466400000,0.498
979470000000,0.504
979473600000,0.466
979477200000,0.464
979480800000,0.442
979484400000,0.414
979488000000,0.415
979491600000,0.451
979495200000,0.456
979498800000,0.437
979502400000,0.425
979506000000,0.436
979509600000,0.448
979513200000,0.454
979516800000,0.532
979520400000,0.624
979524000000,0.685
979527600000,0.713
979531200000,0.746
979534800000,0.77
979538400000,0.739
979542000000,0.668
979545600000,0.615
979549200000,0.582
979552800000,0.585
979556400000,0.584
979560000000,0.574
979563600000,0.637
979567200000,0.676
979570800000,0.714
979574400000,0.744
979578000000,0.752
979581600000,0.768
979585200000,0.812
979588800000,0.846
979592400000,0.87
979596000000,0.887
979599600000,0.891
979603200000,0.896
979606800000,0.89
979610400000,0.894
979614000000,0.882
979617600000,0.865
979621200000,0.849
979624800000,0.832
979628400000,0.807
979632000000,0.802
979635600000,0.813
979639200000,0.817
979642800000,0.803
979646400000,0.77
979650000000,0.718
979653600000,0.702
979657200000,0.744
979660800000,0.753
979664400000,0.764
979668000000,0.769
979671600000,0.771
979675200000,0.727
979678800000,0.718
979682400000,0.715
979686000000,0.722
979689600000,0.75
979693200000,0.78
979696800000,0.808
979700400000,0.809
979704000000,0.803
979707600000,0.806
979711200000,0.791
979714800000,0.773
979718400000,0.758
979722000000,0.739
979725600000,0.737
979729200000,0.707
979732800000,0.686
979736400000,0.668
979740000000,0.692
979743600000,0.703
979747200000,0.668
979750800000,0.629
979754400000,0.601
979758000000,0.571
979761600000,0.553
979765200000,0.535
979768800000,0.496
979772400000,0.486
979776000000,0.551
979779600000,0.603
979783200000,0.644
979786800000,0.668
979790400000,0.692
979794000000,0.725
979797600000,0.736
979801200000,0.722
979804800000,0.676
979808400000,0.582
979812000000,0.52
979815600000,0.501
979819200000,0.467
979822800000,0.442
979826400000,0.407
979830000000,0.376
979833600000,0.355
979837200000,0.337
979840800000,0.303
979844400000,0.271
979848000000,0.253
979851600000,0.214
979855200000,0.183
979858800000,0.157
979862400000,0.142
979866000000,0.082
979869600000,0.049
979873200000,0.593
979876800000,0.806
979880400000,0.772
979884000000,0.778
979887600000,0.711
979891200000,0.639
979894800000,0.566
979898400000,0.526
979902000000,0.491
979905600000,0.448
979909200000,0.412
979912800000,0.379
979916400000,0.377
979920000000,0.376
979923600000,0.374
979927200000,0.381
979930800000,0.398
979934400000,0.413
979938000000,0.422
979941600000,0.416
979945200000,0.481
979948800000,0.643
979952400000,0.742
979956000000,0.774
979959600000,0.772
979963200000,0.754
979966800000,0.747
979970400000,0.737
979974000000,0.7
979977600000,0.642
979981200000,0.594
979984800000,0.573
979988400000,0.569
979992000000,0.557
979995600000,0.535
979999200000,0.513
980002800000,0.48
980006400000,0.457
980010000000,0.454
980013600000,0.488
980017200000,0.505
980020800000,0.503
980024400000,0.509
980028000000,0.509
980031600000,0.536
980035200000,0.624
980038800000,0.692
980042400000,0.715
980046000000,0.717
980049600000,0.714
980053200000,0.7
980056800000,0.672
980060400000,0.62
980064000000,0.546
980067600000,0.508
980071200000,0.501
980074800000,0.508
980078400000,0.518
980082000000,0.515
980085600000,0.498
980089200000,0.489
980092800000,0.501
980096400000,0.51
980100000000,0.479
980103600000,0.463
980107200000,0.457
980110800000,0.466
980114400000,0.512
980118000000,0.555
980121600000,0.637
980125200000,0.696
980128800000,0.724
980132400000,0.725
980136000000,0.707
980139600000,0.674
980143200000,0.614
980146800000,0.53
980150400000,0.424
980154000000,0.357
980157600000,0.332
980161200000,0.334
980164800000,0.325
980168400000,0.302
980172000000,0.275
980175600000,0.232
980179200000,0.21
980182800000,0.195
980186400000,0.186
980190000000,0.181
980193600000,0.171
980197200000,0.2
980200800000,0.24
980204400000,0.269
980208000000,0.337
980211600000,0.36
980215200000,0.353
980218800000,0.337
980222400000,0.313
980226000000,0.29
980229600000,0.268
980233200000,0.256
980236800000,0.243
980240400000,0.241
980244000000,0.254
980247600000,0.267
980251200000,0.265
980254800000,0.264
980258400000,0.264
980262000000,0.274
980265600000,0.275
980269200000,0.249
980272800000,0.218
980276400000,0.192
980280000000,0.194
980283600000,0.196
980287200000,0.186
980290800000,0.177
980294400000,0.211
980298000000,0.246
980301600000,0.257
980305200000,0.265
980308800000,0.274
980312400000,0.293
980316000000,0.316
980319600000,0.32
980323200000,0.302
980326800000,0.294
980330400000,0.257
980334000000,0.229
980337600000,0.21
980341200000,0.182
980344800000,0.155
980348400000,0.141
980352000000,0.137
980355600000,0.131
980359200000,0.12
980362800000,0.111
980366400000,0.101
980370000000,0.093
980373600000,0.092
980377200000,0.092
980380800000,0.105
980384400000,0.115
980388000000,0.124
980391600000,0.125
980395200000,0.115
980398800000,0.108
980402400000,0.112
980406000000,0.132
980409600000,0.149
980413200000,0.17
980416800000,0.207
980420400000,0.241
980424000000,0.257
980427600000,0.261
980431200000,0.268
980434800000,0.301
980438400000,0.337
980442000000,0.381
980445600000,0.425
980449200000,0.433
980452800000,0.442
980456400000,0.448
980460000000,0.425
980463600000,0.387
980467200000,0.343
980470800000,0.258
980474400000,0.18
980478000000,0.136
980481600000,0.113
980485200000,0.093
980488800000,0.086
980492400000,0.095
980496000000,0.117
980499600000,0.133
980503200000,0.148
980506800000,0.179
980510400000,0.199
980514000000,0.211
980517600000,0.21
980521200000,0.205
980524800000,0.21
980528400000,0.231
980532000000,0.264
980535600000,0.308
980539200000,0.347
980542800000,0.372
980546400000,0.355
980550000000,0.379
980553600000,0.479
980557200000,0.488
980560800000,0.462
980564400000,0.432
980568000000,0.408
980571600000,0.416
980575200000,0.456
980578800000,0.49
980582400000,0.501
980586000000,0.495
980589600000,0.457
980593200000,0.391
980596800000,0.315
980600400000,0.259
980604000000,0.241
980607600000,0.239
980611200000,0.253
980614800000,0.303
980618400000,0.348
980622000000,0.392
980625600000,0.445
980629200000,0.472
980632800000,0.425
980636400000,0.414
980640000000,0.476
980643600000,0.527
980647200000,0.488
980650800000,0.376
980654400000,0.248
980658000000,0.168
980661600000,0.183
980665200000,0.22
980668800000,0.186
980672400000,0.17
980676000000,0.171
980679600000,0.174
980683200000,0.175
980686800000,0.192
980690400000,0.199
980694000000,0.225
980697600000,0.231
980701200000,0.19
980704800000,0.184
980708400000,0.185
980712000000,0.192
980715600000,0.208
980719200000,0.217
980722800000,0.224
980726400000,0.275
980730000000,0.332
980733600000,0.364
980737200000,0.351
980740800000,0.317
980744400000,0.284
980748000000,0.245
980751600000,0.226
980755200000,0.218
980758800000,0.233
980762400000,0.223
980766000000,0.2
980769600000,0.189
980773200000,0.184
980776800000,0.187
980780400000,0.2
980784000000,0.201
980787600000,0.192
980791200000,0.182
980794800000,0.173
980798400000,0.168
980802000000,0.155
980805600000,0.131
980809200000,0.101
980812800000,0.084
980816400000,0.071
980820000000,0.063
980823600000,0.068
980827200000,0.073
980830800000,0.081
980834400000,0.086
980838000000,0.087
980841600000,0.094
980845200000,0.104
980848800000,0.107
980852400000,0.112
980856000000,0.115
980859600000,0.113
980863200000,0.114
980866800000,0.118
980870400000,0.118
980874000000,0.111
980877600000,0.095
980881200000,0.084
980884800000,0.08
980888400000,0.081
980892000000,0.081
980895600000,0.084
980899200000,0.106
980902800000,0.144
980906400000,0.178
980910000000,0.202
980913600000,0.22
980917200000,0.231
980920800000,0.249
980924400000,0.272
980928000000,0.311
980931600000,0.376
980935200000,0.454
980938800000,0.509
980942400000,0.519
980946000000,0.526
980949600000,0.516
980953200000,0.488
980956800000,0.458
980960400000,0.45
980964000000,0.438
980967600000,0.404
980971200000,0.361
980974800000,0.313
980978400000,0.263
980982000000,0.192
980985600000,0.136
980989200000,0.094
980992800000,0.063
980996400000,0.044
981000000000,0.032
981003600000,0.024
981007200000,0.019
981010800000,0.02
981014400000,0.027
981018000000,0.042
981021600000,0.063
981025200000,0.091
981028800000,0.118
981032400000,0.142
981036000000,0.159
981039600000,0.173
981043200000,0.177
981046800000,0.176
981050400000,0.175
981054000000,0.17
981057600000,0.159
981061200000,0.149
981064800000,0.138
981068400000,0.115
981072000000,0.1
981075600000,0.085
981079200000,0.068
981082800000,0.051
981086400000,0.045
981090000000,0.047
981093600000,0.057
981097200000,0.076
981100800000,0.108
981104400000,0.162
981108000000,0.21
981111600000,0.241
981115200000,0.245
981118800000,0.237
981122400000,0.226
981126000000,0.213
981129600000,0.202
981133200000,0.2
981136800000,0.217
981140400000,0.249
981144000000,0.291
981147600000,0.343
981151200000,0.37
981154800000,0.34
981158400000,0.334
981162000000,0.329
981165600000,0.314
981169200000,0.305
981172800000,0.302
981176400000,0.328
981180000000,0.376
981183600000,0.425
981187200000,0.449
981190800000,0.452
981194400000,0.47
981198000000,0.494
981201600000,0.495
981205200000,0.491
981208800000,0.496
981212400000,0.491
981216000000,0.48
981219600000,0.481
981223200000,0.476
981226800000,0.466
981230400000,0.454
981234000000,0.45
981237600000,0.444
981241200000,0.42
981244800000,0.426
981248400000,0.422
981252000000,0.406
981255600000,0.398
981259200000,0.376
981262800000,0.35
981266400000,0.362
981270000000,0.385
981273600000,0.395
981277200000,0.413
981280800000,0.434
981284400000,0.435
981288000000,0.423
981291600000,0.41
981295200000,0.422
981298800000,0.456
981302400000,0.483
981306000000,0.506
981309600000,0.525
981313200000,0.534
981316800000,0.532
981320400000,0.531
981324000000,0.527
981327600000,0.546
981331200000,0.666
981334800000,0.77
981338400000,0.817
981342000000,0.845
981345600000,0.853
981349200000,0.823
981352800000,0.779
981356400000,0.753
981360000000,0.711
981363600000,0.641
981367200000,0.586
981370800000,0.559
981374400000,0.539
981378000000,0.532
981381600000,0.516
981385200000,0.508
981388800000,0.498
981392400000,0.519
981396000000,0.562
981399600000,0.541
981403200000,0.502
981406800000,0.498
981410400000,0.51
981414000000,0.547
981417600000,0.626
981421200000,0.704
981424800000,0.749
981428400000,0.753
981432000000,0.741
981435600000,0.726
981439200000,0.712
981442800000,0.698
981446400000,0.661
981450000000,0.613
981453600000,0.563
981457200000,0.507
981460800000,0.449
981464400000,0.403
981468000000,0.37
981471600000,0.357
981475200000,0.374
981478800000,0.398
981482400000,0.425
981486000000,0.438
981489600000,0.452
981493200000,0.464
981496800000,0.472
981500400000,0.488
981504000000,0.528
981507600000,0.519
981511200000,0.481
981514800000,0.477
981518400000,0.491
981522000000,0.491
981525600000,0.466
981529200000,0.458
981532800000,0.494
981536400000,0.549
981540000000,0.567
981543600000,0.591
981547200000,0.615
981550800000,0.613
981554400000,0.596
981558000000,0.604
981561600000,0.621
981565200000,0.635
981568800000,0.644
981572400000,0.619
981576000000,0.594
981579600000,0.547
981583200000,0.481
981586800000,0.401
981590400000,0.425
981594000000,0.484
981597600000,0.591
981601200000,0.763
981604800000,0.855
981608400000,0.889
981612000000,0.894
981615600000,0.873
981619200000,0.827
981622800000,0.761
981626400000,0.682
981630000000,0.61
981633600000,0.581
981637200000,0.541
981640800000,0.457
981644400000,0.398
981648000000,0.35
981651600000,0.356
981655200000,0.397
981658800000,0.413
981662400000,0.379
981666000000,0.42
981669600000,0.507
981673200000,0.605
981676800000,0.674
981680400000,0.722
981684000000,0.741
981687600000,0.762
981691200000,0.777
981694800000,0.764
981698400000,0.74
981702000000,0.704
981705600000,0.644
981709200000,0.561
981712800000,0.512
981716400000,0.476
981720000000,0.466
981723600000,0.451
981727200000,0.435
981730800000,0.464
981734400000,0.494
981738000000,0.516
981741600000,0.532
981745200000,0.561
981748800000,0.596
981752400000,0.606
981756000000,0.568
981759600000,0.516
981763200000,0.501
981766800000,0.479
981770400000,0.45
981774000000,0.434
981777600000,0.436
981781200000,0.46
981784800000,0.521
981788400000,0.586
981792000000,0.614
981795600000,0.595
981799200000,0.558
981802800000,0.525
981806400000,0.492
981810000000,0.425
981813600000,0.338
981817200000,0.304
981820800000,0.3
981824400000,0.323
981828000000,0.369
981831600000,0.399
981835200000,0.43
981838800000,0.448
981842400000,0.444
981846000000,0.457
981849600000,0.476
981853200000,0.469
981856800000,0.425
981860400000,0.376
981864000000,0.359
981867600000,0.37
981871200000,0.362
981874800000,0.289
981878400000,0.249
981882000000,0.209
981885600000,0.138
981889200000,0.093
981892800000,0.149
981896400000,0.337
981900000000,0.523
981903600000,0.611
981907200000,0.72
981910800000,0.75
981914400000,0.746
981918000000,0.72
981921600000,0.698
981925200000,0.683
981928800000,0.65
981932400000,0.712
981936000000,0.78
981939600000,0.818
981943200000,0.837
981946800000,0.851
981950400000,0.853
981954000000,0.842
981957600000,0.823
981961200000,0.783
981964800000,0.718
981968400000,0.635
981972000000,0.559
981975600000,0.538
981979200000,0.546
981982800000,0.55
981986400000,0.538
981990000000,0.519
981993600000,0.506
981997200000,0.505
982000800000,0.494
982004400000,0.476
982008000000,0.48
982011600000,0.471
982015200000,0.439
982018800000,0.485
982022400000,0.598
982026000000,0.644
982029600000,0.663
982033200000,0.672
982036800000,0.666
982040400000,0.658
982044000000,0.659
982047600000,0.654
982051200000,0.621
982054800000,0.571
982058400000,0.517
982062000000,0.504
982065600000,0.511
982069200000,0.503
982072800000,0.51
982076400000,0.547
982080000000,0.62
982083600000,0.686
982087200000,0.692
982090800000,0.692
982094400000,0.695
982098000000,0.702
982101600000,0.705
982105200000,0.75
982108800000,0.829
982112400000,0.856
982116000000,0.862
982119600000,0.844
982123200000,0.791
982126800000,0.733
982130400000,0.704
982134000000,0.724
982137600000,0.734
982141200000,0.741
982144800000,0.763
982148400000,0.814
982152000000,0.826
982155600000,0.809
982159200000,0.786
982162800000,0.785
982166400000,0.765
982170000000,0.732
982173600000,0.711
982177200000,0.697
982180800000,0.688
982184400000,0.668
982188000000,0.668
982191600000,0.792
982195200000,0.858
982198800000,0.875
982202400000,0.875
982206000000,0.875
982209600000,0.893
982213200000,0.904
982216800000,0.897
982220400000,0.881
982224000000,0.833
982227600000,0.788
982231200000,0.799
982234800000,0.82
982238400000,0.822
982242000000,0.821
982245600000,0.816
982249200000,0.815
982252800000,0.811
982256400000,0.806
982260000000,0.796
982263600000,0.788
982267200000,0.778
982270800000,0.773
982274400000,0.772
982278000000,0.809
982281600000,0.863
982285200000,0.885
982288800000,0.887
982292400000,0.879
982296000000,0.872
982299600000,0.867
982303200000,0.862
982306800000,0.828
982310400000,0.758
982314000000,0.718
982317600000,0.751
982321200000,0.803
982324800000,0.822
982328400000,0.822
982332000000,0.823
982335600000,0.812
982339200000,0.801
982342800000,0.794
982346400000,0.781
982350000000,0.765
982353600000,0.749
982357200000,0.722
982360800000,0.684
982364400000,0.692
982368000000,0.736
982371600000,0.759
982375200000,0.746
982378800000,0.725
982382400000,0.746
982386000000,0.73
982389600000,0.658
982393200000,0.561
982396800000,0.434
982400400000,0.38
982404000000,0.413
982407600000,0.479
982411200000,0.535
982414800000,0.573
982418400000,0.592
982422000000,0.623
982425600000,0.663
982429200000,0.726
982432800000,0.759
982436400000,0.752
982440000000,0.714
982443600000,0.728
982447200000,0.728
982450800000,0.806
982454400000,0.912
982458000000,0.949
982461600000,0.961
982465200000,0.954
982468800000,0.914
982472400000,0.851
982476000000,0.823
982479600000,0.814
982483200000,0.799
982486800000,0.753
982490400000,0.695
982494000000,0.651
982497600000,0.623
982501200000,0.604
982504800000,0.607
982508400000,0.601
982512000000,0.603
982515600000,0.571
982519200000,0.525
982522800000,0.46
982526400000,0.418
982530000000,0.386
982533600000,0.332
982537200000,0.291
982540800000,0.32
982544400000,0.358
982548000000,0.4
982551600000,0.43
982555200000,0.454
982558800000,0.467
982562400000,0.464
982566000000,0.42
982569600000,0.379
982573200000,0.317
982576800000,0.251
982580400000,0.196
982584000000,0.169
982587600000,0.144
982591200000,0.108
982594800000,0.092
982598400000,0.089
982602000000,0.083
982605600000,0.078
982609200000,0.084
982612800000,0.093
982616400000,0.112
982620000000,0.133
982623600000,0.141
982627200000,0.135
982630800000,0.121
982634400000,0.111
982638000000,0.098
982641600000,0.077
982645200000,0.057
982648800000,0.041
982652400000,0.029
982656000000,0.021
982659600000,0.017
982663200000,0.015
982666800000,0.019
982670400000,0.028
982674000000,0.045
982677600000,0.068
982681200000,0.083
982684800000,0.086
982688400000,0.084
982692000000,0.075
982695600000,0.066
982699200000,0.06
982702800000,0.057
982706400000,0.063
982710000000,0.076
982713600000,0.093
982717200000,0.114
982720800000,0.139
982724400000,0.159
982728000000,0.167
982731600000,0.156
982735200000,0.128
982738800000,0.095
982742400000,0.058
982746000000,0.026
982749600000,0.011
982753200000,0.005
982756800000,0.002
982760400000,0.002
982764000000,0.003
982767600000,0.005
982771200000,0.004
982774800000,0.002
982778400000,0.002
982782000000,0.001
982785600000,0.001
982789200000,0.0
982792800000,0.0
982796400000,0.0
982800000000,0.001
982803600000,0.002
982807200000,0.005
982810800000,0.006
982814400000,0.005
982818000000,0.004
982821600000,0.003
982825200000,0.003
982828800000,0.002
982832400000,0.005
982836000000,0.015
982839600000,0.034
982843200000,0.061
982846800000,0.084
982850400000,0.096
982854000000,0.094
982857600000,0.093
982861200000,0.094
982864800000,0.095
982868400000,0.093
982872000000,0.089
982875600000,0.083
982879200000,0.067
982882800000,0.042
982886400000,0.029
982890000000,0.018
982893600000,0.009
982897200000,0.003
982900800000,0.001
982904400000,0.0
982908000000,0.0
982911600000,0.0
982915200000,0.001
982918800000,0.001
982922400000,0.003
982926000000,0.006
982929600000,0.01
982933200000,0.014
982936800000,0.018
982940400000,0.018
982944000000,0.016
982947600000,0.014
982951200000,0.012
982954800000,0.011
982958400000,0.008
982962000000,0.005
982965600000,0.003
982969200000,0.003
982972800000,0.002
982976400000,0.002
982980000000,0.002
982983600000,0.004
982987200000,0.006
982990800000,0.007
982994400000,0.008
982998000000,0.008
983001600000,0.008
983005200000,0.008
983008800000,0.009
983012400000,0.012
983016000000,0.017
983019600000,0.018
983023200000,0.016
983026800000,0.017
983030400000,0.028
983034000000,0.049
983037600000,0.071
983041200000,0.089
983044800000,0.097
983048400000,0.088
983052000000,0.073
983055600000,0.058
983059200000,0.054
983062800000,0.061
983066400000,0.064
983070000000,0.063
983073600000,0.063
983077200000,0.068
983080800000,0.068
983084400000,0.079
983088000000,0.103
983091600000,0.141
983095200000,0.203
983098800000,0.264
983102400000,0.278
983106000000,0.265
983109600000,0.247
983113200000,0.244
983116800000,0.238
983120400000,0.223
983124000000,0.194
983127600000,0.167
983131200000,0.158
983134800000,0.162
983138400000,0.155
983142000000,0.137
983145600000,0.153
983149200000,0.168
983152800000,0.179
