,Py1
979423200000,0.379
979426800000,0.386
979430400000,0.479
979434000000,0.536
979437600000,0.568
979441200000,0.558
979444800000,0.524
979448400000,0.491
979452000000,0.442
979455600000,0.358
979459200000,0.303
979462800000,0.415
979466400000,0.561
979470000000,0.663
979473600000,0.72
979477200000,0.756
979480800000,0.777
979484400000,0.788
979488000000,0.817
979491600000,0.856
979495200000,0.874
979498800000,0.88
979502400000,0.887
979506000000,0.894
979509600000,0.903
979513200000,0.895
979516800000,0.885
979520400000,0.883
979524000000,0.877
979527600000,0.863
979531200000,0.846
979534800000,0.853
979538400000,0.838
979542000000,0.755
979545600000,0.689
979549200000,0.742
979552800000,0.84
979556400000,0.902
979560000000,0.918
979563600000,0.912
979567200000,0.91
979570800000,0.91
979574400000,0.917
979578000000,0.918
979581600000,0.917
979585200000,0.921
979588800000,0.927
979592400000,0.928
979596000000,0.924
979599600000,0.925
979603200000,0.931
979606800000,0.941
979610400000,0.938
979614000000,0.931
979617600000,0.916
979621200000,0.883
979624800000,0.848
979628400000,0.82
979632000000,0.825
979635600000,0.845
979639200000,0.855
979642800000,0.852
979646400000,0.84
979650000000,0.829
979653600000,0.833
979657200000,0.838
979660800000,0.848
979664400000,0.861
979668000000,0.87
979671600000,0.875
979675200000,0.881
979678800000,0.89
979682400000,0.902
979686000000,0.918
979689600000,0.943
979693200000,0.951
979696800000,0.949
979700400000,0.946
979704000000,0.945
979707600000,0.938
979711200000,0.914
979714800000,0.89
979718400000,0.886
979722000000,0.894
979725600000,0.897
979729200000,0.895
979732800000,0.886
979736400000,0.88
979740000000,0.875
979743600000,0.869
979747200000,0.864
979750800000,0.862
979754400000,0.86
979758000000,0.857
979761600000,0.85
979765200000,0.847
979768800000,0.838
979772400000,0.824
979776000000,0.84
979779600000,0.859
979783200000,0.857
979786800000,0.844
979790400000,0.825
979794000000,0.806
979797600000,0.788
979801200000,0.741
979804800000,0.697
979808400000,0.718
979812000000,0.768
979815600000,0.797
979819200000,0.806
979822800000,0.801
979826400000,0.791
979830000000,0.782
979833600000,0.768
979837200000,0.762
979840800000,0.762
979844400000,0.777
979848000000,0.778
979851600000,0.764
979855200000,0.75
979858800000,0.75
979862400000,0.808
979866000000,0.858
979869600000,0.886
979873200000,0.896
979876800000,0.893
979880400000,0.867
979884000000,0.786
979887600000,0.706
979891200000,0.69
979894800000,0.693
979898400000,0.705
979902000000,0.712
979905600000,0.69
979909200000,0.664
979912800000,0.636
979916400000,0.627
979920000000,0.584
979923600000,0.595
979927200000,0.599
979930800000,0.608
979934400000,0.603
979938000000,0.594
979941600000,0.59
979945200000,0.615
979948800000,0.718
979952400000,0.78
979956000000,0.794
979959600000,0.759
979963200000,0.695
979966800000,0.647
979970400000,0.615
979974000000,0.555
979977600000,0.444
979981200000,0.44
979984800000,0.533
979988400000,0.642
979992000000,0.724
979995600000,0.744
979999200000,0.737
980002800000,0.715
980006400000,0.687
980010000000,0.672
980013600000,0.663
980017200000,0.661
980020800000,0.652
980024400000,0.65
980028000000,0.648
980031600000,0.622
980035200000,0.642
980038800000,0.688
980042400000,0.689
980046000000,0.656
980049600000,0.606
980053200000,0.558
980056800000,0.526
980060400000,0.494
980064000000,0.435
980067600000,0.464
980071200000,0.58
980074800000,0.647
980078400000,0.669
980082000000,0.633
980085600000,0.602
980089200000,0.608
980092800000,0.618
980096400000,0.632
980100000000,0.655
980103600000,0.659
980107200000,0.646
980110800000,0.633
980114400000,0.603
980118000000,0.569
980121600000,0.618
980125200000,0.612
980128800000,0.58
980132400000,0.513
980136000000,0.442
980139600000,0.391
980143200000,0.347
980146800000,0.303
980150400000,0.234
980154000000,0.214
980157600000,0.278
980161200000,0.355
980164800000,0.403
980168400000,0.423
980172000000,0.432
980175600000,0.446
980179200000,0.432
980182800000,0.43
980186400000,0.429
980190000000,0.432
980193600000,0.428
980197200000,0.418
980200800000,0.425
980204400000,0.445
980208000000,0.48
980211600000,0.476
980215200000,0.449
980218800000,0.407
980222400000,0.368
980226000000,0.337
980229600000,0.311
980233200000,0.279
980236800000,0.199
980240400000,0.168
980244000000,0.193
980247600000,0.241
980251200000,0.295
980254800000,0.374
980258400000,0.413
980262000000,0.407
980265600000,0.417
980269200000,0.413
980272800000,0.369
980276400000,0.329
980280000000,0.3
980283600000,0.281
980287200000,0.266
980290800000,0.273
980294400000,0.323
980298000000,0.347
980301600000,0.355
