,N1
1483228800000,0.849
1483232400000,0.863
1483236000000,0.862
1483239600000,0.866
1483243200000,0.874
1483246800000,0.878
1483250400000,0.872
1483254000000,0.845
1483257600000,0.778
1483261200000,0.766
1483264800000,0.75
1483268400000,0.725
1483272000000,0.701
1483275600000,0.678
1483279200000,0.673
1483282800000,0.688
1483286400000,0.699
1483290000000,0.696
1483293600000,0.68
1483297200000,0.678
1483300800000,0.666
1483304400000,0.638
1483308000000,0.589
1483311600000,0.583
1483315200000,0.692
1483318800000,0.761
1483322400000,0.786
1483326000000,0.786
1483329600000,0.759
1483333200000,0.711
1483336800000,0.667
1483340400000,0.613
1483344000000,0.494
1483347600000,0.528
1483351200000,0.621
1483354800000,0.677
1483358400000,0.661
1483362000000,0.63
1483365600000,0.624
1483369200000,0.644
1483372800000,0.669
1483376400000,0.681
1483380000000,0.672
1483383600000,0.628
1483387200000,0.601
1483390800000,0.556
1483394400000,0.516
1483398000000,0.502
1483401600000,0.619
1483405200000,0.666
1483408800000,0.683
1483412400000,0.698
1483416000000,0.692
1483419600000,0.635
1483423200000,0.544
1483426800000,0.433
1483430400000,0.288
1483434000000,0.277
1483437600000,0.337
1483441200000,0.391
1483444800000,0.398
1483448400000,0.399
1483452000000,0.391
1483455600000,0.388
1483459200000,0.393
1483462800000,0.4
1483466400000,0.41
1483470000000,0.387
1483473600000,0.332
1483477200000,0.281
1483480800000,0.245
1483484400000,0.238
1483488000000,0.31
1483491600000,0.355
1483495200000,0.395
1483498800000,0.42
1483502400000,0.437
1483506000000,0.43
1483509600000,0.403
1483513200000,0.345
1483516800000,0.231
1483520400000,0.166
1483524000000,0.133
1483527600000,0.128
1483531200000,0.147
1483534800000,0.16
1483538400000,0.155
1483542000000,0.167
1483545600000,0.164
1483549200000,0.189
1483552800000,0.22
1483556400000,0.27
1483560000000,0.291
1483563600000,0.325
1483567200000,0.302
1483570800000,0.255
1483574400000,0.251
1483578000000,0.317
1483581600000,0.323
1483585200000,0.355
1483588800000,0.48
1483592400000,0.613
1483596000000,0.655
1483599600000,0.59
1483603200000,0.499
1483606800000,0.484
1483610400000,0.499
1483614000000,0.506
1483617600000,0.557
1483621200000,0.569
1483624800000,0.575
1483628400000,0.59
1483632000000,0.613
1483635600000,0.618
1483639200000,0.626
1483642800000,0.647
1483646400000,0.665
1483650000000,0.664
1483653600000,0.646
1483657200000,0.624
1483660800000,0.667
1483664400000,0.666
1483668000000,0.656
1483671600000,0.625
1483675200000,0.58
1483678800000,0.519
1483682400000,0.448
1483686000000,0.341
1483689600000,0.234
1483693200000,0.231
1483696800000,0.26
1483700400000,0.32
1483704000000,0.378
1483707600000,0.41
1483711200000,0.415
1483714800000,0.42
1483718400000,0.398
1483722000000,0.367
1483725600000,0.386
1483729200000,0.413
