,L12
915148800000,0.896
915152400000,0.934
915156000000,0.951
915159600000,0.953
915163200000,0.948
915166800000,0.939
915170400000,0.931
915174000000,0.919
915177600000,0.891
915181200000,0.879
915184800000,0.886
915188400000,0.897
915192000000,0.901
915195600000,0.896
915199200000,0.893
915202800000,0.89
915206400000,0.893
915210000000,0.896
915213600000,0.893
915217200000,0.893
915220800000,0.895
915224400000,0.9
915228000000,0.905
915231600000,0.902
915235200000,0.936
915238800000,0.945
915242400000,0.939
915246000000,0.924
915249600000,0.904
915253200000,0.889
915256800000,0.883
915260400000,0.872
915264000000,0.837
915267600000,0.784
915271200000,0.758
915274800000,0.749
915278400000,0.744
915282000000,0.746
915285600000,0.744
915289200000,0.734
915292800000,0.723
915296400000,0.726
915300000000,0.722
915303600000,0.697
915307200000,0.673
915310800000,0.658
915314400000,0.66
915318000000,0.674
915321600000,0.754
915325200000,0.787
915328800000,0.784
915332400000,0.755
915336000000,0.702
915339600000,0.649
915343200000,0.608
915346800000,0.568
915350400000,0.494
915354000000,0.454
915357600000,0.448
915361200000,0.437
915364800000,0.418
915368400000,0.386
915372000000,0.365
915375600000,0.358
915379200000,0.322
915382800000,0.272
915386400000,0.231
915390000000,0.207
915393600000,0.208
915397200000,0.22
915400800000,0.241
915404400000,0.223
915408000000,0.259
915411600000,0.289
915415200000,0.289
915418800000,0.259
915422400000,0.22
915426000000,0.199
915429600000,0.183
915433200000,0.171
915436800000,0.155
915440400000,0.156
915444000000,0.162
915447600000,0.161
915451200000,0.148
915454800000,0.144
915458400000,0.152
915462000000,0.162
915465600000,0.179
915469200000,0.206
915472800000,0.261
915476400000,0.32
915480000000,0.355
915483600000,0.36
915487200000,0.352
915490800000,0.308
915494400000,0.338
915498000000,0.382
915501600000,0.417
915505200000,0.432
915508800000,0.439
915512400000,0.465
915516000000,0.505
915519600000,0.556
915523200000,0.578
915526800000,0.578
915530400000,0.556
915534000000,0.519
915537600000,0.46
915541200000,0.41
915544800000,0.4
915548400000,0.425
915552000000,0.494
915555600000,0.571
915559200000,0.626
915562800000,0.641
915566400000,0.644
915570000000,0.661
915573600000,0.665
915577200000,0.676
915580800000,0.734
915584400000,0.772
915588000000,0.822
915591600000,0.874
915595200000,0.909
915598800000,0.924
915602400000,0.925
915606000000,0.916
915609600000,0.881
915613200000,0.831
915616800000,0.802
915620400000,0.786
915624000000,0.777
915627600000,0.762
915631200000,0.734
915634800000,0.721
915638400000,0.733
915642000000,0.755
915645600000,0.777
915649200000,0.804
915652800000,0.82
915656400000,0.839
915660000000,0.849
915663600000,0.867
915667200000,0.9
915670800000,0.902
915674400000,0.889
915678000000,0.867
915681600000,0.844
915685200000,0.824
915688800000,0.811
915692400000,0.803
915696000000,0.784
915699600000,0.755
915703200000,0.74
915706800000,0.724
915710400000,0.705
915714000000,0.686
915717600000,0.679
915721200000,0.685
915724800000,0.684
915728400000,0.68
915732000000,0.691
915735600000,0.71
915739200000,0.741
915742800000,0.765
915746400000,0.768
915750000000,0.743
915753600000,0.737
915757200000,0.699
915760800000,0.685
915764400000,0.7
915768000000,0.729
915771600000,0.75
915775200000,0.761
915778800000,0.757
915782400000,0.737
915786000000,0.718
915789600000,0.722
915793200000,0.745
915796800000,0.771
915800400000,0.781
915804000000,0.766
915807600000,0.736
915811200000,0.7
915814800000,0.681
915818400000,0.694
915822000000,0.715
915825600000,0.728
915829200000,0.722
915832800000,0.7
915836400000,0.683
915840000000,0.758
915843600000,0.812
915847200000,0.852
915850800000,0.879
915854400000,0.892
915858000000,0.892
915861600000,0.908
915865200000,0.934
915868800000,0.947
915872400000,0.95
915876000000,0.947
915879600000,0.941
915883200000,0.925
915886800000,0.916
915890400000,0.907
915894000000,0.901
915897600000,0.901
915901200000,0.91
915904800000,0.925
915908400000,0.934
915912000000,0.937
915915600000,0.941
915919200000,0.945
915922800000,0.949
915926400000,0.97
915930000000,0.972
915933600000,0.966
915937200000,0.955
915940800000,0.943
915944400000,0.934
915948000000,0.933
915951600000,0.934
915955200000,0.932
915958800000,0.931
915962400000,0.929
915966000000,0.93
915969600000,0.923
915973200000,0.914
915976800000,0.903
915980400000,0.897
915984000000,0.895
915987600000,0.895
915991200000,0.899
915994800000,0.905
915998400000,0.902
916002000000,0.899
916005600000,0.897
916009200000,0.9
916012800000,0.933
