,B1
1042527600000,0.644
1042531200000,0.621
1042534800000,0.615
1042538400000,0.614
1042542000000,0.613
1042545600000,0.613
1042549200000,0.602
1042552800000,0.592
1042556400000,0.578
1042560000000,0.55
1042563600000,0.547
1042567200000,0.556
1042570800000,0.556
1042574400000,0.561
1042578000000,0.59
1042581600000,0.601
1042585200000,0.55
1042588800000,0.554
1042592400000,0.525
1042596000000,0.501
1042599600000,0.511
1042603200000,0.547
1042606800000,0.606
1042610400000,0.669
1042614000000,0.718
1042617600000,0.712
1042621200000,0.697
1042624800000,0.708
1042628400000,0.737
1042632000000,0.765
1042635600000,0.772
1042639200000,0.777
1042642800000,0.776
1042646400000,0.776
1042650000000,0.765
1042653600000,0.734
1042657200000,0.75
1042660800000,0.773
1042664400000,0.826
1042668000000,0.833
1042671600000,0.854
1042675200000,0.892
1042678800000,0.895
1042682400000,0.883
1042686000000,0.862
1042689600000,0.837
1042693200000,0.82
1042696800000,0.816
1042700400000,0.818
1042704000000,0.808
1042707600000,0.778
1042711200000,0.737
1042714800000,0.679
1042718400000,0.655
1042722000000,0.615
1042725600000,0.582
1042729200000,0.587
1042732800000,0.596
1042736400000,0.617
1042740000000,0.644
1042743600000,0.633
1042747200000,0.636
1042750800000,0.676
1042754400000,0.693
1042758000000,0.728
1042761600000,0.794
1042765200000,0.816
1042768800000,0.816
1042772400000,0.809
1042776000000,0.811
1042779600000,0.811
1042783200000,0.799
1042786800000,0.78
1042790400000,0.742
1042794000000,0.701
1042797600000,0.642
1042801200000,0.616
1042804800000,0.601
1042808400000,0.663
1042812000000,0.654
1042815600000,0.596
1042819200000,0.586
1042822800000,0.583
1042826400000,0.578
1042830000000,0.567
1042833600000,0.559
1042837200000,0.561
1042840800000,0.552
1042844400000,0.636
1042848000000,0.742
1042851600000,0.763
1042855200000,0.756
1042858800000,0.738
1042862400000,0.718
1042866000000,0.709
1042869600000,0.706
1042873200000,0.685
1042876800000,0.618
1042880400000,0.532
1042884000000,0.459
1042887600000,0.427
1042891200000,0.425
1042894800000,0.433
1042898400000,0.438
1042902000000,0.41
1042905600000,0.388
1042909200000,0.395
1042912800000,0.42
1042916400000,0.488
1042920000000,0.51
1042923600000,0.491
1042927200000,0.476
1042930800000,0.557
1042934400000,0.653
1042938000000,0.682
1042941600000,0.666
1042945200000,0.636
1042948800000,0.602
1042952400000,0.577
1042956000000,0.574
1042959600000,0.56
1042963200000,0.493
1042966800000,0.4
1042970400000,0.411
1042974000000,0.449
1042977600000,0.469
1042981200000,0.562
1042984800000,0.566
1042988400000,0.574
1042992000000,0.587
1042995600000,0.588
1042999200000,0.582
1043002800000,0.557
1043006400000,0.52
1043010000000,0.501
1043013600000,0.486
1043017200000,0.499
1043020800000,0.568
1043024400000,0.618
1043028000000,0.626
1043031600000,0.59
1043035200000,0.532
1043038800000,0.487
1043042400000,0.479
1043046000000,0.466
1043049600000,0.44
1043053200000,0.479
1043056800000,0.595
1043060400000,0.677
1043064000000,0.701
1043067600000,0.718
1043071200000,0.69
1043074800000,0.63
1043078400000,0.588
1043082000000,0.599
1043085600000,0.601
1043089200000,0.568
1043092800000,0.556
1043096400000,0.562
1043100000000,0.558
1043103600000,0.568
1043107200000,0.644
1043110800000,0.7
1043114400000,0.719
1043118000000,0.702
1043121600000,0.656
1043125200000,0.611
1043128800000,0.563
1043132400000,0.501
1043136000000,0.429
1043139600000,0.374
1043143200000,0.331
1043146800000,0.29
1043150400000,0.259
1043154000000,0.239
1043157600000,0.225
1043161200000,0.209
1043164800000,0.199
1043168400000,0.205
1043172000000,0.201
1043175600000,0.192
1043179200000,0.171
1043182800000,0.159
1043186400000,0.141
1043190000000,0.177
1043193600000,0.234
1043197200000,0.26
1043200800000,0.233
1043204400000,0.174
1043208000000,0.119
1043211600000,0.079
1043215200000,0.054
1043218800000,0.039
1043222400000,0.033
1043226000000,0.041
1043229600000,0.056
1043233200000,0.068
1043236800000,0.08
1043240400000,0.074
1043244000000,0.053
1043247600000,0.027
1043251200000,0.013
1043254800000,0.006
1043258400000,0.006
1043262000000,0.017
1043265600000,0.032
1043269200000,0.039
1043272800000,0.031
1043276400000,0.019
1043280000000,0.018
1043283600000,0.026
1043287200000,0.041
1043290800000,0.054
1043294400000,0.068
1043298000000,0.08
1043301600000,0.1
1043305200000,0.124
1043308800000,0.136
1043312400000,0.152
1043316000000,0.185
1043319600000,0.211
1043323200000,0.241
1043326800000,0.283
1043330400000,0.326
1043334000000,0.346
1043337600000,0.388
1043341200000,0.434
1043344800000,0.458
1043348400000,0.485
1043352000000,0.505
1043355600000,0.503
1043359200000,0.462
1043362800000,0.45
1043366400000,0.507
1043370000000,0.532
1043373600000,0.471
1043377200000,0.394
1043380800000,0.342
1043384400000,0.311
1043388000000,0.3
1043391600000,0.285
1043395200000,0.261
1043398800000,0.216
1043402400000,0.197
1043406000000,0.218
1043409600000,0.245
1043413200000,0.311
1043416800000,0.374
1043420400000,0.41
1043424000000,0.435
1043427600000,0.437
1043431200000,0.447
1043434800000,0.447
1043438400000,0.442
1043442000000,0.437
1043445600000,0.416
1043449200000,0.425
1043452800000,0.471
1043456400000,0.498
1043460000000,0.499
1043463600000,0.467
1043467200000,0.432
1043470800000,0.398
1043474400000,0.374
1043478000000,0.343
1043481600000,0.294
1043485200000,0.266
1043488800000,0.279
1043492400000,0.3
1043496000000,0.312
1043499600000,0.311
1043503200000,0.316
1043506800000,0.312
1043510400000,0.3
1043514000000,0.278
1043517600000,0.254
1043521200000,0.241
1043524800000,0.238
1043528400000,0.257
1043532000000,0.272
1043535600000,0.255
1043539200000,0.284
1043542800000,0.337
1043546400000,0.343
1043550000000,0.294
1043553600000,0.242
1043557200000,0.204
1043560800000,0.179
1043564400000,0.153
1043568000000,0.126
1043571600000,0.108
1043575200000,0.118
1043578800000,0.134
1043582400000,0.154
1043586000000,0.171
1043589600000,0.189
1043593200000,0.192
1043596800000,0.176
1043600400000,0.147
1043604000000,0.125
1043607600000,0.116
1043611200000,0.106
1043614800000,0.098
1043618400000,0.1
1043622000000,0.107
1043625600000,0.141
1043629200000,0.181
1043632800000,0.214
1043636400000,0.211
1043640000000,0.184
1043643600000,0.152
1043647200000,0.133
1043650800000,0.131
1043654400000,0.139
1043658000000,0.167
1043661600000,0.195
1043665200000,0.194
1043668800000,0.182
1043672400000,0.184
1043676000000,0.204
1043679600000,0.245
1043683200000,0.237
1043686800000,0.227
1043690400000,0.209
1043694000000,0.194
1043697600000,0.184
1043701200000,0.172
1043704800000,0.167
1043708400000,0.221
1043712000000,0.322
1043715600000,0.376
1043719200000,0.376
1043722800000,0.341
1043726400000,0.293
1043730000000,0.27
1043733600000,0.277
1043737200000,0.286
1043740800000,0.259
1043744400000,0.256
1043748000000,0.281
1043751600000,0.293
1043755200000,0.355
1043758800000,0.463
1043762400000,0.64
1043766000000,0.656
1043769600000,0.658
1043773200000,0.621
1043776800000,0.596
1043780400000,0.583
1043784000000,0.59
1043787600000,0.568
1043791200000,0.516
1043794800000,0.654
1043798400000,0.798
1043802000000,0.853
1043805600000,0.879
1043809200000,0.886
1043812800000,0.876
1043816400000,0.866
1043820000000,0.853
1043823600000,0.81
1043827200000,0.724
1043830800000,0.68
1043834400000,0.695
1043838000000,0.714
1043841600000,0.718
1043845200000,0.704
1043848800000,0.706
1043852400000,0.7
1043856000000,0.69
1043859600000,0.692
1043863200000,0.7
1043866800000,0.711
1043870400000,0.712
1043874000000,0.734
1043877600000,0.766
1043881200000,0.837
1043884800000,0.899
1043888400000,0.925
1043892000000,0.938
1043895600000,0.933
1043899200000,0.923
1043902800000,0.915
1043906400000,0.907
1043910000000,0.893
1043913600000,0.856
1043917200000,0.817
1043920800000,0.814
1043924400000,0.815
1043928000000,0.811
1043931600000,0.794
1043935200000,0.781
1043938800000,0.77
