,L2
1041379200000,0.69
1041382800000,0.799
1041386400000,0.782
1041390000000,0.746
1041393600000,0.71
1041397200000,0.695
1041400800000,0.711
1041404400000,0.739
1041408000000,0.744
1041411600000,0.686
1041415200000,0.605
1041418800000,0.542
1041422400000,0.531
1041426000000,0.601
1041429600000,0.627
1041433200000,0.583
1041436800000,0.527
1041440400000,0.577
1041444000000,0.549
1041447600000,0.497
1041451200000,0.491
1041454800000,0.584
1041458400000,0.611
1041462000000,0.643
1041465600000,0.84
1041469200000,0.906
1041472800000,0.912
1041476400000,0.89
1041480000000,0.852
1041483600000,0.82
1041487200000,0.801
1041490800000,0.788
1041494400000,0.75
1041498000000,0.638
1041501600000,0.513
1041505200000,0.434
1041508800000,0.392
1041512400000,0.359
1041516000000,0.343
1041519600000,0.311
1041523200000,0.341
1041526800000,0.31
1041530400000,0.328
1041534000000,0.31
1041537600000,0.323
1041541200000,0.371
1041544800000,0.386
1041548400000,0.242
1041552000000,0.435
1041555600000,0.484
1041559200000,0.408
1041562800000,0.314
1041566400000,0.236
1041570000000,0.194
1041573600000,0.181
1041577200000,0.186
1041580800000,0.194
1041584400000,0.22
1041588000000,0.274
1041591600000,0.302
1041595200000,0.299
1041598800000,0.272
1041602400000,0.317
1041606000000,0.338
1041609600000,0.32
1041613200000,0.337
1041616800000,0.357
1041620400000,0.38
1041624000000,0.388
1041627600000,0.411
1041631200000,0.419
1041634800000,0.376
1041638400000,0.782
1041642000000,0.876
1041645600000,0.88
1041649200000,0.866
1041652800000,0.843
1041656400000,0.82
1041660000000,0.809
1041663600000,0.806
1041667200000,0.78
1041670800000,0.663
1041674400000,0.563
1041678000000,0.513
1041681600000,0.467
1041685200000,0.437
1041688800000,0.414
1041692400000,0.379
1041696000000,0.335
1041699600000,0.316
1041703200000,0.317
1041706800000,0.337
1041710400000,0.369
1041714000000,0.425
1041717600000,0.467
1041721200000,0.466
1041724800000,0.806
1041728400000,0.91
1041732000000,0.937
1041735600000,0.938
1041739200000,0.935
1041742800000,0.935
1041746400000,0.935
1041750000000,0.935
1041753600000,0.922
1041757200000,0.877
1041760800000,0.853
1041764400000,0.857
1041768000000,0.87
1041771600000,0.881
1041775200000,0.883
1041778800000,0.885
1041782400000,0.887
1041786000000,0.881
1041789600000,0.879
1041793200000,0.886
1041796800000,0.893
1041800400000,0.887
1041804000000,0.879
1041807600000,0.875
1041811200000,0.929
1041814800000,0.952
1041818400000,0.949
1041822000000,0.931
1041825600000,0.905
1041829200000,0.88
1041832800000,0.864
1041836400000,0.839
1041840000000,0.772
1041843600000,0.663
1041847200000,0.566
1041850800000,0.506
1041854400000,0.438
1041858000000,0.39
1041861600000,0.366
1041865200000,0.294
1041868800000,0.213
1041872400000,0.136
1041876000000,0.096
1041879600000,0.093
1041883200000,0.093
1041886800000,0.106
1041890400000,0.129
1041894000000,0.131
1041897600000,0.312
1041901200000,0.344
1041904800000,0.261
1041908400000,0.146
1041912000000,0.061
1041915600000,0.02
1041919200000,0.008
1041922800000,0.006
1041926400000,0.003
1041930000000,0.003
1041933600000,0.01
1041937200000,0.028
1041940800000,0.05
1041944400000,0.062
1041948000000,0.077
1041951600000,0.093
1041955200000,0.105
1041958800000,0.104
1041962400000,0.098
1041966000000,0.097
1041969600000,0.101
1041973200000,0.101
1041976800000,0.105
1041980400000,0.09
1041984000000,0.134
1041987600000,0.261
1041991200000,0.358
1041994800000,0.384
1041998400000,0.391
1042002000000,0.391
1042005600000,0.379
1042009200000,0.372
1042012800000,0.316
1042016400000,0.227
1042020000000,0.21
1042023600000,0.22
1042027200000,0.228
1042030800000,0.226
1042034400000,0.227
1042038000000,0.179
1042041600000,0.132
1042045200000,0.111
1042048800000,0.101
1042052400000,0.097
1042056000000,0.095
1042059600000,0.138
1042063200000,0.199
1042066800000,0.243
1042070400000,0.591
1042074000000,0.691
1042077600000,0.683
1042081200000,0.638
1042084800000,0.583
1042088400000,0.535
1042092000000,0.505
1042095600000,0.484
1042099200000,0.431
1042102800000,0.328
1042106400000,0.233
1042110000000,0.174
1042113600000,0.132
1042117200000,0.104
1042120800000,0.093
1042124400000,0.087
1042128000000,0.086
1042131600000,0.087
1042135200000,0.095
1042138800000,0.112
1042142400000,0.122
1042146000000,0.144
1042149600000,0.151
1042153200000,0.105
1042156800000,0.152
1042160400000,0.149
1042164000000,0.13
1042167600000,0.091
1042171200000,0.061
1042174800000,0.046
1042178400000,0.04
1042182000000,0.038
1042185600000,0.037
1042189200000,0.038
1042192800000,0.042
1042196400000,0.049
1042200000000,0.043
1042203600000,0.037
1042207200000,0.037
1042210800000,0.051
1042214400000,0.079
1042218000000,0.13
1042221600000,0.187
1042225200000,0.217
1042228800000,0.212
1042232400000,0.166
1042236000000,0.14
1042239600000,0.124
1042243200000,0.187
1042246800000,0.237
1042250400000,0.251
1042254000000,0.212
1042257600000,0.166
1042261200000,0.137
1042264800000,0.14
1042268400000,0.164
1042272000000,0.179
1042275600000,0.176
1042279200000,0.182
1042282800000,0.169
