,L1
1578841200000,0.428
1578844800000,0.414
1578848400000,0.435
1578852000000,0.479
1578855600000,0.473
1578859200000,0.456
1578862800000,0.447
1578866400000,0.435
1578870000000,0.428
1578873600000,0.482
1578877200000,0.601
1578880800000,0.77
1578884400000,0.883
1578888000000,0.929
1578891600000,0.943
1578895200000,0.939
1578898800000,0.922
1578902400000,0.894
1578906000000,0.881
1578909600000,0.885
1578913200000,0.884
1578916800000,0.882
1578920400000,0.887
1578924000000,0.875
1578927600000,0.86
1578931200000,0.826
1578934800000,0.786
1578938400000,0.739
1578942000000,0.695
1578945600000,0.666
1578949200000,0.638
1578952800000,0.619
1578956400000,0.558
1578960000000,0.559
1578963600000,0.584
1578967200000,0.566
1578970800000,0.58
1578974400000,0.622
1578978000000,0.689
1578981600000,0.752
1578985200000,0.777
1578988800000,0.763
1578992400000,0.759
1578996000000,0.777
1578999600000,0.785
1579003200000,0.782
1579006800000,0.766
1579010400000,0.755
1579014000000,0.77
1579017600000,0.792
1579021200000,0.803
1579024800000,0.814
1579028400000,0.819
1579032000000,0.822
1579035600000,0.813
1579039200000,0.791
1579042800000,0.756
1579046400000,0.793
1579050000000,0.793
1579053600000,0.752
1579057200000,0.708
1579060800000,0.669
1579064400000,0.637
1579068000000,0.626
1579071600000,0.637
1579075200000,0.644
1579078800000,0.656
1579082400000,0.666
1579086000000,0.642
1579089600000,0.607
1579093200000,0.575
1579096800000,0.532
1579100400000,0.502
1579104000000,0.476
1579107600000,0.431
1579111200000,0.382
1579114800000,0.344
1579118400000,0.305
1579122000000,0.267
1579125600000,0.234
1579129200000,0.191
1579132800000,0.191
1579136400000,0.169
1579140000000,0.133
1579143600000,0.119
1579147200000,0.121
1579150800000,0.131
1579154400000,0.16
1579158000000,0.209
1579161600000,0.244
1579165200000,0.277
1579168800000,0.282
1579172400000,0.246
1579176000000,0.211
1579179600000,0.192
1579183200000,0.176
1579186800000,0.19
1579190400000,0.219
1579194000000,0.251
1579197600000,0.287
1579201200000,0.327
1579204800000,0.35
1579208400000,0.376
1579212000000,0.396
1579215600000,0.383
1579219200000,0.41
1579222800000,0.406
1579226400000,0.391
1579230000000,0.391
1579233600000,0.395
1579237200000,0.398
1579240800000,0.415
1579244400000,0.434
1579248000000,0.405
1579251600000,0.377
1579255200000,0.363
1579258800000,0.344
1579262400000,0.343
1579266000000,0.318
1579269600000,0.303
1579273200000,0.312
1579276800000,0.334
1579280400000,0.348
1579284000000,0.383
1579287600000,0.451
1579291200000,0.496
1579294800000,0.51
1579298400000,0.516
1579302000000,0.501
1579305600000,0.512
1579309200000,0.528
1579312800000,0.523
1579316400000,0.548
1579320000000,0.586
1579323600000,0.615
1579327200000,0.644
1579330800000,0.658
1579334400000,0.63
1579338000000,0.599
1579341600000,0.59
1579345200000,0.557
1579348800000,0.523
1579352400000,0.504
1579356000000,0.473
1579359600000,0.488
1579363200000,0.51
1579366800000,0.51
1579370400000,0.506
1579374000000,0.511
1579377600000,0.518
1579381200000,0.481
1579384800000,0.446
1579388400000,0.37
1579392000000,0.347
1579395600000,0.333
1579399200000,0.288
1579402800000,0.308
1579406400000,0.388
1579410000000,0.464
1579413600000,0.51
1579417200000,0.531
1579420800000,0.51
1579424400000,0.483
1579428000000,0.462
1579431600000,0.447
1579435200000,0.417
1579438800000,0.391
1579442400000,0.367
1579446000000,0.372
1579449600000,0.395
1579453200000,0.403
1579456800000,0.41
1579460400000,0.413
1579464000000,0.414
1579467600000,0.399
1579471200000,0.38
1579474800000,0.332
1579478400000,0.3
