,S1
1451606400000,0.7
1451610000000,0.785
1451613600000,0.798
1451617200000,0.788
1451620800000,0.765
1451624400000,0.737
1451628000000,0.721
1451631600000,0.685
1451635200000,0.625
1451638800000,0.61
1451642400000,0.624
1451646000000,0.641
1451649600000,0.672
1451653200000,0.663
1451656800000,0.652
1451660400000,0.635
1451664000000,0.64
1451667600000,0.614
1451671200000,0.577
1451674800000,0.566
1451678400000,0.539
1451682000000,0.546
1451685600000,0.553
1451689200000,0.568
1451692800000,0.658
1451696400000,0.741
1451700000000,0.739
1451703600000,0.723
1451707200000,0.706
1451710800000,0.687
1451714400000,0.661
1451718000000,0.6
1451721600000,0.522
1451725200000,0.519
1451728800000,0.571
1451732400000,0.609
1451736000000,0.633
1451739600000,0.647
1451743200000,0.654
1451746800000,0.67
1451750400000,0.662
1451754000000,0.651
1451757600000,0.644
1451761200000,0.644
1451764800000,0.628
1451768400000,0.619
1451772000000,0.613
1451775600000,0.545
1451779200000,0.688
1451782800000,0.731
1451786400000,0.744
1451790000000,0.74
1451793600000,0.728
1451797200000,0.705
1451800800000,0.678
1451804400000,0.62
1451808000000,0.541
1451811600000,0.516
1451815200000,0.51
1451818800000,0.479
1451822400000,0.465
1451826000000,0.454
1451829600000,0.451
1451833200000,0.474
1451836800000,0.484
1451840400000,0.479
1451844000000,0.476
1451847600000,0.499
1451851200000,0.525
1451854800000,0.535
1451858400000,0.488
1451862000000,0.441
1451865600000,0.583
1451869200000,0.59
1451872800000,0.556
1451876400000,0.512
1451880000000,0.461
1451883600000,0.413
1451887200000,0.369
1451890800000,0.32
1451894400000,0.27
1451898000000,0.286
1451901600000,0.289
1451905200000,0.283
1451908800000,0.278
1451912400000,0.264
1451916000000,0.249
1451919600000,0.235
1451923200000,0.223
1451926800000,0.221
1451930400000,0.222
1451934000000,0.227
1451937600000,0.233
1451941200000,0.24
1451944800000,0.236
1451948400000,0.184
1451952000000,0.225
1451955600000,0.251
1451959200000,0.266
1451962800000,0.285
1451966400000,0.305
1451970000000,0.319
1451973600000,0.332
1451977200000,0.319
1451980800000,0.289
1451984400000,0.306
1451988000000,0.323
1451991600000,0.343
1451995200000,0.367
1451998800000,0.406
1452002400000,0.451
1452006000000,0.485
1452009600000,0.494
1452013200000,0.494
1452016800000,0.488
1452020400000,0.466
1452024000000,0.431
1452027600000,0.388
1452031200000,0.33
1452034800000,0.243
1452038400000,0.279
1452042000000,0.285
1452045600000,0.269
1452049200000,0.251
1452052800000,0.237
1452056400000,0.223
1452060000000,0.202
1452063600000,0.17
1452067200000,0.143
1452070800000,0.157
1452074400000,0.164
1452078000000,0.172
1452081600000,0.18
1452085200000,0.186
1452088800000,0.196
1452092400000,0.208
1452096000000,0.218
1452099600000,0.227
1452103200000,0.251
1452106800000,0.255
1452110400000,0.234
1452114000000,0.217
1452117600000,0.209
1452121200000,0.192
1452124800000,0.235
1452128400000,0.261
1452132000000,0.278
1452135600000,0.278
1452139200000,0.27
1452142800000,0.264
1452146400000,0.252
1452150000000,0.227
1452153600000,0.194
1452157200000,0.224
1452160800000,0.259
1452164400000,0.294
1452168000000,0.323
1452171600000,0.329
1452175200000,0.325
1452178800000,0.317
1452182400000,0.296
1452186000000,0.286
1452189600000,0.287
1452193200000,0.275
1452196800000,0.261
1452200400000,0.26
1452204000000,0.248
1452207600000,0.209
1452211200000,0.24
1452214800000,0.233
1452218400000,0.212
1452222000000,0.198
1452225600000,0.196
1452229200000,0.206
1452232800000,0.22
1452236400000,0.226
1452240000000,0.213
1452243600000,0.244
1452247200000,0.251
1452250800000,0.243
1452254400000,0.236
1452258000000,0.231
1452261600000,0.231
1452265200000,0.245
1452268800000,0.259
1452272400000,0.26
1452276000000,0.251
1452279600000,0.248
1452283200000,0.264
1452286800000,0.31
1452290400000,0.331
1452294000000,0.345
1452297600000,0.417
1452301200000,0.441
1452304800000,0.425
1452308400000,0.428
1452312000000,0.432
1452315600000,0.402
1452319200000,0.368
1452322800000,0.354
1452326400000,0.334
1452330000000,0.363
1452333600000,0.391
1452337200000,0.432
1452340800000,0.459
1452344400000,0.491
1452348000000,0.498
1452351600000,0.486
1452355200000,0.477
1452358800000,0.479
1452362400000,0.462
1452366000000,0.473
1452369600000,0.487
1452373200000,0.52
1452376800000,0.514
1452380400000,0.573
1452384000000,0.69
1452387600000,0.739
1452391200000,0.769
1452394800000,0.785
1452398400000,0.776
1452402000000,0.752
1452405600000,0.713
1452409200000,0.654
1452412800000,0.569
1452416400000,0.481
1452420000000,0.435
1452423600000,0.427
1452427200000,0.428
1452430800000,0.432
1452434400000,0.431
1452438000000,0.431
1452441600000,0.433
1452445200000,0.441
1452448800000,0.416
1452452400000,0.385
1452456000000,0.343
1452459600000,0.282
1452463200000,0.21
1452466800000,0.161
1452470400000,0.182
1452474000000,0.192
1452477600000,0.185
1452481200000,0.191
1452484800000,0.204
1452488400000,0.211
1452492000000,0.201
1452495600000,0.167
1452499200000,0.136
1452502800000,0.134
1452506400000,0.112
1452510000000,0.084
1452513600000,0.058
1452517200000,0.045
1452520800000,0.041
1452524400000,0.043
1452528000000,0.045
1452531600000,0.052
1452535200000,0.066
1452538800000,0.086
1452542400000,0.11
1452546000000,0.125
1452549600000,0.106
1452553200000,0.073
1452556800000,0.071
1452560400000,0.062
1452564000000,0.06
1452567600000,0.071
1452571200000,0.094
1452574800000,0.124
1452578400000,0.157
1452582000000,0.175
1452585600000,0.187
1452589200000,0.225
1452592800000,0.237
1452596400000,0.254
1452600000000,0.267
1452603600000,0.289
1452607200000,0.308
1452610800000,0.313
1452614400000,0.31
1452618000000,0.304
1452621600000,0.286
1452625200000,0.272
1452628800000,0.271
1452632400000,0.283
1452636000000,0.259
1452639600000,0.241
1452643200000,0.295
1452646800000,0.342
1452650400000,0.364
1452654000000,0.382
1452657600000,0.395
1452661200000,0.391
1452664800000,0.367
1452668400000,0.308
1452672000000,0.267
1452675600000,0.277
1452679200000,0.254
1452682800000,0.226
1452686400000,0.205
1452690000000,0.187
1452693600000,0.188
1452697200000,0.223
1452700800000,0.251
1452704400000,0.257
1452708000000,0.268
1452711600000,0.276
