,N1
1452754800000,0.297
1452758400000,0.284
1452762000000,0.251
1452765600000,0.217
1452769200000,0.2
1452772800000,0.245
1452776400000,0.302
1452780000000,0.367
1452783600000,0.388
1452787200000,0.392
1452790800000,0.405
1452794400000,0.41
1452798000000,0.407
1452801600000,0.416
1452805200000,0.404
1452808800000,0.336
1452812400000,0.414
1452816000000,0.414
1452819600000,0.383
1452823200000,0.343
1452826800000,0.334
1452830400000,0.338
1452834000000,0.337
1452837600000,0.337
1452841200000,0.333
1452844800000,0.317
1452848400000,0.272
1452852000000,0.254
1452855600000,0.252
1452859200000,0.272
1452862800000,0.278
1452866400000,0.247
1452870000000,0.209
1452873600000,0.175
1452877200000,0.153
1452880800000,0.145
1452884400000,0.145
1452888000000,0.152
1452891600000,0.149
1452895200000,0.145
1452898800000,0.145
1452902400000,0.155
1452906000000,0.163
1452909600000,0.171
1452913200000,0.182
1452916800000,0.183
1452920400000,0.185
1452924000000,0.2
1452927600000,0.209
1452931200000,0.22
1452934800000,0.224
1452938400000,0.203
1452942000000,0.173
1452945600000,0.156
1452949200000,0.185
1452952800000,0.227
1452956400000,0.271
1452960000000,0.317
1452963600000,0.338
1452967200000,0.343
1452970800000,0.334
1452974400000,0.309
1452978000000,0.249
1452981600000,0.184
1452985200000,0.176
1452988800000,0.18
1452992400000,0.179
1452996000000,0.179
1452999600000,0.185
1453003200000,0.183
1453006800000,0.152
1453010400000,0.11
1453014000000,0.08
1453017600000,0.067
1453021200000,0.083
1453024800000,0.095
1453028400000,0.097
1453032000000,0.094
1453035600000,0.085
1453039200000,0.076
1453042800000,0.068
1453046400000,0.058
1453050000000,0.051
1453053600000,0.054
1453057200000,0.07
1453060800000,0.095
1453064400000,0.108
1453068000000,0.11
1453071600000,0.104
1453075200000,0.102
1453078800000,0.099
1453082400000,0.096
1453086000000,0.102
1453089600000,0.107
1453093200000,0.112
1453096800000,0.121
1453100400000,0.136
1453104000000,0.16
1453107600000,0.204
1453111200000,0.251
1453114800000,0.241
1453118400000,0.221
1453122000000,0.22
1453125600000,0.259
1453129200000,0.328
1453132800000,0.391
1453136400000,0.45
1453140000000,0.502
1453143600000,0.519
1453147200000,0.519
1453150800000,0.493
1453154400000,0.442
1453158000000,0.478
1453161600000,0.538
1453165200000,0.588
1453168800000,0.625
1453172400000,0.655
1453176000000,0.665
1453179600000,0.646
1453183200000,0.616
1453186800000,0.581
1453190400000,0.519
1453194000000,0.384
1453197600000,0.363
1453201200000,0.401
1453204800000,0.464
1453208400000,0.517
1453212000000,0.567
1453215600000,0.57
1453219200000,0.558
1453222800000,0.568
1453226400000,0.598
1453230000000,0.639
1453233600000,0.669
1453237200000,0.676
1453240800000,0.666
1453244400000,0.785
1453248000000,0.827
1453251600000,0.831
1453255200000,0.82
1453258800000,0.814
1453262400000,0.806
1453266000000,0.791
1453269600000,0.779
1453273200000,0.77
1453276800000,0.74
1453280400000,0.63
1453284000000,0.576
1453287600000,0.566
1453291200000,0.558
1453294800000,0.544
1453298400000,0.507
1453302000000,0.491
1453305600000,0.491
1453309200000,0.457
1453312800000,0.467
1453316400000,0.444
1453320000000,0.436
1453323600000,0.42
1453327200000,0.413
1453330800000,0.519
1453334400000,0.68
1453338000000,0.754
1453341600000,0.774
1453345200000,0.795
1453348800000,0.814
1453352400000,0.821
1453356000000,0.816
1453359600000,0.797
1453363200000,0.731
1453366800000,0.544
1453370400000,0.444
1453374000000,0.42
1453377600000,0.388
1453381200000,0.355
1453384800000,0.309
1453388400000,0.262
1453392000000,0.243
1453395600000,0.261
1453399200000,0.272
1453402800000,0.278
1453406400000,0.297
1453410000000,0.301
1453413600000,0.308
1453417200000,0.426
1453420800000,0.51
1453424400000,0.526
1453428000000,0.525
1453431600000,0.542
1453435200000,0.561
1453438800000,0.566
1453442400000,0.566
1453446000000,0.559
1453449600000,0.532
1453453200000,0.415
1453456800000,0.35
1453460400000,0.337
1453464000000,0.364
1453467600000,0.391
1453471200000,0.38
1453474800000,0.376
1453478400000,0.355
1453482000000,0.338
1453485600000,0.32
1453489200000,0.305
1453492800000,0.3
1453496400000,0.296
1453500000000,0.286
1453503600000,0.337
1453507200000,0.395
1453510800000,0.42
1453514400000,0.427
1453518000000,0.447
1453521600000,0.462
1453525200000,0.459
1453528800000,0.454
1453532400000,0.45
1453536000000,0.435
1453539600000,0.355
1453543200000,0.266
1453546800000,0.245
1453550400000,0.291
1453554000000,0.349
1453557600000,0.369
1453561200000,0.395
1453564800000,0.436
