,Mn2
884887200000,0.037
884890800000,0.026
884894400000,0.02
884898000000,0.024
884901600000,0.027
884905200000,0.033
884908800000,0.032
884912400000,0.021
884916000000,0.017
884919600000,0.017
884923200000,0.017
884926800000,0.021
884930400000,0.029
884934000000,0.041
884937600000,0.055
884941200000,0.073
884944800000,0.078
884948400000,0.062
884952000000,0.047
884955600000,0.04
884959200000,0.038
884962800000,0.041
884966400000,0.042
884970000000,0.036
884973600000,0.026
884977200000,0.022
884980800000,0.021
884984400000,0.024
884988000000,0.025
884991600000,0.036
884995200000,0.048
884998800000,0.045
885002400000,0.036
885006000000,0.028
885009600000,0.02
885013200000,0.013
885016800000,0.008
885020400000,0.006
885024000000,0.005
885027600000,0.006
885031200000,0.008
885034800000,0.005
885038400000,0.002
885042000000,0.001
885045600000,0.002
885049200000,0.002
885052800000,0.002
885056400000,0.002
885060000000,0.003
885063600000,0.008
885067200000,0.014
885070800000,0.02
885074400000,0.022
885078000000,0.014
885081600000,0.008
885085200000,0.007
885088800000,0.009
885092400000,0.017
885096000000,0.037
885099600000,0.07
885103200000,0.103
885106800000,0.125
885110400000,0.133
885114000000,0.126
885117600000,0.097
885121200000,0.077
885124800000,0.08
885128400000,0.08
885132000000,0.082
885135600000,0.085
885139200000,0.084
885142800000,0.074
885146400000,0.071
885150000000,0.08
885153600000,0.099
885157200000,0.118
885160800000,0.121
885164400000,0.17
885168000000,0.291
885171600000,0.351
885175200000,0.379
885178800000,0.411
885182400000,0.436
885186000000,0.454
885189600000,0.461
885193200000,0.459
885196800000,0.435
885200400000,0.405
885204000000,0.374
885207600000,0.349
885211200000,0.325
885214800000,0.341
885218400000,0.352
885222000000,0.371
885225600000,0.398
885229200000,0.408
885232800000,0.391
885236400000,0.376
885240000000,0.359
885243600000,0.334
885247200000,0.276
885250800000,0.419
885254400000,0.491
885258000000,0.414
885261600000,0.343
885265200000,0.29
885268800000,0.244
885272400000,0.205
885276000000,0.179
885279600000,0.179
885283200000,0.204
885286800000,0.241
885290400000,0.315
885294000000,0.392
885297600000,0.398
885301200000,0.388
885304800000,0.407
885308400000,0.41
885312000000,0.401
885315600000,0.363
885319200000,0.32
885322800000,0.28
885326400000,0.248
885330000000,0.204
885333600000,0.147
885337200000,0.229
885340800000,0.248
885344400000,0.169
885348000000,0.128
885351600000,0.119
885355200000,0.127
885358800000,0.148
885362400000,0.19
885366000000,0.253
885369600000,0.328
885373200000,0.37
885376800000,0.38
885380400000,0.379
885384000000,0.378
885387600000,0.404
885391200000,0.369
885394800000,0.325
885398400000,0.34
885402000000,0.338
885405600000,0.275
885409200000,0.248
885412800000,0.266
885416400000,0.277
885420000000,0.241
885423600000,0.357
885427200000,0.464
885430800000,0.422
885434400000,0.333
885438000000,0.287
885441600000,0.283
885445200000,0.289
885448800000,0.3
885452400000,0.32
885456000000,0.343
885459600000,0.358
885463200000,0.454
885466800000,0.504
885470400000,0.471
885474000000,0.432
885477600000,0.391
885481200000,0.348
885484800000,0.301
885488400000,0.249
885492000000,0.204
885495600000,0.195
885499200000,0.201
885502800000,0.21
885506400000,0.191
885510000000,0.236
885513600000,0.267
885517200000,0.234
885520800000,0.19
885524400000,0.159
885528000000,0.136
885531600000,0.118
885535200000,0.104
885538800000,0.1
885542400000,0.105
885546000000,0.125
885549600000,0.147
885553200000,0.157
885556800000,0.164
