,Mn2
946684800000,0.294
946688400000,0.323
946692000000,0.294
946695600000,0.229
946699200000,0.158
946702800000,0.107
946706400000,0.075
946710000000,0.051
946713600000,0.042
946717200000,0.031
946720800000,0.025
946724400000,0.02
946728000000,0.015
946731600000,0.011
946735200000,0.009
946738800000,0.008
946742400000,0.014
946746000000,0.036
946749600000,0.08
946753200000,0.148
946756800000,0.208
946760400000,0.199
946764000000,0.123
946767600000,0.044
946771200000,0.025
946774800000,0.041
946778400000,0.054
946782000000,0.05
946785600000,0.019
946789200000,0.002
946792800000,0.002
946796400000,0.012
946800000000,0.031
946803600000,0.045
946807200000,0.059
946810800000,0.068
946814400000,0.077
946818000000,0.099
946821600000,0.112
946825200000,0.121
946828800000,0.133
946832400000,0.139
946836000000,0.167
946839600000,0.171
946843200000,0.188
946846800000,0.211
946850400000,0.21
946854000000,0.148
946857600000,0.175
946861200000,0.21
946864800000,0.202
946868400000,0.18
946872000000,0.167
946875600000,0.168
946879200000,0.182
946882800000,0.206
946886400000,0.219
946890000000,0.246
946893600000,0.282
946897200000,0.289
946900800000,0.278
946904400000,0.27
946908000000,0.255
946911600000,0.243
946915200000,0.217
946918800000,0.192
946922400000,0.18
946926000000,0.172
946929600000,0.162
946933200000,0.148
946936800000,0.128
946940400000,0.123
946944000000,0.192
946947600000,0.236
946951200000,0.228
946954800000,0.193
946958400000,0.161
946962000000,0.133
946965600000,0.113
946969200000,0.101
946972800000,0.093
946976400000,0.1
946980000000,0.096
946983600000,0.089
946987200000,0.096
946990800000,0.14
946994400000,0.185
946998000000,0.192
947001600000,0.161
947005200000,0.119
947008800000,0.089
947012400000,0.085
947016000000,0.107
947019600000,0.178
947023200000,0.243
947026800000,0.325
947030400000,0.467
947034000000,0.494
947037600000,0.452
947041200000,0.381
947044800000,0.305
947048400000,0.235
947052000000,0.181
947055600000,0.137
947059200000,0.118
947062800000,0.107
947066400000,0.144
947070000000,0.195
947073600000,0.233
947077200000,0.236
947080800000,0.264
947084400000,0.312
947088000000,0.267
947091600000,0.225
947095200000,0.214
947098800000,0.212
947102400000,0.216
947106000000,0.223
947109600000,0.221
947113200000,0.188
947116800000,0.209
947120400000,0.195
947124000000,0.158
947127600000,0.111
947131200000,0.068
947134800000,0.04
947138400000,0.034
947142000000,0.053
947145600000,0.076
947149200000,0.09
947152800000,0.112
947156400000,0.145
947160000000,0.179
947163600000,0.2
947167200000,0.225
947170800000,0.281
947174400000,0.297
947178000000,0.301
947181600000,0.288
947185200000,0.296
947188800000,0.312
947192400000,0.334
947196000000,0.337
947199600000,0.374
947203200000,0.409
947206800000,0.295
947210400000,0.165
947214000000,0.098
