,V1
663966000000,0.724
663969600000,0.738
663973200000,0.756
663976800000,0.766
663980400000,0.847
663984000000,0.914
663987600000,0.929
663991200000,0.927
663994800000,0.914
663998400000,0.895
664002000000,0.875
664005600000,0.86
664009200000,0.85
664012800000,0.811
664016400000,0.708
664020000000,0.644
664023600000,0.646
664027200000,0.696
664030800000,0.725
664034400000,0.724
664038000000,0.723
664041600000,0.726
664045200000,0.737
664048800000,0.748
664052400000,0.754
664056000000,0.756
664059600000,0.744
664063200000,0.724
664066800000,0.818
664070400000,0.873
664074000000,0.869
664077600000,0.841
664081200000,0.818
664084800000,0.804
664088400000,0.789
664092000000,0.782
664095600000,0.78
664099200000,0.739
664102800000,0.617
664106400000,0.529
664110000000,0.495
664113600000,0.505
664117200000,0.569
664120800000,0.595
664124400000,0.615
664128000000,0.618
664131600000,0.608
664135200000,0.622
664138800000,0.63
664142400000,0.644
664146000000,0.639
664149600000,0.618
664153200000,0.757
664156800000,0.809
664160400000,0.809
664164000000,0.795
664167600000,0.791
664171200000,0.796
664174800000,0.8
664178400000,0.806
664182000000,0.808
664185600000,0.777
664189200000,0.638
664192800000,0.529
664196400000,0.535
664200000000,0.594
664203600000,0.647
664207200000,0.665
664210800000,0.672
664214400000,0.66
664218000000,0.626
664221600000,0.578
664225200000,0.533
664228800000,0.501
664232400000,0.472
664236000000,0.436
664239600000,0.587
664243200000,0.668
664246800000,0.674
664250400000,0.656
664254000000,0.662
664257600000,0.678
664261200000,0.686
664264800000,0.697
664268400000,0.698
664272000000,0.657
664275600000,0.491
664279200000,0.404
664282800000,0.386
664286400000,0.396
664290000000,0.441
664293600000,0.464
664297200000,0.481
664300800000,0.513
664304400000,0.532
664308000000,0.556
664311600000,0.58
664315200000,0.601
664318800000,0.595
664322400000,0.561
664326000000,0.682
664329600000,0.789
664333200000,0.806
664336800000,0.792
664340400000,0.773
664344000000,0.755
664347600000,0.731
664351200000,0.713
664354800000,0.699
664358400000,0.644
664362000000,0.518
664365600000,0.46
664369200000,0.474
664372800000,0.459
664376400000,0.459
664380000000,0.474
664383600000,0.478
664387200000,0.466
664390800000,0.459
664394400000,0.45
664398000000,0.449
664401600000,0.425
664405200000,0.399
664408800000,0.364
664412400000,0.448
664416000000,0.532
664419600000,0.541
664423200000,0.51
664426800000,0.485
664430400000,0.48
664434000000,0.482
664437600000,0.489
664441200000,0.489
664444800000,0.461
664448400000,0.353
664452000000,0.286
664455600000,0.227
664459200000,0.218
664462800000,0.233
664466400000,0.256
664470000000,0.295
664473600000,0.338
664477200000,0.401
664480800000,0.444
664484400000,0.45
664488000000,0.474
664491600000,0.479
664495200000,0.471
664498800000,0.578
664502400000,0.615
664506000000,0.61
664509600000,0.59
664513200000,0.568
664516800000,0.55
664520400000,0.538
664524000000,0.541
664527600000,0.547
664531200000,0.51
664534800000,0.385
664538400000,0.299
664542000000,0.3
664545600000,0.32
664549200000,0.341
664552800000,0.374
664556400000,0.42
664560000000,0.442
664563600000,0.504
664567200000,0.526
664570800000,0.525
664574400000,0.55
664578000000,0.561
664581600000,0.563
664585200000,0.692
664588800000,0.806
664592400000,0.839
664596000000,0.84
664599600000,0.837
664603200000,0.84
664606800000,0.845
664610400000,0.85
664614000000,0.849
664617600000,0.818
664621200000,0.71
664624800000,0.58
664628400000,0.54
664632000000,0.568
664635600000,0.594
664639200000,0.607
664642800000,0.621
664646400000,0.642
664650000000,0.649
664653600000,0.645
664657200000,0.638
664660800000,0.627
664664400000,0.618
664668000000,0.615
664671600000,0.755
664675200000,0.849
664678800000,0.875
664682400000,0.871
664686000000,0.854
664689600000,0.839
664693200000,0.831
664696800000,0.825
664700400000,0.816
664704000000,0.772
664707600000,0.62
664711200000,0.506
664714800000,0.479
664718400000,0.496
664722000000,0.542
664725600000,0.574
664729200000,0.609
664732800000,0.644
664736400000,0.665
664740000000,0.678
664743600000,0.687
664747200000,0.714
664750800000,0.703
664754400000,0.648
664758000000,0.728
664761600000,0.8
664765200000,0.808
664768800000,0.787
664772400000,0.783
664776000000,0.8
664779600000,0.813
664783200000,0.82
664786800000,0.816
664790400000,0.765
664794000000,0.615
664797600000,0.523
664801200000,0.547
664804800000,0.586
664808400000,0.592
664812000000,0.574
