,L10
1325376000000,0.416
1325379600000,0.48
1325383200000,0.504
1325386800000,0.523
1325390400000,0.54
1325394000000,0.551
1325397600000,0.559
1325401200000,0.557
1325404800000,0.515
1325408400000,0.459
1325412000000,0.457
1325415600000,0.466
1325419200000,0.471
1325422800000,0.491
1325426400000,0.511
1325430000000,0.53
1325433600000,0.542
1325437200000,0.55
1325440800000,0.547
1325444400000,0.535
1325448000000,0.521
1325451600000,0.505
1325455200000,0.479
1325458800000,0.475
1325462400000,0.528
1325466000000,0.562
1325469600000,0.579
1325473200000,0.587
1325476800000,0.601
1325480400000,0.621
1325484000000,0.639
1325487600000,0.652
1325491200000,0.635
1325494800000,0.58
1325498400000,0.544
1325502000000,0.53
1325505600000,0.502
1325509200000,0.494
1325512800000,0.499
1325516400000,0.476
1325520000000,0.464
1325523600000,0.448
1325527200000,0.454
1325530800000,0.459
1325534400000,0.475
1325538000000,0.51
1325541600000,0.552
1325545200000,0.56
1325548800000,0.656
1325552400000,0.704
1325556000000,0.718
1325559600000,0.722
1325563200000,0.723
1325566800000,0.731
1325570400000,0.75
1325574000000,0.765
1325577600000,0.751
1325581200000,0.708
1325584800000,0.687
1325588400000,0.666
1325592000000,0.661
1325595600000,0.668
1325599200000,0.691
1325602800000,0.71
1325606400000,0.719
1325610000000,0.731
1325613600000,0.739
1325617200000,0.725
1325620800000,0.703
1325624400000,0.701
1325628000000,0.701
1325631600000,0.725
1325635200000,0.841
1325638800000,0.887
1325642400000,0.906
1325646000000,0.912
1325649600000,0.915
1325653200000,0.917
1325656800000,0.919
1325660400000,0.917
1325664000000,0.901
1325667600000,0.885
1325671200000,0.878
1325674800000,0.89
1325678400000,0.889
1325682000000,0.899
1325685600000,0.912
1325689200000,0.914
1325692800000,0.918
1325696400000,0.917
1325700000000,0.912
1325703600000,0.909
1325707200000,0.911
1325710800000,0.91
1325714400000,0.901
1325718000000,0.898
1325721600000,0.921
1325725200000,0.948
1325728800000,0.947
1325732400000,0.935
1325736000000,0.917
1325739600000,0.896
1325743200000,0.875
1325746800000,0.852
1325750400000,0.812
1325754000000,0.752
1325757600000,0.714
1325761200000,0.7
1325764800000,0.65
1325768400000,0.611
1325772000000,0.606
1325775600000,0.592
1325779200000,0.59
1325782800000,0.61
1325786400000,0.639
1325790000000,0.674
1325793600000,0.692
1325797200000,0.714
1325800800000,0.716
1325804400000,0.737
1325808000000,0.847
1325811600000,0.867
1325815200000,0.852
1325818800000,0.837
1325822400000,0.831
1325826000000,0.824
1325829600000,0.816
1325833200000,0.795
1325836800000,0.733
1325840400000,0.635
1325844000000,0.566
1325847600000,0.535
1325851200000,0.488
1325854800000,0.468
1325858400000,0.461
1325862000000,0.467
1325865600000,0.484
1325869200000,0.442
1325872800000,0.4
1325876400000,0.378
1325880000000,0.386
1325883600000,0.421
1325887200000,0.416
1325890800000,0.392
1325894400000,0.583
1325898000000,0.677
1325901600000,0.713
1325905200000,0.72
1325908800000,0.715
1325912400000,0.704
1325916000000,0.69
1325919600000,0.667
1325923200000,0.598
1325926800000,0.556
1325930400000,0.578
1325934000000,0.614
1325937600000,0.639
1325941200000,0.652
1325944800000,0.669
1325948400000,0.666
1325952000000,0.67
1325955600000,0.692
1325959200000,0.698
1325962800000,0.683
1325966400000,0.678
1325970000000,0.642
1325973600000,0.591
1325977200000,0.544
1325980800000,0.525
1325984400000,0.602
1325988000000,0.63
1325991600000,0.637
1325995200000,0.624
1325998800000,0.607
1326002400000,0.581
1326006000000,0.532
1326009600000,0.452
1326013200000,0.421
1326016800000,0.425
1326020400000,0.422
1326024000000,0.418
1326027600000,0.437
1326031200000,0.467
1326034800000,0.513
1326038400000,0.55
1326042000000,0.554
1326045600000,0.541
1326049200000,0.529
1326052800000,0.537
1326056400000,0.544
1326060000000,0.557
1326063600000,0.556
1326067200000,0.741
1326070800000,0.837
1326074400000,0.865
1326078000000,0.87
1326081600000,0.869
1326085200000,0.875
1326088800000,0.882
1326092400000,0.865
1326096000000,0.802
1326099600000,0.744
1326103200000,0.692
1326106800000,0.663
1326110400000,0.644
1326114000000,0.633
1326117600000,0.63
1326121200000,0.658
1326124800000,0.687
1326128400000,0.697
1326132000000,0.686
1326135600000,0.655
1326139200000,0.63
1326142800000,0.621
1326146400000,0.619
1326150000000,0.59
1326153600000,0.69
1326157200000,0.781
1326160800000,0.821
1326164400000,0.829
1326168000000,0.818
1326171600000,0.815
1326175200000,0.803
1326178800000,0.779
1326182400000,0.759
1326186000000,0.739
1326189600000,0.72
1326193200000,0.714
1326196800000,0.724
1326200400000,0.712
1326204000000,0.726
1326207600000,0.739
1326211200000,0.754
1326214800000,0.749
1326218400000,0.746
1326222000000,0.769
1326225600000,0.806
1326229200000,0.82
1326232800000,0.814
1326236400000,0.79
1326240000000,0.803
1326243600000,0.886
1326247200000,0.907
1326250800000,0.908
1326254400000,0.901
1326258000000,0.886
1326261600000,0.868
1326265200000,0.84
1326268800000,0.797
1326272400000,0.764
1326276000000,0.75
1326279600000,0.778
1326283200000,0.796
1326286800000,0.802
1326290400000,0.795
1326294000000,0.788
1326297600000,0.784
1326301200000,0.783
1326304800000,0.763
1326308400000,0.761
1326312000000,0.763
1326315600000,0.772
1326319200000,0.774
1326322800000,0.759
1326326400000,0.844
1326330000000,0.881
1326333600000,0.89
1326337200000,0.893
1326340800000,0.897
1326344400000,0.9
1326348000000,0.906
1326351600000,0.907
1326355200000,0.886
1326358800000,0.842
1326362400000,0.819
1326366000000,0.814
1326369600000,0.789
1326373200000,0.763
1326376800000,0.727
1326380400000,0.66
1326384000000,0.599
1326387600000,0.574
1326391200000,0.568
1326394800000,0.557
1326398400000,0.523
1326402000000,0.507
1326405600000,0.538
1326409200000,0.583
1326412800000,0.757
1326416400000,0.876
1326420000000,0.915
1326423600000,0.916
1326427200000,0.898
