,L8
883612800000,0.064
883616400000,0.046
883620000000,0.037
883623600000,0.029
883627200000,0.025
883630800000,0.03
883634400000,0.047
883638000000,0.081
883641600000,0.158
883645200000,0.252
883648800000,0.274
883652400000,0.228
883656000000,0.18
883659600000,0.126
883663200000,0.083
883666800000,0.056
883670400000,0.037
883674000000,0.018
883677600000,0.007
883681200000,0.004
883684800000,0.002
883688400000,0.001
883692000000,0.0
883695600000,0.002
883699200000,0.018
883702800000,0.029
883706400000,0.046
883710000000,0.073
883713600000,0.101
883717200000,0.123
883720800000,0.143
883724400000,0.161
883728000000,0.184
883731600000,0.245
883735200000,0.257
883738800000,0.2
883742400000,0.155
883746000000,0.131
883749600000,0.125
883753200000,0.133
883756800000,0.134
883760400000,0.12
883764000000,0.111
883767600000,0.09
883771200000,0.064
883774800000,0.057
883778400000,0.061
883782000000,0.059
883785600000,0.14
883789200000,0.174
883792800000,0.191
883796400000,0.197
883800000000,0.201
883803600000,0.212
883807200000,0.225
883810800000,0.239
883814400000,0.249
883818000000,0.286
883821600000,0.312
883825200000,0.261
883828800000,0.212
883832400000,0.179
883836000000,0.144
883839600000,0.113
883843200000,0.079
883846800000,0.053
883850400000,0.035
883854000000,0.025
883857600000,0.016
883861200000,0.006
883864800000,0.001
883868400000,0.003
883872000000,0.009
883875600000,0.006
883879200000,0.005
883882800000,0.005
883886400000,0.009
883890000000,0.017
883893600000,0.028
883897200000,0.044
883900800000,0.076
883904400000,0.167
883908000000,0.207
883911600000,0.201
883915200000,0.171
883918800000,0.155
883922400000,0.134
883926000000,0.107
883929600000,0.082
883933200000,0.076
883936800000,0.076
883940400000,0.097
883944000000,0.123
883947600000,0.17
883951200000,0.197
883954800000,0.162
883958400000,0.242
883962000000,0.249
883965600000,0.274
883969200000,0.295
883972800000,0.321
883976400000,0.346
883980000000,0.371
883983600000,0.388
883987200000,0.379
883990800000,0.325
883994400000,0.268
883998000000,0.224
884001600000,0.194
884005200000,0.156
884008800000,0.136
884012400000,0.188
884016000000,0.241
884019600000,0.266
884023200000,0.272
884026800000,0.27
884030400000,0.259
884034000000,0.231
884037600000,0.211
884041200000,0.17
884044800000,0.291
884048400000,0.333
884052000000,0.352
884055600000,0.398
884059200000,0.449
884062800000,0.479
884066400000,0.498
884070000000,0.523
884073600000,0.498
884077200000,0.414
884080800000,0.381
884084400000,0.325
884088000000,0.313
884091600000,0.301
884095200000,0.332
884098800000,0.328
884102400000,0.379
884106000000,0.382
884109600000,0.374
884113200000,0.36
884116800000,0.334
884120400000,0.304
884124000000,0.291
884127600000,0.238
884131200000,0.339
884134800000,0.333
884138400000,0.32
884142000000,0.332
884145600000,0.355
884149200000,0.379
884152800000,0.407
884156400000,0.425
884160000000,0.407
884163600000,0.341
884167200000,0.285
884170800000,0.215
884174400000,0.16
884178000000,0.146
884181600000,0.136
884185200000,0.137
884188800000,0.142
884192400000,0.155
884196000000,0.16
884199600000,0.149
884203200000,0.129
884206800000,0.092
884210400000,0.05
884214000000,0.011
884217600000,0.044
884221200000,0.018
884224800000,0.003
884228400000,0.001
884232000000,0.002
884235600000,0.003
884239200000,0.009
884242800000,0.022
884246400000,0.068
884250000000,0.184
884253600000,0.21
884257200000,0.157
884260800000,0.107
884264400000,0.09
884268000000,0.091
884271600000,0.087
884275200000,0.068
884278800000,0.04
884282400000,0.022
884286000000,0.015
884289600000,0.014
884293200000,0.021
884296800000,0.034
884300400000,0.065
884304000000,0.142
884307600000,0.178
884311200000,0.203
884314800000,0.212
884318400000,0.219
884322000000,0.231
884325600000,0.252
884329200000,0.28
884332800000,0.295
884336400000,0.323
884340000000,0.332
884343600000,0.33
884347200000,0.341
884350800000,0.374
884354400000,0.415
884358000000,0.425
884361600000,0.388
884365200000,0.358
884368800000,0.298
884372400000,0.218
884376000000,0.136
884379600000,0.088
884383200000,0.071
884386800000,0.059
884390400000,0.175
884394000000,0.174
884397600000,0.171
884401200000,0.181
884404800000,0.2
884408400000,0.206
884412000000,0.206
884415600000,0.212
884419200000,0.227
884422800000,0.299
884426400000,0.344
884430000000,0.289
884433600000,0.224
884437200000,0.17
884440800000,0.127
884444400000,0.087
884448000000,0.055
884451600000,0.036
884455200000,0.031
884458800000,0.037
884462400000,0.055
884466000000,0.07
884469600000,0.076
884473200000,0.051
884476800000,0.067
884480400000,0.039
884484000000,0.015
884487600000,0.005
884491200000,0.003
884494800000,0.005
884498400000,0.014
884502000000,0.033
884505600000,0.072
884509200000,0.175
884512800000,0.188
884516400000,0.113
884520000000,0.044
884523600000,0.006
884527200000,0.0
884530800000,0.0
884534400000,0.0
884538000000,0.001
884541600000,0.002
884545200000,0.001
884548800000,0.0
884552400000,0.0
884556000000,0.0
884559600000,0.001
884563200000,0.007
884566800000,0.017
884570400000,0.039
884574000000,0.077
884577600000,0.123
884581200000,0.179
884584800000,0.255
884588400000,0.329
884592000000,0.364
884595600000,0.335
884599200000,0.308
884602800000,0.291
884606400000,0.276
884610000000,0.277
884613600000,0.26
884617200000,0.235
884620800000,0.2
884624400000,0.186
884628000000,0.176
884631600000,0.164
884635200000,0.165
884638800000,0.16
884642400000,0.164
884646000000,0.144
884649600000,0.231
884653200000,0.252
884656800000,0.223
884660400000,0.194
884664000000,0.181
884667600000,0.187
884671200000,0.204
884674800000,0.245
884678400000,0.286
884682000000,0.294
884685600000,0.296
884689200000,0.282
884692800000,0.277
884696400000,0.213
884700000000,0.179
884703600000,0.178
884707200000,0.163
884710800000,0.119
884714400000,0.134
884718000000,0.144
884721600000,0.122
884725200000,0.094
884728800000,0.075
884732400000,0.082
884736000000,0.122
884739600000,0.101
884743200000,0.114
884746800000,0.17
884750400000,0.24
884754000000,0.281
884757600000,0.289
884761200000,0.267
884764800000,0.211
884768400000,0.158
884772000000,0.088
884775600000,0.028
884779200000,0.009
884782800000,0.005
884786400000,0.005
884790000000,0.004
884793600000,0.008
884797200000,0.02
884800800000,0.045
884804400000,0.061
884808000000,0.066
884811600000,0.055
884815200000,0.039
884818800000,0.034
884822400000,0.07
884826000000,0.086
884829600000,0.1
884833200000,0.125
884836800000,0.155
884840400000,0.178
884844000000,0.161
884847600000,0.144
884851200000,0.178
884854800000,0.246
884858400000,0.289
884862000000,0.259
884865600000,0.184
884869200000,0.112
884872800000,0.069
884876400000,0.038
884880000000,0.022
884883600000,0.009
884887200000,0.004
884890800000,0.003
884894400000,0.003
884898000000,0.005
884901600000,0.008
884905200000,0.006
884908800000,0.001
884912400000,0.0
884916000000,0.0
884919600000,0.0
884923200000,0.0
884926800000,0.0
884930400000,0.018
884934000000,0.068
884937600000,0.108
884941200000,0.11
884944800000,0.102
884948400000,0.061
884952000000,0.028
884955600000,0.013
884959200000,0.007
884962800000,0.009
884966400000,0.013
884970000000,0.016
884973600000,0.012
884977200000,0.008
884980800000,0.008
884984400000,0.01
884988000000,0.012
884991600000,0.013
884995200000,0.028
884998800000,0.038
885002400000,0.041
885006000000,0.044
885009600000,0.052
885013200000,0.065
885016800000,0.076
885020400000,0.068
885024000000,0.052
885027600000,0.062
885031200000,0.099
885034800000,0.118
885038400000,0.112
885042000000,0.091
885045600000,0.068
885049200000,0.049
885052800000,0.034
885056400000,0.021
885060000000,0.012
885063600000,0.006
885067200000,0.003
885070800000,0.002
885074400000,0.001
885078000000,0.0
885081600000,0.001
885085200000,0.001
885088800000,0.001
885092400000,0.002
885096000000,0.002
885099600000,0.002
885103200000,0.02
885106800000,0.087
885110400000,0.246
885114000000,0.354
885117600000,0.347
885121200000,0.279
885124800000,0.225
885128400000,0.201
885132000000,0.177
885135600000,0.12
885139200000,0.072
885142800000,0.051
885146400000,0.043
885150000000,0.043
885153600000,0.061
885157200000,0.087
885160800000,0.118
885164400000,0.143
885168000000,0.226
885171600000,0.249
885175200000,0.282
885178800000,0.329
885182400000,0.376
885186000000,0.434
885189600000,0.501
885193200000,0.555
885196800000,0.573
885200400000,0.504
885204000000,0.441
885207600000,0.393
885211200000,0.351
885214800000,0.305
885218400000,0.267
885222000000,0.238
885225600000,0.21
885229200000,0.181
885232800000,0.165
