,Mn2
820454400000,0.693
820458000000,0.729
820461600000,0.7
820465200000,0.634
820468800000,0.56
820472400000,0.519
820476000000,0.491
820479600000,0.462
820483200000,0.448
820486800000,0.472
820490400000,0.51
820494000000,0.528
820497600000,0.552
820501200000,0.568
820504800000,0.555
820508400000,0.537
820512000000,0.532
820515600000,0.539
820519200000,0.556
820522800000,0.578
820526400000,0.589
820530000000,0.591
820533600000,0.574
820537200000,0.58
820540800000,0.684
820544400000,0.724
820548000000,0.704
820551600000,0.645
820555200000,0.583
820558800000,0.511
820562400000,0.433
820566000000,0.335
820569600000,0.278
820573200000,0.343
820576800000,0.425
820580400000,0.488
820584000000,0.525
820587600000,0.538
820591200000,0.524
820594800000,0.525
820598400000,0.479
820602000000,0.459
820605600000,0.454
820609200000,0.447
820612800000,0.442
820616400000,0.439
820620000000,0.424
820623600000,0.398
820627200000,0.462
820630800000,0.519
820634400000,0.522
820638000000,0.476
820641600000,0.39
820645200000,0.303
820648800000,0.223
820652400000,0.154
820656000000,0.095
820659600000,0.105
820663200000,0.176
820666800000,0.249
820670400000,0.314
820674000000,0.369
820677600000,0.409
820681200000,0.369
820684800000,0.364
820688400000,0.38
820692000000,0.395
820695600000,0.395
820699200000,0.401
820702800000,0.425
820706400000,0.431
820710000000,0.413
820713600000,0.507
820717200000,0.506
820720800000,0.441
820724400000,0.352
820728000000,0.348
820731600000,0.345
820735200000,0.311
820738800000,0.261
820742400000,0.248
820746000000,0.283
820749600000,0.374
820753200000,0.484
820756800000,0.568
820760400000,0.595
820764000000,0.485
820767600000,0.434
820771200000,0.39
820774800000,0.38
820778400000,0.379
820782000000,0.374
820785600000,0.369
820789200000,0.358
820792800000,0.334
820796400000,0.332
820800000000,0.454
820803600000,0.526
820807200000,0.538
820810800000,0.517
820814400000,0.461
820818000000,0.389
820821600000,0.303
820825200000,0.209
820828800000,0.143
820832400000,0.122
820836000000,0.153
820839600000,0.188
820843200000,0.192
820846800000,0.16
820850400000,0.137
820854000000,0.102
820857600000,0.077
820861200000,0.082
820864800000,0.138
820868400000,0.209
820872000000,0.231
820875600000,0.233
820879200000,0.254
820882800000,0.268
820886400000,0.308
820890000000,0.413
820893600000,0.489
820897200000,0.487
820900800000,0.45
820904400000,0.422
820908000000,0.398
820911600000,0.341
820915200000,0.266
820918800000,0.231
820922400000,0.245
820926000000,0.283
820929600000,0.314
820933200000,0.328
820936800000,0.335
820940400000,0.333
820944000000,0.328
820947600000,0.309
820951200000,0.281
820954800000,0.255
820958400000,0.238
820962000000,0.22
820965600000,0.191
820969200000,0.223
820972800000,0.336
820976400000,0.42
820980000000,0.47
820983600000,0.484
820987200000,0.484
820990800000,0.447
820994400000,0.37
820998000000,0.292
821001600000,0.21
821005200000,0.199
821008800000,0.186
821012400000,0.167
821016000000,0.147
821019600000,0.138
821023200000,0.138
821026800000,0.164
821030400000,0.188
821034000000,0.207
821037600000,0.223
821041200000,0.231
821044800000,0.235
821048400000,0.235
821052000000,0.205
821055600000,0.189
821059200000,0.22
821062800000,0.225
821066400000,0.217
821070000000,0.194
821073600000,0.166
821077200000,0.123
821080800000,0.095
821084400000,0.096
821088000000,0.103
821091600000,0.132
821095200000,0.17
821098800000,0.2
821102400000,0.249
821106000000,0.311
821109600000,0.362
821113200000,0.352
821116800000,0.323
821120400000,0.286
821124000000,0.264
821127600000,0.231
821131200000,0.157
821134800000,0.078
821138400000,0.032
821142000000,0.032
821145600000,0.071
821149200000,0.073
821152800000,0.048
821156400000,0.012
821160000000,0.004
821163600000,0.008
821167200000,0.022
821170800000,0.03
821174400000,0.024
821178000000,0.032
821181600000,0.037
821185200000,0.018
821188800000,0.069
821192400000,0.127
821196000000,0.131
821199600000,0.115
821203200000,0.115
821206800000,0.135
821210400000,0.166
821214000000,0.203
821217600000,0.246
821221200000,0.303
821224800000,0.351
821228400000,0.332
821232000000,0.403
821235600000,0.47
821239200000,0.488
821242800000,0.442
821246400000,0.364
821250000000,0.29
821253600000,0.224
821257200000,0.169
821260800000,0.122
821264400000,0.128
821268000000,0.182
821271600000,0.242
821275200000,0.305
821278800000,0.363
821282400000,0.379
821286000000,0.367
821289600000,0.332
821293200000,0.312
821296800000,0.312
821300400000,0.352
821304000000,0.367
821307600000,0.381
821311200000,0.365
821314800000,0.32
821318400000,0.397
821322000000,0.414
821325600000,0.392
821329200000,0.337
821332800000,0.328
821336400000,0.374
821340000000,0.403
821343600000,0.379
821347200000,0.363
821350800000,0.345
821354400000,0.355
821358000000,0.352
821361600000,0.364
821365200000,0.384
821368800000,0.407
821372400000,0.407
821376000000,0.43
821379600000,0.425
821383200000,0.4
821386800000,0.381
821390400000,0.358
821394000000,0.341
821397600000,0.303
821401200000,0.297
821404800000,0.459
821408400000,0.585
821412000000,0.652
821415600000,0.65
821419200000,0.599
821422800000,0.488
821426400000,0.36
821430000000,0.264
821433600000,0.207
821437200000,0.211
821440800000,0.259
821444400000,0.274
821448000000,0.308
821451600000,0.342
821455200000,0.407
821458800000,0.494
821462400000,0.507
821466000000,0.519
821469600000,0.528
821473200000,0.529
821476800000,0.509
821480400000,0.506
821484000000,0.484
821487600000,0.443
821491200000,0.52
821494800000,0.571
821498400000,0.558
821502000000,0.472
821505600000,0.355
821509200000,0.261
821512800000,0.199
821516400000,0.158
821520000000,0.136
821523600000,0.175
821527200000,0.237
821530800000,0.283
821534400000,0.259
821538000000,0.275
821541600000,0.272
821545200000,0.22
821548800000,0.168
821552400000,0.169
821556000000,0.174
821559600000,0.173
821563200000,0.156
821566800000,0.127
821570400000,0.089
821574000000,0.041
821577600000,0.029
821581200000,0.027
821584800000,0.029
821588400000,0.035
821592000000,0.047
821595600000,0.071
821599200000,0.094
821602800000,0.115
821606400000,0.119
821610000000,0.077
821613600000,0.037
821617200000,0.028
821620800000,0.035
821624400000,0.029
821628000000,0.022
821631600000,0.019
821635200000,0.018
821638800000,0.02
821642400000,0.026
821646000000,0.034
821649600000,0.045
821653200000,0.07
821656800000,0.102
821660400000,0.112
821664000000,0.153
821667600000,0.171
821671200000,0.159
821674800000,0.122
821678400000,0.095
821682000000,0.077
821685600000,0.055
821689200000,0.036
821692800000,0.021
821696400000,0.012
821700000000,0.007
821703600000,0.005
821707200000,0.003
821710800000,0.002
821714400000,0.001
821718000000,0.0
821721600000,0.003
821725200000,0.003
821728800000,0.003
821732400000,0.003
821736000000,0.004
821739600000,0.003
821743200000,0.002
821746800000,0.001
821750400000,0.001
821754000000,0.0
821757600000,0.0
821761200000,0.001
821764800000,0.002
821768400000,0.004
821772000000,0.003
821775600000,0.002
821779200000,0.002
821782800000,0.005
821786400000,0.01
821790000000,0.018
821793600000,0.032
821797200000,0.05
821800800000,0.075
821804400000,0.103
821808000000,0.105
821811600000,0.099
821815200000,0.121
821818800000,0.167
821822400000,0.198
821826000000,0.205
821829600000,0.179
821833200000,0.162
821836800000,0.188
821840400000,0.188
821844000000,0.163
821847600000,0.125
821851200000,0.091
821854800000,0.062
821858400000,0.038
821862000000,0.022
821865600000,0.018
821869200000,0.038
821872800000,0.08
821876400000,0.131
821880000000,0.157
821883600000,0.181
821887200000,0.225
821890800000,0.28
821894400000,0.297
