,S1
1420070400000,0.398
1420074000000,0.442
1420077600000,0.439
1420081200000,0.494
1420084800000,0.566
1420088400000,0.613
1420092000000,0.685
1420095600000,0.731
1420099200000,0.779
1420102800000,0.842
1420106400000,0.875
1420110000000,0.901
1420113600000,0.915
1420117200000,0.91
1420120800000,0.904
1420124400000,0.906
1420128000000,0.914
1420131600000,0.923
1420135200000,0.93
1420138800000,0.93
1420142400000,0.923
1420146000000,0.922
1420149600000,0.929
1420153200000,0.935
1420156800000,0.961
1420160400000,0.973
1420164000000,0.972
1420167600000,0.968
1420171200000,0.961
1420174800000,0.953
1420178400000,0.939
1420182000000,0.918
1420185600000,0.885
1420189200000,0.851
1420192800000,0.835
1420196400000,0.844
1420200000000,0.84
1420203600000,0.823
1420207200000,0.815
1420210800000,0.808
1420214400000,0.803
1420218000000,0.809
1420221600000,0.812
1420225200000,0.818
1420228800000,0.816
1420232400000,0.814
1420236000000,0.821
1420239600000,0.823
1420243200000,0.869
1420246800000,0.91
1420250400000,0.913
1420254000000,0.905
1420257600000,0.9
1420261200000,0.889
1420264800000,0.864
1420268400000,0.82
1420272000000,0.752
1420275600000,0.701
1420279200000,0.695
1420282800000,0.707
1420286400000,0.724
1420290000000,0.737
1420293600000,0.75
1420297200000,0.729
1420300800000,0.663
1420304400000,0.625
1420308000000,0.63
1420311600000,0.644
1420315200000,0.648
1420318800000,0.637
1420322400000,0.603
1420326000000,0.571
1420329600000,0.635
1420333200000,0.703
1420336800000,0.707
1420340400000,0.718
1420344000000,0.734
1420347600000,0.713
1420351200000,0.671
1420354800000,0.599
1420358400000,0.548
1420362000000,0.546
1420365600000,0.583
1420369200000,0.63
1420372800000,0.67
1420376400000,0.688
1420380000000,0.685
1420383600000,0.656
1420387200000,0.665
1420390800000,0.675
1420394400000,0.674
1420398000000,0.692
1420401600000,0.721
1420405200000,0.73
1420408800000,0.683
1420412400000,0.682
1420416000000,0.735
1420419600000,0.78
1420423200000,0.781
1420426800000,0.798
1420430400000,0.796
1420434000000,0.768
1420437600000,0.714
1420441200000,0.672
1420444800000,0.625
1420448400000,0.618
1420452000000,0.62
1420455600000,0.615
1420459200000,0.567
1420462800000,0.516
1420466400000,0.481
1420470000000,0.468
1420473600000,0.468
1420477200000,0.466
1420480800000,0.469
1420484400000,0.479
1420488000000,0.481
1420491600000,0.484
1420495200000,0.466
1420498800000,0.42
