,L1
694224000000,0.375
694227600000,0.314
694231200000,0.198
694234800000,0.105
694238400000,0.049
694242000000,0.025
694245600000,0.027
694249200000,0.076
694252800000,0.158
694256400000,0.258
694260000000,0.335
694263600000,0.38
694267200000,0.382
694270800000,0.43
694274400000,0.471
694278000000,0.49
694281600000,0.496
694285200000,0.503
694288800000,0.491
694292400000,0.488
694296000000,0.502
694299600000,0.494
694303200000,0.452
694306800000,0.425
694310400000,0.46
694314000000,0.446
694317600000,0.416
694321200000,0.404
694324800000,0.407
694328400000,0.428
694332000000,0.472
694335600000,0.533
694339200000,0.571
694342800000,0.58
694346400000,0.604
694350000000,0.599
694353600000,0.612
694357200000,0.59
694360800000,0.541
694364400000,0.554
694368000000,0.54
694371600000,0.534
694375200000,0.532
694378800000,0.535
694382400000,0.51
694386000000,0.479
694389600000,0.432
694393200000,0.37
694396800000,0.453
694400400000,0.464
694404000000,0.429
694407600000,0.389
694411200000,0.35
694414800000,0.325
694418400000,0.332
694422000000,0.376
694425600000,0.432
694429200000,0.524
694432800000,0.565
694436400000,0.579
694440000000,0.601
694443600000,0.604
694447200000,0.591
694450800000,0.578
694454400000,0.572
694458000000,0.558
694461600000,0.562
694465200000,0.539
694468800000,0.535
694472400000,0.506
694476000000,0.475
694479600000,0.454
694483200000,0.515
694486800000,0.595
694490400000,0.599
694494000000,0.578
694497600000,0.544
694501200000,0.52
694504800000,0.526
694508400000,0.55
694512000000,0.537
694515600000,0.527
694519200000,0.545
694522800000,0.528
694526400000,0.535
694530000000,0.538
694533600000,0.501
694537200000,0.459
694540800000,0.454
694544400000,0.471
694548000000,0.458
694551600000,0.456
694555200000,0.47
694558800000,0.484
694562400000,0.519
694566000000,0.513
694569600000,0.621
694573200000,0.606
694576800000,0.431
694580400000,0.243
694584000000,0.124
694587600000,0.071
694591200000,0.054
694594800000,0.047
694598400000,0.049
694602000000,0.064
694605600000,0.072
694609200000,0.073
694612800000,0.076
694616400000,0.074
694620000000,0.072
694623600000,0.071
694627200000,0.076
694630800000,0.082
694634400000,0.084
694638000000,0.08
694641600000,0.07
694645200000,0.062
694648800000,0.058
694652400000,0.049
694656000000,0.051
694659600000,0.049
694663200000,0.058
694666800000,0.103
694670400000,0.185
694674000000,0.3
694677600000,0.395
694681200000,0.42
694684800000,0.381
694688400000,0.334
694692000000,0.311
694695600000,0.286
694699200000,0.266
694702800000,0.243
694706400000,0.238
694710000000,0.233
694713600000,0.231
694717200000,0.254
694720800000,0.289
694724400000,0.3
694728000000,0.28
694731600000,0.259
694735200000,0.276
694738800000,0.311
694742400000,0.346
694746000000,0.367
694749600000,0.38
694753200000,0.399
694756800000,0.414
694760400000,0.44
694764000000,0.501
694767600000,0.59
694771200000,0.637
694774800000,0.6
694778400000,0.583
694782000000,0.58
694785600000,0.583
694789200000,0.574
