,L12
662688000000,0.416
662691600000,0.402
662695200000,0.359
662698800000,0.32
662702400000,0.3
662706000000,0.297
662709600000,0.322
662713200000,0.376
662716800000,0.441
662720400000,0.481
662724000000,0.516
662727600000,0.557
662731200000,0.559
662734800000,0.529
662738400000,0.494
662742000000,0.466
662745600000,0.45
662749200000,0.444
662752800000,0.459
662756400000,0.484
662760000000,0.502
662763600000,0.51
662767200000,0.515
662770800000,0.565
662774400000,0.67
662778000000,0.705
662781600000,0.705
662785200000,0.69
662788800000,0.672
662792400000,0.653
662796000000,0.652
662799600000,0.664
662803200000,0.668
662806800000,0.657
662810400000,0.653
662814000000,0.658
662817600000,0.668
662821200000,0.679
662824800000,0.699
662828400000,0.71
662832000000,0.71
662835600000,0.71
662839200000,0.705
662842800000,0.7
662846400000,0.707
662850000000,0.718
662853600000,0.724
662857200000,0.727
662860800000,0.788
662864400000,0.808
662868000000,0.798
662871600000,0.766
662875200000,0.725
662878800000,0.693
662882400000,0.677
662886000000,0.674
662889600000,0.663
662893200000,0.66
662896800000,0.661
662900400000,0.664
662904000000,0.667
662907600000,0.668
662911200000,0.674
662914800000,0.701
662918400000,0.732
662922000000,0.75
662925600000,0.755
662929200000,0.748
662932800000,0.74
662936400000,0.722
662940000000,0.722
662943600000,0.733
662947200000,0.797
662950800000,0.823
662954400000,0.812
662958000000,0.796
662961600000,0.785
662965200000,0.772
662968800000,0.761
662972400000,0.753
662976000000,0.727
662979600000,0.708
662983200000,0.687
662986800000,0.674
662990400000,0.659
662994000000,0.627
662997600000,0.575
663001200000,0.515
663004800000,0.458
663008400000,0.404
663012000000,0.361
663015600000,0.331
663019200000,0.309
663022800000,0.28
663026400000,0.261
663030000000,0.251
663033600000,0.288
663037200000,0.306
663040800000,0.305
663044400000,0.306
663048000000,0.309
663051600000,0.31
663055200000,0.326
663058800000,0.367
663062400000,0.417
663066000000,0.45
663069600000,0.46
663073200000,0.469
663076800000,0.476
663080400000,0.481
663084000000,0.484
663087600000,0.498
663091200000,0.507
663094800000,0.502
663098400000,0.498
663102000000,0.498
663105600000,0.51
663109200000,0.54
663112800000,0.566
663116400000,0.583
663120000000,0.674
663123600000,0.724
663127200000,0.735
663130800000,0.73
663134400000,0.724
663138000000,0.721
663141600000,0.72
663145200000,0.718
663148800000,0.701
663152400000,0.688
663156000000,0.693
663159600000,0.692
663163200000,0.692
663166800000,0.694
663170400000,0.699
663174000000,0.695
663177600000,0.689
663181200000,0.695
663184800000,0.702
663188400000,0.714
663192000000,0.725
663195600000,0.701
663199200000,0.651
663202800000,0.58
663206400000,0.592
663210000000,0.551
663213600000,0.514
663217200000,0.501
663220800000,0.501
663224400000,0.51
663228000000,0.528
663231600000,0.542
663235200000,0.535
663238800000,0.519
663242400000,0.491
663246000000,0.46
663249600000,0.475
663253200000,0.519
663256800000,0.54
663260400000,0.532
663264000000,0.474
663267600000,0.407
663271200000,0.359
663274800000,0.345
663278400000,0.337
663282000000,0.332
663285600000,0.338
663289200000,0.346
663292800000,0.408
663296400000,0.45
663300000000,0.475
663303600000,0.485
663307200000,0.479
663310800000,0.466
663314400000,0.46
663318000000,0.466
663321600000,0.466
663325200000,0.441
663328800000,0.425
663332400000,0.42
663336000000,0.403
663339600000,0.371
663343200000,0.341
663346800000,0.316
663350400000,0.31
663354000000,0.325
663357600000,0.345
663361200000,0.394
663364800000,0.436
663368400000,0.478
663372000000,0.543
663375600000,0.706
663379200000,0.847
663382800000,0.889
663386400000,0.906
663390000000,0.914
663393600000,0.922
663397200000,0.935
663400800000,0.945
663404400000,0.952
663408000000,0.947
663411600000,0.929
663415200000,0.918
663418800000,0.918
663422400000,0.913
663426000000,0.901
663429600000,0.889
663433200000,0.885
663436800000,0.887
663440400000,0.889
663444000000,0.891
663447600000,0.892
663451200000,0.887
663454800000,0.877
663458400000,0.862
663462000000,0.883
663465600000,0.914
663469200000,0.904
663472800000,0.877
663476400000,0.85
663480000000,0.827
663483600000,0.806
663487200000,0.795
663490800000,0.788
663494400000,0.768
663498000000,0.704
663501600000,0.662
663505200000,0.65
663508800000,0.652
663512400000,0.65
663516000000,0.645
663519600000,0.651
663523200000,0.661
663526800000,0.666
663530400000,0.669
663534000000,0.678
663537600000,0.682
663541200000,0.673
663544800000,0.655
663548400000,0.674
663552000000,0.709
663555600000,0.676
663559200000,0.618
663562800000,0.554
663566400000,0.498
663570000000,0.453
663573600000,0.427
663577200000,0.413
663580800000,0.392
663584400000,0.352
663588000000,0.333
663591600000,0.345
663595200000,0.365
663598800000,0.374
663602400000,0.356
663606000000,0.32
663609600000,0.286
663613200000,0.269
663616800000,0.273
663620400000,0.297
663624000000,0.328
663627600000,0.343
663631200000,0.338
663634800000,0.341
663638400000,0.369
663642000000,0.343
663645600000,0.292
663649200000,0.264
663652800000,0.252
663656400000,0.256
663660000000,0.274
663663600000,0.307
663667200000,0.335
663670800000,0.333
663674400000,0.324
663678000000,0.326
663681600000,0.325
663685200000,0.32
663688800000,0.315
663692400000,0.33
663696000000,0.336
663699600000,0.327
663703200000,0.333
663706800000,0.349
663710400000,0.367
663714000000,0.386
663717600000,0.413
663721200000,0.472
663724800000,0.555
663728400000,0.583
663732000000,0.599
663735600000,0.608
663739200000,0.621
663742800000,0.639
663746400000,0.665
663750000000,0.692
663753600000,0.697
663757200000,0.644
663760800000,0.613
663764400000,0.609
663768000000,0.619
663771600000,0.624
663775200000,0.633
663778800000,0.654
663782400000,0.674
663786000000,0.689
663789600000,0.712
663793200000,0.715
663796800000,0.72
663800400000,0.734
663804000000,0.746
663807600000,0.809
663811200000,0.886
663814800000,0.904
663818400000,0.906
663822000000,0.906
663825600000,0.902
663829200000,0.899
663832800000,0.897
663836400000,0.891
663840000000,0.86
663843600000,0.782
663847200000,0.734
663850800000,0.729
663854400000,0.729
663858000000,0.728
663861600000,0.732
663865200000,0.726
663868800000,0.726
663872400000,0.739
663876000000,0.748
663879600000,0.751
663883200000,0.753
663886800000,0.765
663890400000,0.768
663894000000,0.796
663897600000,0.86
663901200000,0.858
663904800000,0.847
663908400000,0.831
663912000000,0.809
663915600000,0.789
663919200000,0.781
663922800000,0.788
663926400000,0.785
663930000000,0.753
663933600000,0.738
663937200000,0.739
663940800000,0.743
663944400000,0.742
663948000000,0.749
663951600000,0.762
663955200000,0.781
663958800000,0.793
663962400000,0.815
663966000000,0.849
663969600000,0.846
663973200000,0.844
663976800000,0.858
663980400000,0.88
663984000000,0.919
663987600000,0.919
663991200000,0.913
663994800000,0.899
663998400000,0.88
664002000000,0.862
664005600000,0.85
664009200000,0.844
664012800000,0.822
664016400000,0.777
664020000000,0.745
664023600000,0.717
664027200000,0.688
664030800000,0.649
664034400000,0.618
664038000000,0.62
664041600000,0.638
664045200000,0.646
664048800000,0.663
664052400000,0.682
664056000000,0.683
664059600000,0.69
664063200000,0.695
664066800000,0.697
664070400000,0.757
664074000000,0.765
664077600000,0.748
664081200000,0.729
664084800000,0.717
664088400000,0.708
664092000000,0.71
664095600000,0.715
664099200000,0.703
664102800000,0.666
664106400000,0.636
664110000000,0.61
664113600000,0.591
664117200000,0.578
664120800000,0.569
664124400000,0.589
664128000000,0.604
664131600000,0.619
664135200000,0.635
664138800000,0.645
664142400000,0.66
664146000000,0.659
664149600000,0.649
664153200000,0.682
664156800000,0.753
664160400000,0.764
664164000000,0.75
664167600000,0.754
664171200000,0.774
664174800000,0.798
664178400000,0.822
664182000000,0.833
664185600000,0.826
664189200000,0.768
664192800000,0.711
664196400000,0.687
664200000000,0.675
664203600000,0.663
664207200000,0.644
664210800000,0.645
664214400000,0.65
664218000000,0.657
664221600000,0.666
664225200000,0.675
664228800000,0.678
664232400000,0.649
664236000000,0.614
664239600000,0.63
664243200000,0.674
664246800000,0.669
664250400000,0.649
664254000000,0.654
664257600000,0.682
664261200000,0.717
664264800000,0.757
664268400000,0.788
664272000000,0.794
664275600000,0.731
664279200000,0.661
664282800000,0.63
664286400000,0.599
664290000000,0.558
664293600000,0.544
664297200000,0.556
664300800000,0.562
664304400000,0.568
664308000000,0.582
664311600000,0.586
664315200000,0.613
664318800000,0.639
664322400000,0.65
664326000000,0.697
664329600000,0.754
664333200000,0.749
664336800000,0.726
664340400000,0.704
664344000000,0.69
664347600000,0.679
664351200000,0.68
664354800000,0.683
664358400000,0.663
664362000000,0.583
664365600000,0.491
664369200000,0.436
664372800000,0.407
664376400000,0.382
664380000000,0.372
664383600000,0.356
664387200000,0.347
664390800000,0.351
664394400000,0.358
664398000000,0.374
664401600000,0.405
664405200000,0.457
664408800000,0.491
664412400000,0.525
664416000000,0.593
664419600000,0.59
664423200000,0.559
664426800000,0.524
664430400000,0.498
664434000000,0.499
664437600000,0.519
664441200000,0.54
664444800000,0.544
664448400000,0.513
664452000000,0.488
664455600000,0.473
664459200000,0.448
664462800000,0.44
664466400000,0.442
664470000000,0.45
664473600000,0.473
664477200000,0.515
664480800000,0.557
664484400000,0.596
664488000000,0.63
664491600000,0.657
664495200000,0.662
664498800000,0.709
664502400000,0.773
664506000000,0.8
664509600000,0.813
664513200000,0.815
664516800000,0.806
664520400000,0.792
664524000000,0.786
664527600000,0.777
664531200000,0.746
664534800000,0.686
664538400000,0.668
664542000000,0.692
664545600000,0.715
664549200000,0.724
664552800000,0.724
664556400000,0.711
664560000000,0.712
664563600000,0.719
664567200000,0.724
664570800000,0.717
664574400000,0.722
664578000000,0.765
664581600000,0.784
664585200000,0.829
664588800000,0.896
664592400000,0.92
664596000000,0.927
664599600000,0.926
664603200000,0.919
664606800000,0.906
664610400000,0.893
664614000000,0.878
664617600000,0.84
664621200000,0.789
664624800000,0.76
664628400000,0.77
664632000000,0.78
664635600000,0.782
664639200000,0.792
664642800000,0.78
664646400000,0.737
664650000000,0.715
664653600000,0.722
664657200000,0.75
664660800000,0.768
664664400000,0.779
664668000000,0.783
664671600000,0.848
664675200000,0.921
664678800000,0.941
664682400000,0.944
664686000000,0.937
664689600000,0.921
664693200000,0.901
664696800000,0.882
664700400000,0.869
664704000000,0.852
664707600000,0.803
664711200000,0.755
664714800000,0.713
664718400000,0.674
664722000000,0.647
664725600000,0.632
664729200000,0.644
664732800000,0.656
664736400000,0.655
664740000000,0.673
664743600000,0.709
664747200000,0.755
664750800000,0.777
664754400000,0.779
664758000000,0.828
664761600000,0.889
664765200000,0.895
664768800000,0.874
664772400000,0.85
664776000000,0.84
664779600000,0.834
664783200000,0.831
664786800000,0.825
664790400000,0.799
664794000000,0.739
664797600000,0.694
664801200000,0.672
664804800000,0.652
664808400000,0.639
664812000000,0.636
664815600000,0.644
664819200000,0.658
664822800000,0.654
664826400000,0.655
664830000000,0.672
664833600000,0.678
664837200000,0.664
664840800000,0.647
664844400000,0.659
664848000000,0.746
664851600000,0.758
664855200000,0.737
664858800000,0.714
664862400000,0.688
664866000000,0.666
664869600000,0.656
664873200000,0.656
664876800000,0.642
664880400000,0.59
664884000000,0.525
664887600000,0.479
