,V2
599616000000,0.808
599619600000,0.803
599623200000,0.808
599626800000,0.81
599630400000,0.82
599634000000,0.829
599637600000,0.813
599641200000,0.791
599644800000,0.748
599648400000,0.685
599652000000,0.649
599655600000,0.619
599659200000,0.606
599662800000,0.609
599666400000,0.61
599670000000,0.631
599673600000,0.667
599677200000,0.676
599680800000,0.66
599684400000,0.643
599688000000,0.636
599691600000,0.655
599695200000,0.668
599698800000,0.684
599702400000,0.718
599706000000,0.748
599709600000,0.746
599713200000,0.716
599716800000,0.7
599720400000,0.703
599724000000,0.718
599727600000,0.714
599731200000,0.681
599734800000,0.655
599738400000,0.647
599742000000,0.669
599745600000,0.69
599749200000,0.69
599752800000,0.682
599756400000,0.676
599760000000,0.685
599763600000,0.68
599767200000,0.677
599770800000,0.668
599774400000,0.628
599778000000,0.558
599781600000,0.516
599785200000,0.519
599788800000,0.529
599792400000,0.533
599796000000,0.538
599799600000,0.537
599803200000,0.535
599806800000,0.553
599810400000,0.582
599814000000,0.574
599817600000,0.516
599821200000,0.466
599824800000,0.526
599828400000,0.653
599832000000,0.748
599835600000,0.813
599839200000,0.854
599842800000,0.862
599846400000,0.857
599850000000,0.855
599853600000,0.846
599857200000,0.839
599860800000,0.831
599864400000,0.829
599868000000,0.835
599871600000,0.852
599875200000,0.88
599878800000,0.896
599882400000,0.911
599886000000,0.917
599889600000,0.915
599893200000,0.91
599896800000,0.905
599900400000,0.89
599904000000,0.864
599907600000,0.839
599911200000,0.799
599914800000,0.777
599918400000,0.762
599922000000,0.728
599925600000,0.69
599929200000,0.657
599932800000,0.632
599936400000,0.618
599940000000,0.623
599943600000,0.661
599947200000,0.7
599950800000,0.744
599954400000,0.786
599958000000,0.825
599961600000,0.866
599965200000,0.881
599968800000,0.884
599972400000,0.887
599976000000,0.884
599979600000,0.866
599983200000,0.858
599986800000,0.832
599990400000,0.786
599994000000,0.752
599997600000,0.748
600001200000,0.765
600004800000,0.795
600008400000,0.788
600012000000,0.763
600015600000,0.724
600019200000,0.665
600022800000,0.583
600026400000,0.51
600030000000,0.493
600033600000,0.454
600037200000,0.323
600040800000,0.215
600044400000,0.225
600048000000,0.237
600051600000,0.32
600055200000,0.36
600058800000,0.356
600062400000,0.323
600066000000,0.289
600069600000,0.27
600073200000,0.264
600076800000,0.249
600080400000,0.243
600084000000,0.282
600087600000,0.32
600091200000,0.344
600094800000,0.376
600098400000,0.379
600102000000,0.364
600105600000,0.418
600109200000,0.493
600112800000,0.544
600116400000,0.573
600120000000,0.561
600123600000,0.522
600127200000,0.487
600130800000,0.435
600134400000,0.41
600138000000,0.399
600141600000,0.364
600145200000,0.337
600148800000,0.32
600152400000,0.323
600156000000,0.34
600159600000,0.347
600163200000,0.34
600166800000,0.325
600170400000,0.311
600174000000,0.308
600177600000,0.311
600181200000,0.334
600184800000,0.358
600188400000,0.381
600192000000,0.449
600195600000,0.515
600199200000,0.559
600202800000,0.592
600206400000,0.623
600210000000,0.63
600213600000,0.629
600217200000,0.651
600220800000,0.677
600224400000,0.666
600228000000,0.615
600231600000,0.547
600235200000,0.479
600238800000,0.42
600242400000,0.395
600246000000,0.398
600249600000,0.401
600253200000,0.413
