,V1
599616000000,0.651
599619600000,0.758
599623200000,0.802
599626800000,0.801
599630400000,0.776
599634000000,0.729
599637600000,0.659
599641200000,0.566
599644800000,0.493
599648400000,0.468
599652000000,0.461
599655600000,0.502
599659200000,0.561
599662800000,0.615
599666400000,0.635
599670000000,0.61
599673600000,0.544
599677200000,0.464
599680800000,0.408
599684400000,0.391
599688000000,0.388
599691600000,0.454
599695200000,0.479
599698800000,0.467
599702400000,0.491
599706000000,0.578
599709600000,0.638
599713200000,0.687
599716800000,0.702
599720400000,0.679
599724000000,0.626
599727600000,0.527
599731200000,0.483
599734800000,0.484
599738400000,0.481
599742000000,0.51
599745600000,0.506
599749200000,0.5
599752800000,0.499
599756400000,0.494
599760000000,0.484
599763600000,0.46
599767200000,0.43
599770800000,0.386
599774400000,0.345
599778000000,0.337
599781600000,0.388
599785200000,0.41
599788800000,0.539
599792400000,0.608
599796000000,0.629
599799600000,0.63
599803200000,0.633
599806800000,0.647
599810400000,0.651
599814000000,0.603
599817600000,0.503
599821200000,0.494
599824800000,0.556
599828400000,0.615
599832000000,0.67
599835600000,0.7
599839200000,0.706
599842800000,0.722
599846400000,0.723
599850000000,0.722
599853600000,0.718
599857200000,0.715
599860800000,0.737
599864400000,0.75
599868000000,0.763
599871600000,0.788
599875200000,0.855
599878800000,0.901
599882400000,0.917
599886000000,0.919
599889600000,0.914
599893200000,0.905
599896800000,0.885
599900400000,0.828
599904000000,0.732
599907600000,0.697
599911200000,0.651
599914800000,0.63
599918400000,0.598
599922000000,0.571
599925600000,0.568
599929200000,0.57
599932800000,0.578
599936400000,0.575
599940000000,0.586
599943600000,0.612
599947200000,0.636
599950800000,0.663
599954400000,0.683
599958000000,0.744
599961600000,0.86
599965200000,0.91
599968800000,0.931
599972400000,0.938
599976000000,0.939
599979600000,0.935
599983200000,0.916
599986800000,0.84
599990400000,0.782
599994000000,0.814
599997600000,0.829
600001200000,0.792
600004800000,0.688
600008400000,0.613
600012000000,0.525
600015600000,0.451
600019200000,0.418
600022800000,0.392
600026400000,0.388
600030000000,0.38
600033600000,0.344
600037200000,0.333
600040800000,0.331
600044400000,0.299
600048000000,0.264
600051600000,0.302
600055200000,0.297
600058800000,0.298
600062400000,0.332
600066000000,0.362
600069600000,0.382
600073200000,0.379
600076800000,0.3
600080400000,0.293
600084000000,0.328
600087600000,0.362
600091200000,0.34
600094800000,0.367
600098400000,0.429
600102000000,0.451
600105600000,0.468
600109200000,0.474
600112800000,0.448
600116400000,0.446
600120000000,0.481
600123600000,0.443
600127200000,0.395
600130800000,0.328
600134400000,0.403
600138000000,0.468
600141600000,0.459
600145200000,0.44
600148800000,0.444
600152400000,0.46
600156000000,0.476
600159600000,0.426
600163200000,0.367
600166800000,0.378
