,S1
1167609600000,0.893
1167613200000,0.924
1167616800000,0.933
1167620400000,0.929
1167624000000,0.914
1167627600000,0.876
1167631200000,0.819
1167634800000,0.757
1167638400000,0.675
1167642000000,0.625
1167645600000,0.655
1167649200000,0.636
1167652800000,0.648
1167656400000,0.668
1167660000000,0.672
1167663600000,0.606
1167667200000,0.615
1167670800000,0.574
1167674400000,0.544
1167678000000,0.561
1167681600000,0.604
1167685200000,0.587
1167688800000,0.594
1167692400000,0.589
1167696000000,0.676
1167699600000,0.746
1167703200000,0.75
1167706800000,0.724
1167710400000,0.697
1167714000000,0.663
1167717600000,0.625
1167721200000,0.591
1167724800000,0.55
1167728400000,0.525
1167732000000,0.516
1167735600000,0.541
1167739200000,0.541
1167742800000,0.525
1167746400000,0.506
1167750000000,0.476
1167753600000,0.467
1167757200000,0.449
1167760800000,0.448
1167764400000,0.467
1167768000000,0.481
1167771600000,0.498
1167775200000,0.481
1167778800000,0.45
1167782400000,0.58
1167786000000,0.682
1167789600000,0.691
1167793200000,0.677
1167796800000,0.658
1167800400000,0.647
1167804000000,0.64
1167807600000,0.599
1167811200000,0.535
1167814800000,0.516
1167818400000,0.513
1167822000000,0.56
1167825600000,0.593
1167829200000,0.597
1167832800000,0.621
1167836400000,0.59
1167840000000,0.624
1167843600000,0.634
1167847200000,0.624
1167850800000,0.613
1167854400000,0.613
1167858000000,0.604
1167861600000,0.578
1167865200000,0.535
1167868800000,0.614
1167872400000,0.647
1167876000000,0.637
1167879600000,0.624
1167883200000,0.618
1167886800000,0.602
1167890400000,0.571
1167894000000,0.513
1167897600000,0.467
1167901200000,0.467
1167904800000,0.502
1167908400000,0.523
1167912000000,0.532
1167915600000,0.544
1167919200000,0.535
1167922800000,0.535
1167926400000,0.538
1167930000000,0.533
1167933600000,0.528
1167937200000,0.537
1167940800000,0.547
1167944400000,0.55
1167948000000,0.535
1167951600000,0.479
1167955200000,0.593
1167958800000,0.649
1167962400000,0.66
1167966000000,0.661
1167969600000,0.656
1167973200000,0.64
