,V2
978307200000,0.476
978310800000,0.484
978314400000,0.464
978318000000,0.415
978321600000,0.368
978325200000,0.334
978328800000,0.328
978332400000,0.348
978336000000,0.404
978339600000,0.505
978343200000,0.609
978346800000,0.677
978350400000,0.736
978354000000,0.788
978357600000,0.821
978361200000,0.821
978364800000,0.792
978368400000,0.754
978372000000,0.714
978375600000,0.677
978379200000,0.65
978382800000,0.647
978386400000,0.657
978390000000,0.648
978393600000,0.636
978397200000,0.583
978400800000,0.501
978404400000,0.407
978408000000,0.324
978411600000,0.262
978415200000,0.225
978418800000,0.218
978422400000,0.243
978426000000,0.305
978429600000,0.382
978433200000,0.443
978436800000,0.454
978440400000,0.432
978444000000,0.408
978447600000,0.407
978451200000,0.432
978454800000,0.47
978458400000,0.51
978462000000,0.55
978465600000,0.587
978469200000,0.623
978472800000,0.642
978476400000,0.631
978480000000,0.604
978483600000,0.551
978487200000,0.485
978490800000,0.401
978494400000,0.314
978498000000,0.252
978501600000,0.224
978505200000,0.227
978508800000,0.256
978512400000,0.332
978516000000,0.429
978519600000,0.481
978523200000,0.491
978526800000,0.496
978530400000,0.519
978534000000,0.557
978537600000,0.595
978541200000,0.618
978544800000,0.613
978548400000,0.597
978552000000,0.586
978555600000,0.573
978559200000,0.558
978562800000,0.54
978566400000,0.538
978570000000,0.514
978573600000,0.467
978577200000,0.423
978580800000,0.393
978584400000,0.361
978588000000,0.326
978591600000,0.291
978595200000,0.264
978598800000,0.29
978602400000,0.353
978606000000,0.413
978609600000,0.46
978613200000,0.501
978616800000,0.546
978620400000,0.597
978624000000,0.644
978627600000,0.673
978631200000,0.682
978634800000,0.674
978638400000,0.675
978642000000,0.679
978645600000,0.688
978649200000,0.7
978652800000,0.714
978656400000,0.715
978660000000,0.697
978663600000,0.668
978667200000,0.633
978670800000,0.598
978674400000,0.574
978678000000,0.56
978681600000,0.578
978685200000,0.618
978688800000,0.652
978692400000,0.675
978696000000,0.695
978699600000,0.705
978703200000,0.702
978706800000,0.697
978710400000,0.691
978714000000,0.681
978717600000,0.658
978721200000,0.633
978724800000,0.603
978728400000,0.571
978732000000,0.535
978735600000,0.484
978739200000,0.45
978742800000,0.416
978746400000,0.383
978750000000,0.339
978753600000,0.279
978757200000,0.227
978760800000,0.18
978764400000,0.153
