,L11
820454400000,0.815
820458000000,0.837
820461600000,0.841
820465200000,0.845
820468800000,0.842
820472400000,0.831
820476000000,0.824
820479600000,0.816
820483200000,0.789
820486800000,0.763
820490400000,0.746
820494000000,0.732
820497600000,0.73
820501200000,0.732
820504800000,0.729
820508400000,0.728
820512000000,0.735
820515600000,0.746
820519200000,0.752
820522800000,0.761
820526400000,0.766
820530000000,0.775
820533600000,0.781
820537200000,0.786
820540800000,0.832
820544400000,0.844
820548000000,0.831
820551600000,0.798
820555200000,0.753
820558800000,0.71
820562400000,0.69
820566000000,0.686
820569600000,0.684
820573200000,0.678
820576800000,0.666
820580400000,0.653
820584000000,0.62
820587600000,0.58
820591200000,0.538
820594800000,0.501
820598400000,0.488
820602000000,0.506
820605600000,0.54
820609200000,0.591
820612800000,0.632
820616400000,0.665
820620000000,0.681
820623600000,0.663
820627200000,0.654
820630800000,0.655
820634400000,0.605
820638000000,0.519
820641600000,0.439
820645200000,0.396
820648800000,0.407
820652400000,0.48
820656000000,0.556
820659600000,0.614
820663200000,0.666
820666800000,0.704
820670400000,0.73
820674000000,0.746
820677600000,0.756
820681200000,0.765
820684800000,0.774
820688400000,0.785
820692000000,0.802
820695600000,0.832
820699200000,0.86
820702800000,0.881
820706400000,0.893
820710000000,0.896
820713600000,0.899
820717200000,0.909
820720800000,0.909
820724400000,0.896
820728000000,0.881
820731600000,0.873
820735200000,0.877
820738800000,0.876
820742400000,0.854
820746000000,0.834
820749600000,0.824
820753200000,0.826
820756800000,0.823
820760400000,0.819
820764000000,0.822
820767600000,0.819
820771200000,0.813
820774800000,0.802
820778400000,0.787
820782000000,0.77
820785600000,0.758
820789200000,0.775
820792800000,0.794
820796400000,0.807
820800000000,0.855
820803600000,0.868
820807200000,0.862
820810800000,0.846
820814400000,0.82
820818000000,0.8
820821600000,0.795
820825200000,0.797
820828800000,0.782
820832400000,0.765
820836000000,0.777
820839600000,0.807
820843200000,0.818
820846800000,0.813
820850400000,0.812
820854000000,0.795
820857600000,0.768
820861200000,0.744
820864800000,0.732
820868400000,0.725
820872000000,0.725
820875600000,0.73
820879200000,0.744
820882800000,0.762
820886400000,0.857
820890000000,0.886
820893600000,0.896
820897200000,0.895
820900800000,0.887
820904400000,0.878
820908000000,0.865
820911600000,0.845
820915200000,0.808
820918800000,0.751
820922400000,0.737
820926000000,0.75
820929600000,0.764
820933200000,0.779
820936800000,0.795
820940400000,0.809
820944000000,0.812
820947600000,0.817
820951200000,0.819
820954800000,0.815
820958400000,0.816
820962000000,0.814
820965600000,0.819
820969200000,0.836
820972800000,0.903
820976400000,0.932
820980000000,0.935
820983600000,0.931
820987200000,0.923
820990800000,0.914
820994400000,0.905
820998000000,0.894
821001600000,0.863
821005200000,0.813
821008800000,0.802
821012400000,0.79
821016000000,0.8
821019600000,0.788
821023200000,0.77
821026800000,0.772
821030400000,0.771
821034000000,0.766
821037600000,0.762
821041200000,0.757
821044800000,0.764
821048400000,0.785
821052000000,0.786
821055600000,0.803
821059200000,0.88
821062800000,0.901
821066400000,0.901
821070000000,0.891
821073600000,0.876
821077200000,0.865
821080800000,0.86
821084400000,0.858
821088000000,0.833
821091600000,0.801
821095200000,0.839
821098800000,0.865
821102400000,0.88
821106000000,0.892
821109600000,0.906
821113200000,0.912
821116800000,0.919
821120400000,0.931
821124000000,0.941
821127600000,0.95
821131200000,0.954
821134800000,0.958
821138400000,0.962
821142000000,0.974
821145600000,0.985
821149200000,0.987
821152800000,0.987
821156400000,0.986
821160000000,0.982
821163600000,0.975
821167200000,0.966
821170800000,0.95
821174400000,0.914
821178000000,0.872
821181600000,0.837
821185200000,0.822
821188800000,0.807
821192400000,0.791
821196000000,0.774
821199600000,0.768
821203200000,0.771
821206800000,0.773
821210400000,0.78
821214000000,0.786
821217600000,0.777
821221200000,0.782
821224800000,0.799
821228400000,0.85
821232000000,0.925
821235600000,0.947
821239200000,0.953
821242800000,0.953
821246400000,0.948
821250000000,0.944
821253600000,0.941
821257200000,0.933
821260800000,0.906
821264400000,0.844
821268000000,0.8
821271600000,0.805
821275200000,0.812
821278800000,0.813
821282400000,0.808
821286000000,0.824
821289600000,0.839
821293200000,0.849
821296800000,0.854
821300400000,0.856
821304000000,0.85
821307600000,0.85
821311200000,0.852
821314800000,0.887
821318400000,0.942
821322000000,0.958
821325600000,0.964
821329200000,0.963
821332800000,0.956
821336400000,0.945
821340000000,0.931
821343600000,0.918
821347200000,0.889
821350800000,0.827
821354400000,0.778
821358000000,0.758
821361600000,0.746
821365200000,0.735
821368800000,0.747
821372400000,0.75
821376000000,0.742
821379600000,0.719
821383200000,0.708
821386800000,0.711
821390400000,0.719
821394000000,0.726
821397600000,0.72
821401200000,0.759
821404800000,0.848
821408400000,0.857
821412000000,0.85
821415600000,0.837
821419200000,0.818
821422800000,0.806
821426400000,0.8
821430000000,0.786
821433600000,0.74
821437200000,0.69
821440800000,0.683
821444400000,0.703
821448000000,0.72
821451600000,0.736
821455200000,0.754
821458800000,0.765
821462400000,0.765
821466000000,0.755
821469600000,0.765
821473200000,0.759
821476800000,0.755
821480400000,0.768
821484000000,0.786
821487600000,0.799
821491200000,0.888
821494800000,0.93
821498400000,0.945
821502000000,0.95
821505600000,0.95
821509200000,0.946
821512800000,0.937
821516400000,0.92
821520000000,0.878
821523600000,0.816
821527200000,0.782
821530800000,0.767
821534400000,0.74
821538000000,0.712
821541600000,0.675
821545200000,0.65
821548800000,0.623
821552400000,0.653
821556000000,0.683
821559600000,0.699
821563200000,0.706
821566800000,0.738
821570400000,0.775
821574000000,0.785
821577600000,0.894
821581200000,0.942
821584800000,0.954
821588400000,0.96
821592000000,0.961
821595600000,0.96
821599200000,0.953
821602800000,0.927
821606400000,0.866
821610000000,0.815
821613600000,0.803
821617200000,0.791
821620800000,0.773
821624400000,0.755
821628000000,0.742
821631600000,0.744
821635200000,0.783
821638800000,0.796
821642400000,0.777
821646000000,0.765
821649600000,0.753
821653200000,0.763
821656800000,0.739
821660400000,0.733
821664000000,0.791
821667600000,0.812
821671200000,0.803
821674800000,0.785
821678400000,0.749
821682000000,0.682
821685600000,0.601
821689200000,0.498
821692800000,0.373
821696400000,0.331
821700000000,0.37
821703600000,0.42
821707200000,0.441
821710800000,0.43
821714400000,0.434
821718000000,0.413
821721600000,0.413
821725200000,0.444
821728800000,0.442
821732400000,0.425
821736000000,0.396
821739600000,0.352
821743200000,0.302
821746800000,0.253
821750400000,0.295
821754000000,0.383
821757600000,0.382
821761200000,0.388
821764800000,0.388
821768400000,0.398
821772000000,0.444
821775600000,0.494
821779200000,0.491
821782800000,0.495
821786400000,0.501
821790000000,0.504
821793600000,0.513
821797200000,0.543
821800800000,0.568
821804400000,0.586
821808000000,0.602
821811600000,0.635
821815200000,0.672
821818800000,0.662
821822400000,0.692
821826000000,0.695
821829600000,0.657
821833200000,0.67
821836800000,0.75
821840400000,0.735
821844000000,0.682
821847600000,0.63
821851200000,0.581
821854800000,0.537
821858400000,0.516
821862000000,0.515
821865600000,0.512
821869200000,0.521
821872800000,0.546
821876400000,0.574
821880000000,0.59
821883600000,0.591
821887200000,0.59
821890800000,0.587
821894400000,0.604
821898000000,0.646
821901600000,0.675
821905200000,0.69
821908800000,0.692
821912400000,0.701
821916000000,0.715
821919600000,0.722
821923200000,0.803
821926800000,0.812
821930400000,0.786
821934000000,0.766
821937600000,0.75
821941200000,0.737
821944800000,0.734
821948400000,0.737
821952000000,0.732
821955600000,0.702
821959200000,0.705
821962800000,0.708
821966400000,0.698
821970000000,0.669
821973600000,0.618
821977200000,0.589
821980800000,0.568
821984400000,0.551
821988000000,0.561
821991600000,0.576
821995200000,0.568
821998800000,0.574
822002400000,0.588
822006000000,0.666
822009600000,0.785
822013200000,0.835
822016800000,0.854
822020400000,0.867
822024000000,0.883
822027600000,0.899
822031200000,0.902
822034800000,0.892
822038400000,0.856
822042000000,0.8
822045600000,0.78
822049200000,0.77
822052800000,0.763
822056400000,0.765
822060000000,0.757
822063600000,0.736
822067200000,0.714
822070800000,0.712
822074400000,0.719
822078000000,0.724
822081600000,0.715
822085200000,0.714
822088800000,0.718
822092400000,0.728
822096000000,0.841
822099600000,0.892
822103200000,0.909
822106800000,0.895
822110400000,0.866
822114000000,0.853
822117600000,0.862
822121200000,0.891
822124800000,0.888
822128400000,0.863
822132000000,0.854
822135600000,0.836
822139200000,0.786
822142800000,0.743
822146400000,0.7
822150000000,0.664
822153600000,0.657
822157200000,0.637
822160800000,0.628
822164400000,0.616
822168000000,0.613
822171600000,0.619
822175200000,0.608
822178800000,0.597
822182400000,0.728
822186000000,0.802
822189600000,0.823
822193200000,0.823
822196800000,0.806
822200400000,0.78
822204000000,0.748
822207600000,0.69
822211200000,0.603
822214800000,0.547
822218400000,0.523
822222000000,0.527
822225600000,0.501
822229200000,0.461
822232800000,0.453
822236400000,0.454
822240000000,0.446
822243600000,0.429
822247200000,0.425
822250800000,0.454
822254400000,0.505
822258000000,0.516
822261600000,0.484
822265200000,0.566
822268800000,0.71
822272400000,0.737
822276000000,0.728
822279600000,0.696
822283200000,0.647
822286800000,0.593
822290400000,0.535
822294000000,0.481
822297600000,0.42
822301200000,0.366
822304800000,0.339
822308400000,0.292
822312000000,0.248
822315600000,0.235
822319200000,0.224
822322800000,0.213
822326400000,0.203
822330000000,0.219
822333600000,0.252
822337200000,0.294
822340800000,0.32
822344400000,0.358
822348000000,0.391
822351600000,0.427
822355200000,0.528
822358800000,0.572
822362400000,0.591
822366000000,0.601
822369600000,0.601
822373200000,0.602
822376800000,0.603
822380400000,0.566
822384000000,0.498
822387600000,0.457
822391200000,0.462
822394800000,0.492
822398400000,0.469
822402000000,0.582
822405600000,0.525
822409200000,0.46
822412800000,0.42
822416400000,0.401
822420000000,0.391
822423600000,0.386
822427200000,0.397
822430800000,0.427
822434400000,0.449
822438000000,0.522
822441600000,0.676
822445200000,0.796
822448800000,0.84
822452400000,0.844
822456000000,0.834
822459600000,0.823
822463200000,0.807
822466800000,0.785
822470400000,0.731
822474000000,0.683
822477600000,0.682
822481200000,0.702
822484800000,0.718
822488400000,0.733
822492000000,0.73
822495600000,0.707
822499200000,0.69
822502800000,0.677
822506400000,0.672
822510000000,0.672
822513600000,0.67
822517200000,0.665
822520800000,0.651
822524400000,0.7
822528000000,0.81
822531600000,0.83
822535200000,0.82
822538800000,0.79
822542400000,0.748
822546000000,0.7
822549600000,0.646
822553200000,0.58
822556800000,0.488
822560400000,0.421
822564000000,0.407
822567600000,0.403
822571200000,0.388
