,L1
662688000000,0.018
662691600000,0.03
662695200000,0.066
662698800000,0.109
662702400000,0.153
662706000000,0.185
662709600000,0.193
662713200000,0.18
662716800000,0.15
662720400000,0.142
662724000000,0.142
662727600000,0.12
662731200000,0.103
662734800000,0.093
662738400000,0.088
662742000000,0.084
662745600000,0.084
662749200000,0.094
662752800000,0.106
662756400000,0.116
662760000000,0.13
662763600000,0.136
662767200000,0.137
662770800000,0.139
662774400000,0.151
662778000000,0.174
662781600000,0.208
662785200000,0.227
662788800000,0.233
662792400000,0.254
662796000000,0.312
662799600000,0.384
662803200000,0.432
662806800000,0.476
662810400000,0.513
662814000000,0.535
662817600000,0.541
662821200000,0.547
662824800000,0.542
662828400000,0.532
662832000000,0.532
662835600000,0.517
662839200000,0.51
662842800000,0.502
662846400000,0.484
662850000000,0.501
662853600000,0.522
662857200000,0.54
662860800000,0.583
662864400000,0.58
662868000000,0.551
662871600000,0.487
662875200000,0.43
662878800000,0.418
662882400000,0.447
662886000000,0.477
662889600000,0.464
662893200000,0.498
662896800000,0.538
662900400000,0.55
662904000000,0.553
662907600000,0.547
662911200000,0.535
662914800000,0.538
662918400000,0.556
662922000000,0.55
662925600000,0.521
662929200000,0.49
662932800000,0.479
662936400000,0.481
662940000000,0.521
662943600000,0.508
662947200000,0.601
662950800000,0.65
662954400000,0.632
662958000000,0.558
662961600000,0.473
662965200000,0.43
662968800000,0.427
662972400000,0.416
662976000000,0.352
662979600000,0.323
662983200000,0.274
662986800000,0.239
662990400000,0.243
662994000000,0.249
662997600000,0.207
663001200000,0.174
663004800000,0.138
663008400000,0.111
663012000000,0.089
663015600000,0.07
663019200000,0.053
663022800000,0.028
663026400000,0.011
663030000000,0.003
663033600000,0.005
663037200000,0.019
663040800000,0.117
663044400000,0.266
663048000000,0.417
663051600000,0.525
663055200000,0.586
663058800000,0.601
663062400000,0.574
663066000000,0.523
663069600000,0.516
663073200000,0.479
663076800000,0.48
663080400000,0.527
663084000000,0.554
663087600000,0.637
663091200000,0.677
663094800000,0.686
663098400000,0.688
663102000000,0.691
663105600000,0.68
663109200000,0.674
663112800000,0.655
663116400000,0.683
663120000000,0.733
663123600000,0.727
663127200000,0.697
663130800000,0.663
663134400000,0.651
663138000000,0.662
663141600000,0.685
663145200000,0.716
663148800000,0.722
663152400000,0.709
663156000000,0.72
663159600000,0.739
663163200000,0.744
663166800000,0.746
663170400000,0.744
663174000000,0.718
663177600000,0.674
663181200000,0.621
663184800000,0.569
663188400000,0.544
663192000000,0.523
663195600000,0.505
663199200000,0.476
663202800000,0.488
663206400000,0.638
663210000000,0.677
663213600000,0.666
663217200000,0.624
663220800000,0.569
663224400000,0.544
663228000000,0.568
663231600000,0.595
663235200000,0.566
663238800000,0.501
663242400000,0.484
663246000000,0.48
663249600000,0.399
663253200000,0.323
663256800000,0.315
663260400000,0.311
663264000000,0.257
663267600000,0.23
663271200000,0.208
663274800000,0.183
663278400000,0.169
663282000000,0.175
663285600000,0.164
663289200000,0.121
663292800000,0.104
663296400000,0.072
663300000000,0.04
663303600000,0.025
663307200000,0.032
663310800000,0.056
663314400000,0.093
663318000000,0.144
663321600000,0.199
663325200000,0.274
663328800000,0.362
663332400000,0.471
663336000000,0.597
663339600000,0.741
663343200000,0.847
663346800000,0.895
663350400000,0.917
663354000000,0.932
663357600000,0.933
663361200000,0.922
663364800000,0.906
663368400000,0.899
663372000000,0.893
663375600000,0.908
663379200000,0.926
663382800000,0.927
663386400000,0.918
663390000000,0.906
663393600000,0.895
663397200000,0.882
663400800000,0.873
663404400000,0.865
663408000000,0.846
663411600000,0.803
663415200000,0.771
663418800000,0.773
663422400000,0.779
663426000000,0.772
663429600000,0.768
663433200000,0.772
663436800000,0.758
663440400000,0.751
663444000000,0.767
663447600000,0.75
663451200000,0.727
663454800000,0.7
663458400000,0.674
663462000000,0.689
663465600000,0.705
663469200000,0.653
663472800000,0.589
663476400000,0.479
663480000000,0.362
663483600000,0.311
663487200000,0.332
663490800000,0.386
663494400000,0.407
663498000000,0.445
663501600000,0.466
663505200000,0.464
663508800000,0.466
663512400000,0.46
663516000000,0.427
663519600000,0.413
663523200000,0.379
663526800000,0.343
663530400000,0.332
663534000000,0.332
