,N1
1451606400000,0.427
1451610000000,0.565
1451613600000,0.654
1451617200000,0.689
1451620800000,0.679
1451624400000,0.627
1451628000000,0.522
1451631600000,0.344
1451635200000,0.137
1451638800000,0.0
1451642400000,0.0
1451646000000,0.0
1451649600000,0.0
1451653200000,0.0
1451656800000,0.0
1451660400000,0.0
1451664000000,0.0
1451667600000,0.0
1451671200000,0.0
1451674800000,0.0
1451678400000,0.0
1451682000000,0.0
1451685600000,0.052
1451689200000,0.259
1451692800000,0.459
1451696400000,0.592
1451700000000,0.673
1451703600000,0.706
1451707200000,0.695
1451710800000,0.64
1451714400000,0.528
1451718000000,0.37
1451721600000,0.166
1451725200000,0.0
1451728800000,0.0
1451732400000,0.0
1451736000000,0.0
1451739600000,0.0
1451743200000,0.0
1451746800000,0.0
1451750400000,0.0
1451754000000,0.0
1451757600000,0.0
1451761200000,0.0
1451764800000,0.0
1451768400000,0.0
1451772000000,0.057
1451775600000,0.272
1451779200000,0.457
1451782800000,0.586
1451786400000,0.663
1451790000000,0.689
1451793600000,0.643
1451797200000,0.581
1451800800000,0.453
1451804400000,0.294
1451808000000,0.111
1451811600000,0.0
1451815200000,0.0
1451818800000,0.0
1451822400000,0.0
1451826000000,0.0
1451829600000,0.0
1451833200000,0.0
1451836800000,0.0
1451840400000,0.0
1451844000000,0.0
1451847600000,0.0
1451851200000,0.0
1451854800000,0.0
1451858400000,0.044
1451862000000,0.239
1451865600000,0.449
1451869200000,0.589
1451872800000,0.676
1451876400000,0.715
1451880000000,0.705
1451883600000,0.646
1451887200000,0.537
1451890800000,0.373
1451894400000,0.161
1451898000000,0.0
1451901600000,0.0
1451905200000,0.0
1451908800000,0.0
1451912400000,0.0
1451916000000,0.0
1451919600000,0.0
1451923200000,0.0
1451926800000,0.0
1451930400000,0.0
1451934000000,0.0
1451937600000,0.0
1451941200000,0.0
1451944800000,0.033
1451948400000,0.202
1451952000000,0.389
1451955600000,0.545
1451959200000,0.665
1451962800000,0.723
1451966400000,0.712
1451970000000,0.654
1451973600000,0.546
1451977200000,0.386
1451980800000,0.176
1451984400000,0.0
1451988000000,0.0
1451991600000,0.0
1451995200000,0.0
1451998800000,0.0
1452002400000,0.0
1452006000000,0.0
1452009600000,0.0
1452013200000,0.0
1452016800000,0.0
1452020400000,0.0
1452024000000,0.0
1452027600000,0.0
1452031200000,0.039
1452034800000,0.219
1452038400000,0.438
1452042000000,0.58
1452045600000,0.665
1452049200000,0.696
1452052800000,0.693
1452056400000,0.631
1452060000000,0.498
1452063600000,0.329
1452067200000,0.136
1452070800000,0.0
1452074400000,0.0
1452078000000,0.0
1452081600000,0.0
1452085200000,0.0
1452088800000,0.0
1452092400000,0.0
1452096000000,0.0
1452099600000,0.0
1452103200000,0.0
1452106800000,0.0
1452110400000,0.0
1452114000000,0.0
1452117600000,0.043
1452121200000,0.222
1452124800000,0.42
1452128400000,0.56
1452132000000,0.657
1452135600000,0.713
1452139200000,0.706
1452142800000,0.648
1452146400000,0.54
1452150000000,0.378
1452153600000,0.169
1452157200000,0.0
1452160800000,0.0
1452164400000,0.0
1452168000000,0.0
1452171600000,0.0
1452175200000,0.0
1452178800000,0.0
1452182400000,0.0
1452186000000,0.0
1452189600000,0.0
1452193200000,0.0
1452196800000,0.0
1452200400000,0.0
1452204000000,0.044
1452207600000,0.222
1452211200000,0.452
1452214800000,0.597
1452218400000,0.682
1452222000000,0.717
1452225600000,0.706
1452229200000,0.649
1452232800000,0.541
1452236400000,0.382
1452240000000,0.176
1452243600000,0.002
1452247200000,0.0
1452250800000,0.0
1452254400000,0.0
1452258000000,0.0
1452261600000,0.0
1452265200000,0.0
1452268800000,0.0
1452272400000,0.0
1452276000000,0.0
1452279600000,0.0
1452283200000,0.0
1452286800000,0.0
1452290400000,0.046
1452294000000,0.249
1452297600000,0.446
1452301200000,0.59
1452304800000,0.676
1452308400000,0.712
1452312000000,0.696
1452315600000,0.631
1452319200000,0.514
1452322800000,0.355
1452326400000,0.156
1452330000000,0.0
1452333600000,0.0
1452337200000,0.0
1452340800000,0.0
1452344400000,0.0
1452348000000,0.0
1452351600000,0.0
1452355200000,0.0
1452358800000,0.0
1452362400000,0.0
1452366000000,0.0
1452369600000,0.0
1452373200000,0.0
1452376800000,0.042
1452380400000,0.233
1452384000000,0.448
1452387600000,0.583
1452391200000,0.664
1452394800000,0.691
1452398400000,0.67
1452402000000,0.572
1452405600000,0.476
1452409200000,0.305
1452412800000,0.129
1452416400000,0.0
1452420000000,0.0
1452423600000,0.0
1452427200000,0.0
1452430800000,0.0
1452434400000,0.0
1452438000000,0.0
1452441600000,0.0
1452445200000,0.0
1452448800000,0.0
1452452400000,0.0
1452456000000,0.0
1452459600000,0.0
1452463200000,0.045
1452466800000,0.244
1452470400000,0.445
1452474000000,0.591
1452477600000,0.675
1452481200000,0.709
1452484800000,0.694
1452488400000,0.63
1452492000000,0.52
1452495600000,0.359
1452499200000,0.162
1452502800000,0.001
1452506400000,0.0
1452510000000,0.0
1452513600000,0.0
1452517200000,0.0
1452520800000,0.0
1452524400000,0.0
1452528000000,0.0
1452531600000,0.0
1452535200000,0.0
1452538800000,0.0
1452542400000,0.0
1452546000000,0.0
1452549600000,0.044
1452553200000,0.242
1452556800000,0.399
1452560400000,0.552
1452564000000,0.625
1452567600000,0.657
1452571200000,0.644
1452574800000,0.583
1452578400000,0.47
1452582000000,0.324
1452585600000,0.14
1452589200000,0.0
1452592800000,0.0
1452596400000,0.0
1452600000000,0.0
1452603600000,0.0
1452607200000,0.0
1452610800000,0.0
1452614400000,0.0
1452618000000,0.0
1452621600000,0.0
1452625200000,0.0
1452628800000,0.0
1452632400000,0.0
1452636000000,0.044
1452639600000,0.243
1452643200000,0.444
1452646800000,0.578
1452650400000,0.659
1452654000000,0.69
1452657600000,0.676
1452661200000,0.613
1452664800000,0.508
1452668400000,0.347
1452672000000,0.145
1452675600000,0.0
1452679200000,0.0
1452682800000,0.0
1452686400000,0.0
1452690000000,0.0
1452693600000,0.0
1452697200000,0.0
1452700800000,0.0
1452704400000,0.0
1452708000000,0.0
1452711600000,0.0
1452715200000,0.0
1452718800000,0.0
1452722400000,0.041
1452726000000,0.229
1452729600000,0.455
1452733200000,0.598
1452736800000,0.682
1452740400000,0.717
1452744000000,0.707
1452747600000,0.651
1452751200000,0.546
1452754800000,0.387
1452758400000,0.181
1452762000000,0.003
1452765600000,0.0
1452769200000,0.0
1452772800000,0.0
1452776400000,0.0
1452780000000,0.0
1452783600000,0.0
1452787200000,0.0
1452790800000,0.0
1452794400000,0.0
1452798000000,0.0
1452801600000,0.0
1452805200000,0.0
1452808800000,0.048
1452812400000,0.249
1452816000000,0.459
1452819600000,0.595
1452823200000,0.684
1452826800000,0.72
1452830400000,0.71
1452834000000,0.654
1452837600000,0.548
1452841200000,0.387
1452844800000,0.18
1452848400000,0.003
1452852000000,0.0
1452855600000,0.0
1452859200000,0.0
1452862800000,0.0
1452866400000,0.0
1452870000000,0.0
1452873600000,0.0
1452877200000,0.0
1452880800000,0.0
1452884400000,0.0
1452888000000,0.0
1452891600000,0.0
1452895200000,0.038
1452898800000,0.214
1452902400000,0.41
1452906000000,0.59
1452909600000,0.685
1452913200000,0.728
1452916800000,0.718
1452920400000,0.661
1452924000000,0.55
1452927600000,0.39
1452931200000,0.182
1452934800000,0.004
1452938400000,0.0
1452942000000,0.0
1452945600000,0.0
1452949200000,0.0
1452952800000,0.0
1452956400000,0.0
1452960000000,0.0
1452963600000,0.0
1452967200000,0.0
1452970800000,0.0
1452974400000,0.0
1452978000000,0.0
1452981600000,0.056
1452985200000,0.263
1452988800000,0.439
1452992400000,0.583
1452996000000,0.693
1452999600000,0.738
1453003200000,0.726
1453006800000,0.667
1453010400000,0.558
1453014000000,0.396
1453017600000,0.186
1453021200000,0.004
1453024800000,0.0
1453028400000,0.0
1453032000000,0.0
1453035600000,0.0
1453039200000,0.0
1453042800000,0.0
1453046400000,0.0
1453050000000,0.0
1453053600000,0.0
1453057200000,0.0
1453060800000,0.0
1453064400000,0.0
1453068000000,0.048
1453071600000,0.238
1453075200000,0.462
1453078800000,0.614
1453082400000,0.698
1453086000000,0.732
1453089600000,0.72
1453093200000,0.661
1453096800000,0.551
1453100400000,0.389
1453104000000,0.18
1453107600000,0.004
1453111200000,0.0
1453114800000,0.0
1453118400000,0.0
1453122000000,0.0
1453125600000,0.0
1453129200000,0.0
1453132800000,0.0
1453136400000,0.0
1453140000000,0.0
1453143600000,0.0
1453147200000,0.0
1453150800000,0.0
1453154400000,0.043
1453158000000,0.249
1453161600000,0.461
1453165200000,0.601
1453168800000,0.685
1453172400000,0.719
1453176000000,0.71
1453179600000,0.654
1453183200000,0.552
1453186800000,0.388
1453190400000,0.179
1453194000000,0.003
1453197600000,0.0
1453201200000,0.0
1453204800000,0.0
1453208400000,0.0
1453212000000,0.0
1453215600000,0.0
1453219200000,0.0
1453222800000,0.0
1453226400000,0.0
1453230000000,0.0
1453233600000,0.0
1453237200000,0.0
1453240800000,0.038
1453244400000,0.213
1453248000000,0.459
1453251600000,0.6
1453255200000,0.686
1453258800000,0.728
1453262400000,0.718
1453266000000,0.659
1453269600000,0.55
1453273200000,0.389
1453276800000,0.18
1453280400000,0.002
1453284000000,0.0
1453287600000,0.0
1453291200000,0.0
1453294800000,0.0
1453298400000,0.0
1453302000000,0.0
1453305600000,0.0
1453309200000,0.0
1453312800000,0.0
1453316400000,0.0
1453320000000,0.0
1453323600000,0.0
1453327200000,0.045
1453330800000,0.223
1453334400000,0.412
1453338000000,0.553
1453341600000,0.63
1453345200000,0.656
1453348800000,0.659
1453352400000,0.585
1453356000000,0.485
1453359600000,0.338
1453363200000,0.152
1453366800000,0.0
1453370400000,0.0
1453374000000,0.0
1453377600000,0.0
1453381200000,0.0
1453384800000,0.0
1453388400000,0.0
1453392000000,0.0
1453395600000,0.0
1453399200000,0.0
1453402800000,0.0
1453406400000,0.0
1453410000000,0.0
1453413600000,0.052
1453417200000,0.252
1453420800000,0.453
1453424400000,0.58
1453428000000,0.659
1453431600000,0.703
1453435200000,0.696
1453438800000,0.638
1453442400000,0.531
1453446000000,0.373
1453449600000,0.17
1453453200000,0.002
1453456800000,0.0
1453460400000,0.0
1453464000000,0.0
1453467600000,0.0
1453471200000,0.0
1453474800000,0.0
1453478400000,0.0
1453482000000,0.0
1453485600000,0.0
1453489200000,0.0
1453492800000,0.0
1453496400000,0.0
1453500000000,0.059
1453503600000,0.271
1453507200000,0.472
1453510800000,0.612
1453514400000,0.698
1453518000000,0.731
1453521600000,0.723
1453525200000,0.665
1453528800000,0.558
1453532400000,0.396
1453536000000,0.186
1453539600000,0.005
1453543200000,0.0
1453546800000,0.0
1453550400000,0.0
1453554000000,0.0
1453557600000,0.0
1453561200000,0.0
1453564800000,0.0
1453568400000,0.0
1453572000000,0.0
1453575600000,0.0
1453579200000,0.0
1453582800000,0.0
1453586400000,0.035
1453590000000,0.222
1453593600000,0.436
1453597200000,0.583
1453600800000,0.672
1453604400000,0.711
1453608000000,0.702
1453611600000,0.643
1453615200000,0.528
1453618800000,0.359
1453622400000,0.152
1453626000000,0.001
1453629600000,0.0
1453633200000,0.0
1453636800000,0.0
1453640400000,0.0
1453644000000,0.0
1453647600000,0.0
1453651200000,0.0
1453654800000,0.0
1453658400000,0.0
1453662000000,0.0
1453665600000,0.0
1453669200000,0.0
1453672800000,0.036
1453676400000,0.199
1453680000000,0.343
1453683600000,0.433
1453687200000,0.482
1453690800000,0.453
1453694400000,0.377
1453698000000,0.302
1453701600000,0.239
1453705200000,0.163
1453708800000,0.073
1453712400000,0.0
1453716000000,0.0
1453719600000,0.0
1453723200000,0.0
1453726800000,0.0
1453730400000,0.0
1453734000000,0.0
1453737600000,0.0
1453741200000,0.0
1453744800000,0.0
1453748400000,0.0
1453752000000,0.0
1453755600000,0.0
1453759200000,0.033
1453762800000,0.197
1453766400000,0.415
1453770000000,0.582
1453773600000,0.675
1453777200000,0.703
1453780800000,0.687
1453784400000,0.608
1453788000000,0.455
1453791600000,0.305
1453795200000,0.115
1453798800000,0.0
1453802400000,0.0
1453806000000,0.0
1453809600000,0.0
1453813200000,0.0
1453816800000,0.0
1453820400000,0.0
1453824000000,0.0
1453827600000,0.0
1453831200000,0.0
1453834800000,0.0
1453838400000,0.0
1453842000000,0.0
1453845600000,0.036
1453849200000,0.211
1453852800000,0.408
1453856400000,0.545
1453860000000,0.645
1453863600000,0.651
1453867200000,0.618
1453870800000,0.538
1453874400000,0.429
1453878000000,0.31
1453881600000,0.138
1453885200000,0.001
1453888800000,0.0
1453892400000,0.0
1453896000000,0.0
1453899600000,0.0
1453903200000,0.0
1453906800000,0.0
1453910400000,0.0
1453914000000,0.0
1453917600000,0.0
1453921200000,0.0
1453924800000,0.0
1453928400000,0.0
1453932000000,0.032
1453935600000,0.187
1453939200000,0.357
1453942800000,0.476
1453946400000,0.573
1453950000000,0.624
1453953600000,0.649
1453957200000,0.599
1453960800000,0.477
1453964400000,0.343
1453968000000,0.149
1453971600000,0.002
1453975200000,0.0
1453978800000,0.0
1453982400000,0.0
1453986000000,0.0
1453989600000,0.0
1453993200000,0.0
1453996800000,0.0
1454000400000,0.0
1454004000000,0.0
1454007600000,0.0
1454011200000,0.0
1454014800000,0.0
1454018400000,0.048
1454022000000,0.256
1454025600000,0.462
1454029200000,0.593
1454032800000,0.685
1454036400000,0.72
1454040000000,0.709
1454043600000,0.651
1454047200000,0.544
1454050800000,0.388
1454054400000,0.179
1454058000000,0.006
1454061600000,0.0
1454065200000,0.0
1454068800000,0.0
1454072400000,0.0
1454076000000,0.0
1454079600000,0.0
1454083200000,0.0
1454086800000,0.0
1454090400000,0.0
1454094000000,0.0
1454097600000,0.0
1454101200000,0.0
1454104800000,0.069
1454108400000,0.295
1454112000000,0.485
1454115600000,0.62
1454119200000,0.703
1454122800000,0.735
1454126400000,0.722
1454130000000,0.661
1454133600000,0.549
1454137200000,0.39
1454140800000,0.182
1454144400000,0.005
1454148000000,0.0
1454151600000,0.0
1454155200000,0.0
1454158800000,0.0
1454162400000,0.0
1454166000000,0.0
1454169600000,0.0
1454173200000,0.0
1454176800000,0.0
1454180400000,0.0
1454184000000,0.0
1454187600000,0.0
1454191200000,0.05
1454194800000,0.252
1454198400000,0.414
1454202000000,0.57
1454205600000,0.64
1454209200000,0.688
1454212800000,0.676
1454216400000,0.625
1454220000000,0.47
1454223600000,0.333
1454227200000,0.158
1454230800000,0.003
1454234400000,0.0
1454238000000,0.0
1454241600000,0.0
1454245200000,0.0
1454248800000,0.0
1454252400000,0.0
1454256000000,0.0
1454259600000,0.0
1454263200000,0.0
1454266800000,0.0
1454270400000,0.0
1454274000000,0.0
1454277600000,0.032
1454281200000,0.18
1454284800000,0.321
1454288400000,0.446
1454292000000,0.57
1454295600000,0.609
1454299200000,0.6
1454302800000,0.484
1454306400000,0.403
1454310000000,0.291
1454313600000,0.119
1454317200000,0.002
1454320800000,0.0
1454324400000,0.0
1454328000000,0.0
1454331600000,0.0
1454335200000,0.0
1454338800000,0.0
1454342400000,0.0
1454346000000,0.0
1454349600000,0.0
1454353200000,0.0
1454356800000,0.0
1454360400000,0.0
1454364000000,0.046
1454367600000,0.229
1454371200000,0.393
1454374800000,0.519
1454378400000,0.608
1454382000000,0.647
1454385600000,0.647
1454389200000,0.567
1454392800000,0.443
1454396400000,0.281
1454400000000,0.115
1454403600000,0.0
1454407200000,0.0
1454410800000,0.0
1454414400000,0.0
1454418000000,0.0
1454421600000,0.0
1454425200000,0.0
1454428800000,0.0
1454432400000,0.0
1454436000000,0.0
1454439600000,0.0
1454443200000,0.0
1454446800000,0.0
1454450400000,0.056
1454454000000,0.258
1454457600000,0.457
1454461200000,0.593
1454464800000,0.669
1454468400000,0.701
1454472000000,0.692
1454475600000,0.63
1454479200000,0.517
1454482800000,0.364
1454486400000,0.145
1454490000000,0.004
1454493600000,0.0
1454497200000,0.0
1454500800000,0.0
1454504400000,0.0
1454508000000,0.0
1454511600000,0.0
1454515200000,0.0
1454518800000,0.0
1454522400000,0.0
1454526000000,0.0
1454529600000,0.0
1454533200000,0.0
1454536800000,0.057
1454540400000,0.26
1454544000000,0.475
1454547600000,0.614
1454551200000,0.698
1454554800000,0.735
1454558400000,0.721
1454562000000,0.663
1454565600000,0.553
1454569200000,0.391
1454572800000,0.181
1454576400000,0.008
1454580000000,0.0
1454583600000,0.0
1454587200000,0.0
1454590800000,0.0
1454594400000,0.0
1454598000000,0.0
1454601600000,0.0
1454605200000,0.0
1454608800000,0.0
1454612400000,0.0
1454616000000,0.0
1454619600000,0.0
1454623200000,0.046
1454626800000,0.23
1454630400000,0.412
1454634000000,0.566
1454637600000,0.656
1454641200000,0.696
1454644800000,0.69
1454648400000,0.582
1454652000000,0.464
1454655600000,0.306
1454659200000,0.129
1454662800000,0.003
1454666400000,0.0
1454670000000,0.0
1454673600000,0.0
1454677200000,0.0
1454680800000,0.0
1454684400000,0.0
1454688000000,0.0
1454691600000,0.0
1454695200000,0.0
1454698800000,0.0
1454702400000,0.0
1454706000000,0.0
1454709600000,0.058
1454713200000,0.249
1454716800000,0.444
1454720400000,0.575
1454724000000,0.662
1454727600000,0.695
1454731200000,0.71
1454734800000,0.662
1454738400000,0.551
1454742000000,0.389
1454745600000,0.174
1454749200000,0.007
1454752800000,0.0
1454756400000,0.0
1454760000000,0.0
1454763600000,0.0
1454767200000,0.0
1454770800000,0.0
1454774400000,0.0
1454778000000,0.0
1454781600000,0.0
1454785200000,0.0
1454788800000,0.0
1454792400000,0.0
1454796000000,0.053
1454799600000,0.252
1454803200000,0.462
1454806800000,0.612
1454810400000,0.696
1454814000000,0.731
1454817600000,0.721
1454821200000,0.661
1454824800000,0.55
1454828400000,0.39
1454832000000,0.176
1454835600000,0.007
1454839200000,0.0
1454842800000,0.0
1454846400000,0.0
1454850000000,0.0
1454853600000,0.0
1454857200000,0.0
1454860800000,0.0
1454864400000,0.0
1454868000000,0.0
1454871600000,0.0
1454875200000,0.0
1454878800000,0.0
1454882400000,0.04
1454886000000,0.2
1454889600000,0.411
1454893200000,0.571
1454896800000,0.651
1454900400000,0.679
1454904000000,0.676
1454907600000,0.618
1454911200000,0.511
1454914800000,0.347
1454918400000,0.159
1454922000000,0.005
1454925600000,0.0
1454929200000,0.0
1454932800000,0.0
1454936400000,0.0
1454940000000,0.0
1454943600000,0.0
1454947200000,0.0
1454950800000,0.0
1454954400000,0.0
1454958000000,0.0
1454961600000,0.0
1454965200000,0.0
1454968800000,0.069
1454972400000,0.285
1454976000000,0.475
1454979600000,0.611
1454983200000,0.698
1454986800000,0.742
1454990400000,0.736
1454994000000,0.681
1454997600000,0.574
1455001200000,0.41
1455004800000,0.194
1455008400000,0.008
1455012000000,0.0
1455015600000,0.0
