,Mn7
788918400000,0.294
788922000000,0.292
788925600000,0.295
788929200000,0.311
788932800000,0.345
788936400000,0.388
788940000000,0.41
788943600000,0.402
788947200000,0.315
788950800000,0.241
788954400000,0.343
788958000000,0.481
788961600000,0.55
788965200000,0.586
788968800000,0.555
788972400000,0.501
788976000000,0.424
788979600000,0.346
788983200000,0.311
788986800000,0.311
788990400000,0.341
788994000000,0.368
788997600000,0.378
789001200000,0.422
789004800000,0.509
789008400000,0.535
789012000000,0.501
789015600000,0.466
789019200000,0.436
789022800000,0.414
789026400000,0.398
789030000000,0.355
789033600000,0.232
789037200000,0.154
789040800000,0.147
789044400000,0.115
789048000000,0.113
789051600000,0.139
789055200000,0.165
789058800000,0.156
789062400000,0.147
789066000000,0.16
789069600000,0.172
789073200000,0.228
789076800000,0.238
789080400000,0.225
789084000000,0.154
789087600000,0.278
789091200000,0.418
789094800000,0.459
789098400000,0.472
789102000000,0.507
789105600000,0.54
789109200000,0.567
789112800000,0.59
789116400000,0.58
789120000000,0.473
789123600000,0.361
789127200000,0.366
789130800000,0.391
789134400000,0.404
789138000000,0.379
789141600000,0.295
789145200000,0.211
789148800000,0.155
789152400000,0.111
789156000000,0.117
789159600000,0.145
789163200000,0.171
789166800000,0.183
789170400000,0.131
789174000000,0.199
789177600000,0.27
789181200000,0.233
789184800000,0.193
789188400000,0.172
789192000000,0.16
789195600000,0.153
789199200000,0.157
789202800000,0.164
789206400000,0.131
789210000000,0.096
789213600000,0.103
789217200000,0.1
789220800000,0.105
789224400000,0.1
789228000000,0.112
789231600000,0.167
789235200000,0.237
789238800000,0.285
789242400000,0.311
789246000000,0.338
789249600000,0.311
789253200000,0.273
789256800000,0.231
789260400000,0.337
789264000000,0.395
789267600000,0.357
789271200000,0.324
789274800000,0.305
789278400000,0.288
789282000000,0.272
789285600000,0.251
789289200000,0.233
789292800000,0.176
789296400000,0.125
789300000000,0.12
789303600000,0.135
789307200000,0.147
789310800000,0.154
789314400000,0.175
789318000000,0.202
789321600000,0.249
789325200000,0.254
789328800000,0.267
789332400000,0.289
789336000000,0.293
789339600000,0.295
789343200000,0.233
789346800000,0.291
789350400000,0.34
789354000000,0.326
789357600000,0.3
789361200000,0.258
789364800000,0.225
789368400000,0.205
789372000000,0.214
789375600000,0.224
789379200000,0.177
789382800000,0.141
789386400000,0.153
789390000000,0.135
789393600000,0.146
789397200000,0.167
789400800000,0.169
789404400000,0.155
789408000000,0.155
789411600000,0.155
789415200000,0.174
789418800000,0.186
789422400000,0.198
789426000000,0.21
789429600000,0.187
789433200000,0.302
789436800000,0.425
789440400000,0.444
789444000000,0.438
789447600000,0.419
789451200000,0.393
789454800000,0.372
789458400000,0.362
789462000000,0.339
789465600000,0.25
789469200000,0.149
789472800000,0.124
789476400000,0.117
789480000000,0.134
789483600000,0.147
789487200000,0.168
789490800000,0.183
789494400000,0.185
789498000000,0.179
789501600000,0.186
789505200000,0.192
789508800000,0.216
789512400000,0.21
789516000000,0.167
789519600000,0.246
789523200000,0.3
789526800000,0.28
789530400000,0.258
789534000000,0.251
789537600000,0.252
789541200000,0.257
789544800000,0.27
789548400000,0.282
789552000000,0.249
789555600000,0.18
789559200000,0.147
789562800000,0.146
789566400000,0.123
789570000000,0.137
789573600000,0.118
789577200000,0.093
789580800000,0.077
789584400000,0.067
789588000000,0.071
789591600000,0.125
789595200000,0.189
789598800000,0.232
789602400000,0.187
789606000000,0.291
789609600000,0.432
789613200000,0.46
789616800000,0.454
789620400000,0.413
789624000000,0.362
789627600000,0.337
789631200000,0.334
789634800000,0.328
789638400000,0.256
789642000000,0.167
789645600000,0.148
789649200000,0.155
789652800000,0.16
789656400000,0.155
789660000000,0.141
789663600000,0.144
789667200000,0.177
789670800000,0.206
789674400000,0.231
789678000000,0.233
789681600000,0.249
789685200000,0.249
789688800000,0.198
789692400000,0.3
789696000000,0.393
789699600000,0.375
789703200000,0.34
789706800000,0.312
789710400000,0.286
789714000000,0.27
789717600000,0.256
789721200000,0.245
789724800000,0.189
789728400000,0.166
789732000000,0.168
789735600000,0.167
789739200000,0.152
789742800000,0.168
789746400000,0.201
789750000000,0.157
789753600000,0.144
789757200000,0.147
789760800000,0.155
789764400000,0.144
789768000000,0.138
789771600000,0.147
789775200000,0.129
789778800000,0.223
789782400000,0.233
789786000000,0.174
789789600000,0.135
789793200000,0.114
789796800000,0.105
789800400000,0.107
789804000000,0.122
789807600000,0.149
789811200000,0.153
789814800000,0.171
789818400000,0.167
789822000000,0.135
789825600000,0.124
789829200000,0.116
789832800000,0.113
789836400000,0.123
789840000000,0.103
789843600000,0.091
789847200000,0.084
789850800000,0.079
789854400000,0.071
789858000000,0.061
789861600000,0.048
789865200000,0.094
789868800000,0.117
789872400000,0.1
789876000000,0.092
789879600000,0.089
789883200000,0.093
789886800000,0.103
789890400000,0.125
789894000000,0.157
789897600000,0.162
789901200000,0.172
789904800000,0.161
789908400000,0.152
789912000000,0.133
789915600000,0.117
789919200000,0.095
789922800000,0.087
789926400000,0.09
789930000000,0.108
789933600000,0.114
789937200000,0.112
789940800000,0.096
789944400000,0.076
789948000000,0.043
789951600000,0.062
789955200000,0.103
789958800000,0.109
789962400000,0.098
789966000000,0.081
789969600000,0.074
789973200000,0.086
789976800000,0.12
789980400000,0.16
789984000000,0.144
789987600000,0.118
789991200000,0.104
789994800000,0.108
789998400000,0.128
790002000000,0.138
790005600000,0.196
790009200000,0.228
790012800000,0.233
790016400000,0.219
790020000000,0.219
790023600000,0.231
790027200000,0.236
790030800000,0.223
790034400000,0.187
790038000000,0.32
790041600000,0.413
790045200000,0.434
790048800000,0.459
790052400000,0.488
790056000000,0.51
790059600000,0.521
790063200000,0.513
790066800000,0.485
790070400000,0.398
790074000000,0.311
790077600000,0.296
