,S1
1704067200000,0.338
1704070800000,0.463
1704074400000,0.558
1704078000000,0.604
1704081600000,0.583
1704085200000,0.516
1704088800000,0.408
1704092400000,0.258
1704096000000,0.09
1704099600000,0.0
1704103200000,0.0
1704106800000,0.0
1704110400000,0.0
1704114000000,0.0
1704117600000,0.0
1704121200000,0.0
1704124800000,0.0
1704128400000,0.0
1704132000000,0.0
1704135600000,0.0
1704139200000,0.0
1704142800000,0.0
1704146400000,0.057
1704150000000,0.242
1704153600000,0.43
1704157200000,0.58
1704160800000,0.632
1704164400000,0.664
1704168000000,0.655
1704171600000,0.57
1704175200000,0.456
1704178800000,0.29
1704182400000,0.098
1704186000000,0.0
1704189600000,0.0
1704193200000,0.0
1704196800000,0.0
1704200400000,0.0
1704204000000,0.0
1704207600000,0.0
1704211200000,0.0
1704214800000,0.0
1704218400000,0.0
1704222000000,0.0
1704225600000,0.0
1704229200000,0.0
1704232800000,0.053
1704236400000,0.229
1704240000000,0.402
1704243600000,0.559
1704247200000,0.642
1704250800000,0.668
1704254400000,0.662
1704258000000,0.602
1704261600000,0.492
1704265200000,0.326
1704268800000,0.119
1704272400000,0.0
1704276000000,0.0
1704279600000,0.0
1704283200000,0.0
1704286800000,0.0
1704290400000,0.0
1704294000000,0.0
1704297600000,0.0
1704301200000,0.0
1704304800000,0.0
1704308400000,0.0
1704312000000,0.0
1704315600000,0.0
1704319200000,0.06
1704322800000,0.243
1704326400000,0.422
1704330000000,0.555
1704333600000,0.651
1704337200000,0.678
1704340800000,0.634
1704344400000,0.595
1704348000000,0.484
1704351600000,0.29
1704355200000,0.106
1704358800000,0.0
1704362400000,0.0
1704366000000,0.0
1704369600000,0.0
1704373200000,0.0
1704376800000,0.0
1704380400000,0.0
1704384000000,0.0
1704387600000,0.0
1704391200000,0.0
1704394800000,0.0
1704398400000,0.0
1704402000000,0.0
1704405600000,0.039
1704409200000,0.168
1704412800000,0.295
1704416400000,0.417
1704420000000,0.49
1704423600000,0.477
1704427200000,0.453
1704430800000,0.412
1704434400000,0.3
1704438000000,0.192
1704441600000,0.059
1704445200000,0.0
1704448800000,0.0
1704452400000,0.0
1704456000000,0.0
1704459600000,0.0
1704463200000,0.0
1704466800000,0.0
1704470400000,0.0
1704474000000,0.0
1704477600000,0.0
1704481200000,0.0
1704484800000,0.0
1704488400000,0.0
1704492000000,0.045
1704495600000,0.2
1704499200000,0.362
1704502800000,0.452
1704506400000,0.55
1704510000000,0.575
1704513600000,0.574
1704517200000,0.51
1704520800000,0.39
1704524400000,0.225
1704528000000,0.073
1704531600000,0.0
1704535200000,0.0
1704538800000,0.0
1704542400000,0.0
1704546000000,0.0
1704549600000,0.0
1704553200000,0.0
1704556800000,0.0
1704560400000,0.0
1704564000000,0.0
1704567600000,0.0
1704571200000,0.0
1704574800000,0.0
1704578400000,0.012
1704582000000,0.079
1704585600000,0.152
1704589200000,0.224
1704592800000,0.289
1704596400000,0.316
1704600000000,0.335
1704603600000,0.312
1704607200000,0.254
1704610800000,0.166
1704614400000,0.056
1704618000000,0.0
1704621600000,0.0
1704625200000,0.0
1704628800000,0.0
1704632400000,0.0
1704636000000,0.0
1704639600000,0.0
1704643200000,0.0
1704646800000,0.0
1704650400000,0.0
1704654000000,0.0
1704657600000,0.0
1704661200000,0.0
1704664800000,0.046
1704668400000,0.207
1704672000000,0.381
1704675600000,0.538
1704679200000,0.614
1704682800000,0.65
1704686400000,0.641
1704690000000,0.579
1704693600000,0.467
1704697200000,0.291
1704700800000,0.105
1704704400000,0.0
1704708000000,0.0
1704711600000,0.0
1704715200000,0.0
1704718800000,0.0
1704722400000,0.0
1704726000000,0.0
1704729600000,0.0
1704733200000,0.0
1704736800000,0.0
1704740400000,0.0
1704744000000,0.0
1704747600000,0.0
1704751200000,0.05
1704754800000,0.215
1704758400000,0.375
1704762000000,0.468
1704765600000,0.534
1704769200000,0.541
1704772800000,0.527
1704776400000,0.475
1704780000000,0.383
1704783600000,0.244
1704787200000,0.079
1704790800000,0.0
1704794400000,0.0
1704798000000,0.0
1704801600000,0.0
1704805200000,0.0
1704808800000,0.0
1704812400000,0.0
1704816000000,0.0
1704819600000,0.0
1704823200000,0.0
1704826800000,0.0
1704830400000,0.0
1704834000000,0.0
1704837600000,0.052
1704841200000,0.222
1704844800000,0.417
1704848400000,0.544
1704852000000,0.64
1704855600000,0.684
1704859200000,0.673
1704862800000,0.61
1704866400000,0.495
1704870000000,0.315
1704873600000,0.122
1704877200000,0.0
1704880800000,0.0
1704884400000,0.0
1704888000000,0.0
1704891600000,0.0
1704895200000,0.0
1704898800000,0.0
1704902400000,0.0
1704906000000,0.0
1704909600000,0.0
1704913200000,0.0
1704916800000,0.0
1704920400000,0.0
1704924000000,0.066
1704927600000,0.247
1704931200000,0.411
1704934800000,0.557
1704938400000,0.659
1704942000000,0.678
1704945600000,0.668
1704949200000,0.603
1704952800000,0.49
1704956400000,0.319
1704960000000,0.122
1704963600000,0.0
1704967200000,0.0
1704970800000,0.0
1704974400000,0.0
1704978000000,0.0
1704981600000,0.0
1704985200000,0.0
1704988800000,0.0
1704992400000,0.0
1704996000000,0.0
1704999600000,0.0
1705003200000,0.0
1705006800000,0.0
1705010400000,0.036
1705014000000,0.181
1705017600000,0.323
1705021200000,0.411
1705024800000,0.441
1705028400000,0.47
1705032000000,0.478
1705035600000,0.426
1705039200000,0.332
1705042800000,0.204
1705046400000,0.071
1705050000000,0.0
1705053600000,0.0
1705057200000,0.0
1705060800000,0.0
1705064400000,0.0
1705068000000,0.0
1705071600000,0.0
1705075200000,0.0
1705078800000,0.0
1705082400000,0.0
1705086000000,0.0
1705089600000,0.0
1705093200000,0.0
1705096800000,0.028
1705100400000,0.168
1705104000000,0.32
1705107600000,0.453
1705111200000,0.508
1705114800000,0.554
1705118400000,0.579
1705122000000,0.534
1705125600000,0.425
1705129200000,0.29
1705132800000,0.101
1705136400000,0.0
1705140000000,0.0
1705143600000,0.0
1705147200000,0.0
1705150800000,0.0
1705154400000,0.0
1705158000000,0.0
1705161600000,0.0
1705165200000,0.0
1705168800000,0.0
1705172400000,0.0
1705176000000,0.0
1705179600000,0.0
1705183200000,0.045
1705186800000,0.203
1705190400000,0.363
1705194000000,0.534
1705197600000,0.602
1705201200000,0.649
1705204800000,0.606
1705208400000,0.505
1705212000000,0.366
1705215600000,0.257
1705219200000,0.097
1705222800000,0.0
1705226400000,0.0
1705230000000,0.0
1705233600000,0.0
1705237200000,0.0
1705240800000,0.0
1705244400000,0.0
1705248000000,0.0
1705251600000,0.0
1705255200000,0.0
1705258800000,0.0
1705262400000,0.0
1705266000000,0.0
1705269600000,0.052
1705273200000,0.235
1705276800000,0.412
1705280400000,0.533
1705284000000,0.639
1705287600000,0.655
1705291200000,0.643
1705294800000,0.567
1705298400000,0.375
1705302000000,0.187
1705305600000,0.047
1705309200000,0.0
1705312800000,0.0
1705316400000,0.0
1705320000000,0.0
1705323600000,0.0
1705327200000,0.0
1705330800000,0.0
1705334400000,0.0
1705338000000,0.0
1705341600000,0.0
1705345200000,0.0
1705348800000,0.0
1705352400000,0.0
1705356000000,0.048
1705359600000,0.203
1705363200000,0.337
1705366800000,0.449
1705370400000,0.502
1705374000000,0.518
1705377600000,0.523
1705381200000,0.488
1705384800000,0.395
1705388400000,0.265
1705392000000,0.09
1705395600000,0.0
1705399200000,0.0
1705402800000,0.0
1705406400000,0.0
1705410000000,0.0
1705413600000,0.0
1705417200000,0.0
1705420800000,0.0
1705424400000,0.0
1705428000000,0.0
1705431600000,0.0
1705435200000,0.0
1705438800000,0.0
1705442400000,0.044
1705446000000,0.214
1705449600000,0.385
1705453200000,0.514
1705456800000,0.622
1705460400000,0.691
1705464000000,0.678
1705467600000,0.63
1705471200000,0.501
1705474800000,0.33
1705478400000,0.114
1705482000000,0.0
1705485600000,0.0
1705489200000,0.0
1705492800000,0.0
1705496400000,0.0
1705500000000,0.0
1705503600000,0.0
1705507200000,0.0
1705510800000,0.0
1705514400000,0.0
1705518000000,0.0
1705521600000,0.0
1705525200000,0.0
1705528800000,0.057
1705532400000,0.243
1705536000000,0.427
1705539600000,0.56
1705543200000,0.647
1705546800000,0.688
1705550400000,0.671
1705554000000,0.601
1705557600000,0.445
1705561200000,0.288
1705564800000,0.094
1705568400000,0.0
1705572000000,0.0
1705575600000,0.0
1705579200000,0.0
1705582800000,0.0
1705586400000,0.0
1705590000000,0.0
1705593600000,0.0
1705597200000,0.0
1705600800000,0.0
1705604400000,0.0
1705608000000,0.0
1705611600000,0.0
1705615200000,0.06
1705618800000,0.243
1705622400000,0.423
1705626000000,0.568
1705629600000,0.646
1705633200000,0.679
1705636800000,0.646
1705640400000,0.56
1705644000000,0.431
1705647600000,0.264
1705651200000,0.082
1705654800000,0.0
1705658400000,0.0
1705662000000,0.0
1705665600000,0.0
1705669200000,0.0
1705672800000,0.0
1705676400000,0.0
1705680000000,0.0
1705683600000,0.0
1705687200000,0.0
1705690800000,0.0
1705694400000,0.0
1705698000000,0.0
1705701600000,0.061
1705705200000,0.246
1705708800000,0.44
1705712400000,0.589
1705716000000,0.667
1705719600000,0.703
1705723200000,0.68
1705726800000,0.604
1705730400000,0.491
1705734000000,0.323
1705737600000,0.127
1705741200000,0.0
1705744800000,0.0
1705748400000,0.0
1705752000000,0.0
1705755600000,0.0
1705759200000,0.0
1705762800000,0.0
1705766400000,0.0
1705770000000,0.0
1705773600000,0.0
1705777200000,0.0
1705780800000,0.0
1705784400000,0.0
1705788000000,0.071
1705791600000,0.262
1705795200000,0.453
1705798800000,0.582
1705802400000,0.67
1705806000000,0.697
1705809600000,0.68
1705813200000,0.624
1705816800000,0.5
1705820400000,0.317
1705824000000,0.094
1705827600000,0.0
1705831200000,0.0
1705834800000,0.0
1705838400000,0.0
1705842000000,0.0
1705845600000,0.0
1705849200000,0.0
1705852800000,0.0
1705856400000,0.0
1705860000000,0.0
1705863600000,0.0
1705867200000,0.0
1705870800000,0.0
1705874400000,0.042
1705878000000,0.197
1705881600000,0.341
1705885200000,0.458
1705888800000,0.599
1705892400000,0.638
1705896000000,0.638
1705899600000,0.559
1705903200000,0.449
1705906800000,0.259
1705910400000,0.079
1705914000000,0.0
1705917600000,0.0
1705921200000,0.0
1705924800000,0.0
1705928400000,0.0
1705932000000,0.0
1705935600000,0.0
1705939200000,0.0
1705942800000,0.0
1705946400000,0.0
1705950000000,0.0
1705953600000,0.0
1705957200000,0.0
1705960800000,0.047
1705964400000,0.196
1705968000000,0.36
1705971600000,0.45
1705975200000,0.502
1705978800000,0.52
1705982400000,0.506
1705986000000,0.455
1705989600000,0.368
1705993200000,0.244
1705996800000,0.091
1706000400000,0.0
1706004000000,0.0
1706007600000,0.0
1706011200000,0.0
1706014800000,0.0
1706018400000,0.0
