,S1
915148800000,0.92
915152400000,0.949
915156000000,0.955
915159600000,0.952
915163200000,0.945
915166800000,0.937
915170400000,0.926
915174000000,0.91
915177600000,0.88
915181200000,0.853
915184800000,0.855
915188400000,0.875
915192000000,0.884
915195600000,0.892
915199200000,0.896
915202800000,0.894
915206400000,0.885
915210000000,0.876
915213600000,0.873
915217200000,0.871
915220800000,0.863
915224400000,0.859
915228000000,0.862
915231600000,0.881
915235200000,0.895
915238800000,0.907
915242400000,0.903
915246000000,0.888
915249600000,0.87
915253200000,0.839
915256800000,0.799
915260400000,0.755
915264000000,0.704
915267600000,0.699
915271200000,0.692
915274800000,0.684
915278400000,0.678
915282000000,0.666
915285600000,0.668
915289200000,0.697
915292800000,0.713
915296400000,0.701
915300000000,0.678
915303600000,0.642
915307200000,0.597
915310800000,0.571
915314400000,0.542
915318000000,0.524
915321600000,0.571
915325200000,0.668
915328800000,0.685
915332400000,0.672
915336000000,0.644
915339600000,0.604
915343200000,0.555
915346800000,0.477
915350400000,0.407
915354000000,0.375
915357600000,0.361
915361200000,0.351
915364800000,0.334
915368400000,0.323
915372000000,0.28
915375600000,0.264
915379200000,0.285
915382800000,0.321
915386400000,0.358
915390000000,0.397
915393600000,0.439
915397200000,0.462
915400800000,0.461
915404400000,0.388
915408000000,0.436
915411600000,0.425
915415200000,0.395
915418800000,0.354
915422400000,0.328
915426000000,0.294
915429600000,0.235
915433200000,0.172
915436800000,0.122
915440400000,0.112
915444000000,0.127
915447600000,0.143
915451200000,0.161
915454800000,0.194
915458400000,0.196
915462000000,0.174
915465600000,0.163
915469200000,0.172
915472800000,0.188
915476400000,0.191
915480000000,0.171
915483600000,0.133
915487200000,0.095
915490800000,0.05
915494400000,0.043
915498000000,0.04
915501600000,0.032
915505200000,0.014
915508800000,0.004
915512400000,0.002
915516000000,0.004
915519600000,0.011
915523200000,0.025
915526800000,0.045
915530400000,0.054
915534000000,0.045
915537600000,0.031
915541200000,0.021
915544800000,0.013
915548400000,0.006
915552000000,0.002
915555600000,0.0
915559200000,0.0
915562800000,0.0
915566400000,0.002
915570000000,0.008
915573600000,0.015
915577200000,0.012
915580800000,0.024
915584400000,0.033
915588000000,0.038
915591600000,0.042
915595200000,0.051
915598800000,0.065
915602400000,0.079
915606000000,0.082
915609600000,0.08
915613200000,0.115
915616800000,0.141
915620400000,0.179
915624000000,0.201
915627600000,0.201
915631200000,0.261
915634800000,0.28
915638400000,0.284
915642000000,0.284
915645600000,0.284
915649200000,0.255
915652800000,0.233
915656400000,0.214
915660000000,0.172
915663600000,0.144
915667200000,0.218
915670800000,0.311
915674400000,0.414
915678000000,0.491
915681600000,0.549
915685200000,0.571
915688800000,0.552
915692400000,0.525
915696000000,0.525
915699600000,0.532
915703200000,0.535
915706800000,0.566
915710400000,0.575
915714000000,0.568
915717600000,0.584
915721200000,0.575
915724800000,0.558
915728400000,0.55
915732000000,0.535
915735600000,0.552
915739200000,0.585
915742800000,0.605
915746400000,0.58
915750000000,0.51
915753600000,0.519
915757200000,0.531
915760800000,0.513
915764400000,0.485
915768000000,0.448
915771600000,0.401
915775200000,0.352
915778800000,0.319
915782400000,0.305
915786000000,0.352
915789600000,0.395
915793200000,0.432
915796800000,0.447
915800400000,0.448
915804000000,0.434
915807600000,0.461
915811200000,0.463
915814800000,0.466
915818400000,0.491
915822000000,0.503
915825600000,0.525
915829200000,0.556
915832800000,0.546
915836400000,0.523
915840000000,0.541
915843600000,0.618
915847200000,0.656
915850800000,0.678
915854400000,0.691
915858000000,0.697
915861600000,0.697
915865200000,0.694
915868800000,0.714
915872400000,0.748
915876000000,0.772
915879600000,0.772
915883200000,0.78
915886800000,0.798
915890400000,0.823
915894000000,0.818
915897600000,0.815
915901200000,0.808
915904800000,0.808
915908400000,0.813
915912000000,0.822
915915600000,0.835
915919200000,0.848
915922800000,0.849
915926400000,0.866
915930000000,0.907
915933600000,0.908
915937200000,0.9
915940800000,0.886
915944400000,0.873
915948000000,0.868
915951600000,0.857
915955200000,0.844
915958800000,0.827
915962400000,0.833
915966000000,0.843
915969600000,0.837
915973200000,0.818
915976800000,0.805
915980400000,0.794
915984000000,0.794
915987600000,0.798
915991200000,0.799
915994800000,0.789
915998400000,0.786
916002000000,0.793
916005600000,0.806
916009200000,0.817
916012800000,0.876
916016400000,0.911
916020000000,0.914
916023600000,0.893
916027200000,0.852
916030800000,0.803
916034400000,0.756
916038000000,0.731
916041600000,0.705
916045200000,0.695
916048800000,0.703
916052400000,0.718
916056000000,0.73
916059600000,0.741
916063200000,0.75
916066800000,0.762
916070400000,0.789
916074000000,0.799
916077600000,0.82
916081200000,0.823
916084800000,0.792
916088400000,0.772
916092000000,0.767
916095600000,0.74
916099200000,0.75
916102800000,0.752
916106400000,0.768
916110000000,0.778
916113600000,0.812
916117200000,0.871
916120800000,0.928
916124400000,0.951
916128000000,0.955
916131600000,0.934
916135200000,0.873
916138800000,0.779
916142400000,0.699
916146000000,0.615
916149600000,0.552
916153200000,0.557
916156800000,0.622
916160400000,0.666
916164000000,0.658
916167600000,0.682
916171200000,0.707
916174800000,0.729
916178400000,0.706
916182000000,0.663
916185600000,0.672
916189200000,0.696
916192800000,0.695
916196400000,0.685
916200000000,0.687
916203600000,0.666
916207200000,0.644
916210800000,0.624
916214400000,0.618
916218000000,0.627
916221600000,0.645
916225200000,0.68
916228800000,0.693
916232400000,0.698
916236000000,0.705
916239600000,0.719
916243200000,0.724
916246800000,0.727
916250400000,0.728
916254000000,0.733
916257600000,0.756
916261200000,0.765
916264800000,0.785
916268400000,0.774
916272000000,0.815
916275600000,0.856
916279200000,0.886
916282800000,0.886
916286400000,0.872
916290000000,0.851
916293600000,0.831
916297200000,0.808
916300800000,0.765
916304400000,0.742
916308000000,0.737
916311600000,0.739
916315200000,0.75
916318800000,0.691
916322400000,0.657
916326000000,0.662
916329600000,0.605
916333200000,0.594
916336800000,0.557
916340400000,0.55
916344000000,0.562
916347600000,0.575
916351200000,0.525
916354800000,0.523
916358400000,0.689
916362000000,0.765
916365600000,0.789
916369200000,0.779
916372800000,0.746
916376400000,0.7
916380000000,0.644
916383600000,0.563
916387200000,0.498
916390800000,0.481
916394400000,0.5
916398000000,0.55
916401600000,0.594
916405200000,0.604
916408800000,0.616
916412400000,0.629
916416000000,0.624
916419600000,0.622
916423200000,0.618
916426800000,0.638
916430400000,0.661
916434000000,0.683
916437600000,0.711
916441200000,0.712
916444800000,0.728
916448400000,0.771
916452000000,0.777
916455600000,0.777
916459200000,0.737
916462800000,0.682
916466400000,0.628
916470000000,0.579
916473600000,0.574
916477200000,0.635
916480800000,0.684
916484400000,0.694
916488000000,0.72
916491600000,0.714
916495200000,0.679
916498800000,0.646
916502400000,0.628
916506000000,0.611
916509600000,0.61
916513200000,0.619
916516800000,0.635
916520400000,0.655
916524000000,0.708
916527600000,0.727
916531200000,0.753
916534800000,0.82
916538400000,0.855
916542000000,0.86
916545600000,0.852
916549200000,0.83
916552800000,0.808
916556400000,0.796
916560000000,0.777
916563600000,0.796
916567200000,0.827
916570800000,0.849
916574400000,0.857
916578000000,0.866
916581600000,0.89
916585200000,0.896
916588800000,0.896
