,B1
915148800000,0.8
915152400000,0.844
915156000000,0.868
915159600000,0.884
915163200000,0.883
915166800000,0.863
915170400000,0.822
915174000000,0.761
915177600000,0.685
915181200000,0.642
915184800000,0.633
915188400000,0.642
915192000000,0.668
915195600000,0.615
915199200000,0.521
915202800000,0.524
915206400000,0.56
915210000000,0.553
915213600000,0.544
915217200000,0.535
915220800000,0.54
915224400000,0.586
915228000000,0.675
915231600000,0.746
915235200000,0.786
915238800000,0.82
915242400000,0.827
915246000000,0.82
915249600000,0.802
915253200000,0.788
915256800000,0.774
915260400000,0.757
915264000000,0.712
915267600000,0.673
915271200000,0.626
915274800000,0.601
915278400000,0.558
915282000000,0.566
915285600000,0.59
915289200000,0.597
915292800000,0.585
915296400000,0.538
915300000000,0.476
915303600000,0.479
915307200000,0.504
915310800000,0.505
915314400000,0.504
915318000000,0.488
915321600000,0.523
915325200000,0.578
915328800000,0.585
915332400000,0.558
915336000000,0.528
915339600000,0.508
915343200000,0.517
915346800000,0.523
915350400000,0.498
915354000000,0.495
915357600000,0.488
915361200000,0.459
915364800000,0.428
915368400000,0.388
915372000000,0.346
915375600000,0.337
915379200000,0.35
915382800000,0.348
915386400000,0.349
915390000000,0.358
915393600000,0.367
915397200000,0.369
915400800000,0.345
915404400000,0.289
915408000000,0.251
915411600000,0.227
915415200000,0.218
915418800000,0.189
915422400000,0.168
915426000000,0.171
915429600000,0.192
915433200000,0.217
915436800000,0.228
915440400000,0.255
915444000000,0.278
915447600000,0.261
915451200000,0.182
915454800000,0.118
915458400000,0.122
915462000000,0.147
915465600000,0.175
915469200000,0.174
915472800000,0.146
915476400000,0.133
915480000000,0.127
915483600000,0.136
915487200000,0.152
915490800000,0.144
915494400000,0.14
915498000000,0.15
915501600000,0.155
915505200000,0.13
915508800000,0.09
915512400000,0.057
915516000000,0.032
915519600000,0.019
915523200000,0.018
915526800000,0.029
915530400000,0.052
915534000000,0.083
915537600000,0.114
915541200000,0.141
915544800000,0.162
915548400000,0.169
915552000000,0.129
915555600000,0.072
915559200000,0.074
915562800000,0.116
915566400000,0.068
915570000000,0.016
915573600000,0.007
915577200000,0.01
915580800000,0.006
915584400000,0.002
915588000000,0.003
915591600000,0.014
915595200000,0.034
915598800000,0.059
915602400000,0.083
915606000000,0.087
915609600000,0.071
915613200000,0.05
915616800000,0.039
915620400000,0.042
915624000000,0.049
915627600000,0.056
915631200000,0.074
915634800000,0.1
915638400000,0.123
915642000000,0.14
915645600000,0.143
915649200000,0.135
915652800000,0.123
915656400000,0.102
915660000000,0.08
915663600000,0.053
915667200000,0.037
915670800000,0.025
915674400000,0.017
915678000000,0.01
915681600000,0.005
915685200000,0.002
915688800000,0.0
915692400000,0.0
915696000000,0.0
915699600000,0.0
915703200000,0.001
915706800000,0.011
915710400000,0.037
915714000000,0.089
915717600000,0.165
915721200000,0.238
915724800000,0.297
915728400000,0.326
915732000000,0.347
915735600000,0.364
915739200000,0.368
915742800000,0.347
915746400000,0.331
915750000000,0.341
915753600000,0.378
915757200000,0.421
915760800000,0.425
915764400000,0.393
915768000000,0.37
915771600000,0.355
915775200000,0.348
915778800000,0.341
915782400000,0.345
915786000000,0.394
915789600000,0.459
915793200000,0.479
915796800000,0.466
915800400000,0.442
915804000000,0.425
915807600000,0.402
915811200000,0.388
915814800000,0.393
915818400000,0.41
915822000000,0.438
915825600000,0.463
915829200000,0.47
915832800000,0.472
915836400000,0.454
915840000000,0.44
915843600000,0.422
