,N1
695502000000,0.0
695505600000,0.0
695509200000,0.0
695512800000,0.028
695516400000,0.177
695520000000,0.389
695523600000,0.53
695527200000,0.626
695530800000,0.637
695534400000,0.618
695538000000,0.572
695541600000,0.455
695545200000,0.298
695548800000,0.133
695552400000,0.001
695556000000,0.0
695559600000,0.0
695563200000,0.0
695566800000,0.0
695570400000,0.0
695574000000,0.0
695577600000,0.0
695581200000,0.0
695584800000,0.0
695588400000,0.0
695592000000,0.0
695595600000,0.0
695599200000,0.042
695602800000,0.246
695606400000,0.453
695610000000,0.6
695613600000,0.688
695617200000,0.723
695620800000,0.708
695624400000,0.648
695628000000,0.528
695631600000,0.369
695635200000,0.155
695638800000,0.001
695642400000,0.0
695646000000,0.0
695649600000,0.0
695653200000,0.0
695656800000,0.0
695660400000,0.0
695664000000,0.0
695667600000,0.0
695671200000,0.0
695674800000,0.0
695678400000,0.0
695682000000,0.0
695685600000,0.04
695689200000,0.24
695692800000,0.447
695696400000,0.602
695700000000,0.696
695703600000,0.733
695707200000,0.721
695710800000,0.662
695714400000,0.554
695718000000,0.389
695721600000,0.178
695725200000,0.004
695728800000,0.0
695732400000,0.0
695736000000,0.0
695739600000,0.0
695743200000,0.0
695746800000,0.0
695750400000,0.0
695754000000,0.0
695757600000,0.0
695761200000,0.0
695764800000,0.0
695768400000,0.0
695772000000,0.041
695775600000,0.235
695779200000,0.445
695782800000,0.593
695786400000,0.686
695790000000,0.721
695793600000,0.71
695797200000,0.65
695800800000,0.542
695804400000,0.381
695808000000,0.175
695811600000,0.004
695815200000,0.0
695818800000,0.0
695822400000,0.0
695826000000,0.0
695829600000,0.0
695833200000,0.0
695836800000,0.0
695840400000,0.0
695844000000,0.0
695847600000,0.0
695851200000,0.0
695854800000,0.0
695858400000,0.051
695862000000,0.256
695865600000,0.454
695869200000,0.591
695872800000,0.679
695876400000,0.715
695880000000,0.705
695883600000,0.643
695887200000,0.526
695890800000,0.358
695894400000,0.137
695898000000,0.002
695901600000,0.0
695905200000,0.0
695908800000,0.0
695912400000,0.0
695916000000,0.0
695919600000,0.0
695923200000,0.0
695926800000,0.0
695930400000,0.0
695934000000,0.0
695937600000,0.0
695941200000,0.0
695944800000,0.048
695948400000,0.255
695952000000,0.454
695955600000,0.592
695959200000,0.67
695962800000,0.701
695966400000,0.688
695970000000,0.623
695973600000,0.514
695977200000,0.338
695980800000,0.134
695984400000,0.002
695988000000,0.0
695991600000,0.0
695995200000,0.0
695998800000,0.0
696002400000,0.0
696006000000,0.0
696009600000,0.0
696013200000,0.0
696016800000,0.0
696020400000,0.0
696024000000,0.0
696027600000,0.0
696031200000,0.042
696034800000,0.234
696038400000,0.448
696042000000,0.588
696045600000,0.676
696049200000,0.711
696052800000,0.698
696056400000,0.632
696060000000,0.525
696063600000,0.365
696067200000,0.162
696070800000,0.002
696074400000,0.0
696078000000,0.0
696081600000,0.0
696085200000,0.0
696088800000,0.0
696092400000,0.0
696096000000,0.0
696099600000,0.0
696103200000,0.0
696106800000,0.0
696110400000,0.0
696114000000,0.0
696117600000,0.046
696121200000,0.252
696124800000,0.447
696128400000,0.587
696132000000,0.676
696135600000,0.716
696139200000,0.706
696142800000,0.641
696146400000,0.53
696150000000,0.363
696153600000,0.158
696157200000,0.002
696160800000,0.0
696164400000,0.0
696168000000,0.0
696171600000,0.0
696175200000,0.0
696178800000,0.0
696182400000,0.0
696186000000,0.0
696189600000,0.0
696193200000,0.0
696196800000,0.0
696200400000,0.0
696204000000,0.041
696207600000,0.222
696211200000,0.417
696214800000,0.563
696218400000,0.634
696222000000,0.657
696225600000,0.604
696229200000,0.512
696232800000,0.351
696236400000,0.224
696240000000,0.088
696243600000,0.0
696247200000,0.0
696250800000,0.0
696254400000,0.0
696258000000,0.0
696261600000,0.0
696265200000,0.0
696268800000,0.0
696272400000,0.0
696276000000,0.0
696279600000,0.0
696283200000,0.0
696286800000,0.0
696290400000,0.039
696294000000,0.218
696297600000,0.441
696301200000,0.585
696304800000,0.672
696308400000,0.707
