,B1
758660400000,0.0
758664000000,0.0
758667600000,0.0
758671200000,0.069
758674800000,0.254
758678400000,0.453
758682000000,0.62
758685600000,0.701
758689200000,0.735
758692800000,0.72
758696400000,0.643
758700000000,0.549
758703600000,0.383
758707200000,0.155
758710800000,0.0
758714400000,0.0
758718000000,0.0
758721600000,0.0
758725200000,0.0
758728800000,0.0
758732400000,0.0
758736000000,0.0
758739600000,0.0
758743200000,0.0
758746800000,0.0
758750400000,0.0
758754000000,0.0
758757600000,0.079
758761200000,0.276
758764800000,0.455
758768400000,0.59
758772000000,0.677
758775600000,0.729
758779200000,0.722
758782800000,0.656
758786400000,0.519
758790000000,0.373
758793600000,0.141
758797200000,0.0
758800800000,0.0
758804400000,0.0
758808000000,0.0
758811600000,0.0
758815200000,0.0
758818800000,0.0
758822400000,0.0
758826000000,0.0
758829600000,0.0
758833200000,0.0
758836800000,0.0
758840400000,0.0
758844000000,0.075
758847600000,0.278
758851200000,0.452
758854800000,0.574
758858400000,0.643
758862000000,0.658
758865600000,0.663
758869200000,0.557
758872800000,0.437
758876400000,0.264
758880000000,0.114
758883600000,0.0
758887200000,0.0
758890800000,0.0
758894400000,0.0
758898000000,0.0
758901600000,0.0
758905200000,0.0
758908800000,0.0
758912400000,0.0
758916000000,0.0
758919600000,0.0
758923200000,0.0
758926800000,0.0
758930400000,0.058
758934000000,0.267
758937600000,0.459
758941200000,0.589
758944800000,0.631
758948400000,0.603
758952000000,0.634
758955600000,0.624
758959200000,0.52
758962800000,0.332
758966400000,0.138
758970000000,0.0
758973600000,0.0
758977200000,0.0
758980800000,0.0
758984400000,0.0
758988000000,0.0
758991600000,0.0
758995200000,0.0
758998800000,0.0
759002400000,0.0
759006000000,0.0
759009600000,0.0
759013200000,0.0
759016800000,0.062
759020400000,0.246
759024000000,0.414
759027600000,0.532
759031200000,0.613
759034800000,0.657
759038400000,0.642
759042000000,0.567
759045600000,0.379
759049200000,0.198
759052800000,0.07
759056400000,0.0
759060000000,0.0
759063600000,0.0
759067200000,0.0
759070800000,0.0
759074400000,0.0
759078000000,0.0
759081600000,0.0
759085200000,0.0
759088800000,0.0
759092400000,0.0
759096000000,0.0
759099600000,0.0
759103200000,0.031
759106800000,0.179
759110400000,0.351
759114000000,0.472
759117600000,0.553
759121200000,0.524
759124800000,0.392
759128400000,0.289
759132000000,0.191
759135600000,0.113
759139200000,0.038
759142800000,0.0
759146400000,0.0
759150000000,0.0
759153600000,0.0
759157200000,0.0
759160800000,0.0
759164400000,0.0
759168000000,0.0
759171600000,0.0
759175200000,0.0
759178800000,0.0
759182400000,0.0
759186000000,0.0
759189600000,0.023
759193200000,0.143
759196800000,0.3
759200400000,0.431
759204000000,0.534
759207600000,0.592
759211200000,0.599
759214800000,0.544
759218400000,0.446
759222000000,0.306
759225600000,0.131
759229200000,0.0
759232800000,0.0
759236400000,0.0
759240000000,0.0
759243600000,0.0
759247200000,0.0
759250800000,0.0
759254400000,0.0
759258000000,0.0
759261600000,0.0
759265200000,0.0
759268800000,0.0
759272400000,0.0
