,L6
946684800000,0.531
946688400000,0.546
946692000000,0.519
946695600000,0.482
946699200000,0.442
946702800000,0.402
946706400000,0.366
946710000000,0.316
946713600000,0.251
946717200000,0.277
946720800000,0.33
946724400000,0.361
946728000000,0.358
946731600000,0.358
946735200000,0.364
946738800000,0.346
946742400000,0.302
946746000000,0.261
946749600000,0.23
946753200000,0.206
946756800000,0.202
946760400000,0.236
946764000000,0.289
946767600000,0.312
946771200000,0.411
946774800000,0.466
946778400000,0.519
946782000000,0.563
946785600000,0.599
946789200000,0.635
946792800000,0.665
946796400000,0.668
946800000000,0.615
946803600000,0.583
946807200000,0.599
946810800000,0.607
946814400000,0.603
946818000000,0.593
946821600000,0.59
946825200000,0.58
946828800000,0.59
946832400000,0.604
946836000000,0.627
946839600000,0.628
946843200000,0.642
946846800000,0.687
946850400000,0.71
946854000000,0.725
946857600000,0.81
946861200000,0.81
946864800000,0.784
946868400000,0.752
946872000000,0.726
946875600000,0.716
946879200000,0.731
946882800000,0.749
946886400000,0.745
946890000000,0.712
946893600000,0.697
946897200000,0.702
946900800000,0.688
946904400000,0.65
946908000000,0.608
946911600000,0.573
946915200000,0.547
946918800000,0.53
946922400000,0.525
946926000000,0.535
946929600000,0.547
946933200000,0.568
946936800000,0.586
946940400000,0.563
946944000000,0.644
946947600000,0.642
946951200000,0.611
946954800000,0.559
946958400000,0.499
946962000000,0.472
946965600000,0.488
946969200000,0.515
946972800000,0.538
946976400000,0.583
946980000000,0.619
946983600000,0.63
946987200000,0.635
946990800000,0.6
946994400000,0.545
946998000000,0.498
947001600000,0.471
947005200000,0.434
947008800000,0.395
947012400000,0.347
947016000000,0.311
947019600000,0.287
947023200000,0.264
947026800000,0.194
947030400000,0.192
947034000000,0.149
947037600000,0.084
947041200000,0.035
947044800000,0.008
947048400000,0.001
947052000000,0.001
947055600000,0.002
947059200000,0.006
947062800000,0.028
947066400000,0.025
947070000000,0.016
947073600000,0.014
947077200000,0.016
947080800000,0.019
947084400000,0.021
947088000000,0.02
947091600000,0.02
947095200000,0.019
947098800000,0.02
947102400000,0.024
947106000000,0.03
947109600000,0.029
947113200000,0.011
947116800000,0.013
947120400000,0.01
947124000000,0.006
947127600000,0.003
947131200000,0.001
947134800000,0.002
947138400000,0.017
947142000000,0.042
947145600000,0.068
947149200000,0.107
947152800000,0.136
947156400000,0.139
947160000000,0.134
947163600000,0.127
947167200000,0.12
947170800000,0.106
947174400000,0.09
947178000000,0.077
947181600000,0.071
947185200000,0.072
947188800000,0.081
947192400000,0.099
947196000000,0.124
947199600000,0.13
947203200000,0.179
947206800000,0.218
947210400000,0.252
947214000000,0.278
947217600000,0.295
947221200000,0.324
947224800000,0.377
947228400000,0.44
947232000000,0.501
947235600000,0.556
947239200000,0.601
947242800000,0.615
947246400000,0.622
947250000000,0.601
947253600000,0.562
947257200000,0.506
947260800000,0.42
947264400000,0.357
947268000000,0.319
947271600000,0.284
947275200000,0.252
947278800000,0.246
947282400000,0.259
947286000000,0.248
947289600000,0.294
947293200000,0.305
947296800000,0.251
947300400000,0.186
947304000000,0.137
947307600000,0.112
947311200000,0.112
947314800000,0.132
947318400000,0.146
947322000000,0.179
947325600000,0.227
947329200000,0.286
947332800000,0.313
947336400000,0.318
947340000000,0.309
947343600000,0.265
947347200000,0.195
947350800000,0.128
947354400000,0.086
947358000000,0.072
947361600000,0.064
947365200000,0.06
947368800000,0.064
947372400000,0.039
947376000000,0.016
947379600000,0.007
947383200000,0.001
947386800000,0.0
947390400000,0.0
947394000000,0.0
947397600000,0.001
947401200000,0.002
947404800000,0.005
947408400000,0.015
947412000000,0.026
947415600000,0.036
947419200000,0.046
947422800000,0.056
947426400000,0.064
947430000000,0.069
947433600000,0.061
947437200000,0.048
947440800000,0.043
947444400000,0.048
947448000000,0.059
947451600000,0.08
947455200000,0.102
947458800000,0.091
947462400000,0.091
947466000000,0.118
947469600000,0.131
947473200000,0.133
947476800000,0.13
947480400000,0.133
947484000000,0.147
947487600000,0.159
947491200000,0.179
947494800000,0.256
947498400000,0.348
947502000000,0.408
947505600000,0.447
947509200000,0.462
947512800000,0.468
947516400000,0.467
947520000000,0.459
947523600000,0.446
947527200000,0.432
947530800000,0.422
947534400000,0.398
947538000000,0.413
947541600000,0.43
947545200000,0.411
947548800000,0.525
947552400000,0.526
947556000000,0.44
