,V2
631152000000,0.464
631155600000,0.373
631159200000,0.251
631162800000,0.158
631166400000,0.098
631170000000,0.049
631173600000,0.031
631177200000,0.043
631180800000,0.069
631184400000,0.112
631188000000,0.216
631191600000,0.374
631195200000,0.41
631198800000,0.374
631202400000,0.359
631206000000,0.349
631209600000,0.386
631213200000,0.394
631216800000,0.376
631220400000,0.355
631224000000,0.323
631227600000,0.32
631231200000,0.343
631234800000,0.376
631238400000,0.448
631242000000,0.467
631245600000,0.413
631249200000,0.316
631252800000,0.213
631256400000,0.138
631260000000,0.107
631263600000,0.113
631267200000,0.149
631270800000,0.234
631274400000,0.406
631278000000,0.507
631281600000,0.467
631285200000,0.374
631288800000,0.289
631292400000,0.27
631296000000,0.294
631299600000,0.346
631303200000,0.445
631306800000,0.5
631310400000,0.535
631314000000,0.569
631317600000,0.586
631321200000,0.623
631324800000,0.684
631328400000,0.707
631332000000,0.683
631335600000,0.653
631339200000,0.621
631342800000,0.595
631346400000,0.607
631350000000,0.654
631353600000,0.663
631357200000,0.668
631360800000,0.682
631364400000,0.724
631368000000,0.813
631371600000,0.911
631375200000,0.922
631378800000,0.899
631382400000,0.868
631386000000,0.849
631389600000,0.845
631393200000,0.848
631396800000,0.852
631400400000,0.85
631404000000,0.853
631407600000,0.871
631411200000,0.897
631414800000,0.907
631418400000,0.896
631422000000,0.88
631425600000,0.855
631429200000,0.826
631432800000,0.806
631436400000,0.799
631440000000,0.804
631443600000,0.829
631447200000,0.859
631450800000,0.874
631454400000,0.897
631458000000,0.922
631461600000,0.933
631465200000,0.924
631468800000,0.903
631472400000,0.881
631476000000,0.862
631479600000,0.851
631483200000,0.855
631486800000,0.857
631490400000,0.851
631494000000,0.858
631497600000,0.871
631501200000,0.869
631504800000,0.848
631508400000,0.824
631512000000,0.795
631515600000,0.746
631519200000,0.699
631522800000,0.674
631526400000,0.663
631530000000,0.65
631533600000,0.668
631537200000,0.681
631540800000,0.687
631544400000,0.724
631548000000,0.758
631551600000,0.779
631555200000,0.78
631558800000,0.775
631562400000,0.773
631566000000,0.773
631569600000,0.775
631573200000,0.752
631576800000,0.721
631580400000,0.707
631584000000,0.724
631587600000,0.718
631591200000,0.668
631594800000,0.619
631598400000,0.583
631602000000,0.548
631605600000,0.535
631609200000,0.545
631612800000,0.55
631616400000,0.535
631620000000,0.559
631623600000,0.582
631627200000,0.574
631630800000,0.593
631634400000,0.714
631638000000,0.798
631641600000,0.816
631645200000,0.82
631648800000,0.823
631652400000,0.826
631656000000,0.831
631659600000,0.831
631663200000,0.833
631666800000,0.856
631670400000,0.88
631674000000,0.881
631677600000,0.865
631681200000,0.837
631684800000,0.802
631688400000,0.772
631692000000,0.748
631695600000,0.728
631699200000,0.683
631702800000,0.616
631706400000,0.627
631710000000,0.635
631713600000,0.665
631717200000,0.704
631720800000,0.75
631724400000,0.777
631728000000,0.786
631731600000,0.786
631735200000,0.776
631738800000,0.764
631742400000,0.75
631746000000,0.738
631749600000,0.726
631753200000,0.74
631756800000,0.779
631760400000,0.811
631764000000,0.821
631767600000,0.818
631771200000,0.792
631774800000,0.765
631778400000,0.739
631782000000,0.718
631785600000,0.682
631789200000,0.654
631792800000,0.668
631796400000,0.653
631800000000,0.637
631803600000,0.661
631807200000,0.739
631810800000,0.82
631814400000,0.823
631818000000,0.812
631821600000,0.794
631825200000,0.769
631828800000,0.741
631832400000,0.716
631836000000,0.703
631839600000,0.697
631843200000,0.722
631846800000,0.743
631850400000,0.739
631854000000,0.706
631857600000,0.654
631861200000,0.59
631864800000,0.527
631868400000,0.483
631872000000,0.406
631875600000,0.306
631879200000,0.278
631882800000,0.317
631886400000,0.36
631890000000,0.357
631893600000,0.362
631897200000,0.379
631900800000,0.41
631904400000,0.465
631908000000,0.519
631911600000,0.561
631915200000,0.613
631918800000,0.652
631922400000,0.668
631926000000,0.674
631929600000,0.661
631933200000,0.619
631936800000,0.547
631940400000,0.461
631944000000,0.391
631947600000,0.34
631951200000,0.313
631954800000,0.314
631958400000,0.332
631962000000,0.355
631965600000,0.432
631969200000,0.51
631972800000,0.541
631976400000,0.494
631980000000,0.479
631983600000,0.489
631987200000,0.569
631990800000,0.615
631994400000,0.605
631998000000,0.599
632001600000,0.605
632005200000,0.586
632008800000,0.547
632012400000,0.519
632016000000,0.52
632019600000,0.525
632023200000,0.533
632026800000,0.566
632030400000,0.593
632034000000,0.625
632037600000,0.677
632041200000,0.726
632044800000,0.765
632048400000,0.765
632052000000,0.758
632055600000,0.753
632059200000,0.709
632062800000,0.67
632066400000,0.649
632070000000,0.613
632073600000,0.586
632077200000,0.568
632080800000,0.554
632084400000,0.556
632088000000,0.578
632091600000,0.605
632095200000,0.625
632098800000,0.674
632102400000,0.731
632106000000,0.739
632109600000,0.689
632113200000,0.626
632116800000,0.569
632120400000,0.515
632124000000,0.481
632127600000,0.459
632131200000,0.444
632134800000,0.404
632138400000,0.413
632142000000,0.471
632145600000,0.503
632149200000,0.506
632152800000,0.564
632156400000,0.705
632160000000,0.786
632163600000,0.809
632167200000,0.807
632170800000,0.785
632174400000,0.764
632178000000,0.715
632181600000,0.666
632185200000,0.66
632188800000,0.632
632192400000,0.538
632196000000,0.404
632199600000,0.323
632203200000,0.294
632206800000,0.285
632210400000,0.316
632214000000,0.403
632217600000,0.534
632221200000,0.639
632224800000,0.706
632228400000,0.73
632232000000,0.71
632235600000,0.674
632239200000,0.721
632242800000,0.794
632246400000,0.819
632250000000,0.795
632253600000,0.765
632257200000,0.75
632260800000,0.747
632264400000,0.733
632268000000,0.711
632271600000,0.717
632275200000,0.725
632278800000,0.697
632282400000,0.625
632286000000,0.548
632289600000,0.481
632293200000,0.437
632296800000,0.433
632300400000,0.447
632304000000,0.464
632307600000,0.479
632311200000,0.556
632314800000,0.652
632318400000,0.593
632322000000,0.481
632325600000,0.468
632329200000,0.533
632332800000,0.615
632336400000,0.662
632340000000,0.683
632343600000,0.692
632347200000,0.694
632350800000,0.626
632354400000,0.501
632358000000,0.417
632361600000,0.391
632365200000,0.332
632368800000,0.235
632372400000,0.17
632376000000,0.114
632379600000,0.048
632383200000,0.006
632386800000,0.0
632390400000,0.007
632394000000,0.043
632397600000,0.051
632401200000,0.045
632404800000,0.076
632408400000,0.112
632412000000,0.132
632415600000,0.122
632419200000,0.102
632422800000,0.102
632426400000,0.129
632430000000,0.171
632433600000,0.223
632437200000,0.27
632440800000,0.313
632444400000,0.367
632448000000,0.413
632451600000,0.398
632455200000,0.336
632458800000,0.246
632462400000,0.164
632466000000,0.118
632469600000,0.112
632473200000,0.137
632476800000,0.201
632480400000,0.299
632484000000,0.445
632487600000,0.531
632491200000,0.472
632494800000,0.395
632498400000,0.343
632502000000,0.321
632505600000,0.395
632509200000,0.523
632512800000,0.634
632516400000,0.66
632520000000,0.655
632523600000,0.63
632527200000,0.587
632530800000,0.571
632534400000,0.571
632538000000,0.532
632541600000,0.461
632545200000,0.413
632548800000,0.396
632552400000,0.401
632556000000,0.453
632559600000,0.532
632563200000,0.605
632566800000,0.618
632570400000,0.591
632574000000,0.543
632577600000,0.459
632581200000,0.407
632584800000,0.374
632588400000,0.415
632592000000,0.484
632595600000,0.513
632599200000,0.557
632602800000,0.623
632606400000,0.668
632610000000,0.675
632613600000,0.653
632617200000,0.646
632620800000,0.68
632624400000,0.69
632628000000,0.648
632631600000,0.562
632635200000,0.466
632638800000,0.367
632642400000,0.296
632646000000,0.259
632649600000,0.254
632653200000,0.298
632656800000,0.398
632660400000,0.472
632664000000,0.513
632667600000,0.527
632671200000,0.538
632674800000,0.566
632678400000,0.642
632682000000,0.695
632685600000,0.711
632689200000,0.705
632692800000,0.693
632696400000,0.687
632700000000,0.695
632703600000,0.722
632707200000,0.729
632710800000,0.684
632714400000,0.609
632718000000,0.507
632721600000,0.41
632725200000,0.344
632728800000,0.312
632732400000,0.311
632736000000,0.343
632739600000,0.38
632743200000,0.444
632746800000,0.51
632750400000,0.523
632754000000,0.496
632757600000,0.472
632761200000,0.488
632764800000,0.538
632768400000,0.618
632772000000,0.7
632775600000,0.756
632779200000,0.785
632782800000,0.779
632786400000,0.751
632790000000,0.737
632793600000,0.723
632797200000,0.661
632800800000,0.577
632804400000,0.488
632808000000,0.428
632811600000,0.407
632815200000,0.431
632818800000,0.488
632822400000,0.566
632826000000,0.637
632829600000,0.695
632833200000,0.706
632836800000,0.651
632840400000,0.613
632844000000,0.65
632847600000,0.718
632851200000,0.762
632854800000,0.763
632858400000,0.752
632862000000,0.745
632865600000,0.745
632869200000,0.743
632872800000,0.748
632876400000,0.78
632880000000,0.798
632883600000,0.774
632887200000,0.723
632890800000,0.651
632894400000,0.586
632898000000,0.535
632901600000,0.51
632905200000,0.513
632908800000,0.534
632912400000,0.54
632916000000,0.569
632919600000,0.583
632923200000,0.553
632926800000,0.525
632930400000,0.534
632934000000,0.564
632937600000,0.591
632941200000,0.589
632944800000,0.551
632948400000,0.507
632952000000,0.481
632955600000,0.47
632959200000,0.454
632962800000,0.481
632966400000,0.525
632970000000,0.53
632973600000,0.517
632977200000,0.484
632980800000,0.447
632984400000,0.413
632988000000,0.412
632991600000,0.435
632995200000,0.468
632998800000,0.494
633002400000,0.521
633006000000,0.454
633009600000,0.356
633013200000,0.286
633016800000,0.249
633020400000,0.228
633024000000,0.222
633027600000,0.289
633031200000,0.32
633034800000,0.325
633038400000,0.313
633042000000,0.337
633045600000,0.343
633049200000,0.364
633052800000,0.413
633056400000,0.425
633060000000,0.364
633063600000,0.241
633067200000,0.122
633070800000,0.038
633074400000,0.005
633078000000,0.001
633081600000,0.001
633085200000,0.01
633088800000,0.062
633092400000,0.174
633096000000,0.289
633099600000,0.338
633103200000,0.344
633106800000,0.333
633110400000,0.32
633114000000,0.339
633117600000,0.352
633121200000,0.299
633124800000,0.273
633128400000,0.316
633132000000,0.358
633135600000,0.498
633139200000,0.608
633142800000,0.654
633146400000,0.655
633150000000,0.618
633153600000,0.561
633157200000,0.523
633160800000,0.523
633164400000,0.556
633168000000,0.601
633171600000,0.61
633175200000,0.594
633178800000,0.574
633182400000,0.524
633186000000,0.476
633189600000,0.482
633193200000,0.507
633196800000,0.563
633200400000,0.607
633204000000,0.618
633207600000,0.621
633211200000,0.63
633214800000,0.649
633218400000,0.658
633222000000,0.704
633225600000,0.762
633229200000,0.787
633232800000,0.778
633236400000,0.744
633240000000,0.7
633243600000,0.658
633247200000,0.636
633250800000,0.639
633254400000,0.635
633258000000,0.582
633261600000,0.538
633265200000,0.484
633268800000,0.422
633272400000,0.367
633276000000,0.336
633279600000,0.287
633283200000,0.271
633286800000,0.298
633290400000,0.384
633294000000,0.476
633297600000,0.502
633301200000,0.505
633304800000,0.486
633308400000,0.477
633312000000,0.515
633315600000,0.535
633319200000,0.494
633322800000,0.418
633326400000,0.335
633330000000,0.266
633333600000,0.22
633337200000,0.192
633340800000,0.192
633344400000,0.192
633348000000,0.257
633351600000,0.357
633355200000,0.367
633358800000,0.328
633362400000,0.302
633366000000,0.273
633369600000,0.249
633373200000,0.283
633376800000,0.323
633380400000,0.337
633384000000,0.337
633387600000,0.335
633391200000,0.314
633394800000,0.3
633398400000,0.308
633402000000,0.277
633405600000,0.209
633409200000,0.137
633412800000,0.077
633416400000,0.033
633420000000,0.011
633423600000,0.004
633427200000,0.005
633430800000,0.017
633434400000,0.056
633438000000,0.141
633441600000,0.242
633445200000,0.267
633448800000,0.254
633452400000,0.241
633456000000,0.256
633459600000,0.317
633463200000,0.376
633466800000,0.408
633470400000,0.421
633474000000,0.419
633477600000,0.396
633481200000,0.391
633484800000,0.385
633488400000,0.372
633492000000,0.333
633495600000,0.26
633499200000,0.179
633502800000,0.111
633506400000,0.057
633510000000,0.021
633513600000,0.002
633517200000,0.0
633520800000,0.005
633524400000,0.021
633528000000,0.046
633531600000,0.076
633535200000,0.098
633538800000,0.098
633542400000,0.122
633546000000,0.179
633549600000,0.223
633553200000,0.259
633556800000,0.299
633560400000,0.314
633564000000,0.289
633567600000,0.266
633571200000,0.254
633574800000,0.21
633578400000,0.145
633582000000,0.088
633585600000,0.042
633589200000,0.008
633592800000,0.0
633596400000,0.0
633600000000,0.001
633603600000,0.017
633607200000,0.045
633610800000,0.056
633614400000,0.077
633618000000,0.128
633621600000,0.196
633625200000,0.213
633628800000,0.219
633632400000,0.259
633636000000,0.309
633639600000,0.361
633643200000,0.388
633646800000,0.346
633650400000,0.276
633654000000,0.242
633657600000,0.225
633661200000,0.183
633664800000,0.123
633668400000,0.068
633672000000,0.021
633675600000,0.001
633679200000,0.0
633682800000,0.001
633686400000,0.007
633690000000,0.023
633693600000,0.045
633697200000,0.064
633700800000,0.097
633704400000,0.152
633708000000,0.156
633711600000,0.156
633715200000,0.163
633718800000,0.175
633722400000,0.181
633726000000,0.195
633729600000,0.221
633733200000,0.235
633736800000,0.237
633740400000,0.251
633744000000,0.217
633747600000,0.14
633751200000,0.063
633754800000,0.019
633758400000,0.003
633762000000,0.0
633765600000,0.002
633769200000,0.012
633772800000,0.032
633776400000,0.053
633780000000,0.082
633783600000,0.154
633787200000,0.267
633790800000,0.347
633794400000,0.347
633798000000,0.328
633801600000,0.311
633805200000,0.311
633808800000,0.352
633812400000,0.42
633816000000,0.482
633819600000,0.56
633823200000,0.638
633826800000,0.7
633830400000,0.698
633834000000,0.645
633837600000,0.562
633841200000,0.461
633844800000,0.343
633848400000,0.248
633852000000,0.205
633855600000,0.208
633859200000,0.256
633862800000,0.323
633866400000,0.443
633870000000,0.531
633873600000,0.58
633877200000,0.556
633880800000,0.507
633884400000,0.503
633888000000,0.525
633891600000,0.578
633895200000,0.614
633898800000,0.627
633902400000,0.619
633906000000,0.59
633909600000,0.541
633913200000,0.54
633916800000,0.556
633920400000,0.544
633924000000,0.503
633927600000,0.447
633931200000,0.392
633934800000,0.374
633938400000,0.422
633942000000,0.544
633945600000,0.672
633949200000,0.726
633952800000,0.756
633956400000,0.714
633960000000,0.599
633963600000,0.513
633967200000,0.488
633970800000,0.516
633974400000,0.577
633978000000,0.592
633981600000,0.592
633985200000,0.593
633988800000,0.61
633992400000,0.615
633996000000,0.615
633999600000,0.665
634003200000,0.713
634006800000,0.722
634010400000,0.692
634014000000,0.646
634017600000,0.617
634021200000,0.604
634024800000,0.622
634028400000,0.664
634032000000,0.696
634035600000,0.696
634039200000,0.693
634042800000,0.688
634046400000,0.62
634050000000,0.526
634053600000,0.494
634057200000,0.522
634060800000,0.608
634064400000,0.679
634068000000,0.7
634071600000,0.705
634075200000,0.708
634078800000,0.695
634082400000,0.655
634086000000,0.652
634089600000,0.667
634093200000,0.644
634096800000,0.589
634100400000,0.525
634104000000,0.464
634107600000,0.422
634111200000,0.41
634114800000,0.441
634118400000,0.516
634122000000,0.58
634125600000,0.644
634129200000,0.695
634132800000,0.642
634136400000,0.596
634140000000,0.576
634143600000,0.595
634147200000,0.646
634150800000,0.666
634154400000,0.656
634158000000,0.628
634161600000,0.592
634165200000,0.56
634168800000,0.548
634172400000,0.59
634176000000,0.649
634179600000,0.679
634183200000,0.682
634186800000,0.669
634190400000,0.652
634194000000,0.658
634197600000,0.692
634201200000,0.739
634204800000,0.777
634208400000,0.794
634212000000,0.797
634215600000,0.765
634219200000,0.699
634222800000,0.668
634226400000,0.674
634230000000,0.733
634233600000,0.806
634237200000,0.808
634240800000,0.791
634244400000,0.788
634248000000,0.791
634251600000,0.777
634255200000,0.757
634258800000,0.782
634262400000,0.82
634266000000,0.84
634269600000,0.844
634273200000,0.856
634276800000,0.867
634280400000,0.871
634284000000,0.876
634287600000,0.884
634291200000,0.89
634294800000,0.894
634298400000,0.89
634302000000,0.863
634305600000,0.82
634309200000,0.803
634312800000,0.804
634316400000,0.809
634320000000,0.803
634323600000,0.786
634327200000,0.777
634330800000,0.772
634334400000,0.768
634338000000,0.786
634341600000,0.832
634345200000,0.898
634348800000,0.949
634352400000,0.966
634356000000,0.961
634359600000,0.939
634363200000,0.907
634366800000,0.871
634370400000,0.846
634374000000,0.849
634377600000,0.87
634381200000,0.887
634384800000,0.888
634388400000,0.85
634392000000,0.805
634395600000,0.791
634399200000,0.795
634402800000,0.812
634406400000,0.832
634410000000,0.852
634413600000,0.865
634417200000,0.865
634420800000,0.866
634424400000,0.843
634428000000,0.783
634431600000,0.779
634435200000,0.784
634438800000,0.694
634442400000,0.519
634446000000,0.376
634449600000,0.284
634453200000,0.2
634456800000,0.133
634460400000,0.096
634464000000,0.083
634467600000,0.092
634471200000,0.194
634474800000,0.413
634478400000,0.61
634482000000,0.674
634485600000,0.63
634489200000,0.568
634492800000,0.59
634496400000,0.654
634500000000,0.685
634503600000,0.663
634507200000,0.627
634510800000,0.558
634514400000,0.476
634518000000,0.51
634521600000,0.622
634525200000,0.695
634528800000,0.723
634532400000,0.718
634536000000,0.72
634539600000,0.734
634543200000,0.76
634546800000,0.787
634550400000,0.811
634554000000,0.819
634557600000,0.824
634561200000,0.772
634564800000,0.682
634568400000,0.642
634572000000,0.697
634575600000,0.789
634579200000,0.813
634582800000,0.812
634586400000,0.808
634590000000,0.815
634593600000,0.832
634597200000,0.852
634600800000,0.871
634604400000,0.902
634608000000,0.927
634611600000,0.931
634615200000,0.911
634618800000,0.869
634622400000,0.809
634626000000,0.751
634629600000,0.702
634633200000,0.684
634636800000,0.705
634640400000,0.712
634644000000,0.72
634647600000,0.707
634651200000,0.63
634654800000,0.558
634658400000,0.558
634662000000,0.614
634665600000,0.677
634669200000,0.701
634672800000,0.694
634676400000,0.69
634680000000,0.686
634683600000,0.686
634687200000,0.692
634690800000,0.719
634694400000,0.739
634698000000,0.713
634701600000,0.618
634705200000,0.516
634708800000,0.452
634712400000,0.416
634716000000,0.422
634719600000,0.468
634723200000,0.55
634726800000,0.618
634730400000,0.681
634734000000,0.7
634737600000,0.661
634741200000,0.6
634744800000,0.568
634748400000,0.614
634752000000,0.675
634755600000,0.716
634759200000,0.744
634762800000,0.751
634766400000,0.75
634770000000,0.711
634773600000,0.635
634777200000,0.61
634780800000,0.559
634784400000,0.43
634788000000,0.282
634791600000,0.199
634795200000,0.167
634798800000,0.137
634802400000,0.084
634806000000,0.043
634809600000,0.032
634813200000,0.062
634816800000,0.172
634820400000,0.369
634824000000,0.518
634827600000,0.55
634831200000,0.532
634834800000,0.523
634838400000,0.539
634842000000,0.59
634845600000,0.678
634849200000,0.72
634852800000,0.725
634856400000,0.695
634860000000,0.655
634863600000,0.682
634867200000,0.707
634870800000,0.684
634874400000,0.61
634878000000,0.513
634881600000,0.419
634885200000,0.313
634888800000,0.224
634892400000,0.176
634896000000,0.193
634899600000,0.278
634903200000,0.429
634906800000,0.538
634910400000,0.591
634914000000,0.558
634917600000,0.55
634921200000,0.599
634924800000,0.63
634928400000,0.601
634932000000,0.55
634935600000,0.512
634939200000,0.51
634942800000,0.501
634946400000,0.479
634950000000,0.479
634953600000,0.476
634957200000,0.437
634960800000,0.352
634964400000,0.278
634968000000,0.211
634971600000,0.13
634975200000,0.057
634978800000,0.017
634982400000,0.007
634986000000,0.021
634989600000,0.115
634993200000,0.305
634996800000,0.407
635000400000,0.479
635004000000,0.464
635007600000,0.437
635011200000,0.437
635014800000,0.478
635018400000,0.562
635022000000,0.613
635025600000,0.622
635029200000,0.606
635032800000,0.577
635036400000,0.578
635040000000,0.54
635043600000,0.449
635047200000,0.325
635050800000,0.207
635054400000,0.108
635058000000,0.035
635061600000,0.007
635065200000,0.003
635068800000,0.016
635072400000,0.07
635076000000,0.187
635079600000,0.428
635083200000,0.532
635086800000,0.472
635090400000,0.404
635094000000,0.374
635097600000,0.464
635101200000,0.543
635104800000,0.58
635108400000,0.572
635112000000,0.543
635115600000,0.503
635119200000,0.491
635122800000,0.541
635126400000,0.554
635130000000,0.493
635133600000,0.398
635137200000,0.309
635140800000,0.226
635144400000,0.148
635148000000,0.1
635151600000,0.099
635155200000,0.167
635158800000,0.335
635162400000,0.516
635166000000,0.587
635169600000,0.562
635173200000,0.501
635176800000,0.571
635180400000,0.757
635184000000,0.765
635187600000,0.746
635191200000,0.71
635194800000,0.667
635198400000,0.661
635202000000,0.664
635205600000,0.67
635209200000,0.705
635212800000,0.695
635216400000,0.637
635220000000,0.547
635223600000,0.459
635227200000,0.377
635230800000,0.296
635234400000,0.243
635238000000,0.252
635241600000,0.362
635245200000,0.506
635248800000,0.632
635252400000,0.645
635256000000,0.574
635259600000,0.489
635263200000,0.442
635266800000,0.507
635270400000,0.574
635274000000,0.646
635277600000,0.658
635281200000,0.647
635284800000,0.667
635288400000,0.653
635292000000,0.613
635295600000,0.603
635299200000,0.541
635302800000,0.411
635306400000,0.259
635310000000,0.181
635313600000,0.145
635317200000,0.1
635320800000,0.054
635324400000,0.018
635328000000,0.002
635331600000,0.0
635335200000,0.002
635338800000,0.062
635342400000,0.23
635346000000,0.334
635349600000,0.345
635353200000,0.323
635356800000,0.31
635360400000,0.367
635364000000,0.481
635367600000,0.538
635371200000,0.534
635374800000,0.502
635378400000,0.466
635382000000,0.467
635385600000,0.454
635389200000,0.386
635392800000,0.307
635396400000,0.246
635400000000,0.197
635403600000,0.154
635407200000,0.118
635410800000,0.095
635414400000,0.095
635418000000,0.135
635421600000,0.267
635425200000,0.442
635428800000,0.558
635432400000,0.578
635436000000,0.49
635439600000,0.499
635443200000,0.583
635446800000,0.619
635450400000,0.618
635454000000,0.628
635457600000,0.647
635461200000,0.603
635464800000,0.531
635468400000,0.484
635472000000,0.38
635475600000,0.225
635479200000,0.084
635482800000,0.021
635486400000,0.002
635490000000,0.0
635493600000,0.002
635497200000,0.026
635500800000,0.077
635504400000,0.122
635508000000,0.104
635511600000,0.245
635515200000,0.503
635518800000,0.576
635522400000,0.526
635526000000,0.456
635529600000,0.454
635533200000,0.482
635536800000,0.515
635540400000,0.528
635544000000,0.529
635547600000,0.488
635551200000,0.445
635554800000,0.473
635558400000,0.506
635562000000,0.491
635565600000,0.416
635569200000,0.312
635572800000,0.212
635576400000,0.129
635580000000,0.075
635583600000,0.059
635587200000,0.067
635590800000,0.095
635594400000,0.174
635598000000,0.294
635601600000,0.386
635605200000,0.423
635608800000,0.371
635612400000,0.338
635616000000,0.354
635619600000,0.501
635623200000,0.574
635626800000,0.568
635630400000,0.545
635634000000,0.493
635637600000,0.452
635641200000,0.454
635644800000,0.438
635648400000,0.388
635652000000,0.311
635655600000,0.238
635659200000,0.175
635662800000,0.12
635666400000,0.085
635670000000,0.075
635673600000,0.083
635677200000,0.116
635680800000,0.231
635684400000,0.384
635688000000,0.41
635691600000,0.364
635695200000,0.312
635698800000,0.313
635702400000,0.302
635706000000,0.337
635709600000,0.425
635713200000,0.497
635716800000,0.54
635720400000,0.544
635724000000,0.54
635727600000,0.532
635731200000,0.462
635734800000,0.348
635738400000,0.225
635742000000,0.142
635745600000,0.079
635749200000,0.022
635752800000,0.004
635756400000,0.012
635760000000,0.04
635763600000,0.079
635767200000,0.189
635770800000,0.389
635774400000,0.476
635778000000,0.527
635781600000,0.447
635785200000,0.385
635788800000,0.371
635792400000,0.425
635796000000,0.488
635799600000,0.497
635803200000,0.457
635806800000,0.41
635810400000,0.376
635814000000,0.383
635817600000,0.369
635821200000,0.311
635824800000,0.24
635828400000,0.171
635832000000,0.11
635835600000,0.071
635839200000,0.056
635842800000,0.07
635846400000,0.112
635850000000,0.201
635853600000,0.371
635857200000,0.502
635860800000,0.49
635864400000,0.51
635868000000,0.473
635871600000,0.454
635875200000,0.501
635878800000,0.539
635882400000,0.53
635886000000,0.511
635889600000,0.5
635893200000,0.486
635896800000,0.47
635900400000,0.468
635904000000,0.436
635907600000,0.367
635911200000,0.268
635914800000,0.173
635918400000,0.101
635922000000,0.044
635925600000,0.012
635929200000,0.002
635932800000,0.004
635936400000,0.033
635940000000,0.133
635943600000,0.328
635947200000,0.496
635950800000,0.535
635954400000,0.445
635958000000,0.395
635961600000,0.369
635965200000,0.405
635968800000,0.468
635972400000,0.491
635976000000,0.476
635979600000,0.474
635983200000,0.476
635986800000,0.488
635990400000,0.488
635994000000,0.454
635997600000,0.381
636001200000,0.285
636004800000,0.202
636008400000,0.135
636012000000,0.088
636015600000,0.061
636019200000,0.059
636022800000,0.088
636026400000,0.217
636030000000,0.425
636033600000,0.481
636037200000,0.434
636040800000,0.407
636044400000,0.374
636048000000,0.388
636051600000,0.464
636055200000,0.548
636058800000,0.578
636062400000,0.583
636066000000,0.545
636069600000,0.497
636073200000,0.467
636076800000,0.421
636080400000,0.337
636084000000,0.223
636087600000,0.138
636091200000,0.084
636094800000,0.043
636098400000,0.023
636102000000,0.023
636105600000,0.051
636109200000,0.139
636112800000,0.359
636116400000,0.56
636120000000,0.572
636123600000,0.574
636127200000,0.572
636130800000,0.557
636134400000,0.59
636138000000,0.674
636141600000,0.682
636145200000,0.645
636148800000,0.594
636152400000,0.542
636156000000,0.505
636159600000,0.501
636163200000,0.461
636166800000,0.389
636170400000,0.29
636174000000,0.169
636177600000,0.068
636181200000,0.01
636184800000,0.0
636188400000,0.007
636192000000,0.081
636195600000,0.195
636199200000,0.233
636202800000,0.21
636206400000,0.299
636210000000,0.451
636213600000,0.467
636217200000,0.41
636220800000,0.338
636224400000,0.285
636228000000,0.253
636231600000,0.251
636235200000,0.278
636238800000,0.301
636242400000,0.305
636246000000,0.305
636249600000,0.275
636253200000,0.219
636256800000,0.148
636260400000,0.079
636264000000,0.026
636267600000,0.001
636271200000,0.002
636274800000,0.037
636278400000,0.122
636282000000,0.192
636285600000,0.188
636289200000,0.192
636292800000,0.323
636296400000,0.41
636300000000,0.398
636303600000,0.362
636307200000,0.308
636310800000,0.274
636314400000,0.272
636318000000,0.286
636321600000,0.31
636325200000,0.322
636328800000,0.314
636332400000,0.315
636336000000,0.286
636339600000,0.226
636343200000,0.156
636346800000,0.096
636350400000,0.043
636354000000,0.018
636357600000,0.024
636361200000,0.042
636364800000,0.072
636368400000,0.153
636372000000,0.329
636375600000,0.484
636379200000,0.586
636382800000,0.522
636386400000,0.414
636390000000,0.379
636393600000,0.402
636397200000,0.47
636400800000,0.553
636404400000,0.603
636408000000,0.621
636411600000,0.624
636415200000,0.619
636418800000,0.606
636422400000,0.547
636426000000,0.454
636429600000,0.347
636433200000,0.264
636436800000,0.196
