,V1
631152000000,0.431
631155600000,0.42
631159200000,0.381
631162800000,0.371
631166400000,0.374
631170000000,0.359
631173600000,0.344
631177200000,0.335
631180800000,0.316
631184400000,0.272
631188000000,0.283
631191600000,0.325
631195200000,0.358
631198800000,0.371
631202400000,0.363
631206000000,0.304
631209600000,0.328
631213200000,0.32
631216800000,0.307
631220400000,0.288
631224000000,0.265
631227600000,0.267
631231200000,0.264
631234800000,0.35
631238400000,0.501
631242000000,0.548
631245600000,0.527
631249200000,0.479
631252800000,0.423
631256400000,0.376
631260000000,0.343
631263600000,0.328
631267200000,0.303
631270800000,0.274
631274400000,0.289
631278000000,0.313
631281600000,0.323
631285200000,0.324
631288800000,0.343
631292400000,0.391
631296000000,0.394
631299600000,0.348
631303200000,0.358
631306800000,0.395
631310400000,0.434
631314000000,0.488
631317600000,0.522
631321200000,0.644
631324800000,0.777
631328400000,0.815
631332000000,0.812
631335600000,0.808
631339200000,0.812
631342800000,0.811
631346400000,0.802
631350000000,0.782
631353600000,0.69
631357200000,0.613
631360800000,0.653
631364400000,0.746
631368000000,0.821
631371600000,0.865
631375200000,0.872
631378800000,0.844
631382400000,0.803
631386000000,0.773
631389600000,0.761
631393200000,0.755
631396800000,0.755
631400400000,0.759
631404000000,0.772
631407600000,0.816
631411200000,0.898
631414800000,0.929
631418400000,0.935
631422000000,0.927
631425600000,0.914
631429200000,0.9
631432800000,0.888
631436400000,0.873
631440000000,0.826
631443600000,0.734
631447200000,0.72
631450800000,0.78
631454400000,0.829
631458000000,0.857
631461600000,0.862
631465200000,0.849
631468800000,0.822
631472400000,0.789
631476000000,0.762
631479600000,0.746
631483200000,0.735
631486800000,0.721
631490400000,0.697
631494000000,0.774
631497600000,0.857
631501200000,0.881
631504800000,0.879
631508400000,0.878
631512000000,0.874
631515600000,0.857
631519200000,0.837
631522800000,0.812
631526400000,0.748
631530000000,0.576
631533600000,0.485
631537200000,0.523
631540800000,0.589
631544400000,0.619
631548000000,0.642
631551600000,0.644
631555200000,0.642
631558800000,0.642
631562400000,0.633
631566000000,0.626
631569600000,0.622
631573200000,0.595
631576800000,0.569
631580400000,0.62
631584000000,0.728
631587600000,0.748
631591200000,0.712
631594800000,0.697
631598400000,0.7
631602000000,0.695
631605600000,0.689
631609200000,0.689
631612800000,0.653
631616400000,0.552
631620000000,0.531
631623600000,0.563
631627200000,0.58
631630800000,0.613
631634400000,0.637
631638000000,0.655
631641600000,0.658
631645200000,0.666
631648800000,0.669
631652400000,0.674
631656000000,0.679
631659600000,0.681
631663200000,0.679
631666800000,0.783
631670400000,0.875
631674000000,0.902
631677600000,0.906
631681200000,0.903
631684800000,0.896
631688400000,0.877
631692000000,0.844
631695600000,0.793
631699200000,0.673
631702800000,0.491
631706400000,0.471
631710000000,0.535
631713600000,0.613
631717200000,0.652
631720800000,0.666
631724400000,0.661
631728000000,0.654
