,Py2
1672531200000,0.307
1672534800000,0.387
1672538400000,0.432
1672542000000,0.463
1672545600000,0.472
1672549200000,0.45
1672552800000,0.38
1672556400000,0.251
1672560000000,0.133
1672563600000,0.132
1672567200000,0.21
1672570800000,0.229
1672574400000,0.2
1672578000000,0.167
1672581600000,0.167
1672585200000,0.218
1672588800000,0.285
1672592400000,0.317
1672596000000,0.352
1672599600000,0.391
1672603200000,0.345
1672606800000,0.279
1672610400000,0.245
1672614000000,0.221
1672617600000,0.289
1672621200000,0.442
1672624800000,0.523
1672628400000,0.538
1672632000000,0.54
1672635600000,0.538
1672639200000,0.522
1672642800000,0.484
1672646400000,0.351
1672650000000,0.291
1672653600000,0.293
1672657200000,0.322
1672660800000,0.325
1672664400000,0.344
1672668000000,0.369
1672671600000,0.402
1672675200000,0.432
1672678800000,0.449
1672682400000,0.471
1672686000000,0.476
1672689600000,0.516
1672693200000,0.546
1672696800000,0.513
1672700400000,0.425
1672704000000,0.498
1672707600000,0.62
1672711200000,0.732
1672714800000,0.754
1672718400000,0.747
1672722000000,0.771
1672725600000,0.844
1672729200000,0.857
1672732800000,0.839
1672736400000,0.807
1672740000000,0.707
1672743600000,0.606
1672747200000,0.548
1672750800000,0.534
1672754400000,0.538
1672758000000,0.547
1672761600000,0.567
1672765200000,0.571
1672768800000,0.586
1672772400000,0.589
1672776000000,0.533
1672779600000,0.488
1672783200000,0.473
1672786800000,0.426
1672790400000,0.431
1672794000000,0.616
1672797600000,0.691
1672801200000,0.728
1672804800000,0.72
1672808400000,0.695
1672812000000,0.714
1672815600000,0.769
1672819200000,0.797
1672822800000,0.789
1672826400000,0.781
1672830000000,0.79
1672833600000,0.772
1672837200000,0.715
1672840800000,0.644
1672844400000,0.572
1672848000000,0.522
1672851600000,0.464
1672855200000,0.437
1672858800000,0.43
1672862400000,0.425
1672866000000,0.377
1672869600000,0.332
1672873200000,0.297
1672876800000,0.338
1672880400000,0.442
1672884000000,0.484
1672887600000,0.506
