,V2
1072915200000,0.821
1072918800000,0.834
1072922400000,0.825
1072926000000,0.801
1072929600000,0.768
1072933200000,0.727
1072936800000,0.687
1072940400000,0.638
1072944000000,0.552
1072947600000,0.475
1072951200000,0.476
1072954800000,0.504
1072958400000,0.558
1072962000000,0.593
1072965600000,0.668
1072969200000,0.702
1072972800000,0.672
1072976400000,0.651
1072980000000,0.644
1072983600000,0.633
1072987200000,0.624
1072990800000,0.63
1072994400000,0.644
1072998000000,0.669
1073001600000,0.691
1073005200000,0.695
1073008800000,0.666
1073012400000,0.601
1073016000000,0.529
1073019600000,0.476
1073023200000,0.447
1073026800000,0.432
1073030400000,0.383
1073034000000,0.319
1073037600000,0.328
1073041200000,0.371
1073044800000,0.443
1073048400000,0.472
1073052000000,0.568
1073055600000,0.682
1073059200000,0.705
1073062800000,0.727
1073066400000,0.758
1073070000000,0.778
1073073600000,0.777
1073077200000,0.755
1073080800000,0.724
1073084400000,0.705
1073088000000,0.703
1073091600000,0.681
1073095200000,0.622
1073098800000,0.539
1073102400000,0.466
1073106000000,0.416
1073109600000,0.402
1073113200000,0.395
1073116800000,0.351
1073120400000,0.331
1073124000000,0.341
1073127600000,0.361
1073131200000,0.344
1073134800000,0.328
1073138400000,0.367
1073142000000,0.455
1073145600000,0.566
1073149200000,0.637
1073152800000,0.682
1073156400000,0.718
1073160000000,0.737
1073163600000,0.737
1073167200000,0.722
1073170800000,0.729
1073174400000,0.75
1073178000000,0.75
1073181600000,0.721
1073185200000,0.687
1073188800000,0.666
1073192400000,0.653
1073196000000,0.653
1073199600000,0.664
1073203200000,0.661
1073206800000,0.626
1073210400000,0.62
1073214000000,0.583
1073217600000,0.532
1073221200000,0.525
1073224800000,0.591
1073228400000,0.644
1073232000000,0.642
1073235600000,0.629
1073239200000,0.59
1073242800000,0.516
1073246400000,0.494
1073250000000,0.51
1073253600000,0.502
1073257200000,0.508
1073260800000,0.605
1073264400000,0.676
1073268000000,0.704
1073271600000,0.692
1073275200000,0.647
1073278800000,0.605
1073282400000,0.586
1073286000000,0.56
1073289600000,0.518
1073293200000,0.491
1073296800000,0.485
1073300400000,0.473
1073304000000,0.448
1073307600000,0.438
1073311200000,0.465
1073314800000,0.513
1073318400000,0.587
1073322000000,0.615
1073325600000,0.602
1073329200000,0.592
1073332800000,0.583
1073336400000,0.547
1073340000000,0.498
1073343600000,0.461
1073347200000,0.477
1073350800000,0.472
1073354400000,0.45
1073358000000,0.416
1073361600000,0.374
1073365200000,0.328
1073368800000,0.285
1073372400000,0.249
1073376000000,0.21
1073379600000,0.203
1073383200000,0.237
1073386800000,0.275
1073390400000,0.292
1073394000000,0.294
1073397600000,0.317
1073401200000,0.352
1073404800000,0.446
1073408400000,0.528
1073412000000,0.578
1073415600000,0.61
1073419200000,0.63
1073422800000,0.636
1073426400000,0.638
1073430000000,0.653
1073433600000,0.679
1073437200000,0.681
1073440800000,0.642
1073444400000,0.574
1073448000000,0.516
1073451600000,0.478
1073455200000,0.472
1073458800000,0.485
1073462400000,0.479
1073466000000,0.432
1073469600000,0.438
1073473200000,0.467
1073476800000,0.501
1073480400000,0.495
1073484000000,0.519
1073487600000,0.58
1073491200000,0.636
1073494800000,0.68
1073498400000,0.728
1073502000000,0.77
1073505600000,0.797
1073509200000,0.802
1073512800000,0.791
1073516400000,0.792
1073520000000,0.808
1073523600000,0.81
1073527200000,0.804
1073530800000,0.784
1073534400000,0.758
1073538000000,0.729
1073541600000,0.714
1073545200000,0.71
1073548800000,0.697
1073552400000,0.686
1073556000000,0.696
1073559600000,0.669
1073563200000,0.637
1073566800000,0.634
1073570400000,0.655
1073574000000,0.703
1073577600000,0.756
1073581200000,0.8
1073584800000,0.834
1073588400000,0.862
1073592000000,0.882
1073595600000,0.888
1073599200000,0.884
1073602800000,0.883
1073606400000,0.896
1073610000000,0.898
1073613600000,0.881
1073617200000,0.846
1073620800000,0.809
1073624400000,0.782
1073628000000,0.779
1073631600000,0.796
1073635200000,0.812
1073638800000,0.804
1073642400000,0.785
1073646000000,0.739
1073649600000,0.688
1073653200000,0.674
1073656800000,0.673
1073660400000,0.681
1073664000000,0.682
1073667600000,0.709
1073671200000,0.741
1073674800000,0.773
1073678400000,0.8
1073682000000,0.809
1073685600000,0.807
1073689200000,0.82
1073692800000,0.844
1073696400000,0.839
1073700000000,0.802
1073703600000,0.739
1073707200000,0.642
1073710800000,0.538
1073714400000,0.454
1073718000000,0.422
1073721600000,0.425
1073725200000,0.434
1073728800000,0.513
1073732400000,0.588
1073736000000,0.592
1073739600000,0.613
1073743200000,0.647
1073746800000,0.672
1073750400000,0.671
1073754000000,0.66
1073757600000,0.654
1073761200000,0.651
1073764800000,0.653
1073768400000,0.652
1073772000000,0.648
1073775600000,0.663
1073779200000,0.69
