,S1
1199145600000,0.77
1199149200000,0.857
1199152800000,0.876
1199156400000,0.869
1199160000000,0.862
1199163600000,0.854
1199167200000,0.829
1199170800000,0.8
1199174400000,0.775
1199178000000,0.791
1199181600000,0.829
1199185200000,0.856
1199188800000,0.874
1199192400000,0.883
1199196000000,0.883
1199199600000,0.885
1199203200000,0.905
1199206800000,0.924
1199210400000,0.933
1199214000000,0.942
1199217600000,0.948
1199221200000,0.952
1199224800000,0.955
1199228400000,0.958
1199232000000,0.97
1199235600000,0.975
1199239200000,0.975
1199242800000,0.974
1199246400000,0.971
1199250000000,0.967
1199253600000,0.961
1199257200000,0.956
1199260800000,0.938
1199264400000,0.93
1199268000000,0.928
1199271600000,0.933
1199275200000,0.941
1199278800000,0.943
1199282400000,0.945
1199286000000,0.949
1199289600000,0.953
1199293200000,0.96
1199296800000,0.966
1199300400000,0.968
1199304000000,0.962
1199307600000,0.951
1199311200000,0.942
1199314800000,0.945
1199318400000,0.962
1199322000000,0.966
1199325600000,0.961
1199329200000,0.947
1199332800000,0.93
1199336400000,0.916
1199340000000,0.897
1199343600000,0.867
1199347200000,0.826
1199350800000,0.78
1199354400000,0.763
1199358000000,0.759
1199361600000,0.74
1199365200000,0.722
1199368800000,0.72
1199372400000,0.738
1199376000000,0.748
1199379600000,0.761
1199383200000,0.774
1199386800000,0.796
1199390400000,0.78
1199394000000,0.73
1199397600000,0.674
1199401200000,0.601
1199404800000,0.726
1199408400000,0.744
1199412000000,0.727
1199415600000,0.691
1199419200000,0.661
1199422800000,0.656
1199426400000,0.666
1199430000000,0.668
1199433600000,0.647
1199437200000,0.674
1199440800000,0.685
1199444400000,0.676
1199448000000,0.65
1199451600000,0.612
1199455200000,0.566
1199458800000,0.51
1199462400000,0.461
1199466000000,0.434
1199469600000,0.432
1199473200000,0.425
1199476800000,0.431
1199480400000,0.447
1199484000000,0.427
1199487600000,0.383
1199491200000,0.507
1199494800000,0.538
1199498400000,0.538
1199502000000,0.519
1199505600000,0.488
1199509200000,0.449
1199512800000,0.411
1199516400000,0.357
1199520000000,0.292
1199523600000,0.289
1199527200000,0.291
1199530800000,0.285
1199534400000,0.292
1199538000000,0.305
1199541600000,0.309
1199545200000,0.341
1199548800000,0.355
1199552400000,0.364
1199556000000,0.382
1199559600000,0.393
1199563200000,0.401
1199566800000,0.386
1199570400000,0.341
1199574000000,0.311
1199577600000,0.389
1199581200000,0.446
1199584800000,0.516
1199588400000,0.635
1199592000000,0.715
1199595600000,0.697
1199599200000,0.638
1199602800000,0.625
1199606400000,0.618
1199610000000,0.618
1199613600000,0.642
1199617200000,0.686
1199620800000,0.711
1199624400000,0.701
1199628000000,0.661
1199631600000,0.652
1199635200000,0.654
1199638800000,0.656
1199642400000,0.684
1199646000000,0.706
