,N1
852076800000,0.542
852080400000,0.541
852084000000,0.53
852087600000,0.504
852091200000,0.466
852094800000,0.425
852098400000,0.383
852102000000,0.339
852105600000,0.278
852109200000,0.264
852112800000,0.3
852116400000,0.332
852120000000,0.364
852123600000,0.386
852127200000,0.434
852130800000,0.491
852134400000,0.516
852138000000,0.562
852141600000,0.59
852145200000,0.591
852148800000,0.571
852152400000,0.525
852156000000,0.469
852159600000,0.413
852163200000,0.459
852166800000,0.44
852170400000,0.433
852174000000,0.464
852177600000,0.494
852181200000,0.491
852184800000,0.48
852188400000,0.484
852192000000,0.454
852195600000,0.468
852199200000,0.59
852202800000,0.684
852206400000,0.697
852210000000,0.66
852213600000,0.614
852217200000,0.574
852220800000,0.539
852224400000,0.523
852228000000,0.494
852231600000,0.467
852235200000,0.442
852238800000,0.414
852242400000,0.401
852246000000,0.37
852249600000,0.451
852253200000,0.498
852256800000,0.521
852260400000,0.521
852264000000,0.488
852267600000,0.449
852271200000,0.425
852274800000,0.404
852278400000,0.334
852282000000,0.317
852285600000,0.363
852289200000,0.429
852292800000,0.467
852296400000,0.48
852300000000,0.473
852303600000,0.426
852307200000,0.383
852310800000,0.343
852314400000,0.331
852318000000,0.323
852321600000,0.343
852325200000,0.358
852328800000,0.352
852332400000,0.328
852336000000,0.394
852339600000,0.402
852343200000,0.388
852346800000,0.374
852350400000,0.358
852354000000,0.347
852357600000,0.344
852361200000,0.335
852364800000,0.261
852368400000,0.212
852372000000,0.281
852375600000,0.34
852379200000,0.395
852382800000,0.407
852386400000,0.375
852390000000,0.362
852393600000,0.337
852397200000,0.344
852400800000,0.348
852404400000,0.37
852408000000,0.388
852411600000,0.4
852415200000,0.393
852418800000,0.454
852422400000,0.595
852426000000,0.613
852429600000,0.584
852433200000,0.521
852436800000,0.454
852440400000,0.409
852444000000,0.386
852447600000,0.368
852451200000,0.294
852454800000,0.245
852458400000,0.291
852462000000,0.369
852465600000,0.374
852469200000,0.404
852472800000,0.422
852476400000,0.429
852480000000,0.41
852483600000,0.398
852487200000,0.399
852490800000,0.42
852494400000,0.447
852498000000,0.495
852501600000,0.527
852505200000,0.55
852508800000,0.65
852512400000,0.666
852516000000,0.645
852519600000,0.611
852523200000,0.56
852526800000,0.507
852530400000,0.465
