,N2
694224000000,0.769
694227600000,0.815
694231200000,0.826
694234800000,0.831
694238400000,0.831
694242000000,0.822
694245600000,0.809
694249200000,0.791
694252800000,0.712
694256400000,0.566
694260000000,0.502
694263600000,0.535
694267200000,0.568
694270800000,0.599
694274400000,0.65
694278000000,0.66
694281600000,0.665
694285200000,0.672
694288800000,0.686
694292400000,0.704
694296000000,0.723
694299600000,0.71
694303200000,0.695
694306800000,0.791
694310400000,0.866
694314000000,0.894
694317600000,0.906
694321200000,0.914
694324800000,0.911
694328400000,0.896
694332000000,0.881
694335600000,0.869
694339200000,0.834
694342800000,0.767
694346400000,0.724
694350000000,0.676
694353600000,0.647
694357200000,0.638
694360800000,0.606
694364400000,0.599
694368000000,0.592
694371600000,0.583
694375200000,0.558
694378800000,0.546
694382400000,0.535
694386000000,0.5
694389600000,0.444
694393200000,0.492
694396800000,0.63
694400400000,0.682
694404000000,0.703
694407600000,0.717
694411200000,0.739
694414800000,0.766
694418400000,0.798
694422000000,0.818
694425600000,0.772
694429200000,0.701
694432800000,0.688
694436400000,0.682
694440000000,0.64
694443600000,0.619
694447200000,0.61
694450800000,0.594
694454400000,0.591
694458000000,0.609
694461600000,0.637
694465200000,0.683
694468800000,0.7
694472400000,0.72
694476000000,0.728
694479600000,0.766
694483200000,0.888
694486800000,0.917
694490400000,0.909
694494000000,0.883
694497600000,0.838
694501200000,0.783
694504800000,0.729
694508400000,0.693
694512000000,0.623
694515600000,0.523
694519200000,0.515
694522800000,0.52
694526400000,0.525
694530000000,0.519
694533600000,0.516
694537200000,0.488
694540800000,0.444
694544400000,0.41
694548000000,0.391
694551600000,0.386
694555200000,0.38
694558800000,0.346
694562400000,0.308
694566000000,0.255
694569600000,0.417
694573200000,0.461
694576800000,0.369
694580400000,0.265
694584000000,0.174
694587600000,0.113
694591200000,0.086
694594800000,0.092
694598400000,0.13
694602000000,0.18
694605600000,0.238
694609200000,0.259
694612800000,0.249
694616400000,0.229
694620000000,0.199
694623600000,0.155
694627200000,0.128
694630800000,0.129
694634400000,0.146
694638000000,0.165
694641600000,0.184
694645200000,0.205
694648800000,0.181
694652400000,0.182
694656000000,0.165
694659600000,0.114
694663200000,0.073
694666800000,0.042
694670400000,0.031
694674000000,0.038
694677600000,0.063
694681200000,0.098
694684800000,0.149
694688400000,0.208
694692000000,0.259
694695600000,0.249
694699200000,0.229
694702800000,0.231
694706400000,0.231
694710000000,0.206
694713600000,0.201
694717200000,0.212
694720800000,0.238
694724400000,0.281
694728000000,0.329
694731600000,0.317
694735200000,0.293
694738800000,0.395
694742400000,0.525
694746000000,0.575
694749600000,0.57
694753200000,0.544
694756800000,0.523
694760400000,0.515
694764000000,0.52
694767600000,0.525
694771200000,0.479
694774800000,0.352
694778400000,0.3
694782000000,0.295
694785600000,0.309
694789200000,0.278
694792800000,0.252
694796400000,0.255
694800000000,0.272
694803600000,0.274
694807200000,0.302
694810800000,0.337
