,S1
979585200000,0.0
979588800000,0.0
979592400000,0.0
979596000000,0.026
979599600000,0.154
979603200000,0.297
979606800000,0.425
979610400000,0.524
979614000000,0.564
979617600000,0.503
979621200000,0.44
979624800000,0.333
979628400000,0.184
979632000000,0.049
979635600000,0.0
979639200000,0.0
979642800000,0.0
979646400000,0.0
979650000000,0.0
979653600000,0.0
979657200000,0.0
979660800000,0.0
979664400000,0.0
979668000000,0.0
979671600000,0.0
979675200000,0.0
979678800000,0.0
979682400000,0.029
979686000000,0.161
979689600000,0.314
979693200000,0.411
979696800000,0.481
979700400000,0.491
979704000000,0.488
979707600000,0.427
979711200000,0.335
979714800000,0.203
979718400000,0.068
979722000000,0.0
979725600000,0.0
979729200000,0.0
979732800000,0.0
979736400000,0.0
979740000000,0.0
979743600000,0.0
979747200000,0.0
979750800000,0.0
979754400000,0.0
979758000000,0.0
979761600000,0.0
979765200000,0.0
979768800000,0.035
979772400000,0.186
979776000000,0.366
979779600000,0.483
979783200000,0.551
979786800000,0.612
979790400000,0.599
979794000000,0.54
979797600000,0.43
979801200000,0.28
979804800000,0.087
979808400000,0.0
979812000000,0.0
979815600000,0.0
979819200000,0.0
979822800000,0.0
979826400000,0.0
979830000000,0.0
979833600000,0.0
979837200000,0.0
979840800000,0.0
979844400000,0.0
979848000000,0.0
979851600000,0.0
979855200000,0.038
979858800000,0.178
979862400000,0.298
979866000000,0.31
979869600000,0.269
979873200000,0.228
979876800000,0.202
979880400000,0.189
979884000000,0.152
979887600000,0.091
979891200000,0.026
979894800000,0.0
979898400000,0.0
979902000000,0.0
979905600000,0.0
979909200000,0.0
979912800000,0.0
979916400000,0.0
979920000000,0.0
979923600000,0.0
979927200000,0.0
979930800000,0.0
979934400000,0.0
979938000000,0.0
979941600000,0.044
979945200000,0.206
979948800000,0.389
979952400000,0.521
979956000000,0.59
979959600000,0.63
979963200000,0.637
979966800000,0.59
979970400000,0.487
979974000000,0.328
979977600000,0.113
979981200000,0.0
979984800000,0.0
979988400000,0.0
979992000000,0.0
979995600000,0.0
979999200000,0.0
980002800000,0.0
980006400000,0.0
980010000000,0.0
980013600000,0.0
980017200000,0.0
980020800000,0.0
980024400000,0.0
980028000000,0.061
980031600000,0.238
980035200000,0.408
980038800000,0.568
980042400000,0.657
980046000000,0.688
980049600000,0.672
980053200000,0.608
980056800000,0.47
980060400000,0.31
980064000000,0.123
980067600000,0.0
980071200000,0.0
980074800000,0.0
980078400000,0.0
980082000000,0.0
980085600000,0.0
980089200000,0.0
980092800000,0.0
980096400000,0.0
980100000000,0.0
980103600000,0.0
980107200000,0.0
980110800000,0.0
980114400000,0.061
980118000000,0.241
980121600000,0.404
980125200000,0.547
980128800000,0.608
980132400000,0.602
980136000000,0.562
980139600000,0.49
980143200000,0.359
980146800000,0.237
980150400000,0.078
980154000000,0.0
980157600000,0.0
980161200000,0.0
980164800000,0.0
980168400000,0.0
980172000000,0.0
980175600000,0.0
980179200000,0.0
980182800000,0.0
980186400000,0.0
980190000000,0.0
980193600000,0.0
980197200000,0.0
980200800000,0.062
980204400000,0.245
980208000000,0.435
980211600000,0.57
980215200000,0.654
980218800000,0.669
980222400000,0.638
980226000000,0.558
980229600000,0.421
980233200000,0.274
980236800000,0.095
980240400000,0.0
980244000000,0.0
980247600000,0.0
980251200000,0.0
980254800000,0.0
980258400000,0.0
980262000000,0.0
980265600000,0.0
980269200000,0.0
980272800000,0.0
980276400000,0.0
980280000000,0.0
980283600000,0.0
980287200000,0.047
980290800000,0.194
980294400000,0.33
980298000000,0.412
980301600000,0.455
980305200000,0.44
980308800000,0.354
980312400000,0.3
980316000000,0.226
980319600000,0.14
980323200000,0.043
980326800000,0.0
980330400000,0.0
980334000000,0.0
980337600000,0.0
980341200000,0.0
980344800000,0.0
980348400000,0.0
980352000000,0.0
980355600000,0.0
980359200000,0.0
980362800000,0.0
980366400000,0.0
980370000000,0.0
980373600000,0.025
980377200000,0.148
980380800000,0.308
980384400000,0.442
980388000000,0.546
980391600000,0.583
980395200000,0.568
980398800000,0.506
980402400000,0.416
980406000000,0.252
980409600000,0.093
980413200000,0.0
980416800000,0.0
980420400000,0.0
980424000000,0.0
980427600000,0.0
980431200000,0.0
980434800000,0.0
980438400000,0.0
980442000000,0.0
980445600000,0.0
980449200000,0.0
980452800000,0.0
980456400000,0.0
980460000000,0.042
980463600000,0.192
980467200000,0.363
980470800000,0.507
980474400000,0.614
980478000000,0.647
980481600000,0.651
980485200000,0.593
980488800000,0.482
980492400000,0.298
980496000000,0.107
980499600000,0.0
980503200000,0.0
980506800000,0.0
980510400000,0.0
980514000000,0.0
980517600000,0.0
980521200000,0.0
980524800000,0.0
980528400000,0.0
980532000000,0.0
980535600000,0.0
980539200000,0.0
980542800000,0.0
980546400000,0.093
980550000000,0.309
980553600000,0.493
