,Mn8
537732000000,0.0
537735600000,0.0
537739200000,0.0
537742800000,0.0
537746400000,0.014
537750000000,0.069
537753600000,0.13
537757200000,0.19
537760800000,0.244
537764400000,0.253
537768000000,0.27
537771600000,0.27
537775200000,0.258
537778800000,0.194
537782400000,0.086
537786000000,0.0
537789600000,0.0
537793200000,0.0
537796800000,0.0
537800400000,0.0
537804000000,0.0
537807600000,0.0
537811200000,0.0
537814800000,0.0
537818400000,0.0
537822000000,0.0
537825600000,0.0
537829200000,0.0
537832800000,0.065
537836400000,0.218
537840000000,0.367
537843600000,0.445
537847200000,0.513
537850800000,0.567
537854400000,0.539
537858000000,0.468
537861600000,0.366
537865200000,0.245
537868800000,0.092
537872400000,0.0
537876000000,0.0
537879600000,0.0
537883200000,0.0
537886800000,0.0
537890400000,0.0
537894000000,0.0
537897600000,0.0
537901200000,0.0
537904800000,0.0
537908400000,0.0
537912000000,0.0
537915600000,0.0
537919200000,0.011
537922800000,0.072
537926400000,0.132
537930000000,0.177
537933600000,0.224
537937200000,0.308
537940800000,0.366
537944400000,0.348
537948000000,0.301
537951600000,0.19
537955200000,0.062
537958800000,0.0
537962400000,0.0
537966000000,0.0
537969600000,0.0
537973200000,0.0
537976800000,0.0
537980400000,0.0
537984000000,0.0
537987600000,0.0
537991200000,0.0
537994800000,0.0
537998400000,0.0
538002000000,0.0
538005600000,0.064
538009200000,0.222
538012800000,0.386
538016400000,0.483
538020000000,0.555
538023600000,0.565
538027200000,0.533
538030800000,0.455
538034400000,0.303
538038000000,0.16
538041600000,0.044
538045200000,0.0
538048800000,0.0
538052400000,0.0
538056000000,0.0
538059600000,0.0
538063200000,0.0
538066800000,0.0
538070400000,0.0
538074000000,0.0
538077600000,0.0
538081200000,0.0
538084800000,0.0
538088400000,0.0
538092000000,0.024
538095600000,0.114
538099200000,0.214
538102800000,0.293
538106400000,0.351
538110000000,0.358
538113600000,0.276
538117200000,0.176
538120800000,0.121
538124400000,0.082
538128000000,0.032
538131600000,0.0
538135200000,0.0
538138800000,0.0
538142400000,0.0
538146000000,0.0
538149600000,0.0
538153200000,0.0
538156800000,0.0
538160400000,0.0
538164000000,0.0
538167600000,0.0
538171200000,0.0
538174800000,0.0
538178400000,0.058
538182000000,0.228
538185600000,0.423
538189200000,0.535
538192800000,0.61
538196400000,0.651
538200000000,0.641
538203600000,0.571
538207200000,0.464
538210800000,0.307
538214400000,0.139
538218000000,0.0
538221600000,0.0
538225200000,0.0
538228800000,0.0
538232400000,0.0
538236000000,0.0
538239600000,0.0
538243200000,0.0
538246800000,0.0
538250400000,0.0
538254000000,0.0
538257600000,0.0
538261200000,0.0
538264800000,0.108
538268400000,0.336
538272000000,0.526
538275600000,0.66
538279200000,0.736
538282800000,0.763
538286400000,0.745
538290000000,0.677
538293600000,0.564
538297200000,0.403
538300800000,0.188
538304400000,0.003
538308000000,0.0
538311600000,0.0
538315200000,0.0
538318800000,0.0
538322400000,0.0
538326000000,0.0
538329600000,0.0
538333200000,0.0
538336800000,0.0
538340400000,0.0
538344000000,0.0
538347600000,0.0
538351200000,0.07
538354800000,0.249
538358400000,0.419
538362000000,0.57
538365600000,0.65
538369200000,0.667
538372800000,0.652
538376400000,0.569
538380000000,0.441
538383600000,0.287
538387200000,0.132
538390800000,0.001
538394400000,0.0
538398000000,0.0
