,V2
1672531200000,0.207
1672534800000,0.22
1672538400000,0.245
1672542000000,0.27
1672545600000,0.306
1672549200000,0.328
1672552800000,0.315
1672556400000,0.27
1672560000000,0.221
1672563600000,0.179
1672567200000,0.219
1672570800000,0.294
1672574400000,0.308
1672578000000,0.323
1672581600000,0.291
1672585200000,0.261
1672588800000,0.312
1672592400000,0.376
1672596000000,0.429
1672599600000,0.48
1672603200000,0.561
1672606800000,0.55
1672610400000,0.476
1672614000000,0.387
1672617600000,0.332
1672621200000,0.329
1672624800000,0.391
1672628400000,0.436
1672632000000,0.425
1672635600000,0.388
1672639200000,0.332
1672642800000,0.294
1672646400000,0.261
1672650000000,0.233
1672653600000,0.233
1672657200000,0.264
1672660800000,0.279
1672664400000,0.279
1672668000000,0.315
1672671600000,0.37
1672675200000,0.467
1672678800000,0.561
1672682400000,0.647
1672686000000,0.668
1672689600000,0.626
1672693200000,0.644
1672696800000,0.795
1672700400000,0.856
1672704000000,0.814
1672707600000,0.751
1672711200000,0.739
1672714800000,0.699
1672718400000,0.638
1672722000000,0.59
1672725600000,0.507
1672729200000,0.413
1672732800000,0.43
1672736400000,0.582
1672740000000,0.743
1672743600000,0.768
1672747200000,0.718
1672750800000,0.647
1672754400000,0.596
1672758000000,0.583
1672761600000,0.609
1672765200000,0.617
1672768800000,0.597
1672772400000,0.587
1672776000000,0.588
1672779600000,0.544
1672783200000,0.446
1672786800000,0.348
1672790400000,0.208
1672794000000,0.178
1672797600000,0.274
1672801200000,0.462
1672804800000,0.633
1672808400000,0.58
1672812000000,0.422
1672815600000,0.393
1672819200000,0.486
1672822800000,0.646
1672826400000,0.754
1672830000000,0.763
1672833600000,0.732
1672837200000,0.719
1672840800000,0.703
1672844400000,0.685
1672848000000,0.672
1672851600000,0.658
1672855200000,0.663
1672858800000,0.707
1672862400000,0.748
1672866000000,0.744
1672869600000,0.715
1672873200000,0.669
1672876800000,0.613
1672880400000,0.556
1672884000000,0.505
1672887600000,0.479
1672891200000,0.459
1672894800000,0.441
1672898400000,0.435
1672902000000,0.418
1672905600000,0.407
1672909200000,0.401
1672912800000,0.391
1672916400000,0.388
1672920000000,0.384
1672923600000,0.383
1672927200000,0.395
1672930800000,0.416
1672934400000,0.441
1672938000000,0.454
1672941600000,0.459
1672945200000,0.465
1672948800000,0.473
1672952400000,0.469
1672956000000,0.457
1672959600000,0.433
1672963200000,0.428
1672966800000,0.431
1672970400000,0.437
1672974000000,0.454
1672977600000,0.476
1672981200000,0.498
1672984800000,0.525
1672988400000,0.533
1672992000000,0.487
1672995600000,0.438
1672999200000,0.42
1673002800000,0.401
1673006400000,0.38
1673010000000,0.388
1673013600000,0.431
1673017200000,0.524
1673020800000,0.586
1673024400000,0.596
1673028000000,0.623
1673031600000,0.686
1673035200000,0.75
1673038800000,0.766
1673042400000,0.757
1673046000000,0.757
1673049600000,0.77
1673053200000,0.756
1673056800000,0.724
1673060400000,0.711
1673064000000,0.702
1673067600000,0.687
1673071200000,0.68
1673074800000,0.644
1673078400000,0.596
1673082000000,0.566
1673085600000,0.571
1673089200000,0.599
1673092800000,0.631
1673096400000,0.682
1673100000000,0.729
1673103600000,0.758
1673107200000,0.771
1673110800000,0.778
1673114400000,0.778
1673118000000,0.774
1673121600000,0.77
1673125200000,0.764
1673128800000,0.757
1673132400000,0.763
1673136000000,0.797
1673139600000,0.814
1673143200000,0.806
1673146800000,0.785
1673150400000,0.768
1673154000000,0.752
1673157600000,0.739
1673161200000,0.72
1673164800000,0.698
1673168400000,0.7
1673172000000,0.698
1673175600000,0.714
1673179200000,0.731
1673182800000,0.739
1673186400000,0.73
1673190000000,0.708
1673193600000,0.675
1673197200000,0.642
1673200800000,0.623
1673204400000,0.611
1673208000000,0.584
1673211600000,0.553
1673215200000,0.523
1673218800000,0.47
1673222400000,0.415
1673226000000,0.375
1673229600000,0.341
1673233200000,0.309
1673236800000,0.278
1673240400000,0.262
1673244000000,0.254
1673247600000,0.249
1673251200000,0.238
1673254800000,0.22
1673258400000,0.204
1673262000000,0.223
1673265600000,0.257
1673269200000,0.3
1673272800000,0.337
1673276400000,0.358
1673280000000,0.343
1673283600000,0.318
