,L11
567993600000,0.519
567997200000,0.525
568000800000,0.479
568004400000,0.457
568008000000,0.454
568011600000,0.454
568015200000,0.432
568018800000,0.408
568022400000,0.347
568026000000,0.319
568029600000,0.317
568033200000,0.312
568036800000,0.291
568040400000,0.268
568044000000,0.237
568047600000,0.237
568051200000,0.231
568054800000,0.235
568058400000,0.243
568062000000,0.249
568065600000,0.262
568069200000,0.249
568072800000,0.214
568076400000,0.192
568080000000,0.267
568083600000,0.316
568087200000,0.329
568090800000,0.361
568094400000,0.396
568098000000,0.413
568101600000,0.41
568105200000,0.387
568108800000,0.356
568112400000,0.331
568116000000,0.312
568119600000,0.294
568123200000,0.285
568126800000,0.291
568130400000,0.295
568134000000,0.324
568137600000,0.329
568141200000,0.318
568144800000,0.3
568148400000,0.31
568152000000,0.347
568155600000,0.374
568159200000,0.379
568162800000,0.365
568166400000,0.479
568170000000,0.547
568173600000,0.574
568177200000,0.607
568180800000,0.642
568184400000,0.668
568188000000,0.698
568191600000,0.726
568195200000,0.716
568198800000,0.713
568202400000,0.729
568206000000,0.752
568209600000,0.772
568213200000,0.763
568216800000,0.746
568220400000,0.724
568224000000,0.695
568227600000,0.692
568231200000,0.706
568234800000,0.737
568238400000,0.748
568242000000,0.744
568245600000,0.73
568249200000,0.745
568252800000,0.831
568256400000,0.87
568260000000,0.891
568263600000,0.906
568267200000,0.914
568270800000,0.894
568274400000,0.856
568278000000,0.8
568281600000,0.708
568285200000,0.599
568288800000,0.56
568292400000,0.518
568296000000,0.457
568299600000,0.395
568303200000,0.361
568306800000,0.339
568310400000,0.352
568314000000,0.398
568317600000,0.459
568321200000,0.519
568324800000,0.538
568328400000,0.55
568332000000,0.549
568335600000,0.525
568339200000,0.547
568342800000,0.695
568346400000,0.808
568350000000,0.81
568353600000,0.776
568357200000,0.761
568360800000,0.763
568364400000,0.765
568368000000,0.75
568371600000,0.716
568375200000,0.713
568378800000,0.724
568382400000,0.729
568386000000,0.737
568389600000,0.735
568393200000,0.726
568396800000,0.715
568400400000,0.715
568404000000,0.71
568407600000,0.71
568411200000,0.706
568414800000,0.7
568418400000,0.682
568422000000,0.645
568425600000,0.695
568429200000,0.699
568432800000,0.686
568436400000,0.645
568440000000,0.593
568443600000,0.547
568447200000,0.509
568450800000,0.484
568454400000,0.449
568458000000,0.462
568461600000,0.498
568465200000,0.51
568468800000,0.519
568472400000,0.514
568476000000,0.5
568479600000,0.482
568483200000,0.447
568486800000,0.42
568490400000,0.413
568494000000,0.414
568497600000,0.411
568501200000,0.37
568504800000,0.308
568508400000,0.241
568512000000,0.22
568515600000,0.194
568519200000,0.178
568522800000,0.186
568526400000,0.201
568530000000,0.206
568533600000,0.217
568537200000,0.233
568540800000,0.243
568544400000,0.249
568548000000,0.266
568551600000,0.267
568555200000,0.255
568558800000,0.24
568562400000,0.225
568566000000,0.223
568569600000,0.214
568573200000,0.21
568576800000,0.213
568580400000,0.231
568584000000,0.252
568587600000,0.252
568591200000,0.234
568594800000,0.252
568598400000,0.337
568602000000,0.352
568605600000,0.353
568609200000,0.379
568612800000,0.413
568616400000,0.443
568620000000,0.472
568623600000,0.477
568627200000,0.443
568630800000,0.374
568634400000,0.35
568638000000,0.334
568641600000,0.314
568645200000,0.295
568648800000,0.291
568652400000,0.32
568656000000,0.341
568659600000,0.343
568663200000,0.352
568666800000,0.374
568670400000,0.4
568674000000,0.436
568677600000,0.454
568681200000,0.453
568684800000,0.549
568688400000,0.605
568692000000,0.625
568695600000,0.632
568699200000,0.637
568702800000,0.648
568706400000,0.658
568710000000,0.644
568713600000,0.574
568717200000,0.485
568720800000,0.422
568724400000,0.398
568728000000,0.363
568731600000,0.332
568735200000,0.314
568738800000,0.334
568742400000,0.374
568746000000,0.407
568749600000,0.437
568753200000,0.459
568756800000,0.474
568760400000,0.468
568764000000,0.443
568767600000,0.394
568771200000,0.429
568774800000,0.484
568778400000,0.5
568782000000,0.513
568785600000,0.535
568789200000,0.55
568792800000,0.574
568796400000,0.586
568800000000,0.572
568803600000,0.542
568807200000,0.498
568810800000,0.461
568814400000,0.45
568818000000,0.448
568821600000,0.439
568825200000,0.446
568828800000,0.479
568832400000,0.493
568836000000,0.485
568839600000,0.48
568843200000,0.478
568846800000,0.451
568850400000,0.401
568854000000,0.354
568857600000,0.41
568861200000,0.43
568864800000,0.436
568868400000,0.463
568872000000,0.486
568875600000,0.476
568879200000,0.453
568882800000,0.431
568886400000,0.378
568890000000,0.361
568893600000,0.376
568897200000,0.377
568900800000,0.369
568904400000,0.367
568908000000,0.362
568911600000,0.362
568915200000,0.357
568918800000,0.347
568922400000,0.336
568926000000,0.341
568929600000,0.337
568933200000,0.302
568936800000,0.252
568940400000,0.235
568944000000,0.294
568947600000,0.316
568951200000,0.317
568954800000,0.311
568958400000,0.292
568962000000,0.261
568965600000,0.224
568969200000,0.186
568972800000,0.144
568976400000,0.132
568980000000,0.144
568983600000,0.155
568987200000,0.162
568990800000,0.171
568994400000,0.18
568998000000,0.182
569001600000,0.172
