,L8
1230768000000,0.865
1230771600000,0.935
1230775200000,0.946
1230778800000,0.938
1230782400000,0.926
1230786000000,0.916
1230789600000,0.901
1230793200000,0.872
1230796800000,0.777
1230800400000,0.686
1230804000000,0.676
1230807600000,0.676
1230811200000,0.67
1230814800000,0.67
1230818400000,0.681
1230822000000,0.65
1230825600000,0.613
1230829200000,0.639
1230832800000,0.628
1230836400000,0.598
1230840000000,0.523
1230843600000,0.516
1230847200000,0.519
1230850800000,0.498
1230854400000,0.688
1230858000000,0.812
1230861600000,0.824
1230865200000,0.795
1230868800000,0.768
1230872400000,0.743
1230876000000,0.722
1230879600000,0.676
1230883200000,0.575
1230886800000,0.583
1230890400000,0.61
1230894000000,0.612
1230897600000,0.615
1230901200000,0.592
1230904800000,0.574
1230908400000,0.551
1230912000000,0.498
1230915600000,0.479
1230919200000,0.475
1230922800000,0.469
1230926400000,0.438
1230930000000,0.45
1230933600000,0.503
1230937200000,0.49
1230940800000,0.55
1230944400000,0.633
1230948000000,0.702
1230951600000,0.648
1230955200000,0.611
1230958800000,0.575
1230962400000,0.539
1230966000000,0.466
1230969600000,0.379
1230973200000,0.411
1230976800000,0.454
1230980400000,0.479
1230984000000,0.449
1230987600000,0.404
1230991200000,0.338
1230994800000,0.269
1230998400000,0.245
1231002000000,0.263
1231005600000,0.264
1231009200000,0.265
1231012800000,0.241
1231016400000,0.225
1231020000000,0.213
1231023600000,0.22
1231027200000,0.3
1231030800000,0.4
1231034400000,0.382
1231038000000,0.341
1231041600000,0.343
1231045200000,0.364
1231048800000,0.405
1231052400000,0.406
1231056000000,0.345
1231059600000,0.374
1231063200000,0.386
1231066800000,0.378
1231070400000,0.355
1231074000000,0.358
1231077600000,0.344
1231081200000,0.312
1231084800000,0.291
1231088400000,0.237
1231092000000,0.187
1231095600000,0.201
1231099200000,0.196
1231102800000,0.202
1231106400000,0.205
1231110000000,0.16
1231113600000,0.319
1231117200000,0.451
1231120800000,0.495
1231124400000,0.491
1231128000000,0.457
1231131600000,0.435
1231135200000,0.413
1231138800000,0.358
1231142400000,0.289
1231146000000,0.332
1231149600000,0.335
1231153200000,0.352
1231156800000,0.401
1231160400000,0.412
1231164000000,0.415
1231167600000,0.398
1231171200000,0.37
1231174800000,0.313
1231178400000,0.271
1231182000000,0.236
1231185600000,0.242
1231189200000,0.256
1231192800000,0.291
1231196400000,0.301
1231200000000,0.411
1231203600000,0.61
1231207200000,0.676
1231210800000,0.682
1231214400000,0.653
1231218000000,0.616
1231221600000,0.575
1231225200000,0.498
1231228800000,0.325
1231232400000,0.272
1231236000000,0.348
1231239600000,0.387
1231243200000,0.42
1231246800000,0.391
1231250400000,0.355
1231254000000,0.328
1231257600000,0.41
1231261200000,0.433
1231264800000,0.397
1231268400000,0.374
1231272000000,0.373
1231275600000,0.368
1231279200000,0.358
1231282800000,0.245
1231286400000,0.468
1231290000000,0.59
1231293600000,0.595
1231297200000,0.552
1231300800000,0.507
1231304400000,0.469
1231308000000,0.436
1231311600000,0.367
1231315200000,0.259
1231318800000,0.234
1231322400000,0.242
1231326000000,0.237
1231329600000,0.237
1231333200000,0.243
1231336800000,0.241
1231340400000,0.225
1231344000000,0.217
1231347600000,0.233
1231351200000,0.247
1231354800000,0.264
1231358400000,0.325
1231362000000,0.344
1231365600000,0.334
1231369200000,0.281
1231372800000,0.481
1231376400000,0.666
1231380000000,0.705
1231383600000,0.697
1231387200000,0.652
1231390800000,0.613
1231394400000,0.568
1231398000000,0.498
1231401600000,0.365
1231405200000,0.332
1231408800000,0.318
1231412400000,0.33
1231416000000,0.335
1231419600000,0.333
1231423200000,0.358
1231426800000,0.328
1231430400000,0.281
1231434000000,0.238
1231437600000,0.223
1231441200000,0.214
1231444800000,0.215
1231448400000,0.27
1231452000000,0.323
1231455600000,0.341
1231459200000,0.603
1231462800000,0.737
1231466400000,0.77
1231470000000,0.781
1231473600000,0.793
1231477200000,0.796
1231480800000,0.791
1231484400000,0.756
1231488000000,0.678
1231491600000,0.657
1231495200000,0.688
1231498800000,0.697
1231502400000,0.699
1231506000000,0.684
1231509600000,0.635
1231513200000,0.552
1231516800000,0.535
1231520400000,0.542
1231524000000,0.55
1231527600000,0.568
1231531200000,0.593
1231534800000,0.644
1231538400000,0.672
1231542000000,0.666
1231545600000,0.789
1231549200000,0.873
1231552800000,0.88
1231556400000,0.845
1231560000000,0.797
1231563600000,0.75
1231567200000,0.7
1231570800000,0.627
1231574400000,0.547
1231578000000,0.494
1231581600000,0.482
1231585200000,0.489
1231588800000,0.516
1231592400000,0.484
1231596000000,0.396
1231599600000,0.288
1231603200000,0.237
1231606800000,0.208
1231610400000,0.209
1231614000000,0.217
1231617600000,0.247
1231621200000,0.302
1231624800000,0.288
1231628400000,0.267
1231632000000,0.285
1231635600000,0.476
1231639200000,0.474
1231642800000,0.425
1231646400000,0.386
1231650000000,0.355
1231653600000,0.311
1231657200000,0.281
1231660800000,0.227
1231664400000,0.295
1231668000000,0.374
1231671600000,0.413
1231675200000,0.374
1231678800000,0.362
1231682400000,0.338
1231686000000,0.296
1231689600000,0.273
1231693200000,0.332
1231696800000,0.294
1231700400000,0.283
1231704000000,0.328
1231707600000,0.355
1231711200000,0.38
1231714800000,0.367
1231718400000,0.402
1231722000000,0.625
1231725600000,0.689
1231729200000,0.644
1231732800000,0.613
1231736400000,0.548
1231740000000,0.495
1231743600000,0.436
1231747200000,0.332
1231750800000,0.406
1231754400000,0.469
1231758000000,0.519
1231761600000,0.548
1231765200000,0.547
1231768800000,0.549
1231772400000,0.524
1231776000000,0.496
1231779600000,0.494
1231783200000,0.513
1231786800000,0.523
1231790400000,0.538
1231794000000,0.626
1231797600000,0.633
1231801200000,0.682
1231804800000,0.703
1231808400000,0.812
1231812000000,0.87
1231815600000,0.813
1231819200000,0.787
1231822800000,0.743
1231826400000,0.706
1231830000000,0.636
1231833600000,0.562
1231837200000,0.602
1231840800000,0.651
1231844400000,0.702
1231848000000,0.711
1231851600000,0.686
1231855200000,0.646
1231858800000,0.607
1231862400000,0.578
1231866000000,0.566
1231869600000,0.549
1231873200000,0.55
1231876800000,0.556
1231880400000,0.596
1231884000000,0.618
1231887600000,0.627
1231891200000,0.722
1231894800000,0.844
1231898400000,0.829
1231902000000,0.781
1231905600000,0.728
1231909200000,0.691
1231912800000,0.678
1231916400000,0.619
1231920000000,0.539
1231923600000,0.513
1231927200000,0.516
1231930800000,0.534
1231934400000,0.538
1231938000000,0.513
1231941600000,0.511
1231945200000,0.45
1231948800000,0.373
1231952400000,0.331
1231956000000,0.304
1231959600000,0.301
1231963200000,0.314
1231966800000,0.386
1231970400000,0.492
1231974000000,0.499
1231977600000,0.58
1231981200000,0.684
1231984800000,0.684
1231988400000,0.661
1231992000000,0.608
1231995600000,0.56
1231999200000,0.531
1232002800000,0.474
1232006400000,0.398
1232010000000,0.436
1232013600000,0.485
1232017200000,0.523
1232020800000,0.536
1232024400000,0.535
1232028000000,0.523
1232031600000,0.479
1232035200000,0.395
1232038800000,0.349
1232042400000,0.337
1232046000000,0.319
1232049600000,0.316
1232053200000,0.384
1232056800000,0.46
1232060400000,0.447
1232064000000,0.469
1232067600000,0.675
1232071200000,0.702
1232074800000,0.635
1232078400000,0.581
1232082000000,0.523
1232085600000,0.483
1232089200000,0.431
1232092800000,0.358
1232096400000,0.408
1232100000000,0.468
1232103600000,0.488
1232107200000,0.464
1232110800000,0.395
1232114400000,0.374
1232118000000,0.311
1232121600000,0.26
