,L4
725846400000,0.314
725850000000,0.348
725853600000,0.302
725857200000,0.253
725860800000,0.216
725864400000,0.185
725868000000,0.165
725871600000,0.148
725875200000,0.127
725878800000,0.101
725882400000,0.09
725886000000,0.067
725889600000,0.045
725893200000,0.033
725896800000,0.039
725900400000,0.066
725904000000,0.105
725907600000,0.132
725911200000,0.14
725914800000,0.13
725918400000,0.115
725922000000,0.096
725925600000,0.076
725929200000,0.069
725932800000,0.203
725936400000,0.179
725940000000,0.136
725943600000,0.1
725947200000,0.072
725950800000,0.056
725954400000,0.046
725958000000,0.046
725961600000,0.054
725965200000,0.064
725968800000,0.056
725972400000,0.037
725976000000,0.038
725979600000,0.046
725983200000,0.062
725986800000,0.084
725990400000,0.124
725994000000,0.138
725997600000,0.156
726001200000,0.142
726004800000,0.123
726008400000,0.109
726012000000,0.1
726015600000,0.084
726019200000,0.195
726022800000,0.207
726026400000,0.177
726030000000,0.152
726033600000,0.136
726037200000,0.126
726040800000,0.131
726044400000,0.141
726048000000,0.165
726051600000,0.171
726055200000,0.163
726058800000,0.151
726062400000,0.139
726066000000,0.122
726069600000,0.115
726073200000,0.118
726076800000,0.133
726080400000,0.147
726084000000,0.146
726087600000,0.14
726091200000,0.156
726094800000,0.188
726098400000,0.18
726102000000,0.116
726105600000,0.219
726109200000,0.233
726112800000,0.187
726116400000,0.152
726120000000,0.125
726123600000,0.109
726127200000,0.105
726130800000,0.111
726134400000,0.133
726138000000,0.156
726141600000,0.163
726145200000,0.156
726148800000,0.114
726152400000,0.086
726156000000,0.076
726159600000,0.094
726163200000,0.126
726166800000,0.169
726170400000,0.22
726174000000,0.226
726177600000,0.233
726181200000,0.218
726184800000,0.187
726188400000,0.152
726192000000,0.507
726195600000,0.553
726199200000,0.504
726202800000,0.444
726206400000,0.392
726210000000,0.364
726213600000,0.364
726217200000,0.374
726220800000,0.355
726224400000,0.289
726228000000,0.259
726231600000,0.223
726235200000,0.186
726238800000,0.182
726242400000,0.18
726246000000,0.175
726249600000,0.179
726253200000,0.185
726256800000,0.188
726260400000,0.202
726264000000,0.233
726267600000,0.229
726271200000,0.22
726274800000,0.165
726278400000,0.586
726282000000,0.666
726285600000,0.615
726289200000,0.562
726292800000,0.538
726296400000,0.527
726300000000,0.519
726303600000,0.498
726307200000,0.452
726310800000,0.341
726314400000,0.264
726318000000,0.206
726321600000,0.164
726325200000,0.137
726328800000,0.128
726332400000,0.138
726336000000,0.164
726339600000,0.193
726343200000,0.193
726346800000,0.184
726350400000,0.176
726354000000,0.155
726357600000,0.133
726361200000,0.118
726364800000,0.391
726368400000,0.574
726372000000,0.565
726375600000,0.55
726379200000,0.571
726382800000,0.586
726386400000,0.592
726390000000,0.566
726393600000,0.479
726397200000,0.284
726400800000,0.188
726404400000,0.152
726408000000,0.121
726411600000,0.112
726415200000,0.119
726418800000,0.148
726422400000,0.187
726426000000,0.23
726429600000,0.235
726433200000,0.183
726436800000,0.123
726440400000,0.094
726444000000,0.086
726447600000,0.084
726451200000,0.395
726454800000,0.532
726458400000,0.601
726462000000,0.701
726465600000,0.763
726469200000,0.768
726472800000,0.735
726476400000,0.675
726480000000,0.547
726483600000,0.343
726487200000,0.244
726490800000,0.192
726494400000,0.172
726498000000,0.178
726501600000,0.179
726505200000,0.224
726508800000,0.215
726512400000,0.209
726516000000,0.209
726519600000,0.195
726523200000,0.176
726526800000,0.136
726530400000,0.105
726534000000,0.111
726537600000,0.409
726541200000,0.49
726544800000,0.494
726548400000,0.516
726552000000,0.564
726555600000,0.601
726559200000,0.616
726562800000,0.63
726566400000,0.613
726570000000,0.503
726573600000,0.362
726577200000,0.284
726580800000,0.253
726584400000,0.278
726588000000,0.332
726591600000,0.316
726595200000,0.254
726598800000,0.223
726602400000,0.206
726606000000,0.2
726609600000,0.192
726613200000,0.169
726616800000,0.141
726620400000,0.098
726624000000,0.387
726627600000,0.438
726631200000,0.4
726634800000,0.376
726638400000,0.364
726642000000,0.349
726645600000,0.329
726649200000,0.297
726652800000,0.237
726656400000,0.177
726660000000,0.153
726663600000,0.134
726667200000,0.153
726670800000,0.212
726674400000,0.237
726678000000,0.227
726681600000,0.189
726685200000,0.141
726688800000,0.124
726692400000,0.135
726696000000,0.152
726699600000,0.167
726703200000,0.188
726706800000,0.118
726710400000,0.362
726714000000,0.41
726717600000,0.348
726721200000,0.283
726724800000,0.218
726728400000,0.159
726732000000,0.126
726735600000,0.122
726739200000,0.155
726742800000,0.218
726746400000,0.278
726750000000,0.282
726753600000,0.238
726757200000,0.201
726760800000,0.167
726764400000,0.15
726768000000,0.142
726771600000,0.169
726775200000,0.178
726778800000,0.154
726782400000,0.143
726786000000,0.155
726789600000,0.19
726793200000,0.2
726796800000,0.669
726800400000,0.778
726804000000,0.733
726807600000,0.674
726811200000,0.625
726814800000,0.601
726818400000,0.619
726822000000,0.645
726825600000,0.591
726829200000,0.428
726832800000,0.342
726836400000,0.289
726840000000,0.272
726843600000,0.277
726847200000,0.284
726850800000,0.313
726854400000,0.369
726858000000,0.409
726861600000,0.42
726865200000,0.41
726868800000,0.378
726872400000,0.338
726876000000,0.279
726879600000,0.193
726883200000,0.532
726886800000,0.587
726890400000,0.532
726894000000,0.469
726897600000,0.464
726901200000,0.501
726904800000,0.539
726908400000,0.552
726912000000,0.503
726915600000,0.357
726919200000,0.272
726922800000,0.251
726926400000,0.241
726930000000,0.204
726933600000,0.164
726937200000,0.122
726940800000,0.126
726944400000,0.111
726948000000,0.099
726951600000,0.11
726955200000,0.127
726958800000,0.146
726962400000,0.159
726966000000,0.213
726969600000,0.484
726973200000,0.51
726976800000,0.484
726980400000,0.443
726984000000,0.403
726987600000,0.396
726991200000,0.367
726994800000,0.343
726998400000,0.339
727002000000,0.277
727005600000,0.227
727009200000,0.168
727012800000,0.127
727016400000,0.119
727020000000,0.087
727023600000,0.059
727027200000,0.043
727030800000,0.033
727034400000,0.028
727038000000,0.026
727041600000,0.025
727045200000,0.026
727048800000,0.03
727052400000,0.019
727056000000,0.015
727059600000,0.009
727063200000,0.006
727066800000,0.006
727070400000,0.005
727074000000,0.004
727077600000,0.002
727081200000,0.001
727084800000,0.001
727088400000,0.001
727092000000,0.001
727095600000,0.001
727099200000,0.0
727102800000,0.001
727106400000,0.001
727110000000,0.002
727113600000,0.005
727117200000,0.013
727120800000,0.028
727124400000,0.049
727128000000,0.062
727131600000,0.056
727135200000,0.038
727138800000,0.013
727142400000,0.011
727146000000,0.015
727149600000,0.027
727153200000,0.051
727156800000,0.08
727160400000,0.102
727164000000,0.119
727167600000,0.162
727171200000,0.204
727174800000,0.192
727178400000,0.15
727182000000,0.114
727185600000,0.069
727189200000,0.095
727192800000,0.139
727196400000,0.161
727200000000,0.19
727203600000,0.193
727207200000,0.223
727210800000,0.234
727214400000,0.239
727218000000,0.251
727221600000,0.267
727225200000,0.323
727228800000,0.484
727232400000,0.436
727236000000,0.337
727239600000,0.252
727243200000,0.203
727246800000,0.18
727250400000,0.177
727254000000,0.195
727257600000,0.233
727261200000,0.202
727264800000,0.14
727268400000,0.149
727272000000,0.153
727275600000,0.132
727279200000,0.115
727282800000,0.102
727286400000,0.099
727290000000,0.1
727293600000,0.099
727297200000,0.096
727300800000,0.104
727304400000,0.135
727308000000,0.167
727311600000,0.167
727315200000,0.347
727318800000,0.344
727322400000,0.266
727326000000,0.186
727329600000,0.126
727333200000,0.082
727336800000,0.06
727340400000,0.059
727344000000,0.051
727347600000,0.026
727351200000,0.011
727354800000,0.006
727358400000,0.004
727362000000,0.002
727365600000,0.001
727369200000,0.001
727372800000,0.003
727376400000,0.009
727380000000,0.015
727383600000,0.021
727387200000,0.028
727390800000,0.042
727394400000,0.067
727398000000,0.088
727401600000,0.246
727405200000,0.302
727408800000,0.248
727412400000,0.171
727416000000,0.112
727419600000,0.073
727423200000,0.054
727426800000,0.05
727430400000,0.049
727434000000,0.032
727437600000,0.021
727441200000,0.02
727444800000,0.054
727448400000,0.105
727452000000,0.159
727455600000,0.196
727459200000,0.179
727462800000,0.157
727466400000,0.148
727470000000,0.159
727473600000,0.154
727477200000,0.142
727480800000,0.123
727484400000,0.106
727488000000,0.199
727491600000,0.177
727495200000,0.123
727498800000,0.082
727502400000,0.048
727506000000,0.028
727509600000,0.025
727513200000,0.029
727516800000,0.038
727520400000,0.032
727524000000,0.021
727527600000,0.007
727531200000,0.002
727534800000,0.001
727538400000,0.005
727542000000,0.021
727545600000,0.047
727549200000,0.075
727552800000,0.094
727556400000,0.106
727560000000,0.106
727563600000,0.121
727567200000,0.124
727570800000,0.121
727574400000,0.178
727578000000,0.136
727581600000,0.084
727585200000,0.042
727588800000,0.023
727592400000,0.017
727596000000,0.017
727599600000,0.021
727603200000,0.025
727606800000,0.025
727610400000,0.017
727614000000,0.011
727617600000,0.008
727621200000,0.03
727624800000,0.096
727628400000,0.176
727632000000,0.213
727635600000,0.196
727639200000,0.233
727642800000,0.202
727646400000,0.191
727650000000,0.196
727653600000,0.203
727657200000,0.195
727660800000,0.212
727664400000,0.14
727668000000,0.081
727671600000,0.03
727675200000,0.005
727678800000,0.002
727682400000,0.002
727686000000,0.006
727689600000,0.022
727693200000,0.057
727696800000,0.083
727700400000,0.07
727704000000,0.053
727707600000,0.044
727711200000,0.037
727714800000,0.021
727718400000,0.009
727722000000,0.003
727725600000,0.001
727729200000,0.006
727732800000,0.009
727736400000,0.014
727740000000,0.02
727743600000,0.012
727747200000,0.003
727750800000,0.0
727754400000,0.0
727758000000,0.0
727761600000,0.002
727765200000,0.015
727768800000,0.052
727772400000,0.108
727776000000,0.184
727779600000,0.248
727783200000,0.274
727786800000,0.272
727790400000,0.27
727794000000,0.265
727797600000,0.251
727801200000,0.235
727804800000,0.209
727808400000,0.185
727812000000,0.157
727815600000,0.126
727819200000,0.102
727822800000,0.103
727826400000,0.118
727830000000,0.092
727833600000,0.073
727837200000,0.03
727840800000,0.013
727844400000,0.009
727848000000,0.019
727851600000,0.058
727855200000,0.109
727858800000,0.173
727862400000,0.272
727866000000,0.349
727869600000,0.324
727873200000,0.27
727876800000,0.209
727880400000,0.143
727884000000,0.096
727887600000,0.065
727891200000,0.049
727894800000,0.039
727898400000,0.035
727902000000,0.035
727905600000,0.039
727909200000,0.043
727912800000,0.043
727916400000,0.028
727920000000,0.02
727923600000,0.007
727927200000,0.006
727930800000,0.008
727934400000,0.015
727938000000,0.027
727941600000,0.046
727945200000,0.08
727948800000,0.133
727952400000,0.187
727956000000,0.201
727959600000,0.177
727963200000,0.148
727966800000,0.13
727970400000,0.096
727974000000,0.076
727977600000,0.061
727981200000,0.054
727984800000,0.063
727988400000,0.066
727992000000,0.072
727995600000,0.071
727999200000,0.057
728002800000,0.031
728006400000,0.03
728010000000,0.014
728013600000,0.002
728017200000,0.0
728020800000,0.0
728024400000,0.0
728028000000,0.001
728031600000,0.002
728035200000,0.006
728038800000,0.017
728042400000,0.043
728046000000,0.057
728049600000,0.057
728053200000,0.058
728056800000,0.072
728060400000,0.078
728064000000,0.076
728067600000,0.079
728071200000,0.091
728074800000,0.108
728078400000,0.118
728082000000,0.123
728085600000,0.125
728089200000,0.118
728092800000,0.155
728096400000,0.154
728100000000,0.166
728103600000,0.192
728107200000,0.215
728110800000,0.224
728114400000,0.219
728118000000,0.207
728121600000,0.196
728125200000,0.159
728128800000,0.113
728132400000,0.084
728136000000,0.054
728139600000,0.045
728143200000,0.075
728146800000,0.079
728150400000,0.064
728154000000,0.053
728157600000,0.061
728161200000,0.091
728164800000,0.14
728168400000,0.182
728172000000,0.188
728175600000,0.323
728179200000,0.62
728182800000,0.709
728186400000,0.733
728190000000,0.724
728193600000,0.712
728197200000,0.702
728200800000,0.711
728204400000,0.734
728208000000,0.739
728211600000,0.708
728215200000,0.693
728218800000,0.683
728222400000,0.668
728226000000,0.651
728229600000,0.622
728233200000,0.586
728236800000,0.562
728240400000,0.541
728244000000,0.507
728247600000,0.45
728251200000,0.392
728254800000,0.36
728258400000,0.355
728262000000,0.353
728265600000,0.566
728269200000,0.653
728272800000,0.615
728276400000,0.54
728280000000,0.484
728283600000,0.45
728287200000,0.44
728290800000,0.447
728294400000,0.444
728298000000,0.395
728301600000,0.358
728305200000,0.361
728308800000,0.341
728312400000,0.325
728316000000,0.296
728319600000,0.295
728323200000,0.281
728326800000,0.27
728330400000,0.264
728334000000,0.263
728337600000,0.238
728341200000,0.225
728344800000,0.225
728348400000,0.295
728352000000,0.556
728355600000,0.615
728359200000,0.559
728362800000,0.494
728366400000,0.442
728370000000,0.413
728373600000,0.397
728377200000,0.376
728380800000,0.323
728384400000,0.236
728388000000,0.201
728391600000,0.189
728395200000,0.191
728398800000,0.223
728402400000,0.283
728406000000,0.329
728409600000,0.359
728413200000,0.377
728416800000,0.398
728420400000,0.421
728424000000,0.466
728427600000,0.527
728431200000,0.516
728434800000,0.491
728438400000,0.666
728442000000,0.659
728445600000,0.575
728449200000,0.477
728452800000,0.402
728456400000,0.355
728460000000,0.329
728463600000,0.325
728467200000,0.334
728470800000,0.294
728474400000,0.239
728478000000,0.224
728481600000,0.23
728485200000,0.249
728488800000,0.314
728492400000,0.401
728496000000,0.449
728499600000,0.491
728503200000,0.519
728506800000,0.547
728510400000,0.591
728514000000,0.602
728517600000,0.579
728521200000,0.547
728524800000,0.706
728528400000,0.685
728532000000,0.602
728535600000,0.538
728539200000,0.523
728542800000,0.55
728546400000,0.625
728550000000,0.722
728553600000,0.781
