,B1
1325376000000,0.515
1325379600000,0.586
1325383200000,0.59
1325386800000,0.578
1325390400000,0.548
1325394000000,0.52
1325397600000,0.516
1325401200000,0.467
1325404800000,0.406
1325408400000,0.381
1325412000000,0.352
1325415600000,0.315
1325419200000,0.279
1325422800000,0.269
1325426400000,0.27
1325430000000,0.285
1325433600000,0.308
1325437200000,0.305
1325440800000,0.291
1325444400000,0.281
1325448000000,0.261
1325451600000,0.238
1325455200000,0.219
1325458800000,0.215
1325462400000,0.253
1325466000000,0.294
1325469600000,0.309
1325473200000,0.27
1325476800000,0.197
1325480400000,0.116
1325484000000,0.088
1325487600000,0.097
1325491200000,0.169
1325494800000,0.337
1325498400000,0.479
1325502000000,0.439
1325505600000,0.362
1325509200000,0.298
1325512800000,0.245
1325516400000,0.224
1325520000000,0.224
1325523600000,0.233
1325527200000,0.249
1325530800000,0.266
1325534400000,0.302
1325538000000,0.325
1325541600000,0.325
1325545200000,0.337
1325548800000,0.408
1325552400000,0.442
1325556000000,0.424
1325559600000,0.427
1325563200000,0.43
1325566800000,0.423
1325570400000,0.419
1325574000000,0.413
1325577600000,0.412
1325581200000,0.398
1325584800000,0.381
1325588400000,0.379
1325592000000,0.365
1325595600000,0.355
1325599200000,0.357
1325602800000,0.364
1325606400000,0.352
1325610000000,0.32
1325613600000,0.289
1325617200000,0.27
1325620800000,0.265
1325624400000,0.253
1325628000000,0.243
1325631600000,0.25
1325635200000,0.294
1325638800000,0.323
1325642400000,0.341
1325646000000,0.376
1325649600000,0.431
1325653200000,0.486
1325656800000,0.535
1325660400000,0.534
1325664000000,0.467
1325667600000,0.391
1325671200000,0.365
1325674800000,0.329
1325678400000,0.303
1325682000000,0.305
1325685600000,0.311
1325689200000,0.302
1325692800000,0.29
1325696400000,0.294
1325700000000,0.325
1325703600000,0.379
1325707200000,0.431
1325710800000,0.401
1325714400000,0.434
1325718000000,0.426
1325721600000,0.4
1325725200000,0.438
1325728800000,0.473
1325732400000,0.532
1325736000000,0.542
1325739600000,0.552
1325743200000,0.54
1325746800000,0.517
1325750400000,0.491
1325754000000,0.426
1325757600000,0.456
1325761200000,0.502
1325764800000,0.491
1325768400000,0.466
1325772000000,0.46
1325775600000,0.459
1325779200000,0.439
1325782800000,0.406
1325786400000,0.379
1325790000000,0.371
1325793600000,0.36
1325797200000,0.328
1325800800000,0.297
1325804400000,0.315
1325808000000,0.425
1325811600000,0.531
1325815200000,0.563
1325818800000,0.55
1325822400000,0.519
1325826000000,0.457
1325829600000,0.407
1325833200000,0.38
1325836800000,0.346
1325840400000,0.369
1325844000000,0.411
1325847600000,0.448
1325851200000,0.505
1325854800000,0.539
1325858400000,0.55
1325862000000,0.527
1325865600000,0.498
1325869200000,0.491
1325872800000,0.488
1325876400000,0.507
1325880000000,0.523
1325883600000,0.506
1325887200000,0.464
1325890800000,0.45
1325894400000,0.525
1325898000000,0.561
1325901600000,0.556
1325905200000,0.556
1325908800000,0.568
1325912400000,0.586
1325916000000,0.622
1325919600000,0.615
1325923200000,0.563
1325926800000,0.535
1325930400000,0.501
1325934000000,0.488
1325937600000,0.466
1325941200000,0.447
1325944800000,0.422
1325948400000,0.374
1325952000000,0.365
1325955600000,0.316
1325959200000,0.252
1325962800000,0.201
1325966400000,0.21
1325970000000,0.241
1325973600000,0.235
1325977200000,0.218
1325980800000,0.251
1325984400000,0.347
1325988000000,0.442
1325991600000,0.49
1325995200000,0.521
1325998800000,0.546
1326002400000,0.546
1326006000000,0.488
1326009600000,0.398
1326013200000,0.36
1326016800000,0.36
1326020400000,0.313
1326024000000,0.274
1326027600000,0.285
1326031200000,0.302
1326034800000,0.306
1326038400000,0.328
1326042000000,0.367
1326045600000,0.381
1326049200000,0.428
1326052800000,0.433
1326056400000,0.435
1326060000000,0.422
1326063600000,0.422
1326067200000,0.479
1326070800000,0.571
1326074400000,0.571
1326078000000,0.533
1326081600000,0.718
1326085200000,0.752
1326088800000,0.814
1326092400000,0.831
1326096000000,0.714
1326099600000,0.616
1326103200000,0.587
1326106800000,0.525
1326110400000,0.527
1326114000000,0.623
1326117600000,0.635
1326121200000,0.632
1326124800000,0.62
1326128400000,0.601
1326132000000,0.592
1326135600000,0.598
1326139200000,0.599
1326142800000,0.477
1326146400000,0.364
1326150000000,0.29
1326153600000,0.235
1326157200000,0.256
1326160800000,0.279
1326164400000,0.325
1326168000000,0.398
1326171600000,0.454
1326175200000,0.494
1326178800000,0.527
1326182400000,0.576
1326186000000,0.592
1326189600000,0.568
1326193200000,0.552
1326196800000,0.557
1326200400000,0.56
1326204000000,0.56
1326207600000,0.58
1326211200000,0.568
1326214800000,0.486
1326218400000,0.425
1326222000000,0.467
1326225600000,0.531
1326229200000,0.444
1326232800000,0.322
1326236400000,0.265
1326240000000,0.31
1326243600000,0.368
1326247200000,0.367
1326250800000,0.391
1326254400000,0.42
1326258000000,0.394
1326261600000,0.331
1326265200000,0.325
1326268800000,0.396
1326272400000,0.544
1326276000000,0.642
1326279600000,0.535
1326283200000,0.403
1326286800000,0.34
1326290400000,0.315
1326294000000,0.296
1326297600000,0.307
1326301200000,0.377
1326304800000,0.431
1326308400000,0.448
1326312000000,0.427
1326315600000,0.401
1326319200000,0.382
1326322800000,0.398
1326326400000,0.495
1326330000000,0.58
1326333600000,0.622
1326337200000,0.651
1326340800000,0.666
1326344400000,0.7
1326348000000,0.713
1326351600000,0.72
1326355200000,0.728
1326358800000,0.738
1326362400000,0.725
