,Py2
473385600000,0.768
473389200000,0.815
473392800000,0.829
473396400000,0.799
473400000000,0.748
473403600000,0.664
473407200000,0.578
473410800000,0.469
473414400000,0.451
473418000000,0.469
473421600000,0.501
473425200000,0.542
473428800000,0.624
473432400000,0.636
473436000000,0.632
473439600000,0.645
473443200000,0.654
473446800000,0.668
473450400000,0.673
473454000000,0.662
473457600000,0.648
473461200000,0.65
473464800000,0.681
473468400000,0.687
473472000000,0.801
473475600000,0.84
473479200000,0.843
473482800000,0.839
473486400000,0.829
473490000000,0.816
473493600000,0.796
473497200000,0.759
473500800000,0.664
473504400000,0.601
473508000000,0.587
473511600000,0.591
473515200000,0.613
473518800000,0.618
473522400000,0.61
473526000000,0.583
473529600000,0.559
473533200000,0.557
473536800000,0.56
473540400000,0.552
473544000000,0.539
473547600000,0.547
473551200000,0.544
473554800000,0.659
473558400000,0.793
473562000000,0.825
473565600000,0.83
473569200000,0.815
473572800000,0.789
473576400000,0.769
473580000000,0.765
473583600000,0.757
473587200000,0.645
473590800000,0.591
473594400000,0.535
473598000000,0.505
473601600000,0.495
473605200000,0.501
473608800000,0.535
473612400000,0.566
473616000000,0.574
473619600000,0.559
473623200000,0.558
473626800000,0.573
473630400000,0.585
473634000000,0.586
473637600000,0.546
473641200000,0.613
473644800000,0.774
473648400000,0.84
473652000000,0.848
473655600000,0.834
473659200000,0.791
473662800000,0.746
473666400000,0.746
473670000000,0.713
473673600000,0.608
473677200000,0.558
473680800000,0.583
473684400000,0.589
473688000000,0.556
473691600000,0.501
473695200000,0.467
473698800000,0.557
473702400000,0.63
473706000000,0.66
473709600000,0.678
473713200000,0.677
473716800000,0.671
473720400000,0.672
473724000000,0.677
473727600000,0.647
473731200000,0.688
473734800000,0.778
473738400000,0.822
473742000000,0.832
473745600000,0.813
473749200000,0.796
473752800000,0.77
473756400000,0.715
473760000000,0.686
473763600000,0.68
473767200000,0.702
473770800000,0.707
473774400000,0.621
473778000000,0.559
473781600000,0.527
473785200000,0.529
473788800000,0.506
473792400000,0.547
473796000000,0.615
473799600000,0.61
473803200000,0.554
473806800000,0.519
473810400000,0.552
473814000000,0.599
473817600000,0.768
473821200000,0.82
473824800000,0.842
473828400000,0.851
473832000000,0.846
473835600000,0.837
473839200000,0.831
473842800000,0.798
473846400000,0.71
473850000000,0.678
473853600000,0.692
473857200000,0.744
473860800000,0.778
473864400000,0.767
473868000000,0.729
473871600000,0.686
473875200000,0.646
473878800000,0.637
473882400000,0.625
473886000000,0.631
473889600000,0.639
473893200000,0.668
473896800000,0.665
473900400000,0.712
473904000000,0.812
473907600000,0.806
473911200000,0.773
473914800000,0.74
473918400000,0.718
473922000000,0.7
473925600000,0.682
473929200000,0.666
473932800000,0.605
473936400000,0.544
473940000000,0.532
473943600000,0.526
473947200000,0.523
473950800000,0.547
473954400000,0.588
473958000000,0.604
473961600000,0.617
473965200000,0.607
473968800000,0.571
473972400000,0.535
473976000000,0.494
473979600000,0.46
473983200000,0.429
473986800000,0.364
473990400000,0.442
473994000000,0.49
473997600000,0.542
474001200000,0.606
474004800000,0.655
474008400000,0.661
474012000000,0.638
474015600000,0.591
474019200000,0.481
474022800000,0.434
474026400000,0.478
474030000000,0.521
474033600000,0.568
474037200000,0.58
474040800000,0.586
474044400000,0.575
474048000000,0.557
474051600000,0.547
474055200000,0.525
474058800000,0.484
474062400000,0.469
474066000000,0.457
474069600000,0.462
474073200000,0.481
474076800000,0.615
474080400000,0.65
474084000000,0.664
474087600000,0.672
474091200000,0.672
474094800000,0.66
474098400000,0.653
474102000000,0.655
474105600000,0.606
474109200000,0.552
474112800000,0.561
474116400000,0.583
474120000000,0.589
474123600000,0.556
474127200000,0.506
474130800000,0.459
474134400000,0.438
474138000000,0.442
474141600000,0.441
474145200000,0.447
474148800000,0.459
474152400000,0.491
474156000000,0.467
474159600000,0.577
474163200000,0.676
474166800000,0.668
474170400000,0.628
474174000000,0.561
474177600000,0.494
474181200000,0.414
474184800000,0.353
474188400000,0.328
474192000000,0.296
474195600000,0.27
474199200000,0.274
474202800000,0.254
474206400000,0.267
474210000000,0.264
474213600000,0.27
474217200000,0.292
474220800000,0.311
474224400000,0.323
474228000000,0.328
474231600000,0.328
474235200000,0.314
474238800000,0.29
474242400000,0.271
474246000000,0.258
474249600000,0.321
474253200000,0.337
474256800000,0.338
474260400000,0.332
474264000000,0.316
474267600000,0.292
474271200000,0.274
474274800000,0.258
474278400000,0.227
474282000000,0.189
474285600000,0.171
474289200000,0.161
474292800000,0.181
474296400000,0.227
474300000000,0.285
474303600000,0.334
474307200000,0.366
474310800000,0.379
474314400000,0.384
474318000000,0.374
474321600000,0.349
474325200000,0.343
474328800000,0.311
474332400000,0.294
474336000000,0.312
474339600000,0.314
474343200000,0.32
474346800000,0.331
474350400000,0.338
474354000000,0.325
474357600000,0.294
474361200000,0.264
474364800000,0.227
474368400000,0.205
474372000000,0.199
474375600000,0.196
474379200000,0.207
474382800000,0.225
474386400000,0.248
474390000000,0.28
474393600000,0.316
474397200000,0.37
474400800000,0.401
474404400000,0.41
474408000000,0.414
474411600000,0.431
474415200000,0.447
474418800000,0.476
474422400000,0.591
474426000000,0.603
474429600000,0.578
474433200000,0.556
474436800000,0.545
474440400000,0.544
474444000000,0.552
