,B1
567993600000,0.463
567997200000,0.594
568000800000,0.671
568004400000,0.702
568008000000,0.69
568011600000,0.629
568015200000,0.524
568018800000,0.366
568022400000,0.161
568026000000,0.0
568029600000,0.0
568033200000,0.0
568036800000,0.0
568040400000,0.0
568044000000,0.0
568047600000,0.0
568051200000,0.0
568054800000,0.0
568058400000,0.0
568062000000,0.0
568065600000,0.0
568069200000,0.0
568072800000,0.059
568076400000,0.264
568080000000,0.445
568083600000,0.577
568087200000,0.66
568090800000,0.696
568094400000,0.683
568098000000,0.62
568101600000,0.512
568105200000,0.353
568108800000,0.137
568112400000,0.0
568116000000,0.0
568119600000,0.0
568123200000,0.0
568126800000,0.0
568130400000,0.0
568134000000,0.0
568137600000,0.0
568141200000,0.0
568144800000,0.0
568148400000,0.0
568152000000,0.0
568155600000,0.0
568159200000,0.082
568162800000,0.284
568166400000,0.454
568170000000,0.584
568173600000,0.67
568177200000,0.72
568180800000,0.706
568184400000,0.643
568188000000,0.529
568191600000,0.36
568195200000,0.152
568198800000,0.0
568202400000,0.0
568206000000,0.0
568209600000,0.0
568213200000,0.0
568216800000,0.0
568220400000,0.0
568224000000,0.0
568227600000,0.0
568231200000,0.0
568234800000,0.0
568238400000,0.0
568242000000,0.0
568245600000,0.075
568249200000,0.27
568252800000,0.471
568256400000,0.607
568260000000,0.687
568263600000,0.716
568267200000,0.7
568270800000,0.636
568274400000,0.524
568278000000,0.356
568281600000,0.148
568285200000,0.0
568288800000,0.0
568292400000,0.0
568296000000,0.0
568299600000,0.0
568303200000,0.0
568306800000,0.0
568310400000,0.0
568314000000,0.0
568317600000,0.0
568321200000,0.0
568324800000,0.0
568328400000,0.0
568332000000,0.065
568335600000,0.259
568339200000,0.43
568342800000,0.573
568346400000,0.657
568350000000,0.693
568353600000,0.672
568357200000,0.614
568360800000,0.504
568364400000,0.342
568368000000,0.143
568371600000,0.0
568375200000,0.0
568378800000,0.0
568382400000,0.0
568386000000,0.0
568389600000,0.0
568393200000,0.0
568396800000,0.0
568400400000,0.0
568404000000,0.0
568407600000,0.0
568411200000,0.0
568414800000,0.0
568418400000,0.071
568422000000,0.267
568425600000,0.444
568429200000,0.585
568432800000,0.672
568436400000,0.71
568440000000,0.697
568443600000,0.631
568447200000,0.526
568450800000,0.363
568454400000,0.154
568458000000,0.0
568461600000,0.0
568465200000,0.0
568468800000,0.0
568472400000,0.0
568476000000,0.0
568479600000,0.0
568483200000,0.0
568486800000,0.0
568490400000,0.0
568494000000,0.0
568497600000,0.0
568501200000,0.0
568504800000,0.071
568508400000,0.265
568512000000,0.451
568515600000,0.591
568519200000,0.669
568522800000,0.699
568526400000,0.687
568530000000,0.625
568533600000,0.515
568537200000,0.357
568540800000,0.143
568544400000,0.0
568548000000,0.0
568551600000,0.0
568555200000,0.0
568558800000,0.0
568562400000,0.0
568566000000,0.0
568569600000,0.0
568573200000,0.0
568576800000,0.0
568580400000,0.0
568584000000,0.0
568587600000,0.0
568591200000,0.062
568594800000,0.246
568598400000,0.411
568602000000,0.527
568605600000,0.597
568609200000,0.599
568612800000,0.561
568616400000,0.504
568620000000,0.416
568623600000,0.282
568627200000,0.113
568630800000,0.0
568634400000,0.0
568638000000,0.0
568641600000,0.0
568645200000,0.0
568648800000,0.0
568652400000,0.0
568656000000,0.0
568659600000,0.0
568663200000,0.0
568666800000,0.0
568670400000,0.0
568674000000,0.0
568677600000,0.042
568681200000,0.215
568684800000,0.412
568688400000,0.547
568692000000,0.627
568695600000,0.649
568699200000,0.651
568702800000,0.605
568706400000,0.509
568710000000,0.348
568713600000,0.138
568717200000,0.0
568720800000,0.0
568724400000,0.0
568728000000,0.0
568731600000,0.0
568735200000,0.0
568738800000,0.0
568742400000,0.0
568746000000,0.0
568749600000,0.0
568753200000,0.0
568756800000,0.0
568760400000,0.0
568764000000,0.053
568767600000,0.222
568771200000,0.39
568774800000,0.501
568778400000,0.605
568782000000,0.665
568785600000,0.679
568789200000,0.634
568792800000,0.527
568796400000,0.362
568800000000,0.15
568803600000,0.0
568807200000,0.0
568810800000,0.0
568814400000,0.0
568818000000,0.0
568821600000,0.0
568825200000,0.0
568828800000,0.0
568832400000,0.0
568836000000,0.0
568839600000,0.0
568843200000,0.0
568846800000,0.0
568850400000,0.073
568854000000,0.281
568857600000,0.464
568861200000,0.599
568864800000,0.685
568868400000,0.722
568872000000,0.706
568875600000,0.646
568879200000,0.532
568882800000,0.367
568886400000,0.154
568890000000,0.0
568893600000,0.0
568897200000,0.0
568900800000,0.0
568904400000,0.0
568908000000,0.0
568911600000,0.0
568915200000,0.0
568918800000,0.0
568922400000,0.0
568926000000,0.0
568929600000,0.0
568933200000,0.0
568936800000,0.063
568940400000,0.257
568944000000,0.435
568947600000,0.547
568951200000,0.621
568954800000,0.645
568958400000,0.634
568962000000,0.552
568965600000,0.412
568969200000,0.234
568972800000,0.079
568976400000,0.0
568980000000,0.0
568983600000,0.0
568987200000,0.0
568990800000,0.0
568994400000,0.0
568998000000,0.0
569001600000,0.0
569005200000,0.0
569008800000,0.0
569012400000,0.0
569016000000,0.0
569019600000,0.0
569023200000,0.071
569026800000,0.276
569030400000,0.462
569034000000,0.591
569037600000,0.664
569041200000,0.697
569044800000,0.681
569048400000,0.624
569052000000,0.516
569055600000,0.357
569059200000,0.153
569062800000,0.0
569066400000,0.0
569070000000,0.0
569073600000,0.0
569077200000,0.0
569080800000,0.0
569084400000,0.0
569088000000,0.0
569091600000,0.0
569095200000,0.0
569098800000,0.0
569102400000,0.0
569106000000,0.0
569109600000,0.078
569113200000,0.279
569116800000,0.463
569120400000,0.594
569124000000,0.672
569127600000,0.702
569131200000,0.69
569134800000,0.635
569138400000,0.526
569142000000,0.364
569145600000,0.157
569149200000,0.0
569152800000,0.0
569156400000,0.0
569160000000,0.0
569163600000,0.0
569167200000,0.0
569170800000,0.0
569174400000,0.0
569178000000,0.0
569181600000,0.0
569185200000,0.0
569188800000,0.0
569192400000,0.0
569196000000,0.079
569199600000,0.288
569203200000,0.469
569206800000,0.599
569210400000,0.673
569214000000,0.697
569217600000,0.688
569221200000,0.624
569224800000,0.504
569228400000,0.33
569232000000,0.108
569235600000,0.0
569239200000,0.0
569242800000,0.0
569246400000,0.0
569250000000,0.0
569253600000,0.0
569257200000,0.0
569260800000,0.0
569264400000,0.0
569268000000,0.0
569271600000,0.0
569275200000,0.0
569278800000,0.0
569282400000,0.052
569286000000,0.24
569289600000,0.433
569293200000,0.535
569296800000,0.616
569300400000,0.623
569304000000,0.595
569307600000,0.558
569311200000,0.477
569314800000,0.326
569318400000,0.124
569322000000,0.0
569325600000,0.0
569329200000,0.0
569332800000,0.0
569336400000,0.0
569340000000,0.0
569343600000,0.0
569347200000,0.0
569350800000,0.0
569354400000,0.0
569358000000,0.0
569361600000,0.0
569365200000,0.0
569368800000,0.075
569372400000,0.278
569376000000,0.473
569379600000,0.612
569383200000,0.691
569386800000,0.72
569390400000,0.698
569394000000,0.621
569397600000,0.508
569401200000,0.337
569404800000,0.124
569408400000,0.0
569412000000,0.0
569415600000,0.0
569419200000,0.0
569422800000,0.0
569426400000,0.0
569430000000,0.0
569433600000,0.0
569437200000,0.0
569440800000,0.0
569444400000,0.0
569448000000,0.0
569451600000,0.0
569455200000,0.064
569458800000,0.251
569462400000,0.427
569466000000,0.552
569469600000,0.624
569473200000,0.661
569476800000,0.643
569480400000,0.57
569484000000,0.464
569487600000,0.32
569491200000,0.139
569494800000,0.0
569498400000,0.0
569502000000,0.0
569505600000,0.0
569509200000,0.0
569512800000,0.0
569516400000,0.0
569520000000,0.0
569523600000,0.0
569527200000,0.0
569530800000,0.0
569534400000,0.0
569538000000,0.0
569541600000,0.051
569545200000,0.237
569548800000,0.419
569552400000,0.554
569556000000,0.639
569559600000,0.674
569563200000,0.654
569566800000,0.58
569570400000,0.46
569574000000,0.289
569577600000,0.102
569581200000,0.0
569584800000,0.0
569588400000,0.0
569592000000,0.0
569595600000,0.0
569599200000,0.0
569602800000,0.0
569606400000,0.0
569610000000,0.0
569613600000,0.0
569617200000,0.0
569620800000,0.0
569624400000,0.0
569628000000,0.049
569631600000,0.21
569635200000,0.38
569638800000,0.473
569642400000,0.557
569646000000,0.571
569649600000,0.543
569653200000,0.486
569656800000,0.376
569660400000,0.242
569664000000,0.092
569667600000,0.0
569671200000,0.0
569674800000,0.0
569678400000,0.0
569682000000,0.0
569685600000,0.0
569689200000,0.0
569692800000,0.0
569696400000,0.0
569700000000,0.0
569703600000,0.0
569707200000,0.0
569710800000,0.0
569714400000,0.04
569718000000,0.192
569721600000,0.359
569725200000,0.48
569728800000,0.558
569732400000,0.594
569736000000,0.585
569739600000,0.534
569743200000,0.435
569746800000,0.288
569750400000,0.115
569754000000,0.0
569757600000,0.0
569761200000,0.0
569764800000,0.0
569768400000,0.0
569772000000,0.0
569775600000,0.0
569779200000,0.0
569782800000,0.0
569786400000,0.0
569790000000,0.0
569793600000,0.0
569797200000,0.0
569800800000,0.036
569804400000,0.186
569808000000,0.402
569811600000,0.571
569815200000,0.667
569818800000,0.701
569822400000,0.688
569826000000,0.629
