,N1
536457600000,0.8
536461200000,0.668
536464800000,0.571
536468400000,0.481
536472000000,0.393
536475600000,0.342
536479200000,0.332
536482800000,0.311
536486400000,0.254
536490000000,0.238
536493600000,0.224
536497200000,0.193
536500800000,0.152
536504400000,0.119
536508000000,0.102
536511600000,0.096
536515200000,0.102
536518800000,0.12
536522400000,0.151
536526000000,0.172
536529600000,0.186
536533200000,0.204
536536800000,0.205
536540400000,0.225
536544000000,0.268
536547600000,0.261
536551200000,0.236
536554800000,0.192
536558400000,0.149
536562000000,0.115
536565600000,0.095
536569200000,0.086
536572800000,0.082
536576400000,0.088
536580000000,0.093
536583600000,0.082
536587200000,0.076
536590800000,0.069
536594400000,0.055
536598000000,0.054
536601600000,0.056
536605200000,0.054
536608800000,0.053
536612400000,0.054
536616000000,0.057
536619600000,0.068
536623200000,0.082
536626800000,0.099
536630400000,0.163
536634000000,0.243
536637600000,0.305
536641200000,0.322
536644800000,0.315
536648400000,0.308
536652000000,0.291
536655600000,0.274
536659200000,0.206
536662800000,0.163
536666400000,0.168
536670000000,0.187
536673600000,0.191
536677200000,0.187
536680800000,0.205
536684400000,0.191
536688000000,0.175
536691600000,0.164
536695200000,0.185
536698800000,0.207
536702400000,0.241
536706000000,0.267
536709600000,0.265
536713200000,0.281
536716800000,0.426
536720400000,0.525
536724000000,0.556
536727600000,0.532
536731200000,0.478
536734800000,0.405
536738400000,0.32
536742000000,0.264
536745600000,0.206
536749200000,0.195
536752800000,0.227
536756400000,0.233
536760000000,0.253
536763600000,0.231
536767200000,0.213
536770800000,0.223
536774400000,0.23
536778000000,0.245
536781600000,0.279
536785200000,0.318
536788800000,0.319
536792400000,0.305
536796000000,0.281
536799600000,0.298
536803200000,0.362
536806800000,0.395
536810400000,0.398
536814000000,0.37
536817600000,0.328
536821200000,0.295
536824800000,0.281
536828400000,0.269
536832000000,0.222
536835600000,0.197
536839200000,0.199
536842800000,0.22
536846400000,0.249
536850000000,0.276
536853600000,0.294
536857200000,0.338
536860800000,0.374
536864400000,0.376
536868000000,0.376
536871600000,0.405
536875200000,0.429
536878800000,0.456
536882400000,0.426
536886000000,0.413
536889600000,0.538
536893200000,0.613
536896800000,0.655
536900400000,0.676
536904000000,0.696
536907600000,0.698
536911200000,0.69
536914800000,0.657
536918400000,0.52
536922000000,0.41
536925600000,0.451
536929200000,0.538
536932800000,0.507
536936400000,0.468
536940000000,0.465
536943600000,0.464
536947200000,0.447
536950800000,0.422
536954400000,0.45
536958000000,0.459
536961600000,0.454
536965200000,0.471
536968800000,0.484
536972400000,0.484
536976000000,0.624
536979600000,0.72
536983200000,0.759
536986800000,0.772
536990400000,0.761
536994000000,0.737
536997600000,0.715
537001200000,0.677
537004800000,0.533
537008400000,0.395
537012000000,0.451
537015600000,0.507
537019200000,0.558
537022800000,0.593
537026400000,0.654
537030000000,0.69
537033600000,0.701
537037200000,0.726
537040800000,0.728
537044400000,0.726
537048000000,0.73
537051600000,0.725
537055200000,0.708
537058800000,0.777
537062400000,0.862
537066000000,0.886
537069600000,0.896
537073200000,0.899
537076800000,0.895
537080400000,0.883
537084000000,0.87
537087600000,0.84
537091200000,0.739
537094800000,0.682
537098400000,0.714
537102000000,0.748
537105600000,0.757
537109200000,0.753
537112800000,0.777
537116400000,0.788
537120000000,0.772
537123600000,0.777
537127200000,0.778
537130800000,0.771
537134400000,0.752
537138000000,0.741
537141600000,0.751
537145200000,0.795
537148800000,0.872
537152400000,0.898
537156000000,0.903
537159600000,0.89
537163200000,0.866
537166800000,0.841
537170400000,0.817
537174000000,0.788
537177600000,0.683
537181200000,0.591
537184800000,0.612
537188400000,0.668
537192000000,0.667
537195600000,0.613
537199200000,0.6
537202800000,0.576
537206400000,0.559
537210000000,0.544
537213600000,0.544
537217200000,0.559
537220800000,0.578
537224400000,0.592
537228000000,0.58
537231600000,0.554
537235200000,0.697
537238800000,0.765
537242400000,0.771
537246000000,0.754
537249600000,0.742
537253200000,0.733
537256800000,0.734
537260400000,0.716
537264000000,0.608
537267600000,0.566
537271200000,0.574
537274800000,0.571
537278400000,0.479
537282000000,0.447
537285600000,0.436
537289200000,0.41
537292800000,0.412
537296400000,0.426
537300000000,0.425
537303600000,0.391
537307200000,0.39
537310800000,0.407
537314400000,0.4
537318000000,0.547
537321600000,0.78
537325200000,0.877
537328800000,0.916
537332400000,0.913
537336000000,0.878
537339600000,0.831
537343200000,0.791
537346800000,0.71
537350400000,0.559
537354000000,0.432
537357600000,0.445
537361200000,0.508
537364800000,0.54
537368400000,0.552
537372000000,0.55
537375600000,0.547
537379200000,0.564
537382800000,0.59
537386400000,0.591
537390000000,0.586
537393600000,0.575
537397200000,0.555
537400800000,0.566
537404400000,0.557
537408000000,0.647
537411600000,0.682
537415200000,0.69
537418800000,0.668
537422400000,0.626
537426000000,0.586
537429600000,0.553
537433200000,0.523
537436800000,0.433
537440400000,0.387
537444000000,0.459
537447600000,0.546
537451200000,0.588
537454800000,0.586
537458400000,0.556
537462000000,0.526
537465600000,0.494
537469200000,0.501
537472800000,0.507
537476400000,0.531
537480000000,0.599
537483600000,0.68
537487200000,0.704
537490800000,0.779
537494400000,0.89
537498000000,0.924
537501600000,0.939
537505200000,0.943
537508800000,0.94
537512400000,0.935
537516000000,0.93
537519600000,0.921
537523200000,0.898
537526800000,0.887
537530400000,0.907
537534000000,0.93
537537600000,0.941
537541200000,0.953
537544800000,0.958
537548400000,0.956
537552000000,0.951
537555600000,0.944
537559200000,0.931
537562800000,0.909
537566400000,0.891
537570000000,0.888
537573600000,0.887
537577200000,0.923
537580800000,0.955
537584400000,0.958
537588000000,0.954
537591600000,0.943
537595200000,0.926
537598800000,0.908
537602400000,0.889
537606000000,0.87
537609600000,0.831
537613200000,0.777
537616800000,0.765
537620400000,0.794
537624000000,0.811
537627600000,0.812
537631200000,0.808
537634800000,0.799
537638400000,0.789
537642000000,0.766
537645600000,0.738
537649200000,0.739
537652800000,0.725
537656400000,0.713
537660000000,0.717
537663600000,0.812
537667200000,0.866
537670800000,0.873
537674400000,0.874
537678000000,0.866
537681600000,0.852
537685200000,0.841
537688800000,0.829
537692400000,0.808
537696000000,0.74
537699600000,0.626
537703200000,0.578
537706800000,0.62
537710400000,0.664
537714000000,0.676
537717600000,0.687
537721200000,0.677
537724800000,0.642
537728400000,0.613
537732000000,0.599
