,Py2
1325376000000,0.353
1325379600000,0.522
1325383200000,0.624
1325386800000,0.675
1325390400000,0.658
1325394000000,0.599
1325397600000,0.484
1325401200000,0.334
1325404800000,0.144
1325408400000,0.0
1325412000000,0.0
1325415600000,0.0
1325419200000,0.0
1325422800000,0.0
1325426400000,0.0
1325430000000,0.0
1325433600000,0.0
1325437200000,0.0
1325440800000,0.0
1325444400000,0.0
1325448000000,0.0
1325451600000,0.0
1325455200000,0.026
1325458800000,0.185
1325462400000,0.356
1325466000000,0.5
1325469600000,0.597
1325473200000,0.644
1325476800000,0.639
1325480400000,0.589
1325484000000,0.487
1325487600000,0.313
1325491200000,0.118
1325494800000,0.0
1325498400000,0.0
1325502000000,0.0
1325505600000,0.0
1325509200000,0.0
1325512800000,0.0
1325516400000,0.0
1325520000000,0.0
1325523600000,0.0
1325527200000,0.0
1325530800000,0.0
1325534400000,0.0
1325538000000,0.0
1325541600000,0.015
1325545200000,0.131
1325548800000,0.284
1325552400000,0.432
1325556000000,0.536
1325559600000,0.591
1325563200000,0.605
1325566800000,0.567
1325570400000,0.479
1325574000000,0.334
1325577600000,0.144
1325581200000,0.0
1325584800000,0.0
1325588400000,0.0
1325592000000,0.0
1325595600000,0.0
1325599200000,0.0
1325602800000,0.0
1325606400000,0.0
1325610000000,0.0
1325613600000,0.0
1325617200000,0.0
1325620800000,0.0
1325624400000,0.0
1325628000000,0.034
1325631600000,0.209
1325635200000,0.408
1325638800000,0.567
1325642400000,0.659
1325646000000,0.689
1325649600000,0.674
1325653200000,0.615
1325656800000,0.499
1325660400000,0.34
1325664000000,0.13
1325667600000,0.0
1325671200000,0.0
1325674800000,0.0
1325678400000,0.0
1325682000000,0.0
1325685600000,0.0
1325689200000,0.0
1325692800000,0.0
1325696400000,0.0
1325700000000,0.0
1325703600000,0.0
1325707200000,0.0
1325710800000,0.0
1325714400000,0.009
1325718000000,0.094
1325721600000,0.185
1325725200000,0.257
1325728800000,0.304
1325732400000,0.321
1325736000000,0.32
1325739600000,0.275
1325743200000,0.202
1325746800000,0.117
1325750400000,0.037
1325754000000,0.0
1325757600000,0.0
1325761200000,0.0
1325764800000,0.0
1325768400000,0.0
1325772000000,0.0
1325775600000,0.0
1325779200000,0.0
1325782800000,0.0
1325786400000,0.0
1325790000000,0.0
1325793600000,0.0
1325797200000,0.0
1325800800000,0.004
1325804400000,0.07
1325808000000,0.162
1325811600000,0.255
1325815200000,0.336
1325818800000,0.375
1325822400000,0.384
1325826000000,0.357
1325829600000,0.318
1325833200000,0.231
1325836800000,0.097
1325840400000,0.0
1325844000000,0.0
1325847600000,0.0
1325851200000,0.0
1325854800000,0.0
1325858400000,0.0
1325862000000,0.0
1325865600000,0.0
1325869200000,0.0
1325872800000,0.0
1325876400000,0.0
1325880000000,0.0
1325883600000,0.0
1325887200000,0.018
1325890800000,0.164
1325894400000,0.348
1325898000000,0.493
1325901600000,0.571
1325905200000,0.61
1325908800000,0.599
1325912400000,0.544
1325916000000,0.433
1325919600000,0.271
1325923200000,0.101
1325926800000,0.0
1325930400000,0.0
1325934000000,0.0
1325937600000,0.0
1325941200000,0.0
1325944800000,0.0
1325948400000,0.0
1325952000000,0.0
1325955600000,0.0
1325959200000,0.0
1325962800000,0.0
1325966400000,0.0
1325970000000,0.0
1325973600000,0.003
1325977200000,0.077
1325980800000,0.168
1325984400000,0.292
1325988000000,0.412
1325991600000,0.511
1325995200000,0.551
1325998800000,0.497
1326002400000,0.401
1326006000000,0.254
1326009600000,0.087
1326013200000,0.0
1326016800000,0.0
1326020400000,0.0
1326024000000,0.0
1326027600000,0.0
1326031200000,0.0
1326034800000,0.0
1326038400000,0.0
1326042000000,0.0
1326045600000,0.0
1326049200000,0.0
1326052800000,0.0
1326056400000,0.0
1326060000000,0.013
1326063600000,0.126
1326067200000,0.254
1326070800000,0.329
1326074400000,0.376
1326078000000,0.415
1326081600000,0.417
1326085200000,0.338
1326088800000,0.253
1326092400000,0.146
1326096000000,0.041
1326099600000,0.0
1326103200000,0.0
1326106800000,0.0
1326110400000,0.0
1326114000000,0.0
1326117600000,0.0
1326121200000,0.0
1326124800000,0.0
1326128400000,0.0
1326132000000,0.0
1326135600000,0.0
1326139200000,0.0
1326142800000,0.0
1326146400000,0.001
1326150000000,0.051
1326153600000,0.113
1326157200000,0.166
1326160800000,0.19
1326164400000,0.2
1326168000000,0.198
1326171600000,0.183
1326175200000,0.139
1326178800000,0.08
1326182400000,0.025
1326186000000,0.0
1326189600000,0.0
1326193200000,0.0
1326196800000,0.0
1326200400000,0.0
1326204000000,0.0
1326207600000,0.0
1326211200000,0.0
1326214800000,0.0
1326218400000,0.0
1326222000000,0.0
1326225600000,0.0
1326229200000,0.0
1326232800000,0.002
1326236400000,0.054
1326240000000,0.118
1326243600000,0.181
1326247200000,0.236
1326250800000,0.28
1326254400000,0.33
1326258000000,0.341
1326261600000,0.293
1326265200000,0.199
1326268800000,0.083
1326272400000,0.0
1326276000000,0.0
1326279600000,0.0
1326283200000,0.0
1326286800000,0.0
1326290400000,0.0
1326294000000,0.0
1326297600000,0.0
1326301200000,0.0
1326304800000,0.0
1326308400000,0.0
1326312000000,0.0
1326315600000,0.0
1326319200000,0.019
1326322800000,0.15
1326326400000,0.291
1326330000000,0.4
1326333600000,0.466
1326337200000,0.468
1326340800000,0.423
1326344400000,0.329
1326348000000,0.221
1326351600000,0.118
1326355200000,0.036
1326358800000,0.0
1326362400000,0.0
1326366000000,0.0
1326369600000,0.0
1326373200000,0.0
1326376800000,0.0
1326380400000,0.0
1326384000000,0.0
1326387600000,0.0
1326391200000,0.0
1326394800000,0.0
1326398400000,0.0
1326402000000,0.0
1326405600000,0.01
1326409200000,0.103
1326412800000,0.216
1326416400000,0.312
1326420000000,0.374
1326423600000,0.395
1326427200000,0.366
1326430800000,0.294
1326434400000,0.199
1326438000000,0.1
1326441600000,0.026
1326445200000,0.0
1326448800000,0.0
1326452400000,0.0
1326456000000,0.0
1326459600000,0.0
1326463200000,0.0
1326466800000,0.0
1326470400000,0.0
1326474000000,0.0
1326477600000,0.0
1326481200000,0.0
1326484800000,0.0
1326488400000,0.0
1326492000000,0.039
1326495600000,0.238
1326499200000,0.441
1326502800000,0.585
1326506400000,0.676
1326510000000,0.716
1326513600000,0.707
1326517200000,0.643
1326520800000,0.525
1326524400000,0.362
1326528000000,0.155
1326531600000,0.0
1326535200000,0.0
1326538800000,0.0
1326542400000,0.0
1326546000000,0.0
1326549600000,0.0
1326553200000,0.0
1326556800000,0.0
1326560400000,0.0
1326564000000,0.0
1326567600000,0.0
1326571200000,0.0
1326574800000,0.0
1326578400000,0.025
1326582000000,0.156
1326585600000,0.276
1326589200000,0.345
1326592800000,0.369
1326596400000,0.345
1326600000000,0.294
1326603600000,0.242
1326607200000,0.187
1326610800000,0.096
1326614400000,0.025
1326618000000,0.0
1326621600000,0.0
1326625200000,0.0
1326628800000,0.0
1326632400000,0.0
1326636000000,0.0
1326639600000,0.0
1326643200000,0.0
1326646800000,0.0
1326650400000,0.0
1326654000000,0.0
1326657600000,0.0
1326661200000,0.0
1326664800000,0.009
1326668400000,0.101
1326672000000,0.22
1326675600000,0.335
1326679200000,0.435
1326682800000,0.506
1326686400000,0.498
1326690000000,0.444
1326693600000,0.35
1326697200000,0.215
1326700800000,0.087
1326704400000,0.0
1326708000000,0.0
1326711600000,0.0
1326715200000,0.0
1326718800000,0.0
1326722400000,0.0
1326726000000,0.0
1326729600000,0.0
1326733200000,0.0
1326736800000,0.0
1326740400000,0.0
1326744000000,0.0
1326747600000,0.0
1326751200000,0.027
1326754800000,0.177
1326758400000,0.354
1326762000000,0.498
1326765600000,0.575
1326769200000,0.602
1326772800000,0.583
1326776400000,0.524
1326780000000,0.418
1326783600000,0.275
1326787200000,0.106
1326790800000,0.0
1326794400000,0.0
1326798000000,0.0
1326801600000,0.0
1326805200000,0.0
1326808800000,0.0
1326812400000,0.0
1326816000000,0.0
1326819600000,0.0
1326823200000,0.0
1326826800000,0.0
1326830400000,0.0
1326834000000,0.0
1326837600000,0.018
1326841200000,0.126
1326844800000,0.227
1326848400000,0.318
1326852000000,0.366
1326855600000,0.395
1326859200000,0.398
1326862800000,0.35
1326866400000,0.261
1326870000000,0.157
1326873600000,0.063
1326877200000,0.0
1326880800000,0.0
1326884400000,0.0
1326888000000,0.0
1326891600000,0.0
1326895200000,0.0
1326898800000,0.0
1326902400000,0.0
1326906000000,0.0
1326909600000,0.0
1326913200000,0.0
1326916800000,0.0
1326920400000,0.0
1326924000000,0.04
1326927600000,0.233
1326931200000,0.436
1326934800000,0.59
1326938400000,0.69
1326942000000,0.728
1326945600000,0.718
1326949200000,0.66
1326952800000,0.552
1326956400000,0.391
1326960000000,0.182
1326963600000,0.004
1326967200000,0.0
1326970800000,0.0
1326974400000,0.0
1326978000000,0.0
1326981600000,0.0
1326985200000,0.0
1326988800000,0.0
1326992400000,0.0
1326996000000,0.0
1326999600000,0.0
1327003200000,0.0
1327006800000,0.0
1327010400000,0.034
1327014000000,0.2
1327017600000,0.371
1327021200000,0.502
1327024800000,0.593
1327028400000,0.635
1327032000000,0.652
1327035600000,0.615
1327039200000,0.51
1327042800000,0.362
1327046400000,0.162
1327050000000,0.004
1327053600000,0.0
1327057200000,0.0
1327060800000,0.0
1327064400000,0.0
1327068000000,0.0
1327071600000,0.0
1327075200000,0.0
1327078800000,0.0
1327082400000,0.0
1327086000000,0.0
1327089600000,0.0
1327093200000,0.0
1327096800000,0.028
1327100400000,0.187
1327104000000,0.372
1327107600000,0.566
1327111200000,0.661
1327114800000,0.699
1327118400000,0.675
1327122000000,0.634
1327125600000,0.53
1327129200000,0.373
1327132800000,0.174
1327136400000,0.004
1327140000000,0.0
1327143600000,0.0
1327147200000,0.0
1327150800000,0.0
1327154400000,0.0
1327158000000,0.0
1327161600000,0.0
1327165200000,0.0
1327168800000,0.0
1327172400000,0.0
1327176000000,0.0
1327179600000,0.0
1327183200000,0.048
1327186800000,0.239
1327190400000,0.436
1327194000000,0.597
1327197600000,0.687
1327201200000,0.724
1327204800000,0.718
1327208400000,0.663
1327212000000,0.555
1327215600000,0.396
1327219200000,0.181
1327222800000,0.005
1327226400000,0.0
1327230000000,0.0
1327233600000,0.0
1327237200000,0.0
1327240800000,0.0
1327244400000,0.0
1327248000000,0.0
1327251600000,0.0
1327255200000,0.0
1327258800000,0.0
1327262400000,0.0
1327266000000,0.0
1327269600000,0.043
1327273200000,0.249
1327276800000,0.453
1327280400000,0.606
1327284000000,0.697
1327287600000,0.738
1327291200000,0.729
1327294800000,0.654
1327298400000,0.543
1327302000000,0.387
1327305600000,0.161
1327309200000,0.003
1327312800000,0.0
1327316400000,0.0
1327320000000,0.0
1327323600000,0.0
1327327200000,0.0
1327330800000,0.0
1327334400000,0.0
1327338000000,0.0
1327341600000,0.0
1327345200000,0.0
1327348800000,0.0
1327352400000,0.0
1327356000000,0.044
1327359600000,0.229
1327363200000,0.422
1327366800000,0.603
1327370400000,0.692
1327374000000,0.729
1327377600000,0.716
1327381200000,0.656
1327384800000,0.544
1327388400000,0.379
1327392000000,0.166
1327395600000,0.002
1327399200000,0.0
1327402800000,0.0
1327406400000,0.0
1327410000000,0.0
1327413600000,0.0
1327417200000,0.0
1327420800000,0.0
1327424400000,0.0
1327428000000,0.0
1327431600000,0.0
1327435200000,0.0
1327438800000,0.0
1327442400000,0.025
1327446000000,0.168
1327449600000,0.301
1327453200000,0.378
1327456800000,0.445
1327460400000,0.502
1327464000000,0.568
1327467600000,0.553
1327471200000,0.474
1327474800000,0.343
1327478400000,0.155
1327482000000,0.003
1327485600000,0.0
1327489200000,0.0
1327492800000,0.0
1327496400000,0.0
1327500000000,0.0
1327503600000,0.0
1327507200000,0.0
1327510800000,0.0
1327514400000,0.0
1327518000000,0.0
1327521600000,0.0
1327525200000,0.0
1327528800000,0.041
1327532400000,0.218
1327536000000,0.409
1327539600000,0.547
1327543200000,0.632
1327546800000,0.671
1327550400000,0.652
1327554000000,0.594
1327557600000,0.457
1327561200000,0.29
1327564800000,0.107
1327568400000,0.0
1327572000000,0.0
1327575600000,0.0
1327579200000,0.0
1327582800000,0.0
1327586400000,0.0
1327590000000,0.0
1327593600000,0.0
1327597200000,0.0
1327600800000,0.0
1327604400000,0.0
1327608000000,0.0
1327611600000,0.0
1327615200000,0.042
1327618800000,0.234
1327622400000,0.433
1327626000000,0.562
1327629600000,0.641
1327633200000,0.677
1327636800000,0.68
1327640400000,0.621
1327644000000,0.519
1327647600000,0.356
1327651200000,0.158
1327654800000,0.003
1327658400000,0.0
1327662000000,0.0
1327665600000,0.0
1327669200000,0.0
1327672800000,0.0
1327676400000,0.0
1327680000000,0.0
1327683600000,0.0
1327687200000,0.0
1327690800000,0.0
1327694400000,0.0
1327698000000,0.0
1327701600000,0.044
1327705200000,0.239
1327708800000,0.431
1327712400000,0.589
1327716000000,0.669
1327719600000,0.697
1327723200000,0.667
1327726800000,0.581
1327730400000,0.48
1327734000000,0.336
1327737600000,0.162
1327741200000,0.004
1327744800000,0.0
1327748400000,0.0
1327752000000,0.0
1327755600000,0.0
1327759200000,0.0
1327762800000,0.0
1327766400000,0.0
1327770000000,0.0
1327773600000,0.0
1327777200000,0.0
1327780800000,0.0
1327784400000,0.0
1327788000000,0.029
1327791600000,0.149
1327795200000,0.26
1327798800000,0.314
1327802400000,0.373
1327806000000,0.375
1327809600000,0.381
1327813200000,0.357
1327816800000,0.281
1327820400000,0.188
1327824000000,0.074
1327827600000,0.0
1327831200000,0.0
1327834800000,0.0
1327838400000,0.0
1327842000000,0.0
1327845600000,0.0
1327849200000,0.0
1327852800000,0.0
1327856400000,0.0
1327860000000,0.0
1327863600000,0.0
1327867200000,0.0
1327870800000,0.0
1327874400000,0.007
1327878000000,0.082
1327881600000,0.199
1327885200000,0.341
1327888800000,0.477
1327892400000,0.576
1327896000000,0.621
1327899600000,0.602
1327903200000,0.522
1327906800000,0.372
1327910400000,0.163
1327914000000,0.005
1327917600000,0.0
1327921200000,0.0
1327924800000,0.0
1327928400000,0.0
1327932000000,0.0
1327935600000,0.0
1327939200000,0.0
1327942800000,0.0
1327946400000,0.0
1327950000000,0.0
1327953600000,0.0
1327957200000,0.0
1327960800000,0.046
1327964400000,0.235
1327968000000,0.47
1327971600000,0.615
1327975200000,0.701
1327978800000,0.74
1327982400000,0.729
1327986000000,0.67
1327989600000,0.561
1327993200000,0.4
1327996800000,0.192
1328000400000,0.007
1328004000000,0.0
1328007600000,0.0
1328011200000,0.0
1328014800000,0.0
1328018400000,0.0
1328022000000,0.0
1328025600000,0.0
1328029200000,0.0
1328032800000,0.0
1328036400000,0.0
1328040000000,0.0
1328043600000,0.0
1328047200000,0.05
1328050800000,0.26
1328054400000,0.454
1328058000000,0.597
1328061600000,0.69
1328065200000,0.726
1328068800000,0.715
1328072400000,0.657
1328076000000,0.546
1328079600000,0.386
1328083200000,0.174
1328086800000,0.006
1328090400000,0.0
1328094000000,0.0
1328097600000,0.0
1328101200000,0.0
1328104800000,0.0
1328108400000,0.0
1328112000000,0.0
1328115600000,0.0
1328119200000,0.0
1328122800000,0.0
1328126400000,0.0
1328130000000,0.0
1328133600000,0.045
1328137200000,0.224
1328140800000,0.401
1328144400000,0.557
1328148000000,0.646
1328151600000,0.632
1328155200000,0.569
1328158800000,0.52
1328162400000,0.44
1328166000000,0.306
1328169600000,0.131
1328173200000,0.001
1328176800000,0.0
1328180400000,0.0
1328184000000,0.0
1328187600000,0.0
1328191200000,0.0
1328194800000,0.0
1328198400000,0.0
1328202000000,0.0
1328205600000,0.0
1328209200000,0.0
1328212800000,0.0
1328216400000,0.0
1328220000000,0.052
1328223600000,0.259
1328227200000,0.455
1328230800000,0.594
1328234400000,0.683
1328238000000,0.718
1328241600000,0.708
1328245200000,0.646
1328248800000,0.532
1328252400000,0.366
1328256000000,0.143
1328259600000,0.002
1328263200000,0.0
1328266800000,0.0
1328270400000,0.0
1328274000000,0.0
1328277600000,0.0
1328281200000,0.0
1328284800000,0.0
1328288400000,0.0
1328292000000,0.0
1328295600000,0.0
1328299200000,0.0
1328302800000,0.0
1328306400000,0.055
1328310000000,0.263
1328313600000,0.453
1328317200000,0.582
1328320800000,0.658
1328324400000,0.682
1328328000000,0.669
1328331600000,0.617
1328335200000,0.519
1328338800000,0.373
1328342400000,0.151
1328346000000,0.005
1328349600000,0.0
1328353200000,0.0
1328356800000,0.0
1328360400000,0.0
1328364000000,0.0
1328367600000,0.0
1328371200000,0.0
1328374800000,0.0
1328378400000,0.0
1328382000000,0.0
1328385600000,0.0
1328389200000,0.0
1328392800000,0.043
1328396400000,0.222
1328400000000,0.406
1328403600000,0.557
1328407200000,0.663
1328410800000,0.708
1328414400000,0.702
1328418000000,0.636
1328421600000,0.484
1328425200000,0.291
1328428800000,0.109
1328432400000,0.0
1328436000000,0.0
1328439600000,0.0
1328443200000,0.0
1328446800000,0.0
1328450400000,0.0
1328454000000,0.0
1328457600000,0.0
1328461200000,0.0
1328464800000,0.0
1328468400000,0.0
1328472000000,0.0
1328475600000,0.0
1328479200000,0.043
1328482800000,0.217
1328486400000,0.389
1328490000000,0.54
1328493600000,0.632
1328497200000,0.673
1328500800000,0.651
1328504400000,0.576
1328508000000,0.489
1328511600000,0.344
1328515200000,0.152
1328518800000,0.004
1328522400000,0.0
1328526000000,0.0
1328529600000,0.0
1328533200000,0.0
1328536800000,0.0
1328540400000,0.0
1328544000000,0.0
1328547600000,0.0
1328551200000,0.0
1328554800000,0.0
1328558400000,0.0
1328562000000,0.0
1328565600000,0.032
1328569200000,0.19
1328572800000,0.361
1328576400000,0.509
1328580000000,0.601
1328583600000,0.652
1328587200000,0.638
1328590800000,0.565
1328594400000,0.439
1328598000000,0.293
1328601600000,0.122
1328605200000,0.003
1328608800000,0.0
1328612400000,0.0
1328616000000,0.0
1328619600000,0.0
1328623200000,0.0
1328626800000,0.0
1328630400000,0.0
1328634000000,0.0
1328637600000,0.0
1328641200000,0.0
1328644800000,0.0
1328648400000,0.0
1328652000000,0.023
1328655600000,0.13
1328659200000,0.228
1328662800000,0.306
1328666400000,0.362
1328670000000,0.371
1328673600000,0.365
1328677200000,0.333
1328680800000,0.296
1328684400000,0.217
1328688000000,0.094
1328691600000,0.0
1328695200000,0.0
