,L7
788918400000,0.776
788922000000,0.791
788925600000,0.779
788929200000,0.781
788932800000,0.795
788936400000,0.814
788940000000,0.829
788943600000,0.833
788947200000,0.792
788950800000,0.708
788954400000,0.718
788958000000,0.76
788961600000,0.788
788965200000,0.803
788968800000,0.798
788972400000,0.768
788976000000,0.736
788979600000,0.715
788983200000,0.689
788986800000,0.656
788990400000,0.627
788994000000,0.603
788997600000,0.595
789001200000,0.666
789004800000,0.797
789008400000,0.801
789012000000,0.794
789015600000,0.778
789019200000,0.753
789022800000,0.742
789026400000,0.732
789030000000,0.7
789033600000,0.633
789037200000,0.465
789040800000,0.381
789044400000,0.383
789048000000,0.361
789051600000,0.341
789055200000,0.409
789058800000,0.42
789062400000,0.383
789066000000,0.337
789069600000,0.334
789073200000,0.337
789076800000,0.316
789080400000,0.302
789084000000,0.277
789087600000,0.284
789091200000,0.413
789094800000,0.385
789098400000,0.352
789102000000,0.348
789105600000,0.345
789109200000,0.341
789112800000,0.365
789116400000,0.4
789120000000,0.367
789123600000,0.256
789127200000,0.231
789130800000,0.22
789134400000,0.201
789138000000,0.192
789141600000,0.166
789145200000,0.157
789148800000,0.123
789152400000,0.08
789156000000,0.062
789159600000,0.074
789163200000,0.104
789166800000,0.134
789170400000,0.155
789174000000,0.077
789177600000,0.09
789181200000,0.058
789184800000,0.021
789188400000,0.004
789192000000,0.0
789195600000,0.001
789199200000,0.028
789202800000,0.097
789206400000,0.142
789210000000,0.163
789213600000,0.164
789217200000,0.125
789220800000,0.098
789224400000,0.104
789228000000,0.12
789231600000,0.163
789235200000,0.231
789238800000,0.339
789242400000,0.427
789246000000,0.413
789249600000,0.435
789253200000,0.424
789256800000,0.422
789260400000,0.421
789264000000,0.556
789267600000,0.69
789271200000,0.72
789274800000,0.701
789278400000,0.649
789282000000,0.591
789285600000,0.549
789289200000,0.503
789292800000,0.424
789296400000,0.309
789300000000,0.3
789303600000,0.317
789307200000,0.323
789310800000,0.298
789314400000,0.302
789318000000,0.313
789321600000,0.301
789325200000,0.287
789328800000,0.284
789332400000,0.294
789336000000,0.303
789339600000,0.336
789343200000,0.364
789346800000,0.344
789350400000,0.498
789354000000,0.575
789357600000,0.574
789361200000,0.56
789364800000,0.553
789368400000,0.56
789372000000,0.58
789375600000,0.591
789379200000,0.558
789382800000,0.466
789386400000,0.481
789390000000,0.499
789393600000,0.491
789397200000,0.475
789400800000,0.459
789404400000,0.448
789408000000,0.436
789411600000,0.414
789415200000,0.403
789418800000,0.389
789422400000,0.374
789426000000,0.348
789429600000,0.337
789433200000,0.348
789436800000,0.574
789440400000,0.567
789444000000,0.539
789447600000,0.519
789451200000,0.502
789454800000,0.49
789458400000,0.483
789462000000,0.481
789465600000,0.453
789469200000,0.346
789472800000,0.311
789476400000,0.308
789480000000,0.296
789483600000,0.301
789487200000,0.295
789490800000,0.272
789494400000,0.278
789498000000,0.274
789501600000,0.271
789505200000,0.242
789508800000,0.251
789512400000,0.257
789516000000,0.264
789519600000,0.206
789523200000,0.314
789526800000,0.3
789530400000,0.28
789534000000,0.264
789537600000,0.261
789541200000,0.267
789544800000,0.284
789548400000,0.307
789552000000,0.3
789555600000,0.247
789559200000,0.227
789562800000,0.208
789566400000,0.205
789570000000,0.192
789573600000,0.186
789577200000,0.175
789580800000,0.156
789584400000,0.139
789588000000,0.127
789591600000,0.117
789595200000,0.107
789598800000,0.119
789602400000,0.152
789606000000,0.112
789609600000,0.144
789613200000,0.149
789616800000,0.167
789620400000,0.201
789624000000,0.256
789627600000,0.319
789631200000,0.375
789634800000,0.42
789638400000,0.407
789642000000,0.32
789645600000,0.283
789649200000,0.243
789652800000,0.236
789656400000,0.236
789660000000,0.246
789663600000,0.236
789667200000,0.227
789670800000,0.204
789674400000,0.197
789678000000,0.2
789681600000,0.205
789685200000,0.213
789688800000,0.22
789692400000,0.201
789696000000,0.275
789699600000,0.245
789703200000,0.205
789706800000,0.185
789710400000,0.201
789714000000,0.242
789717600000,0.295
789721200000,0.349
789724800000,0.366
789728400000,0.279
789732000000,0.232
789735600000,0.232
789739200000,0.228
789742800000,0.203
789746400000,0.178
789750000000,0.158
789753600000,0.17
789757200000,0.191
789760800000,0.187
789764400000,0.168
789768000000,0.156
789771600000,0.167
789775200000,0.17
789778800000,0.142
789782400000,0.154
789786000000,0.139
789789600000,0.137
789793200000,0.136
789796800000,0.135
789800400000,0.126
789804000000,0.119
789807600000,0.129
789811200000,0.168
789814800000,0.192
789818400000,0.188
789822000000,0.162
789825600000,0.12
789829200000,0.074
789832800000,0.035
789836400000,0.015
789840000000,0.005
789843600000,0.002
789847200000,0.002
789850800000,0.003
789854400000,0.004
789858000000,0.008
789861600000,0.021
789865200000,0.046
789868800000,0.068
789872400000,0.084
789876000000,0.108
789879600000,0.134
789883200000,0.164
789886800000,0.19
789890400000,0.21
789894000000,0.233
789897600000,0.242
789901200000,0.197
789904800000,0.197
789908400000,0.2
789912000000,0.191
789915600000,0.192
789919200000,0.225
789922800000,0.265
789926400000,0.289
789930000000,0.305
789933600000,0.289
789937200000,0.254
789940800000,0.231
789944400000,0.213
789948000000,0.193
789951600000,0.152
789955200000,0.215
789958800000,0.264
789962400000,0.282
789966000000,0.294
789969600000,0.303
789973200000,0.304
789976800000,0.311
789980400000,0.338
789984000000,0.362
789987600000,0.329
789991200000,0.335
789994800000,0.297
789998400000,0.32
790002000000,0.317
790005600000,0.357
790009200000,0.35
790012800000,0.355
790016400000,0.386
790020000000,0.361
790023600000,0.359
790027200000,0.379
790030800000,0.415
790034400000,0.457
790038000000,0.527
790041600000,0.722
790045200000,0.754
790048800000,0.728
790052400000,0.7
790056000000,0.694
790059600000,0.701
790063200000,0.718
790066800000,0.715
790070400000,0.655
790074000000,0.54
790077600000,0.528
790081200000,0.544
790084800000,0.553
790088400000,0.564
790092000000,0.562
