,L5
790196400000,0.159
790200000000,0.12
790203600000,0.1
790207200000,0.07
790210800000,0.049
790214400000,0.057
790218000000,0.067
790221600000,0.081
790225200000,0.101
790228800000,0.139
790232400000,0.206
790236000000,0.305
790239600000,0.428
790243200000,0.526
790246800000,0.56
790250400000,0.469
790254000000,0.252
790257600000,0.076
790261200000,0.07
790264800000,0.212
790268400000,0.321
790272000000,0.318
790275600000,0.284
790279200000,0.262
790282800000,0.244
790286400000,0.233
790290000000,0.22
790293600000,0.214
790297200000,0.201
790300800000,0.282
790304400000,0.257
790308000000,0.173
790311600000,0.134
790315200000,0.125
790318800000,0.124
790322400000,0.142
790326000000,0.185
790329600000,0.28
790333200000,0.444
790336800000,0.633
790340400000,0.683
790344000000,0.621
790347600000,0.525
790351200000,0.444
790354800000,0.379
790358400000,0.337
790362000000,0.32
790365600000,0.311
790369200000,0.312
790372800000,0.32
790376400000,0.337
790380000000,0.355
790383600000,0.291
790387200000,0.373
790390800000,0.328
790394400000,0.213
790398000000,0.129
790401600000,0.093
790405200000,0.083
790408800000,0.089
790412400000,0.101
790416000000,0.107
790419600000,0.084
790423200000,0.055
790426800000,0.045
790430400000,0.086
790434000000,0.192
790437600000,0.286
790441200000,0.322
790444800000,0.319
790448400000,0.306
790452000000,0.292
790455600000,0.273
790459200000,0.254
790462800000,0.242
790466400000,0.225
790470000000,0.171
790473600000,0.245
790477200000,0.182
790480800000,0.083
790484400000,0.03
790488000000,0.011
790491600000,0.011
790495200000,0.024
790498800000,0.045
790502400000,0.074
790506000000,0.098
790509600000,0.067
790513200000,0.022
790516800000,0.005
790520400000,0.001
790524000000,0.021
790527600000,0.077
790531200000,0.127
790534800000,0.148
790538400000,0.137
790542000000,0.121
790545600000,0.119
790549200000,0.124
790552800000,0.131
790556400000,0.114
790560000000,0.186
790563600000,0.172
790567200000,0.112
790570800000,0.069
790574400000,0.04
790578000000,0.022
790581600000,0.022
790585200000,0.049
790588800000,0.089
790592400000,0.114
790596000000,0.11
790599600000,0.07
790603200000,0.04
790606800000,0.061
790610400000,0.121
790614000000,0.185
790617600000,0.233
790621200000,0.253
790624800000,0.256
790628400000,0.252
790632000000,0.249
790635600000,0.231
790639200000,0.208
790642800000,0.155
790646400000,0.192
790650000000,0.114
790653600000,0.03
790657200000,0.008
790660800000,0.011
790664400000,0.026
790668000000,0.058
790671600000,0.122
790675200000,0.192
790678800000,0.237
790682400000,0.192
790686000000,0.113
790689600000,0.059
790693200000,0.026
790696800000,0.008
790700400000,0.003
790704000000,0.002
790707600000,0.003
790711200000,0.004
790714800000,0.006
790718400000,0.006
790722000000,0.007
790725600000,0.008
790729200000,0.006
790732800000,0.009
790736400000,0.003
790740000000,0.001
790743600000,0.001
790747200000,0.007
790750800000,0.035
790754400000,0.068
790758000000,0.095
790761600000,0.118
790765200000,0.163
790768800000,0.173
790772400000,0.134
790776000000,0.094
790779600000,0.063
790783200000,0.043
790786800000,0.025
790790400000,0.012
790794000000,0.005
790797600000,0.001
790801200000,0.0
790804800000,0.0
790808400000,0.0
790812000000,0.0
790815600000,0.001
790819200000,0.002
790822800000,0.007
790826400000,0.029
790830000000,0.079
790833600000,0.161
790837200000,0.286
790840800000,0.426
790844400000,0.534
790848000000,0.59
790851600000,0.59
790855200000,0.542
790858800000,0.479
790862400000,0.389
790866000000,0.266
790869600000,0.137
790873200000,0.042
790876800000,0.004
790880400000,0.0
790884000000,0.001
790887600000,0.009
790891200000,0.027
790894800000,0.041
790898400000,0.04
790902000000,0.028
790905600000,0.026
790909200000,0.023
790912800000,0.038
790916400000,0.062
790920000000,0.085
790923600000,0.116
790927200000,0.14
790930800000,0.13
790934400000,0.078
790938000000,0.016
790941600000,0.0
790945200000,0.033
790948800000,0.181
790952400000,0.267
790956000000,0.282
790959600000,0.214
790963200000,0.14
790966800000,0.085
790970400000,0.05
790974000000,0.032
790977600000,0.021
790981200000,0.012
790984800000,0.005
790988400000,0.005
