,L9
788918400000,0.624
788922000000,0.706
788925600000,0.702
788929200000,0.702
788932800000,0.71
788936400000,0.722
788940000000,0.741
788943600000,0.744
788947200000,0.69
788950800000,0.603
788954400000,0.576
788958000000,0.566
788961600000,0.574
788965200000,0.585
788968800000,0.619
788972400000,0.62
788976000000,0.584
788979600000,0.552
788983200000,0.539
788986800000,0.484
788990400000,0.447
788994000000,0.382
788997600000,0.351
789001200000,0.379
789004800000,0.689
789008400000,0.724
789012000000,0.72
789015600000,0.702
789019200000,0.692
789022800000,0.693
789026400000,0.68
789030000000,0.635
789033600000,0.526
789037200000,0.401
789040800000,0.294
789044400000,0.272
789048000000,0.233
789051600000,0.195
789055200000,0.164
789058800000,0.156
789062400000,0.159
789066000000,0.189
789069600000,0.201
789073200000,0.181
789076800000,0.16
789080400000,0.126
789084000000,0.108
789087600000,0.118
789091200000,0.2
789094800000,0.214
789098400000,0.179
789102000000,0.171
789105600000,0.179
789109200000,0.185
789112800000,0.192
789116400000,0.206
789120000000,0.173
789123600000,0.177
789127200000,0.16
789130800000,0.123
789134400000,0.094
789138000000,0.067
789141600000,0.045
789145200000,0.027
789148800000,0.011
789152400000,0.002
789156000000,0.0
789159600000,0.0
789163200000,0.0
789166800000,0.0
789170400000,0.0
789174000000,0.0
789177600000,0.0
789181200000,0.0
789184800000,0.0
789188400000,0.0
789192000000,0.001
789195600000,0.001
789199200000,0.004
789202800000,0.011
789206400000,0.022
789210000000,0.047
789213600000,0.054
789217200000,0.038
789220800000,0.026
789224400000,0.02
789228000000,0.022
789231600000,0.024
789235200000,0.027
789238800000,0.038
789242400000,0.055
789246000000,0.068
789249600000,0.074
789253200000,0.083
789256800000,0.131
789260400000,0.136
789264000000,0.377
789267600000,0.5
789271200000,0.507
789274800000,0.51
789278400000,0.526
789282000000,0.535
789285600000,0.522
789289200000,0.468
789292800000,0.358
789296400000,0.279
789300000000,0.256
789303600000,0.268
789307200000,0.265
789310800000,0.249
789314400000,0.233
789318000000,0.202
789321600000,0.206
789325200000,0.192
789328800000,0.187
789332400000,0.203
789336000000,0.192
789339600000,0.192
789343200000,0.186
789346800000,0.178
789350400000,0.366
789354000000,0.412
789357600000,0.391
789361200000,0.372
789364800000,0.367
789368400000,0.374
789372000000,0.4
789375600000,0.414
789379200000,0.338
789382800000,0.328
789386400000,0.341
789390000000,0.368
789393600000,0.334
789397200000,0.337
789400800000,0.367
789404400000,0.365
789408000000,0.36
789411600000,0.358
789415200000,0.355
789418800000,0.361
789422400000,0.348
789426000000,0.348
789429600000,0.341
789433200000,0.261
789436800000,0.37
789440400000,0.488
789444000000,0.483
789447600000,0.464
789451200000,0.454
789454800000,0.44
789458400000,0.432
789462000000,0.406
789465600000,0.31
789469200000,0.327
