,Mn7
1167609600000,0.228
1167613200000,0.292
1167616800000,0.257
1167620400000,0.212
1167624000000,0.208
1167627600000,0.19
1167631200000,0.177
1167634800000,0.148
1167638400000,0.052
1167642000000,0.0
1167645600000,0.0
1167649200000,0.0
1167652800000,0.0
1167656400000,0.0
1167660000000,0.0
1167663600000,0.0
1167667200000,0.0
1167670800000,0.0
1167674400000,0.0
1167678000000,0.0
1167681600000,0.0
1167685200000,0.0
1167688800000,0.017
1167692400000,0.116
1167696000000,0.311
1167699600000,0.488
1167703200000,0.596
1167706800000,0.665
1167710400000,0.641
1167714000000,0.569
1167717600000,0.454
1167721200000,0.241
1167724800000,0.077
1167728400000,0.0
1167732000000,0.0
1167735600000,0.0
1167739200000,0.0
1167742800000,0.0
1167746400000,0.0
1167750000000,0.0
1167753600000,0.0
1167757200000,0.0
1167760800000,0.0
1167764400000,0.0
1167768000000,0.0
1167771600000,0.0
1167775200000,0.008
1167778800000,0.066
1167782400000,0.141
1167786000000,0.207
1167789600000,0.277
1167793200000,0.29
1167796800000,0.284
1167800400000,0.262
1167804000000,0.213
1167807600000,0.135
1167811200000,0.043
1167814800000,0.0
1167818400000,0.0
1167822000000,0.0
1167825600000,0.0
1167829200000,0.0
1167832800000,0.0
1167836400000,0.0
1167840000000,0.0
1167843600000,0.0
1167847200000,0.0
1167850800000,0.0
1167854400000,0.0
1167858000000,0.0
1167861600000,0.029
1167865200000,0.132
1167868800000,0.214
1167872400000,0.297
1167876000000,0.325
1167879600000,0.328
1167883200000,0.314
1167886800000,0.253
1167890400000,0.178
1167894000000,0.095
1167897600000,0.024
1167901200000,0.0
1167904800000,0.0
1167908400000,0.0
1167912000000,0.0
1167915600000,0.0
1167919200000,0.0
1167922800000,0.0
1167926400000,0.0
1167930000000,0.0
1167933600000,0.0
1167937200000,0.0
1167940800000,0.0
1167944400000,0.0
1167948000000,0.02
1167951600000,0.112
1167955200000,0.229
1167958800000,0.307
1167962400000,0.362
1167966000000,0.406
1167969600000,0.364
1167973200000,0.283
1167976800000,0.175
1167980400000,0.074
1167984000000,0.014
1167987600000,0.0
1167991200000,0.0
1167994800000,0.0
1167998400000,0.0
1168002000000,0.0
1168005600000,0.0
1168009200000,0.0
1168012800000,0.0
1168016400000,0.0
1168020000000,0.0
1168023600000,0.0
1168027200000,0.0
1168030800000,0.0
1168034400000,0.042
1168038000000,0.17
1168041600000,0.327
1168045200000,0.423
1168048800000,0.426
1168052400000,0.421
1168056000000,0.347
1168059600000,0.291
1168063200000,0.214
1168066800000,0.117
1168070400000,0.034
1168074000000,0.0
1168077600000,0.0
1168081200000,0.0
1168084800000,0.0
1168088400000,0.0
1168092000000,0.0
1168095600000,0.0
1168099200000,0.0
1168102800000,0.0
1168106400000,0.0
1168110000000,0.0
1168113600000,0.0
1168117200000,0.0
1168120800000,0.038
1168124400000,0.157
1168128000000,0.334
1168131600000,0.468
1168135200000,0.55
1168138800000,0.602
1168142400000,0.627
1168146000000,0.59
1168149600000,0.456
1168153200000,0.276
1168156800000,0.09
1168160400000,0.0
1168164000000,0.0
1168167600000,0.0
1168171200000,0.0
1168174800000,0.0
1168178400000,0.0
1168182000000,0.0
1168185600000,0.0
1168189200000,0.0
1168192800000,0.0
1168196400000,0.0
1168200000000,0.0
1168203600000,0.0
1168207200000,0.01
1168210800000,0.074
1168214400000,0.178
1168218000000,0.3
1168221600000,0.369
1168225200000,0.374
1168228800000,0.298
1168232400000,0.253
1168236000000,0.161
1168239600000,0.097
1168243200000,0.027
1168246800000,0.0
1168250400000,0.0
1168254000000,0.0
1168257600000,0.0
1168261200000,0.0
1168264800000,0.0
1168268400000,0.0
1168272000000,0.0
1168275600000,0.0
1168279200000,0.0
1168282800000,0.0
1168286400000,0.0
1168290000000,0.0
1168293600000,0.034
1168297200000,0.171
1168300800000,0.372
1168304400000,0.518
1168308000000,0.616
1168311600000,0.641
1168315200000,0.563
1168318800000,0.428
1168322400000,0.31
1168326000000,0.197
1168329600000,0.05
1168333200000,0.0
1168336800000,0.0
1168340400000,0.0
1168344000000,0.0
1168347600000,0.0
1168351200000,0.0
1168354800000,0.0
1168358400000,0.0
1168362000000,0.0
1168365600000,0.0
1168369200000,0.0
1168372800000,0.0
1168376400000,0.0
1168380000000,0.012
1168383600000,0.082
1168387200000,0.186
1168390800000,0.289
1168394400000,0.338
1168398000000,0.348
1168401600000,0.32
1168405200000,0.272
1168408800000,0.195
1168412400000,0.114
1168416000000,0.039
1168419600000,0.0
1168423200000,0.0
1168426800000,0.0
1168430400000,0.0
1168434000000,0.0
1168437600000,0.0
1168441200000,0.0
1168444800000,0.0
1168448400000,0.0
1168452000000,0.0
1168455600000,0.0
1168459200000,0.0
1168462800000,0.0
1168466400000,0.02
1168470000000,0.091
1168473600000,0.145
1168477200000,0.182
1168480800000,0.201
1168484400000,0.224
1168488000000,0.244
1168491600000,0.24
1168495200000,0.194
1168498800000,0.115
1168502400000,0.039
1168506000000,0.0
1168509600000,0.0
1168513200000,0.0
1168516800000,0.0
1168520400000,0.0
1168524000000,0.0
1168527600000,0.0
1168531200000,0.0
1168534800000,0.0
1168538400000,0.0
1168542000000,0.0
1168545600000,0.0
1168549200000,0.0
1168552800000,0.024
1168556400000,0.117
1168560000000,0.216
1168563600000,0.297
1168567200000,0.365
1168570800000,0.4
1168574400000,0.392
1168578000000,0.346
1168581600000,0.259
1168585200000,0.152
1168588800000,0.052
1168592400000,0.0
1168596000000,0.0
1168599600000,0.0
1168603200000,0.0
1168606800000,0.0
1168610400000,0.0
1168614000000,0.0
1168617600000,0.0
1168621200000,0.0
1168624800000,0.0
1168628400000,0.0
1168632000000,0.0
1168635600000,0.0
1168639200000,0.018
1168642800000,0.085
1168646400000,0.16
1168650000000,0.209
1168653600000,0.254
1168657200000,0.267
1168660800000,0.285
1168664400000,0.278
1168668000000,0.237
1168671600000,0.159
1168675200000,0.058
1168678800000,0.0
1168682400000,0.0
1168686000000,0.0
1168689600000,0.0
1168693200000,0.0
1168696800000,0.0
1168700400000,0.0
1168704000000,0.0
1168707600000,0.0
1168711200000,0.0
1168714800000,0.0
1168718400000,0.0
1168722000000,0.0
1168725600000,0.04
1168729200000,0.153
1168732800000,0.228
1168736400000,0.259
1168740000000,0.229
1168743600000,0.209
1168747200000,0.223
1168750800000,0.229
1168754400000,0.203
1168758000000,0.132
1168761600000,0.053
1168765200000,0.0
1168768800000,0.0
1168772400000,0.0
1168776000000,0.0
1168779600000,0.0
1168783200000,0.0
1168786800000,0.0
1168790400000,0.0
1168794000000,0.0
1168797600000,0.0
1168801200000,0.0
1168804800000,0.0
1168808400000,0.0
1168812000000,0.063
1168815600000,0.234
1168819200000,0.479
1168822800000,0.62
