,N2
915148800000,0.414
915152400000,0.531
915156000000,0.622
915159600000,0.68
915163200000,0.671
915166800000,0.604
915170400000,0.499
915174000000,0.328
915177600000,0.138
915181200000,0.0
915184800000,0.0
915188400000,0.0
915192000000,0.0
915195600000,0.0
915199200000,0.0
915202800000,0.0
915206400000,0.0
915210000000,0.0
915213600000,0.0
915217200000,0.0
915220800000,0.0
915224400000,0.0
915228000000,0.019
915231600000,0.153
915235200000,0.311
915238800000,0.452
915242400000,0.534
915246000000,0.602
915249600000,0.619
915253200000,0.577
915256800000,0.473
915260400000,0.329
915264000000,0.128
915267600000,0.0
915271200000,0.0
915274800000,0.0
915278400000,0.0
915282000000,0.0
915285600000,0.0
915289200000,0.0
915292800000,0.0
915296400000,0.0
915300000000,0.0
915303600000,0.0
915307200000,0.0
915310800000,0.0
915314400000,0.014
915318000000,0.11
915321600000,0.205
915325200000,0.296
915328800000,0.355
915332400000,0.358
915336000000,0.366
915339600000,0.345
915343200000,0.28
915346800000,0.171
915350400000,0.055
915354000000,0.0
915357600000,0.0
915361200000,0.0
915364800000,0.0
915368400000,0.0
915372000000,0.0
915375600000,0.0
915379200000,0.0
915382800000,0.0
915386400000,0.0
915390000000,0.0
915393600000,0.0
915397200000,0.0
915400800000,0.018
915404400000,0.132
915408000000,0.252
915411600000,0.35
915415200000,0.394
915418800000,0.423
915422400000,0.4
915426000000,0.351
915429600000,0.256
915433200000,0.14
915436800000,0.039
915440400000,0.0
915444000000,0.0
915447600000,0.0
915451200000,0.0
915454800000,0.0
915458400000,0.0
915462000000,0.0
915465600000,0.0
915469200000,0.0
915472800000,0.0
915476400000,0.0
915480000000,0.0
915483600000,0.0
915487200000,0.002
915490800000,0.066
915494400000,0.147
915498000000,0.242
915501600000,0.339
915505200000,0.4
915508800000,0.416
915512400000,0.377
915516000000,0.317
915519600000,0.216
915523200000,0.091
915526800000,0.0
915530400000,0.0
915534000000,0.0
915537600000,0.0
915541200000,0.0
915544800000,0.0
915548400000,0.0
915552000000,0.0
915555600000,0.0
915559200000,0.0
915562800000,0.0
915566400000,0.0
915570000000,0.0
915573600000,0.011
915577200000,0.097
915580800000,0.192
915584400000,0.277
915588000000,0.347
915591600000,0.353
915595200000,0.316
915598800000,0.246
915602400000,0.168
915606000000,0.097
915609600000,0.03
915613200000,0.0
915616800000,0.0
915620400000,0.0
915624000000,0.0
915627600000,0.0
915631200000,0.0
915634800000,0.0
915638400000,0.0
915642000000,0.0
915645600000,0.0
915649200000,0.0
915652800000,0.0
915656400000,0.0
915660000000,0.01
915663600000,0.112
915667200000,0.236
