,Mn4
631152000000,0.183
631155600000,0.243
631159200000,0.281
631162800000,0.291
631166400000,0.27
631170000000,0.233
631173600000,0.192
631177200000,0.15
631180800000,0.118
631184400000,0.101
631188000000,0.112
631191600000,0.111
631195200000,0.089
631198800000,0.048
631202400000,0.023
631206000000,0.012
631209600000,0.01
631213200000,0.009
631216800000,0.008
631220400000,0.005
631224000000,0.003
631227600000,0.005
631231200000,0.009
631234800000,0.016
631238400000,0.027
631242000000,0.041
631245600000,0.053
631249200000,0.047
631252800000,0.034
631256400000,0.026
631260000000,0.023
631263600000,0.023
631267200000,0.027
631270800000,0.042
631274400000,0.06
631278000000,0.076
631281600000,0.084
631285200000,0.084
631288800000,0.078
631292400000,0.056
631296000000,0.035
631299600000,0.023
631303200000,0.012
631306800000,0.006
631310400000,0.003
631314000000,0.003
631317600000,0.005
631321200000,0.009
631324800000,0.02
631328400000,0.029
631332000000,0.046
631335600000,0.062
631339200000,0.073
631342800000,0.082
631346400000,0.09
631350000000,0.094
631353600000,0.101
631357200000,0.118
631360800000,0.139
631364400000,0.165
631368000000,0.181
631371600000,0.198
631375200000,0.194
631378800000,0.189
631382400000,0.193
631386000000,0.199
631389600000,0.206
631393200000,0.219
631396800000,0.221
631400400000,0.239
631404000000,0.259
631407600000,0.325
631411200000,0.418
631414800000,0.47
631418400000,0.505
631422000000,0.535
631425600000,0.545
631429200000,0.558
631432800000,0.556
631436400000,0.519
631440000000,0.466
631443600000,0.433
631447200000,0.442
631450800000,0.467
631454400000,0.494
631458000000,0.524
631461600000,0.561
631465200000,0.596
631468800000,0.586
631472400000,0.557
631476000000,0.534
631479600000,0.527
631483200000,0.54
631486800000,0.57
631490400000,0.616
631494000000,0.687
631497600000,0.779
631501200000,0.81
631504800000,0.811
631508400000,0.791
631512000000,0.766
631515600000,0.731
631519200000,0.692
631522800000,0.649
631526400000,0.586
631530000000,0.532
631533600000,0.496
631537200000,0.481
631540800000,0.488
631544400000,0.48
631548000000,0.453
631551600000,0.445
631555200000,0.449
631558800000,0.444
631562400000,0.447
631566000000,0.464
631569600000,0.482
631573200000,0.466
631576800000,0.464
631580400000,0.556
631584000000,0.685
631587600000,0.746
631591200000,0.778
631594800000,0.778
