,B1
504921600000,0.178
504925200000,0.251
504928800000,0.293
504932400000,0.333
504936000000,0.286
504939600000,0.247
504943200000,0.165
504946800000,0.105
504950400000,0.024
504954000000,0.0
504957600000,0.0
504961200000,0.0
504964800000,0.0
504968400000,0.0
504972000000,0.0
504975600000,0.0
504979200000,0.0
504982800000,0.0
504986400000,0.0
504990000000,0.0
504993600000,0.0
504997200000,0.0
505000800000,0.021
505004400000,0.119
505008000000,0.219
505011600000,0.296
505015200000,0.369
505018800000,0.397
505022400000,0.345
505026000000,0.272
505029600000,0.191
505033200000,0.105
505036800000,0.031
505040400000,0.0
505044000000,0.0
505047600000,0.0
505051200000,0.0
505054800000,0.0
505058400000,0.0
505062000000,0.0
505065600000,0.0
505069200000,0.0
505072800000,0.0
505076400000,0.0
505080000000,0.0
505083600000,0.0
505087200000,0.025
505090800000,0.148
505094400000,0.311
505098000000,0.451
505101600000,0.55
505105200000,0.606
505108800000,0.604
505112400000,0.563
505116000000,0.466
505119600000,0.311
505123200000,0.122
505126800000,0.0
505130400000,0.0
505134000000,0.0
505137600000,0.0
505141200000,0.0
505144800000,0.0
505148400000,0.0
505152000000,0.0
505155600000,0.0
505159200000,0.0
505162800000,0.0
505166400000,0.0
505170000000,0.0
505173600000,0.048
505177200000,0.225
505180800000,0.408
505184400000,0.547
505188000000,0.635
505191600000,0.663
505195200000,0.642
505198800000,0.553
505202400000,0.456
505206000000,0.256
505209600000,0.1
505213200000,0.0
505216800000,0.0
505220400000,0.0
505224000000,0.0
505227600000,0.0
505231200000,0.0
505234800000,0.0
505238400000,0.0
505242000000,0.0
505245600000,0.0
505249200000,0.0
505252800000,0.0
505256400000,0.0
505260000000,0.06
505263600000,0.241
505267200000,0.421
505270800000,0.512
505274400000,0.608
505278000000,0.629
505281600000,0.612
505285200000,0.522
505288800000,0.35
505292400000,0.188
505296000000,0.058
505299600000,0.0
505303200000,0.0
505306800000,0.0
505310400000,0.0
505314000000,0.0
505317600000,0.0
505321200000,0.0
505324800000,0.0
505328400000,0.0
505332000000,0.0
505335600000,0.0
505339200000,0.0
505342800000,0.0
505346400000,0.039
505350000000,0.22
505353600000,0.429
505357200000,0.568
505360800000,0.661
505364400000,0.692
505368000000,0.682
505371600000,0.623
505375200000,0.508
505378800000,0.32
505382400000,0.088
505386000000,0.0
505389600000,0.0
505393200000,0.0
505396800000,0.0
505400400000,0.0
505404000000,0.0
505407600000,0.0
505411200000,0.0
505414800000,0.0
505418400000,0.0
