,S1
820454400000,0.75
820458000000,0.78
820461600000,0.777
820465200000,0.765
820468800000,0.753
820472400000,0.732
820476000000,0.703
820479600000,0.684
820483200000,0.688
820486800000,0.693
820490400000,0.68
820494000000,0.702
820497600000,0.71
820501200000,0.73
820504800000,0.748
820508400000,0.728
820512000000,0.741
820515600000,0.72
820519200000,0.725
820522800000,0.715
820526400000,0.708
820530000000,0.724
820533600000,0.744
820537200000,0.703
820540800000,0.785
820544400000,0.814
820548000000,0.8
820551600000,0.774
820555200000,0.748
820558800000,0.726
820562400000,0.706
820566000000,0.666
820569600000,0.613
820573200000,0.592
820576800000,0.591
820580400000,0.583
820584000000,0.561
820587600000,0.535
820591200000,0.503
820594800000,0.485
820598400000,0.476
820602000000,0.479
820605600000,0.499
820609200000,0.531
820612800000,0.556
820616400000,0.562
820620000000,0.58
820623600000,0.555
820627200000,0.61
820630800000,0.72
820634400000,0.751
820638000000,0.724
820641600000,0.673
820645200000,0.629
820648800000,0.615
820652400000,0.596
820656000000,0.571
820659600000,0.559
820663200000,0.56
820666800000,0.591
820670400000,0.614
820674000000,0.63
820677600000,0.646
820681200000,0.666
820684800000,0.7
820688400000,0.729
820692000000,0.754
820695600000,0.777
820699200000,0.793
820702800000,0.798
820706400000,0.79
820710000000,0.778
820713600000,0.895
820717200000,0.925
820720800000,0.924
820724400000,0.919
820728000000,0.907
820731600000,0.895
820735200000,0.87
820738800000,0.829
820742400000,0.791
820746000000,0.789
820749600000,0.779
820753200000,0.778
820756800000,0.778
820760400000,0.773
820764000000,0.756
820767600000,0.739
820771200000,0.724
820774800000,0.711
820778400000,0.701
820782000000,0.685
820785600000,0.677
820789200000,0.695
820792800000,0.701
820796400000,0.755
820800000000,0.857
820803600000,0.888
820807200000,0.88
820810800000,0.865
820814400000,0.834
820818000000,0.795
820821600000,0.741
820825200000,0.678
820828800000,0.623
820832400000,0.601
820836000000,0.626
820839600000,0.646
820843200000,0.665
820846800000,0.682
820850400000,0.682
820854000000,0.682
820857600000,0.675
820861200000,0.671
820864800000,0.675
820868400000,0.685
820872000000,0.702
820875600000,0.718
820879200000,0.711
820882800000,0.71
820886400000,0.797
820890000000,0.866
820893600000,0.877
820897200000,0.879
820900800000,0.866
820904400000,0.834
820908000000,0.8
820911600000,0.751
820915200000,0.712
820918800000,0.692
820922400000,0.695
820926000000,0.724
820929600000,0.727
820933200000,0.739
820936800000,0.724
820940400000,0.72
820944000000,0.714
820947600000,0.707
820951200000,0.718
820954800000,0.752
820958400000,0.763
820962000000,0.77
820965600000,0.774
820969200000,0.828
820972800000,0.891
820976400000,0.931
820980000000,0.942
820983600000,0.937
820987200000,0.926
820990800000,0.907
820994400000,0.875
820998000000,0.815
821001600000,0.744
821005200000,0.68
821008800000,0.652
821012400000,0.659
821016000000,0.632
821019600000,0.613
821023200000,0.618
821026800000,0.616
821030400000,0.594
821034000000,0.577
821037600000,0.568
821041200000,0.566
821044800000,0.557
821048400000,0.574
821052000000,0.578
821055600000,0.595
821059200000,0.647
821062800000,0.744
821066400000,0.798
821070000000,0.802
821073600000,0.785
821077200000,0.727
821080800000,0.682
821084400000,0.635
821088000000,0.59
821091600000,0.607
821095200000,0.657
821098800000,0.729
821102400000,0.771
821106000000,0.827
821109600000,0.865
821113200000,0.886
821116800000,0.899
821120400000,0.923
821124000000,0.943
821127600000,0.957
821131200000,0.963
821134800000,0.961
821138400000,0.952
821142000000,0.935
821145600000,0.93
821149200000,0.926
821152800000,0.914
821156400000,0.903
821160000000,0.895
821163600000,0.874
821167200000,0.849
821170800000,0.812
821174400000,0.778
