,V2
1262304000000,0.901
1262307600000,0.911
1262311200000,0.916
1262314800000,0.915
1262318400000,0.909
1262322000000,0.896
1262325600000,0.886
1262329200000,0.875
1262332800000,0.857
1262336400000,0.844
1262340000000,0.842
1262343600000,0.839
1262347200000,0.829
1262350800000,0.816
1262354400000,0.799
1262358000000,0.768
1262361600000,0.732
1262365200000,0.707
1262368800000,0.694
1262372400000,0.692
1262376000000,0.702
1262379600000,0.7
1262383200000,0.672
1262386800000,0.661
1262390400000,0.706
1262394000000,0.748
1262397600000,0.78
1262401200000,0.789
1262404800000,0.772
1262408400000,0.74
1262412000000,0.692
1262415600000,0.621
1262419200000,0.535
1262422800000,0.469
1262426400000,0.442
1262430000000,0.42
1262433600000,0.393
1262437200000,0.371
1262440800000,0.357
1262444400000,0.337
1262448000000,0.301
1262451600000,0.249
1262455200000,0.204
1262458800000,0.191
1262462400000,0.197
1262466000000,0.201
1262469600000,0.196
1262473200000,0.192
1262476800000,0.213
1262480400000,0.22
1262484000000,0.179
1262487600000,0.108
1262491200000,0.04
1262494800000,0.005
1262498400000,0.0
1262502000000,0.0
1262505600000,0.0
1262509200000,0.005
1262512800000,0.017
1262516400000,0.023
1262520000000,0.029
1262523600000,0.04
1262527200000,0.06
1262530800000,0.087
1262534400000,0.12
1262538000000,0.135
1262541600000,0.135
1262545200000,0.155
1262548800000,0.17
1262552400000,0.176
1262556000000,0.162
1262559600000,0.14
1262563200000,0.107
1262566800000,0.066
1262570400000,0.036
1262574000000,0.019
1262577600000,0.005
1262581200000,0.0
1262584800000,0.0
1262588400000,0.0
1262592000000,0.0
1262595600000,0.003
1262599200000,0.007
1262602800000,0.016
1262606400000,0.042
1262610000000,0.088
1262613600000,0.151
1262617200000,0.201
1262620800000,0.211
1262624400000,0.216
1262628000000,0.22
1262631600000,0.234
1262635200000,0.259
1262638800000,0.283
1262642400000,0.306
1262646000000,0.311
1262649600000,0.308
1262653200000,0.273
1262656800000,0.223
1262660400000,0.175
1262664000000,0.138
1262667600000,0.106
1262671200000,0.081
1262674800000,0.062
1262678400000,0.057
1262682000000,0.075
1262685600000,0.156
1262689200000,0.243
1262692800000,0.268
