,S1
1546300800000,0.838
1546304400000,0.9
1546308000000,0.894
1546311600000,0.883
1546315200000,0.88
1546318800000,0.887
1546322400000,0.89
1546326000000,0.875
1546329600000,0.837
1546333200000,0.804
1546336800000,0.813
1546340400000,0.784
1546344000000,0.774
1546347600000,0.763
1546351200000,0.756
1546354800000,0.739
1546358400000,0.718
1546362000000,0.736
1546365600000,0.779
1546369200000,0.78
1546372800000,0.782
1546376400000,0.797
1546380000000,0.783
1546383600000,0.763
1546387200000,0.847
1546390800000,0.893
1546394400000,0.896
1546398000000,0.9
1546401600000,0.887
1546405200000,0.865
1546408800000,0.841
1546412400000,0.806
1546416000000,0.75
1546419600000,0.768
1546423200000,0.785
1546426800000,0.788
1546430400000,0.768
1546434000000,0.74
1546437600000,0.713
1546441200000,0.686
1546444800000,0.663
1546448400000,0.649
1546452000000,0.638
1546455600000,0.627
1546459200000,0.612
1546462800000,0.626
1546466400000,0.648
1546470000000,0.63
1546473600000,0.723
1546477200000,0.813
1546480800000,0.836
1546484400000,0.832
1546488000000,0.812
1546491600000,0.796
1546495200000,0.774
1546498800000,0.732
1546502400000,0.683
1546506000000,0.71
1546509600000,0.724
1546513200000,0.729
1546516800000,0.716
1546520400000,0.697
1546524000000,0.677
1546527600000,0.706
1546531200000,0.732
1546534800000,0.746
1546538400000,0.739
1546542000000,0.764
1546545600000,0.795
1546549200000,0.812
1546552800000,0.839
1546556400000,0.859
1546560000000,0.925
1546563600000,0.955
1546567200000,0.96
1546570800000,0.961
1546574400000,0.963
1546578000000,0.961
1546581600000,0.955
1546585200000,0.94
1546588800000,0.903
1546592400000,0.879
1546596000000,0.877
1546599600000,0.859
1546603200000,0.845
1546606800000,0.819
1546610400000,0.816
1546614000000,0.796
1546617600000,0.78
1546621200000,0.765
1546624800000,0.758
1546628400000,0.75
1546632000000,0.743
1546635600000,0.751
1546639200000,0.756
1546642800000,0.722
1546646400000,0.731
1546650000000,0.826
1546653600000,0.847
1546657200000,0.829
1546660800000,0.793
1546664400000,0.757
1546668000000,0.701
1546671600000,0.611
1546675200000,0.529
1546678800000,0.521
1546682400000,0.525
1546686000000,0.544
1546689600000,0.568
1546693200000,0.586
1546696800000,0.61
1546700400000,0.632
1546704000000,0.643
1546707600000,0.656
1546711200000,0.674
1546714800000,0.684
1546718400000,0.685
1546722000000,0.687
1546725600000,0.684
1546729200000,0.642
1546732800000,0.663
1546736400000,0.735
1546740000000,0.744
1546743600000,0.696
1546747200000,0.635
1546750800000,0.574
1546754400000,0.505
1546758000000,0.452
1546761600000,0.422
1546765200000,0.466
1546768800000,0.516
1546772400000,0.559
1546776000000,0.597
1546779600000,0.622
1546783200000,0.657
1546786800000,0.668
1546790400000,0.665
1546794000000,0.645
1546797600000,0.618
1546801200000,0.599
1546804800000,0.596
1546808400000,0.61
1546812000000,0.61
1546815600000,0.527
1546819200000,0.566
1546822800000,0.639
1546826400000,0.657
1546830000000,0.644
1546833600000,0.638
1546837200000,0.627
1546840800000,0.621
1546844400000,0.601
1546848000000,0.578
1546851600000,0.624
1546855200000,0.679
1546858800000,0.695
1546862400000,0.704
1546866000000,0.702
1546869600000,0.685
1546873200000,0.669
1546876800000,0.661
1546880400000,0.67
1546884000000,0.704
1546887600000,0.737
1546891200000,0.757
1546894800000,0.765
1546898400000,0.756
1546902000000,0.698
1546905600000,0.742
1546909200000,0.8
1546912800000,0.815
1546916400000,0.819
1546920000000,0.815
1546923600000,0.802
1546927200000,0.776
1546930800000,0.719
1546934400000,0.649
1546938000000,0.644
1546941600000,0.664
1546945200000,0.69
1546948800000,0.712
1546952400000,0.73
1546956000000,0.715
1546959600000,0.72
1546963200000,0.722
1546966800000,0.707
1546970400000,0.701
1546974000000,0.683
1546977600000,0.669
1546981200000,0.69
1546984800000,0.71
1546988400000,0.71
