,L3
852076800000,0.101
852080400000,0.107
852084000000,0.079
852087600000,0.054
852091200000,0.042
852094800000,0.042
852098400000,0.051
852102000000,0.061
852105600000,0.065
852109200000,0.057
852112800000,0.047
852116400000,0.038
852120000000,0.029
852123600000,0.021
852127200000,0.014
852130800000,0.011
852134400000,0.013
852138000000,0.02
852141600000,0.037
852145200000,0.067
852148800000,0.1
852152400000,0.121
852156000000,0.138
852159600000,0.102
852163200000,0.218
852166800000,0.328
852170400000,0.355
852174000000,0.338
852177600000,0.32
852181200000,0.299
852184800000,0.29
852188400000,0.294
852192000000,0.296
852195600000,0.3
852199200000,0.334
852202800000,0.357
852206400000,0.327
852210000000,0.335
852213600000,0.331
852217200000,0.323
852220800000,0.272
852224400000,0.215
852228000000,0.195
852231600000,0.189
852235200000,0.2
852238800000,0.22
852242400000,0.251
852246000000,0.261
852249600000,0.473
852253200000,0.584
852256800000,0.557
852260400000,0.494
852264000000,0.432
852267600000,0.379
852271200000,0.329
852274800000,0.291
852278400000,0.286
852282000000,0.295
852285600000,0.334
852289200000,0.335
852292800000,0.318
852296400000,0.27
852300000000,0.195
852303600000,0.137
852307200000,0.113
852310800000,0.099
852314400000,0.085
852318000000,0.07
852321600000,0.057
852325200000,0.054
852328800000,0.058
852332400000,0.051
852336000000,0.101
852339600000,0.112
852343200000,0.09
852346800000,0.065
852350400000,0.044
852354000000,0.031
852357600000,0.028
852361200000,0.033
852364800000,0.043
852368400000,0.052
852372000000,0.068
852375600000,0.087
852379200000,0.09
852382800000,0.068
852386400000,0.044
852390000000,0.029
852393600000,0.024
852397200000,0.023
852400800000,0.024
852404400000,0.028
852408000000,0.032
852411600000,0.039
852415200000,0.051
852418800000,0.048
852422400000,0.092
852426000000,0.12
852429600000,0.107
852433200000,0.066
852436800000,0.028
852440400000,0.011
852444000000,0.015
852447600000,0.035
852451200000,0.062
852454800000,0.091
852458400000,0.125
852462000000,0.147
852465600000,0.137
852469200000,0.117
852472800000,0.094
852476400000,0.085
852480000000,0.113
852483600000,0.157
852487200000,0.201
852490800000,0.204
852494400000,0.185
852498000000,0.158
852501600000,0.167
852505200000,0.202
852508800000,0.369
852512400000,0.429
852516000000,0.36
852519600000,0.284
852523200000,0.225
852526800000,0.174
852530400000,0.148
852534000000,0.157
852537600000,0.179
852541200000,0.155
852544800000,0.194
852548400000,0.264
852552000000,0.311
852555600000,0.31
852559200000,0.29
852562800000,0.26
852566400000,0.28
852570000000,0.26
852573600000,0.249
852577200000,0.237
852580800000,0.228
852584400000,0.218
852588000000,0.221
852591600000,0.201
852595200000,0.395
852598800000,0.442
852602400000,0.363
852606000000,0.274
852609600000,0.211
852613200000,0.17
852616800000,0.142
852620400000,0.124
852624000000,0.105
852627600000,0.087
852631200000,0.107
852634800000,0.128
852638400000,0.127
852642000000,0.158
852645600000,0.14
852649200000,0.097
852652800000,0.065
852656400000,0.052
852660000000,0.046
852663600000,0.054
852667200000,0.061
852670800000,0.072
852674400000,0.089
852678000000,0.119
852681600000,0.328
852685200000,0.41
852688800000,0.375
852692400000,0.291
852696000000,0.207
852699600000,0.158
852703200000,0.149
852706800000,0.175
852710400000,0.211
852714000000,0.239
852717600000,0.316
852721200000,0.387
852724800000,0.416
852728400000,0.445
852732000000,0.498
852735600000,0.538
852739200000,0.547
852742800000,0.553
852746400000,0.544
852750000000,0.528
852753600000,0.51
852757200000,0.488
852760800000,0.442
852764400000,0.454
852768000000,0.596
852771600000,0.615
852775200000,0.538
852778800000,0.41
852782400000,0.289
852786000000,0.201
852789600000,0.148
852793200000,0.124
852796800000,0.118
852800400000,0.113
852804000000,0.128
852807600000,0.182
852811200000,0.202
852814800000,0.206
852818400000,0.213
852822000000,0.227
852825600000,0.219
852829200000,0.211
852832800000,0.239
852836400000,0.228
852840000000,0.206
852843600000,0.224
852847200000,0.249
852850800000,0.222
852854400000,0.294
852858000000,0.332
852861600000,0.291
852865200000,0.215
852868800000,0.151
852872400000,0.111
852876000000,0.09
852879600000,0.086
852883200000,0.097
852886800000,0.12
852890400000,0.151
852894000000,0.162
852897600000,0.156
852901200000,0.145
852904800000,0.133
852908400000,0.135
852912000000,0.155
852915600000,0.17
852919200000,0.176
852922800000,0.191
852926400000,0.201
852930000000,0.211
852933600000,0.221
852937200000,0.201
852940800000,0.27
852944400000,0.261
852948000000,0.192
852951600000,0.113
852955200000,0.058
852958800000,0.029
852962400000,0.018
852966000000,0.02
852969600000,0.037
852973200000,0.063
852976800000,0.085
852980400000,0.093
852984000000,0.099
852987600000,0.124
852991200000,0.171
852994800000,0.227
852998400000,0.251
853002000000,0.281
853005600000,0.295
853009200000,0.311
853012800000,0.329
853016400000,0.37
853020000000,0.39
853023600000,0.386
853027200000,0.53
853030800000,0.549
853034400000,0.474
853038000000,0.382
853041600000,0.305
853045200000,0.249
853048800000,0.227
853052400000,0.244
853056000000,0.295
853059600000,0.35
853063200000,0.41
853066800000,0.422
853070400000,0.41
853074000000,0.415
853077600000,0.434
853081200000,0.422
853084800000,0.421
853088400000,0.425
853092000000,0.416
853095600000,0.402
853099200000,0.404
853102800000,0.426
853106400000,0.466
853110000000,0.5
853113600000,0.714
853117200000,0.77
853120800000,0.728
853124400000,0.667
853128000000,0.61
853131600000,0.566
853135200000,0.551
853138800000,0.573
853142400000,0.595
853146000000,0.571
853149600000,0.49
853153200000,0.454
853156800000,0.473
853160400000,0.444
853164000000,0.428
853167600000,0.417
853171200000,0.39
853174800000,0.388
853178400000,0.381
853182000000,0.379
853185600000,0.388
853189200000,0.403
853192800000,0.408
853196400000,0.403
853200000000,0.625
853203600000,0.642
853207200000,0.552
853210800000,0.444
853214400000,0.342
853218000000,0.259
853221600000,0.213
853225200000,0.221
853228800000,0.28
853232400000,0.358
853236000000,0.407
853239600000,0.386
853243200000,0.367
853246800000,0.374
853250400000,0.376
853254000000,0.353
853257600000,0.322
853261200000,0.308
853264800000,0.279
853268400000,0.249
853272000000,0.223
853275600000,0.207
853279200000,0.202
853282800000,0.187
853286400000,0.326
853290000000,0.3
853293600000,0.227
853297200000,0.167
853300800000,0.118
853304400000,0.081
853308000000,0.061
853311600000,0.06
853315200000,0.071
853318800000,0.076
853322400000,0.088
853326000000,0.112
853329600000,0.137
853333200000,0.159
853336800000,0.166
853340400000,0.156
853344000000,0.133
853347600000,0.116
853351200000,0.108
853354800000,0.1
853358400000,0.098
853362000000,0.102
853365600000,0.105
853369200000,0.102
853372800000,0.144
853376400000,0.101
853380000000,0.044
853383600000,0.012
853387200000,0.003
853390800000,0.004
853394400000,0.008
853398000000,0.014
853401600000,0.021
853405200000,0.045
853408800000,0.058
853412400000,0.058
853416000000,0.056
853419600000,0.051
853423200000,0.046
853426800000,0.043
853430400000,0.044
853434000000,0.042
853437600000,0.03
853441200000,0.018
853444800000,0.014
853448400000,0.017
853452000000,0.022
853455600000,0.025
853459200000,0.043
853462800000,0.053
853466400000,0.056
853470000000,0.041
853473600000,0.019
853477200000,0.007
853480800000,0.003
853484400000,0.002
853488000000,0.005
853491600000,0.01
853495200000,0.024
853498800000,0.058
853502400000,0.092
853506000000,0.103
853509600000,0.095
853513200000,0.084
853516800000,0.084
853520400000,0.089
853524000000,0.091
853527600000,0.09
853531200000,0.089
853534800000,0.092
853538400000,0.096
853542000000,0.102
853545600000,0.185
853549200000,0.195
853552800000,0.174
853556400000,0.146
853560000000,0.117
853563600000,0.086
853567200000,0.068
853570800000,0.076
853574400000,0.101
853578000000,0.102
853581600000,0.113
853585200000,0.131
853588800000,0.132
853592400000,0.121
853596000000,0.109
853599600000,0.1
853603200000,0.101
853606800000,0.108
853610400000,0.13
853614000000,0.155
853617600000,0.178
853621200000,0.185
853624800000,0.183
853628400000,0.221
853632000000,0.38
853635600000,0.376
853639200000,0.312
853642800000,0.251
853646400000,0.2
853650000000,0.147
853653600000,0.113
853657200000,0.1
853660800000,0.097
853664400000,0.093
853668000000,0.119
853671600000,0.139
853675200000,0.142
853678800000,0.157
853682400000,0.179
853686000000,0.182
853689600000,0.159
853693200000,0.139
853696800000,0.134
853700400000,0.138
853704000000,0.142
853707600000,0.125
853711200000,0.117
853714800000,0.121
853718400000,0.213
853722000000,0.258
853725600000,0.252
853729200000,0.212
853732800000,0.158
853736400000,0.106
853740000000,0.078
853743600000,0.074
853747200000,0.082
853750800000,0.085
853754400000,0.102
853758000000,0.106
853761600000,0.098
853765200000,0.085
853768800000,0.079
853772400000,0.067
853776000000,0.061
853779600000,0.061
853783200000,0.067
853786800000,0.074
853790400000,0.068
853794000000,0.07
853797600000,0.068
853801200000,0.053
853804800000,0.09
853808400000,0.097
853812000000,0.063
853815600000,0.031
853819200000,0.018
853822800000,0.026
853826400000,0.058
853830000000,0.107
853833600000,0.154
853837200000,0.164
853840800000,0.146
853844400000,0.118
853848000000,0.111
853851600000,0.11
853855200000,0.112
853858800000,0.135
853862400000,0.158
853866000000,0.171
853869600000,0.164
853873200000,0.192
853876800000,0.248
853880400000,0.264
853884000000,0.261
853887600000,0.332
853891200000,0.621
853894800000,0.622
853898400000,0.535
853902000000,0.414
853905600000,0.287
853909200000,0.192
853912800000,0.148
853916400000,0.156
